	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.79	BritoIL_2016__M2.44.ST__bin.50	NielsenHB_2014__MH0132__bin.20	ZeeviD_2015__PNP_Main_610__bin.25	ZeeviD_2015__PNP_Main_601__bin.13	BritoIL_2016__M2.49.ST__bin.58	LiJ_2014__MH0280__bin.4	NielsenHB_2014__MH0030__bin.5	BackhedF_2015__SID268_M__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.37	BritoIL_2016__M1.1.ST__bin.107	LeChatelierE_2013__MH0100__bin.41	XieH_2016__YSZC12003_37314__bin.51	ZellerG_2014__CCIS51667829ST-4-0__bin.28	ZeeviD_2015__PNP_Main_633__bin.25	ZeeviD_2015__PNP_Validation_93__bin.17	LeChatelierE_2013__MH0030__bin.19	NielsenHB_2014__MH0100__bin.29	ZeeviD_2015__PNP_Main_24__bin.29	ZellerG_2014__CCIS00146684ST-4-0__bin.91	BritoIL_2016__M1.20.ST__bin.96	VatanenT_2016__G80328__bin.2	LeChatelierE_2013__MH0415__bin.14	HMP_2012__SRS011134__bin.45	ZeeviD_2015__PNP_Validation_48__bin.16	NielsenHB_2014__MH0013__bin.3	ZellerG_2014__CCIS98832363ST-4-0__bin.54	XieH_2016__YSZC12003_37797__bin.88	CosteaPI_2017__SID713A004-11-90-0__bin.3	LiJ_2014__V1.CD8-0-PN__bin.53	ZeeviD_2015__PNP_Main_122__bin.41	ZeeviD_2015__PNP_Main_627__bin.13	CosteaPI_2017__SID713A005-11-0-0__bin.26	ZeeviD_2015__PNP_Main_54__bin.38	CosteaPI_2017__SID713B033-11-0-0__bin.36	ZeeviD_2015__PNP_Main_596__bin.60	ZeeviD_2015__PNP_Main_616__bin.5	LeChatelierE_2013__MH0013__bin.11	ZeeviD_2015__PNP_Main_73__bin.28	LiJ_2014__MH0293__bin.9	ZeeviD_2015__PNP_Main_77__bin.3
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.79	1.0	0.8932954019689421	0.8983676052627051	0.7310129648123819	0.8564454194889588	0.8898104125941304	0.89704115438349	0.8260538493785601	0.5839217855749146	0.785503385845094	0.8595102906330838	0.8976604666028641	0.8804709308063464	0.7254961967529568	0.8931487227590902	0.72321270930082	0.804740998016209	0.8970529249373671	0.7852770290397673	0.8666939502069355	0.893201237537926	0.4418747413873499	0.670797527459344	0.773117141457611	0.8959392494551591	0.9112491183402432	0.8590304142057908	0.8338568211717858	0.8581512443739017	0.8284985028760896	0.9056128338876056	0.8684033968007635	0.8773979108172295	0.8651139797057542	0.8918530564053996	0.8827109577518604	0.8747106028243896	0.9108163241284585	0.8916040639195402	0.8882431180740477	0.8864032899603513
BritoIL_2016__M2.44.ST__bin.50	0.9163839929260355	1.0	0.910682838205353	0.7501894811930627	0.8818482590022143	0.9571456701689727	0.9245446878390228	0.825998677346966	0.613063613666424	0.7474726552631188	0.8627793918768297	0.8992313008069669	0.9069099332728975	0.7394893667612834	0.9190933882209573	0.7375815512193672	0.8056758905616075	0.8996056190462037	0.817729309396781	0.873029952889774	0.9227492606518153	0.46014486022975526	0.6829700991246712	0.7802436133691986	0.9144966116304298	0.9198234481118756	0.8849412608301505	0.8513259968196882	0.8787561860036559	0.8533239088112471	0.92015318254098	0.909720570969995	0.8951045118815855	0.8760189258274013	0.9244035057736034	0.899558248747938	0.9114732720058256	0.9191017476853572	0.9195856677911693	0.9142709060916346	0.907719872490303
NielsenHB_2014__MH0132__bin.20	0.8699391430222271	0.8596458002898619	1.0	0.707414801546281	0.829916101365753	0.8612704650328834	0.8579983393874672	0.7920560645236524	0.5658182111503028	0.7110902438575311	0.824244241558626	0.8802658032182915	0.8556757614574813	0.7057164876729768	0.8662689613631401	0.6936389070819776	0.771255445870958	0.8836063173418275	0.7641746080594944	0.8251552111581939	0.8590232897839012	0.43472801989929355	0.657357942664152	0.741572216040956	0.8758635141331805	0.8604901349620312	0.8337511167926154	0.8146426745857017	0.824944785071672	0.7982417146920371	0.883664184515621	0.8478347594084572	0.8454446697757121	0.8399911270333517	0.8589040483348721	0.8698979345802833	0.8492411070867122	0.8603077656870456	0.8538205047946461	0.8822166283954221	0.8536933723673724
ZeeviD_2015__PNP_Main_610__bin.25	0.9037209166963293	0.9040611966661517	0.9031265460911458	1.0	0.896539218385864	0.9031086366190499	0.9202267339167344	0.8131594323592819	0.616279486266793	0.714591294653351	0.8541318271467301	0.8873997909069132	0.8831888262803593	0.717377336906273	0.9083258897089934	0.7066842627230008	0.787276887154655	0.8902776192043269	0.8797367755338702	0.8625123407456161	0.8928800893682658	0.44722974046936254	0.6408591173764415	0.7461947968506193	0.8979742148375499	0.9132073401971385	0.8903638085387885	0.8614803074160885	0.8614478464979147	0.8389322820473214	0.9045794520149275	0.9016445372752081	0.905890201503948	0.8910107882182537	0.9161545676989238	0.9020273522412585	0.9007177220942442	0.9129622042978256	0.9138867807947776	0.9062114526596686	0.9529372653579321
ZeeviD_2015__PNP_Main_601__bin.13	0.9065130993213865	0.9098836457102442	0.9071389073372875	0.7675990535252734	1.0	0.9093699656236852	0.9277761964864666	0.8451848721214508	0.6176389691514024	0.7517688899622503	0.8561686174051296	0.8906810190416226	0.8967761782776575	0.7454830174104965	0.9617078329504691	0.7394367344513542	0.8117506236517096	0.8901021705858733	0.8232950085820993	0.8658672041140408	0.8941569848512292	0.44565676778305835	0.6761429142336344	0.7778669051062292	0.9089473295823187	0.9127855548559539	0.9331679206785944	0.856807842438217	0.9149667785070885	0.836983241187176	0.9127606375383224	0.9043031249191386	0.9075423762112452	0.8850554554071058	0.9304998509752734	0.8992027416716262	0.910044649916479	0.9127088861863183	0.9438488247172123	0.9096862238859323	0.9192544738564629
BritoIL_2016__M2.49.ST__bin.58	0.9057279863157244	0.9497207939607814	0.905326158182041	0.7435857262536623	0.8745134976466328	1.0	0.9112798502545064	0.8167746656577954	0.6035329540542708	0.7406254694523063	0.8521917604956865	0.8927238694206024	0.8972628684077375	0.732619320375912	0.9053141770679632	0.7215662818271382	0.8007531512634084	0.8922621357165306	0.810143579827859	0.8635876432319147	0.9038414216605639	0.4509350337913498	0.6749984562795323	0.7757494878073732	0.9029041298900226	0.8982361035205122	0.8761770292551156	0.8458998323565653	0.8677312654544851	0.8435644367355705	0.9079887303797737	0.9103462449806043	0.8841942378214279	0.8669312956837576	0.899853553921004	0.8880152915880598	0.9008350836512169	0.8979854217490398	0.895250962866841	0.9029373083597763	0.9047178862365569
LiJ_2014__MH0280__bin.4	0.8949335713227562	0.8991330127220762	0.8839548639088317	0.7426155230287286	0.8744747310876092	0.8931612968496511	1.0	0.8192370367426282	0.5994795185772664	0.7209047090832228	0.8413669818581241	0.8758640063881372	0.8769118343131126	0.7254708902562843	0.9114973822367874	0.7310081188598186	0.8008837886567208	0.8773598710810333	0.806403854561484	0.8515679480277349	0.8911279686952375	0.44355820684123237	0.6634141846995444	0.7546131527696982	0.8921983791185961	0.9247831176855288	0.880732793039532	0.8474461904228527	0.8709265689416577	0.8302880081513787	0.9038690142829786	0.8966091927027818	0.911576872631096	0.8505996104970679	0.9235618561729712	0.879982150793278	0.8850099182332898	0.921999147284861	0.9029350021498539	0.8859493501660265	0.9045636519332425
NielsenHB_2014__MH0030__bin.5	0.8814533987223633	0.8591875065215122	0.8727947626942445	0.7018712392612431	0.8520563535954304	0.8562349522142225	0.876238121186123	1.0	0.6006332146901171	0.7246462924961065	0.8373921293558871	0.8600821613934202	0.8554533368887652	0.7247216521937402	0.8732140717810781	0.6947323571354039	0.8986924126310583	0.8601468934413875	0.7717335435675667	0.8359670581506344	0.865891621161003	0.43259268276658974	0.6657662148949408	0.7254163140219277	0.8596261386077392	0.896790063340792	0.8407591620001623	0.827035001681101	0.8576010882713258	0.8041720287989983	0.8661273617536008	0.8534186250526551	0.8659650485586975	0.8392732233468209	0.8726672308982489	0.8451464490124014	0.855422420089736	0.896677989944311	0.865914808760275	0.8673485753152548	0.8582300519015764
BackhedF_2015__SID268_M__bin.65	0.833476141919425	0.8530247633965439	0.8340279904828739	0.7115525038028441	0.832911369502031	0.8463289146676696	0.8576980289830348	0.8034462748929582	1.0	0.6638079101740456	0.7954257311347273	0.8140438351278104	0.8381455303497325	0.6605562685214982	0.8533737074530573	0.7400483093660462	0.7608867314668704	0.8196980212287225	0.7356141350775366	0.7988919087627606	0.8402482413865744	0.37978166441145417	0.6411717799894799	0.726754833198279	0.8412924887853258	0.844227496016222	0.8097905947945301	0.7912461567689332	0.828915313862255	0.7771048757823777	0.846133764473101	0.8391962396754562	0.8383574815544295	0.8024149513481518	0.8512348096251695	0.8234950495177464	0.8404459763519321	0.8429971451206635	0.8494732883324738	0.8376311609627237	0.8485789576394839
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.37	0.9754021685847534	0.9047916188831474	0.9118545851940798	0.7177680486784765	0.8819533452960779	0.9035121448841278	0.8972946657852012	0.8432779269373125	0.5774835062534573	1.0	0.8625341230543675	0.9096891485314157	0.8957959497564727	0.8342474039495046	0.903906780537604	0.7003534856109769	0.8222947782170114	0.9086345381526104	0.7818721695291805	0.8689708441830031	0.9056775815467918	0.47319288351614747	0.683358293195177	0.7560859338811011	0.9026407983557972	0.9096284353539578	0.864186870662943	0.8378114923299018	0.9007485709916936	0.8288709147901797	0.9102861614430848	0.8819713343856951	0.8811280958098913	0.8714623330949779	0.898764149543302	0.885623119577976	0.8852577161951276	0.9096295596720589	0.8976173450802087	0.8971833582931951	0.8924499790876832
