	YuJ_2015__SZAXPI003420-4__bin.42	LeChatelierE_2013__MH0445__bin.27	NielsenHB_2014__O2_UC51_2__bin.22	FengQ_2015__SID530167__bin.19	CosteaPI_2017__mickey3-11-7-0__bin.1	LiJ_2014__MH0238__bin.36	LiJ_2014__MH0328__bin.2	LiJ_2014__MH0395__bin.62	XieH_2016__YSZC12003_37651__bin.23	HMP_2012__SRS022524__bin.26	KarlssonFH_2013__S463__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.51	BackhedF_2015__SID582_M__bin.20	KarlssonFH_2013__S131__bin.32	ZeeviD_2015__PNP_Main_712__bin.62	FengQ_2015__SID530295__bin.40	CosteaPI_2017__SID713B016-11-90-0__bin.47	ZeeviD_2015__PNP_Validation_72__bin.26	LeChatelierE_2013__MH0196__bin.15	LeChatelierE_2013__MH0302__bin.32	LiJ_2014__MH0402__bin.5	HMP_2012__SRS019685__bin.21	NielsenHB_2014__MH0102__bin.6	HMP_2012__SRS014235__bin.79	KarlssonFH_2013__S60__bin.40	KarlssonFH_2013__S88__bin.42	KarlssonFH_2013__S487__bin.25	KarlssonFH_2013__S424__bin.23	XieH_2016__YSZC12003_37583__bin.2	BackhedF_2015__SID599_M__bin.5	XieH_2016__YSZC12003_37314__bin.5	XieH_2016__YSZC12003_37097__bin.7	XieH_2016__YSZC12003_36695__bin.83	LiJ_2014__MH0309__bin.19	LeChatelierE_2013__MH0102__bin.23	ZeeviD_2015__PNP_Main_564__bin.29	XieH_2016__YSZC12003_35698__bin.36
YuJ_2015__SZAXPI003420-4__bin.42	0.0	7871.0	7665.0	7860.0	8284.0	6797.0	7321.0	8074.0	6228.0	8664.0	8431.0	7805.0	7995.0	7999.0	7964.0	3858.0	7865.0	8007.0	7980.0	8686.0	8344.0	8590.0	8121.0	7761.0	7418.0	9032.0	7064.0	8223.0	7790.0	8733.0	7564.0	7649.0	7782.0	7788.0	8299.0	8796.0	7830.0
LeChatelierE_2013__MH0445__bin.27	7871.0	0.0	7260.0	7640.0	9658.0	8246.0	8379.0	5819.0	5797.0	8962.0	8251.0	8875.0	7617.0	6722.0	7599.0	3407.0	5930.0	7180.0	8208.0	9697.0	9543.0	9404.0	7616.0	8618.0	7336.0	8751.0	5641.0	6903.0	8663.0	7111.0	7471.0	7493.0	7879.0	7963.0	7742.0	7850.0	6972.0
NielsenHB_2014__O2_UC51_2__bin.22	7665.0	7260.0	0.0	6843.0	8559.0	7508.0	6706.0	6568.0	4602.0	9313.0	7647.0	7622.0	6676.0	6653.0	7263.0	3323.0	7167.0	7282.0	7144.0	7769.0	6506.0	7404.0	6579.0	7052.0	5746.0	7657.0	5779.0	6812.0	8783.0	7562.0	6888.0	5332.0	8010.0	8581.0	7139.0	8986.0	6235.0
FengQ_2015__SID530167__bin.19	7860.0	7640.0	6843.0	0.0	8844.0	6944.0	7139.0	7762.0	5566.0	9622.0	6666.0	7724.0	7482.0	7556.0	6660.0	2633.0	6802.0	6074.0	5620.0	9896.0	3403.0	9329.0	7600.0	8832.0	6132.0	7575.0	6421.0	7324.0	7740.0	7227.0	7296.0	6306.0	7474.0	7034.0	7777.0	6110.0	6049.0
CosteaPI_2017__mickey3-11-7-0__bin.1	8284.0	9658.0	8559.0	8844.0	0.0	8651.0	7853.0	8416.0	5378.0	8166.0	9374.0	8940.0	8535.0	7673.0	9148.0	4435.0	8330.0	8449.0	8848.0	7329.0	9027.0	6870.0	8274.0	6369.0	8363.0	7586.0	8393.0	8944.0	8120.0	8604.0	8012.0	9662.0	8123.0	9051.0	8303.0	8382.0	8184.0
LiJ_2014__MH0238__bin.36	6797.0	8246.0	7508.0	6944.0	8651.0	0.0	7011.0	7112.0	5632.0	8726.0	7534.0	7965.0	7715.0	7581.0	6914.0	3710.0	6741.0	6914.0	6776.0	9235.0	7165.0	8748.0	6857.0	7810.0	6643.0	8461.0	6520.0	6971.0	7676.0	7428.0	7576.0	6350.0	7649.0	7229.0	6939.0	6032.0	6653.0
LiJ_2014__MH0328__bin.2	7321.0	8379.0	6706.0	7139.0	7853.0	7011.0	0.0	6582.0	4593.0	7539.0	7852.0	6248.0	7356.0	6723.0	6941.0	4514.0	6878.0	7041.0	7679.0	7639.0	7621.0	7144.0	6981.0	6662.0	7089.0	6628.0	6074.0	6568.0	7460.0	6652.0	6741.0	6935.0	7219.0	7451.0	7083.0	6705.0	6755.0
LiJ_2014__MH0395__bin.62	8074.0	5819.0	6568.0	7762.0	8416.0	7112.0	6582.0	0.0	6126.0	9493.0	7165.0	9026.0	6595.0	5992.0	9438.0	3363.0	6278.0	10303.0	7780.0	9442.0	7948.0	8734.0	6725.0	8301.0	7592.0	10892.0	3350.0	5584.0	8730.0	5919.0	6795.0	7196.0	7532.0	6863.0	6793.0	6624.0	6353.0
XieH_2016__YSZC12003_37651__bin.23	6228.0	5797.0	4602.0	5566.0	5378.0	5632.0	4593.0	6126.0	0.0	6455.0	5579.0	5545.0	5915.0	4762.0	5738.0	3017.0	4265.0	4726.0	5357.0	5942.0	5515.0	5647.0	5246.0	5213.0	5984.0	4559.0	5440.0	5679.0	5707.0	5966.0	3941.0	5516.0	5133.0	5449.0	5264.0	6186.0	5921.0
HMP_2012__SRS022524__bin.26	8664.0	8962.0	9313.0	9622.0	8166.0	8726.0	7539.0	9493.0	6455.0	0.0	8883.0	8941.0	9570.0	8395.0	9255.0	5373.0	8688.0	9472.0	8864.0	8663.0	8964.0	5257.0	9335.0	4807.0	8424.0	9459.0	8043.0	8097.0	9451.0	8194.0	8911.0	8196.0	8355.0	9382.0	9503.0	9559.0	8588.0
