	YuJ_2015__SZAXPI003420-4__bin.42	LeChatelierE_2013__MH0445__bin.27	NielsenHB_2014__O2_UC51_2__bin.22	FengQ_2015__SID530167__bin.19	CosteaPI_2017__mickey3-11-7-0__bin.1	LiJ_2014__MH0238__bin.36	LiJ_2014__MH0328__bin.2	LiJ_2014__MH0395__bin.62	XieH_2016__YSZC12003_37651__bin.23	HMP_2012__SRS022524__bin.26	KarlssonFH_2013__S463__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.51	BackhedF_2015__SID582_M__bin.20	KarlssonFH_2013__S131__bin.32	ZeeviD_2015__PNP_Main_712__bin.62	FengQ_2015__SID530295__bin.40	CosteaPI_2017__SID713B016-11-90-0__bin.47	ZeeviD_2015__PNP_Validation_72__bin.26	LeChatelierE_2013__MH0196__bin.15	LeChatelierE_2013__MH0302__bin.32	LiJ_2014__MH0402__bin.5	HMP_2012__SRS019685__bin.21	NielsenHB_2014__MH0102__bin.6	HMP_2012__SRS014235__bin.79	KarlssonFH_2013__S60__bin.40	KarlssonFH_2013__S88__bin.42	KarlssonFH_2013__S487__bin.25	KarlssonFH_2013__S424__bin.23	XieH_2016__YSZC12003_37583__bin.2	BackhedF_2015__SID599_M__bin.5	XieH_2016__YSZC12003_37314__bin.5	XieH_2016__YSZC12003_37097__bin.7	XieH_2016__YSZC12003_36695__bin.83	LiJ_2014__MH0309__bin.19	LeChatelierE_2013__MH0102__bin.23	ZeeviD_2015__PNP_Main_564__bin.29	XieH_2016__YSZC12003_35698__bin.36
YuJ_2015__SZAXPI003420-4__bin.42	1.0	0.9931508279744864	0.9933801487372191	0.9931611973647118	0.9906447172127492	0.9940750516700474	0.9922258114528314	0.9926937350180395	0.9920847143990077	0.9915366160530779	0.9925425216024513	0.9930302605459168	0.9929887609706817	0.9928140474188425	0.9930966392491252	0.9951832981049062	0.9931014944276916	0.9926926495738976	0.9930656331737329	0.990264852936067	0.9925895730034521	0.9921891338940668	0.9928582923747036	0.9921542184849483	0.9935342780016404	0.9919895914354613	0.9935066725741484	0.9928095299305612	0.9934179230209621	0.9924809570098093	0.9933790138196893	0.9934231343334915	0.9931940304773099	0.993339092207559	0.9927734427722672	0.9924470235468077	0.9929573094223645
LeChatelierE_2013__MH0445__bin.27	0.9931508279744864	1.0	0.9935869406792013	0.9934251460624456	0.9897651429891547	0.9929750489003387	0.9914438098583567	0.9949367727429744	0.9927677534374069	0.9913963010430616	0.9928956064866875	0.9923004248430372	0.9932894834214913	0.9942134681056383	0.9933217972705406	0.9957580375663313	0.9948659697776177	0.9935562846865734	0.993107924627162	0.9896311393022271	0.9917919562375284	0.9916832930056175	0.9932231924138195	0.9915742503302155	0.9936075510367688	0.9925624681285059	0.9950050604643584	0.9941985112621831	0.9924177709314335	0.993924517404536	0.9937092301953583	0.9935694878075154	0.9930273657531179	0.9933228574111839	0.9931629215219608	0.9931505893110801	0.9936835296132113
NielsenHB_2014__O2_UC51_2__bin.22	0.9933801487372191	0.9935869406792013	1.0	0.9938489887640449	0.9901171074843945	0.9933520634900959	0.9927169493292556	0.9939770139818008	0.9939652391480522	0.9907641196013289	0.993202745212722	0.9930649260134425	0.9939709039218927	0.9939328113344167	0.9935841773074392	0.9957711509265162	0.9937167569804314	0.9932457876606235	0.9937412555861309	0.9912101961272366	0.9940603568533221	0.9930593638125128	0.9940238012402951	0.9927074327929747	0.9949159215887524	0.9931002229338965	0.9946592215531231	0.9939800613835784	0.9924865158494908	0.9933144785478927	0.9938282390320873	0.9953620344420263	0.992819228331506	0.9925864681661336	0.9936027829104067	0.9922307298583444	0.9942864787939935
FengQ_2015__SID530167__bin.19	0.9931611973647118	0.9934251460624456	0.9938489887640449	1.0	0.9901274699464959	0.9939410649904544	0.9924946566875773	0.9931563373973274	0.9927601268473644	0.9905713532587234	0.9941560866645509	0.9931782392544461	0.9932735305064541	0.9932875233750716	0.9940839598029052	0.9967595600976685	0.9940673316860483	0.9945083956269687	0.995173185585861	0.9891584902518438	0.9971153707592009	0.9916247936273379	0.9930998729831882	0.9912614759913209	0.9946147320275903	0.9933252737298635	0.994185988603777	0.9936748762006422	0.9931275566332841	0.9936859762623461	0.9936971686499795	0.994434589213376	0.9932555170033344	0.9939820625424032	0.9930122207516467	0.9946997278730988	0.9944100831048481
CosteaPI_2017__mickey3-11-7-0__bin.1	0.9906447172127492	0.9897651429891547	0.9901171074843945	0.9901274699464959	1.0	0.9905040712518468	0.9903375995708334	0.9905257979504833	0.9915118609826544	0.9907077621933595	0.989633661515936	0.9901788460693413	0.9906106540199272	0.9913297573620224	0.9897559249454649	0.9934120617944148	0.9908322712855291	0.9901940303011312	0.9902783332527589	0.9912686801875643	0.9898736193593692	0.9926756328860885	0.9908612150585616	0.9926387643202559	0.9905239959435497	0.9919893726662949	0.9904991108127658	0.9901695813169288	0.9909482085925133	0.9904020133015334	0.9913119102303016	0.9891214029809743	0.9910928794572611	0.9902261452504314	0.9908733670054025	0.9905653368991902	0.9904729309706575
LiJ_2014__MH0238__bin.36	0.9940750516700474	0.9929750489003387	0.9933520634900959	0.9939410649904544	0.9905040712518468	1.0	0.9926623267886298	0.9937227820996906	0.9929340059744786	0.9914267664486515	0.9934308504145174	0.99310805513902	0.9931672936992086	0.9933298139105187	0.993932490399399	0.9953980329381761	0.9941049770574207	0.9936916115952449	0.9941220099325541	0.9900164320771443	0.9937179486055424	0.9921161489171871	0.9938651459409937	0.9922274945662126	0.9941616578325452	0.9926186610647239	0.994162581070289	0.9940604199541261	0.9933524664981979	0.9936411513727854	0.9934618016809798	0.9944823343462088	0.993269130926799	0.9939587163630286	0.9938377787941086	0.9947753178810241	0.9939710669208853
LiJ_2014__MH0328__bin.2	0.9922258114528314	0.9914438098583567	0.9927169493292556	0.9924946566875773	0.9903375995708334	0.9926623267886298	1.0	0.9930441656380514	0.9931039660077924	0.9914884729153025	0.9919105337172704	0.9934730649016363	0.992067471781616	0.99279245088832	0.9925982167898164	0.9936017462668585	0.9927553710634057	0.9921920396729994	0.9920230779139294	0.9906559203838914	0.9918905085643933	0.9925616960665699	0.9924344885883347	0.9925123856964313	0.9924206218105187	0.993064384652492	0.9934156253692464	0.9931080725163405	0.9921298552779554	0.9929734571604824	0.9930204819501649	0.9926452652901063	0.9922951145113124	0.9923437355500981	0.9923622388571502	0.9929075313449034	0.9925195289573409
LiJ_2014__MH0395__bin.62	0.9926937350180395	0.9949367727429744	0.9939770139818008	0.9931563373973274	0.9905257979504833	0.9937227820996906	0.9930441656380514	1.0	0.991961368378233	0.9906577557947402	0.9937758110556885	0.9921247613696249	0.9940707748989245	0.9946791081290121	0.9915094365083434	0.9957835743704512	0.9945612624663003	0.9905084252350784	0.9931431754324735	0.9894511868811287	0.9928492705770157	0.9920250989329666	0.9938836223871245	0.9916234941765071	0.9933582137864305	0.9909507976624279	0.9970807804685914	0.9951365620963647	0.9922280069511709	0.9948170240488683	0.9940390762892964	0.9935513299261844	0.993180050470524	0.9940158501930919	0.9938673734880589	0.9941142810430802	0.9940737327274916
XieH_2016__YSZC12003_37651__bin.23	0.9920847143990077	0.9927677534374069	0.9939652391480522	0.9927601268473644	0.9915118609826544	0.9929340059744786	0.9931039660077924	0.991961368378233	1.0	0.9910122153113978	0.9928325128215669	0.9928934491570823	0.9922078161597905	0.9937544100789814	0.9924946469750341	0.994702789068467	0.9945747024672701	0.9934486133406527	0.9931481355945211	0.9907598190529359	0.9927479059002985	0.9927662289084397	0.9930132981734157	0.9926466024566808	0.9921255076178871	0.9941547010486663	0.9927034810028958	0.9927766104126706	0.9926520858574219	0.9923368300988146	0.9950268469503	0.9928370799283708	0.9932629838169863	0.9931647840239841	0.9929918082439447	0.9919831628275875	0.9919830915127192
HMP_2012__SRS022524__bin.26	0.9915366160530779	0.9913963010430616	0.9907641196013289	0.9905713532587234	0.9907077621933595	0.9914267664486515	0.9914884729153025	0.9906577557947402	0.9910122153113978	1.0	0.9914134091172718	0.991292220459435	0.9904491303918251	0.9915850312792256	0.9906898372859191	0.9926048268885356	0.9917387513229123	0.990217382323537	0.9914810269283739	0.9901323021021398	0.9910105148094849	0.9951334347933954	0.9905979066619396	0.9951060292457258	0.9915799405878049	0.9908847541514408	0.9918841439603319	0.9921556735977431	0.9910864429239032	0.9920275387531281	0.9914247633894847	0.9918756969742026	0.9916487831012551	0.9910719468618112	0.9905404288909616	0.9906010823651566	0.9911074754984442
