	YuJ_2015__SZAXPI003420-4__bin.42	LeChatelierE_2013__MH0445__bin.27	NielsenHB_2014__O2_UC51_2__bin.22	FengQ_2015__SID530167__bin.19	CosteaPI_2017__mickey3-11-7-0__bin.1	LiJ_2014__MH0238__bin.36	LiJ_2014__MH0328__bin.2	LiJ_2014__MH0395__bin.62	XieH_2016__YSZC12003_37651__bin.23	HMP_2012__SRS022524__bin.26	KarlssonFH_2013__S463__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.51	BackhedF_2015__SID582_M__bin.20	KarlssonFH_2013__S131__bin.32	ZeeviD_2015__PNP_Main_712__bin.62	FengQ_2015__SID530295__bin.40	CosteaPI_2017__SID713B016-11-90-0__bin.47	ZeeviD_2015__PNP_Validation_72__bin.26	LeChatelierE_2013__MH0196__bin.15	LeChatelierE_2013__MH0302__bin.32	LiJ_2014__MH0402__bin.5	HMP_2012__SRS019685__bin.21	NielsenHB_2014__MH0102__bin.6	HMP_2012__SRS014235__bin.79	KarlssonFH_2013__S60__bin.40	KarlssonFH_2013__S88__bin.42	KarlssonFH_2013__S487__bin.25	KarlssonFH_2013__S424__bin.23	XieH_2016__YSZC12003_37583__bin.2	BackhedF_2015__SID599_M__bin.5	XieH_2016__YSZC12003_37314__bin.5	XieH_2016__YSZC12003_37097__bin.7	XieH_2016__YSZC12003_36695__bin.83	LiJ_2014__MH0309__bin.19	LeChatelierE_2013__MH0102__bin.23	ZeeviD_2015__PNP_Main_564__bin.29	XieH_2016__YSZC12003_35698__bin.36
YuJ_2015__SZAXPI003420-4__bin.42	1.0	0.8257885125201144	0.8322258367002003	0.8258934256375824	0.6346918014378162	0.8251134508746136	0.6760637466572511	0.793725616744423	0.5647972355031778	0.7344207638253782	0.8118915039186859	0.8046011275627742	0.8192752167722068	0.799615222097452	0.8289416943540825	0.5767363482710319	0.8192173336729142	0.7870213067688496	0.8268673087831816	0.6392790370567601	0.8086536680520021	0.7894965328023523	0.8168766858452668	0.7101047973512694	0.8247350401129878	0.8092788055243629	0.7820165892962573	0.8214870747039279	0.8506840335258912	0.8340361306305785	0.8211180699459372	0.835952784755907	0.8216694064666998	0.8403338118336209	0.824909412949607	0.8362501591785231	0.7987585522279205
LeChatelierE_2013__MH0445__bin.27	0.8699720939734111	1.0	0.8573842730750674	0.8799149022450593	0.7119276348937383	0.8884574545526612	0.7400791064583281	0.8715949273688679	0.6065631376710017	0.7871641424708992	0.8789849554425899	0.8718525683682407	0.8594133865079965	0.8803554835990162	0.8615591244169729	0.6096174793410795	0.875909270731144	0.8438764146434607	0.9015338786480402	0.7054690781254407	0.8789498918746279	0.8547369736939392	0.8508380573868647	0.7730746861620105	0.8691709676706281	0.8901946256697332	0.8565435096954576	0.901716056751147	0.8642994184783479	0.8867507734946867	0.8995649830818284	0.8824836897240115	0.8553300053433829	0.9029730094374355	0.8572379207913999	0.8676205481655275	0.836044280712827
NielsenHB_2014__O2_UC51_2__bin.22	0.9105796611538124	0.8904627963479154	1.0	0.8753040962848201	0.6788347402445754	0.8881353168103397	0.7236260547876017	0.8580965809008929	0.6000622244529433	0.7908973383609003	0.8845736397900835	0.8640403619784843	0.8713172980020885	0.8628307059467102	0.8904445881746623	0.6194499706690079	0.8973351942614172	0.8477567134722274	0.8979788136029304	0.6935699023646084	0.8619955049561856	0.8386502518665356	0.8663037170798207	0.7599616520038095	0.890180965492345	0.8724794544514629	0.8520419674643693	0.8904279633208225	0.9184693417903701	0.8894605551592859	0.8780796552163646	0.9059041189262879	0.8767385836732853	0.9095354620007299	0.8778041576384474	0.9085260958747404	0.8589792814738171
FengQ_2015__SID530167__bin.19	0.8756076325630453	0.8855023492185252	0.8481403777926935	1.0	0.6803912167993097	0.8738187745709081	0.7241729791926359	0.8640721066257551	0.5854689807268194	0.7754415571962796	0.8698881963754913	0.8626215361012561	0.8475136638220347	0.8576922044299549	0.8584470227250934	0.6212760571483363	0.874278262537156	0.8437840636686162	0.8888361300220539	0.6926010163965864	0.9023285070476557	0.847294275577716	0.8390672164157638	0.7685223894908428	0.8687544347492568	0.864744846102215	0.8422514143254387	0.8826142487295043	0.8579898360341356	0.8724656247003548	0.882369546456995	0.8643313836417682	0.8443310000958865	0.8912110461213922	0.8477637357368875	0.8795942084571867	0.825450570524499
CosteaPI_2017__mickey3-11-7-0__bin.1	0.8044718917912603	0.8565394149545447	0.7863851336789522	0.8134318160766905	1.0	0.8275512627807313	0.7381482762004419	0.8069351831557092	0.5761240486385408	0.7984438895058835	0.8206988007274321	0.8266057477409894	0.825811551791022	0.8045663515866952	0.8105714267372578	0.6133146125635196	0.8256446422495738	0.782428827295396	0.8265543909590053	0.763072822999768	0.8092425700034207	0.8538936235969741	0.8227154715056983	0.7876287014712801	0.8016995426495148	0.8615155202946412	0.8024478843298536	0.826188473887369	0.8152338888730946	0.8142195924289098	0.8383719533276902	0.8056631857162115	0.8289021295639901	0.8409590512201363	0.8267084613049575	0.8070754972207728	0.7802947695868806
LiJ_2014__MH0238__bin.36	0.8970736193085589	0.9168843693779799	0.8825042537575842	0.8960871723348036	0.7098414211758857	1.0	0.7461039671058479	0.8856578948403474	0.6225668231294282	0.7937932504686409	0.8962523668040927	0.90285227917236	0.8821486923284476	0.8880925466615378	0.8909472644189206	0.6312529056527187	0.8942259813141457	0.8567197570225348	0.9014890314805594	0.7203934145618138	0.89156713699892	0.8659824469076776	0.8738433437248521	0.784291421923194	0.8898318084310538	0.8950456605379518	0.873494862058685	0.9177583267845526	0.9023063507833757	0.9130597240937707	0.9055433757411135	0.9003090709856368	0.8879257789115887	0.9356071958710822	0.880341779490556	0.903446979261801	0.862833525666894
LiJ_2014__MH0328__bin.2	0.6588978374631462	0.6846554869427679	0.644566720470939	0.6657132803470551	0.5675786596601234	0.6688294150706965	1.0	0.6626274678214488	0.46642733285240917	0.6192787124771614	0.6789302328533259	0.6706254764287221	0.6487293236104853	0.653019562048737	0.6563740433522811	0.49431599820323346	0.6646308483939459	0.6309351295357248	0.6734158238153364	0.571103791473539	0.657316146993554	0.6722290270875951	0.6457633895422265	0.6227149931986605	0.654544839126636	0.6692172571385858	0.6462245690193166	0.6673922839173178	0.6631577537033628	0.662888379758029	0.6763154721483559	0.6600331569709675	0.6556075263926527	0.6810076560024202	0.648953566842465	0.6619152487513248	0.6320154459866455
LiJ_2014__MH0395__bin.62	0.8148289275578047	0.8493256708566659	0.8051104470694146	0.8366821386896393	0.6535618706366556	0.8362721263669863	0.6979672450662965	1.0	0.5614970203542893	0.747710950225841	0.8497275126439036	0.844609043594263	0.8212814222079609	0.8320093352080998	0.8186497670283243	0.5899364258067105	0.8527320413488514	0.7986222991738104	0.8370015323467783	0.6578283756752762	0.8196881678019997	0.8069904129908542	0.8116921847343203	0.7299147813156197	0.8434027754566029	0.8859460105875284	0.8498968655597819	0.8486772274550788	0.8278490471298766	0.8438595826639065	0.8416609658612746	0.8235104928244129	0.8147323666847162	0.8467645793919785	0.8177138693353121	0.831026642630437	0.7915421588485784
XieH_2016__YSZC12003_37651__bin.23	0.8546593806762132	0.8712444613297626	0.8298890568905054	0.8356393106264733	0.6878100533091879	0.8665069617266526	0.724192561238779	0.8276599029288849	1.0	0.7792644886795985	0.8461117357948915	0.8482182643912363	0.8246325892236391	0.8295781139999846	0.8307682369647594	0.6202741333835514	0.8560422006435642	0.7846359176264109	0.8501375703316688	0.6975620544566108	0.8265770771587265	0.8485204483270944	0.8163444283741956	0.7704715930677253	0.8254635950472491	0.8489441627588955	0.8103357854756824	0.8545641270442579	0.8441179787398273	0.8458555363710119	0.8633197970988151	0.8370943919697903	0.8285719290831236	0.8668584147824877	0.8166159559687349	0.8380567821133388	0.8021483526048584
HMP_2012__SRS022524__bin.26	0.6318044682687933	0.6427862288237136	0.6218435141135822	0.6292182179085545	0.5419187301168387	0.6281028001839941	0.5466300006286674	0.6265784374566234	0.44301877350111074	1.0	0.638400495962524	0.6335485533492721	0.6177329010259727	0.6157404612177597	0.6129942430253714	0.4488946347287051	0.6491886767672556	0.5967833394436481	0.6421351535224357	0.5410597588780591	0.6150987225603817	0.6691080953059712	0.6121906692070637	0.6083894102540003	0.617490770727505	0.6400288066586455	0.6118489480403317	0.6374525153852331	0.6540904148146397	0.6346390733567663	0.6412680905256095	0.6228344432528121	0.6175243826455443	0.6482512777197177	0.6193854869962336	0.6270944426428179	0.5957818287746651
