	BritoIL_2016__W3.20.ST__bin.21	BritoIL_2016__W2.61.ST__bin.18	Obregon-TitoAJ_2015__HCO74__bin.29	BritoIL_2016__W2.23.ST__bin.47	Obregon-TitoAJ_2015__SM31__bin.16	CM_madagascar__A47_01_1FE__bin.7	BritoIL_2016__W1.5.ST__bin.49	CM_madagascar__A46_02_1FE__bin.13	CM_madagascar__A04_04_1FE__bin.47	BritoIL_2016__WL.43.ST__bin.74	Obregon-TitoAJ_2015__SM43__bin.39	BritoIL_2016__W1.42.ST__bin.78	BritoIL_2016__WL.26.ST__bin.47	BritoIL_2016__W1.40.ST__bin.10	SmitsSA_2017__TZ_29321__bin.1	DavidLA_2015__LD-Run2-11__bin.7	BritoIL_2016__WL.28.ST__bin.21	CM_madagascar__A62_01_1FE__bin.65	BritoIL_2016__W1.22.ST__bin.59	BritoIL_2016__W1.9.ST__bin.49	BritoIL_2016__M1.48.ST__bin.96	CM_madagascar__V32_02_2FE__bin.3	RampelliS_2015__H24__bin.33	BritoIL_2016__W2.5.ST__bin.71	BritoIL_2016__WL.2.ST__bin.57	RampelliS_2015__H20__bin.18	BritoIL_2016__W1.21.ST__bin.42	RampelliS_2015__H10__bin.78	CM_madagascar__A40_02_1FE__bin.22	Obregon-TitoAJ_2015__HCO11__bin.31	CM_madagascar__A72_02_1FE__bin.10	BritoIL_2016__M1.24.ST__bin.70	CM_madagascar__A13_03_1FE__bin.44	BritoIL_2016__M2.37.ST__bin.7	BritoIL_2016__W2.39.ST__bin.74	RampelliS_2015__H8__bin.12	BritoIL_2016__W2.63.ST__bin.39	RampelliS_2015__H1__bin.43	CM_madagascar__A48_01_1FE__bin.10
BritoIL_2016__W3.20.ST__bin.21	1.0	0.8829457153423766	0.9523632453697966	0.9415030891536496	0.7688521005337873	0.9234941950515094	0.8971041262950411	0.9039707036780629	0.8706858414882758	0.7449520982160402	0.9044705308547548	0.753878447270752	0.956413256303516	0.8790156226224198	0.675126443175394	0.8825103819949353	0.9615616777666594	0.9351343235151556	0.935395321980404	0.9372898282146395	0.8987537575213409	0.9473014874897087	0.9413025536533236	0.7561740245056398	0.9132789771278681	0.7387717754848878	0.9521566635729782	0.8463636061321539	0.9303043403339369	0.8736898431288375	0.9072266343391348	0.9537821096133091	0.8654688953315538	0.7580050446267067	0.9311276443729639	0.9265364899031887	0.9443126015903776	0.9062158951088485	0.7072494087225889
BritoIL_2016__W2.61.ST__bin.18	0.7612380538662034	1.0	0.9651711555169419	0.954905299739357	0.8076637706342311	0.9369478714161599	0.9337202432667245	0.9296915725456125	0.9269956559513466	0.7633423110338835	0.9373883579496091	0.7541972198088619	0.9830060816681147	0.9146029539530842	0.6959452649869678	0.8996542137271938	0.9582224152910512	0.9528731537793224	0.9144969591659428	0.9230243266724587	0.8414022589052997	0.9734248479582971	0.9688279756733275	0.7849669852302346	0.9521016507384883	0.7106177237185056	0.9633857515204169	0.877931364031277	0.9452554300608167	0.9209200695047786	0.9413683753258035	0.9695725456125109	0.8894291920069505	0.7275907906168549	0.9809678540399652	0.9559687228496959	0.9860990443092962	0.9229070373588184	0.7047880104257168
Obregon-TitoAJ_2015__HCO74__bin.29	0.39772836309829424	0.467521711391263	1.0	0.8865970140208705	0.7299206454751592	0.891901764687068	0.5252528015648699	0.8827681666142013	0.5362217044894056	0.5870046444449307	0.8942130451835978	0.5578106298702282	0.8861134631668078	0.7001719572488861	0.5559614371350222	0.77448139276113	0.893907090900827	0.8973045722279364	0.5491689995505376	0.5174292938389982	0.4583510789622973	0.9261151970480251	0.9165809545773623	0.6158506202412956	0.8623765451322547	0.4065345437956511	0.8995451507719139	0.754413821895048	0.8928676038603266	0.5963781241425284	0.8878187269271753	0.8768283609099005	0.7834146686350989	0.4465455362658932	0.89536700205204	0.874970751275581	0.9001890435540861	0.5198525190937356	0.5627265197973884
BritoIL_2016__W2.23.ST__bin.47	0.40388175089461487	0.47512326621092243	0.9106988932626575	1.0	0.7396456815110627	0.9108748334620104	0.5315862370670984	0.901337318429282	0.5433236530199897	0.6011154695096067	0.9106444252893936	0.573915201146767	0.9303467016183904	0.7167198521929412	0.5560899084678678	0.8050543685475986	0.9512844499123757	0.9329002120792673	0.5717325916466879	0.5261489500217439	0.46545520095656134	0.9494563145240148	0.9386885149523232	0.630577887904911	0.9085651320243152	0.4006443647694232	0.9400104440177306	0.7799364194483518	0.9177352043802626	0.6055178650629451	0.911304092965591	0.9236060737842187	0.7956543203045364	0.46320169663413857	0.9421818140947552	0.8772352402599592	0.9490404558709991	0.5144145600673674	0.575507308650984
Obregon-TitoAJ_2015__SM31__bin.16	0.3978986026495109	0.48481240541000037	0.9045265519539647	0.8923204654427725	1.0	0.8824085286672236	0.5388675588765707	0.8805680980200116	0.55510705162906	0.6039788556474468	0.9011857192177675	0.5756730427236496	0.8858906922918863	0.7103019265851225	0.5682403939324719	0.7853820053966496	0.8970584400616223	0.9003971867330453	0.5616338267919557	0.5296893953854162	0.4709875326338758	0.9211118099428105	0.9149219342409801	0.648255058967836	0.881654416251279	0.41636027590292707	0.9086188895251387	0.7713798171147013	0.8906109353601539	0.6204931874339631	0.8924962164000154	0.8892419553519556	0.789989079450906	0.4583470231334153	0.8990506319211717	0.8750165581391468	0.9039758308535238	0.5204418702405128	0.573264680941608
CM_madagascar__A47_01_1FE__bin.7	0.3873117586995036	0.4557801997538578	0.8956938640267239	0.8905385712933285	0.7150997078751978	1.0	0.521801588428612	0.8880391122651844	0.5369378119040856	0.5878813006315846	0.8998555436090937	0.5518555334658715	0.894879447802978	0.7105766759984312	0.5421235343043779	0.7783401631030146	0.8983797047646096	0.9099810152689306	0.5507685181428436	0.5106922242057857	0.4614595589726944	0.9760248035595949	0.9352338350847297	0.6106777701140098	0.8670696906993414	0.40639961252890816	0.9055987206015607	0.7637537868029916	0.9160196136108519	0.5945855479368686	0.8989003901759511	0.891468366670724	0.7841370146468131	0.44795597165307477	0.9046866758631883	0.8845625228222501	0.909964532532695	0.5119597043588807	0.5724885381588023
BritoIL_2016__W1.5.ST__bin.49	0.6728931909091184	0.8123320100741045	0.9433822929169853	0.929489582734944	0.7810084081886869	0.9332159734420966	1.0	0.9181184221267488	0.8647184118470501	0.7314715993094462	0.9272250256236603	0.7171790390900652	0.9248244136792553	0.8915695890237008	0.6707208487402835	0.8768968311317645	0.9295379577867204	0.9153459269718125	0.8304084063746224	0.8743820842995746	0.8169835736464811	0.956844162794143	0.9389030654665622	0.767178434401918	0.9030397673160009	0.7037330422767718	0.9770762723394477	0.8439148720026365	0.9428743548733329	0.8903352693432179	0.917679267359841	0.9297677392826584	0.8750600908846285	0.6657820582979843	0.9210889526498945	0.9320829390262707	0.9298969913741235	0.9015333379692758	0.692881157614989
CM_madagascar__A46_02_1FE__bin.13	0.3888198510082107	0.46381680606924597	0.9091945020321988	0.9037513214601663	0.7318589905019577	0.9107509968111579	0.5264892352196929	1.0	0.5392961834886721	0.6020613694986838	0.9074074154341346	0.5634814510120251	0.9029789255548183	0.7012314556715401	0.564343569674055	0.7981285653417896	0.9116269856577955	0.9145236870244857	0.5498995061780836	0.5098133723316691	0.45656573362223773	0.9481515161628828	0.9452491800336958	0.6260273147279255	0.885635126589274	0.39892081294885756	0.9213196440390498	0.7788485752936469	0.9112598592089574	0.5905495497174601	0.920829853145086	0.8999296521574423	0.7955131686566769	0.4508265112974821	0.9177918492727039	0.8844119496841716	0.9171005072586577	0.5153523438661493	0.5813787570320752
CM_madagascar__A04_04_1FE__bin.47	0.6297638510378849	0.7776916892679374	0.9287026785512543	0.9160989319760666	0.7758243055803575	0.9260058324762951	0.8338494999537163	0.9068793627862939	1.0	0.7230222460646091	0.9024281090079762	0.6939611785363123	0.9270175141930636	0.8642363953226484	0.6489092715381425	0.8550263015380041	0.9332195312881522	0.9430637483390708	0.8093213204633035	0.8302269796854603	0.7479673433806643	0.9617733002034297	0.9456097168092958	0.7409074376828115	0.9178730193669992	0.6409506601077426	0.9482365906617696	0.845480195309966	0.9278294835248215	0.8613376502307261	0.9248323399950291	0.9431038365915364	0.8439371620286988	0.6123728382409858	0.9273039629788633	0.9353201557173502	0.9371525532936872	0.8226590464972707	0.6653804411602853
BritoIL_2016__WL.43.ST__bin.74	0.49323118844184566	0.5862124412691339	0.9306358612904044	0.9277855544420618	0.7727060434244782	0.9280797925787938	0.6456785691886633	0.9267633938400813	0.6618469881624194	1.0	0.9255624218534201	0.6322023290850062	0.9194548120945886	0.7650458437695575	0.6180328612623817	0.8441999057904197	0.9391947883153432	0.9330431429170009	0.655880159008691	0.6297183186925952	0.5846585169597261	0.9572927689476682	0.9494404137748818	0.7167921237588288	0.9221810185043094	0.5021644184026272	0.9313157448761864	0.8296708135784562	0.9344195902550465	0.6918572764891052	0.9272104223017829	0.9294956051097355	0.8540318631212194	0.5280260157220578	0.9304323632593311	0.9112775272787442	0.9406933344720327	0.6303561682588442	0.6389991633228493
