	BritoIL_2016__W3.20.ST__bin.21	BritoIL_2016__W2.61.ST__bin.18	Obregon-TitoAJ_2015__HCO74__bin.29	BritoIL_2016__W2.23.ST__bin.47	Obregon-TitoAJ_2015__SM31__bin.16	CM_madagascar__A47_01_1FE__bin.7	BritoIL_2016__W1.5.ST__bin.49	CM_madagascar__A46_02_1FE__bin.13	CM_madagascar__A04_04_1FE__bin.47	BritoIL_2016__WL.43.ST__bin.74	Obregon-TitoAJ_2015__SM43__bin.39	BritoIL_2016__W1.42.ST__bin.78	BritoIL_2016__WL.26.ST__bin.47	BritoIL_2016__W1.40.ST__bin.10	SmitsSA_2017__TZ_29321__bin.1	DavidLA_2015__LD-Run2-11__bin.7	BritoIL_2016__WL.28.ST__bin.21	CM_madagascar__A62_01_1FE__bin.65	BritoIL_2016__W1.22.ST__bin.59	BritoIL_2016__W1.9.ST__bin.49	BritoIL_2016__M1.48.ST__bin.96	CM_madagascar__V32_02_2FE__bin.3	RampelliS_2015__H24__bin.33	BritoIL_2016__W2.5.ST__bin.71	BritoIL_2016__WL.2.ST__bin.57	RampelliS_2015__H20__bin.18	BritoIL_2016__W1.21.ST__bin.42	RampelliS_2015__H10__bin.78	CM_madagascar__A40_02_1FE__bin.22	Obregon-TitoAJ_2015__HCO11__bin.31	CM_madagascar__A72_02_1FE__bin.10	BritoIL_2016__M1.24.ST__bin.70	CM_madagascar__A13_03_1FE__bin.44	BritoIL_2016__M2.37.ST__bin.7	BritoIL_2016__W2.39.ST__bin.74	RampelliS_2015__H8__bin.12	BritoIL_2016__W2.63.ST__bin.39	RampelliS_2015__H1__bin.43	CM_madagascar__A48_01_1FE__bin.10
BritoIL_2016__W3.20.ST__bin.21	1.0	0.8841539669247428	0.9571549353398976	0.9423314317730865	0.7725937503464024	0.9280440331619209	0.9003318409058159	0.9080640464033102	0.8750290978018689	0.7462842988764974	0.9089316899499468	0.7555452096704466	0.9585617069904256	0.8817414946243386	0.6784055513063527	0.8866611645368587	0.9629372102186442	0.9392447974137974	0.9368867417818234	0.9414920042767471	0.9010473193240643	0.9518855879469095	0.94632904147054	0.7574467699172565	0.9151442595957244	0.7422232030658754	0.9556967701691854	0.850680661827614	0.9343231120691132	0.8775282336853285	0.9118591051682735	0.9555768519554226	0.8695078213883708	0.7595256881945053	0.9332851645046119	0.9325324005913278	0.9458352605903403	0.9105037270379295	0.7103461202426984
BritoIL_2016__W2.61.ST__bin.18	0.7622797567332754	1.0	0.9694708948740226	0.9562093831450912	0.8115291051259774	0.9416542137271937	0.9376933101650738	0.9343431798436143	0.9319661164205039	0.7648940052128583	0.9423675065160729	0.7556750651607298	0.9852719374456994	0.9178983492615117	0.6994361424847958	0.9038105994787141	0.959244135534318	0.9570434404865334	0.9154404865334492	0.9270842745438749	0.843501303214596	0.9782258905299739	0.974139009556907	0.7864231103388358	0.9545907906168549	0.7140278019113814	0.9674726324934839	0.8825716768027801	0.9495942658557776	0.9249270199826238	0.9459400521285838	0.971984361424848	0.8933284100781929	0.7290582102519548	0.9837028670721112	0.9618279756733276	0.9878731537793223	0.9272554300608167	0.7079782797567333
Obregon-TitoAJ_2015__HCO74__bin.29	0.3997294808624965	0.4696044730768648	1.0	0.8923150344335343	0.7344695586009767	0.8978163196940289	0.5273856438001963	0.8888977733935085	0.5394887238802578	0.5900919630397126	0.9005328738828671	0.5609854842157891	0.8918975562375114	0.70428403331072	0.5591068323336863	0.7799161845186291	0.8997080177697574	0.9029358985797324	0.5523888843063549	0.5200204362310472	0.4602183680305971	0.932509094459492	0.9238455802021066	0.6191125894926798	0.8678698343385917	0.40849568128906494	0.9051924692320253	0.7592097710098428	0.8983789893997572	0.599013034409967	0.8935948239437213	0.8826427548174122	0.78796905274534	0.4490807062788384	0.9011123773868221	0.882228222536079	0.9056979040237828	0.5224083105095085	0.5659396710339151
BritoIL_2016__W2.23.ST__bin.47	0.40423708957733717	0.4757721267495675	0.9165723563796262	1.0	0.7445737362349489	0.9167988739827242	0.5336387286310469	0.9070352736324	0.5464521031986533	0.6027438889959996	0.9175307333377715	0.5757282065425546	0.9336134831577245	0.7198573803671487	0.5593437214421391	0.8102270968656707	0.9537865183985033	0.9386396666905865	0.5727463011491013	0.5285619676944399	0.46671401633866283	0.9558701345186026	0.9457996114617907	0.6323740341661169	0.9115457405612623	0.40268907519433395	0.945619348407417	0.785508147284858	0.9234240815878365	0.6086618775196841	0.9172553674729368	0.9266938891256853	0.8004271845331705	0.46411554818556805	0.9455847655672494	0.8847885648380702	0.9516877722858307	0.5167947240419041	0.5787006016549618
Obregon-TitoAJ_2015__SM31__bin.16	0.39983499227634517	0.4871326309553238	0.9101636204905799	0.8982657500498048	1.0	0.8881603307664306	0.5412592321404172	0.8866990423919653	0.5584817829178413	0.607327511126548	0.9074898069659961	0.579258466554645	0.8918271111236274	0.7142701433022197	0.5718529366055345	0.7909815247673255	0.9030037246686546	0.9060175667514652	0.5648489741254956	0.5325327016729197	0.4729870257201356	0.9274492747274296	0.9221079058725853	0.6520532614058199	0.8876189969574745	0.41846459374410033	0.9146147612029502	0.7768818129571742	0.8960070634153261	0.6234527918326392	0.8986349835148731	0.8951783741836967	0.7949643439378437	0.4607214863628731	0.9050319011455624	0.8822150461593983	0.9097114659507293	0.5229905198786328	0.5767327636290435
CM_madagascar__A47_01_1FE__bin.7	0.38921995239447665	0.45806960955356296	0.9016335659512313	0.8963303512259775	0.7197609411557864	1.0	0.5241581970760472	0.8932687886287716	0.5399030138894524	0.5914090288202756	0.9064532870802396	0.5553291644689685	0.9008935333576771	0.7146639719506093	0.5453672522687008	0.7834979916419849	0.9045243843064065	0.9149685222001326	0.5541749502982107	0.5133577784990736	0.4635461043264224	0.9764706827064822	0.942224205785694	0.6141133640334862	0.872678047362086	0.40822370200565317	0.9116423905546314	0.7692298589415886	0.9209192126154637	0.5977641802247738	0.90435955694405	0.8974520225585264	0.7883392671183782	0.4503641416805291	0.9107311910847838	0.8920803410827551	0.9158522504429207	0.5144354958683275	0.5750864709700978
BritoIL_2016__W1.5.ST__bin.49	0.6753142110784915	0.8157885586955668	0.9472129923295308	0.9330784068886073	0.7844747829925411	0.9374306498281174	1.0	0.9221418658862158	0.8693866043434749	0.7340241391508364	0.9319688041384857	0.7203884214313573	0.9285296403012556	0.8957381579384972	0.6733285663751062	0.8814622266431644	0.9339083413706466	0.9193754176127517	0.8342527112704801	0.877398722293945	0.8202692978663578	0.9614035114240708	0.9429786635787258	0.7703265920683056	0.9065719019558638	0.7060089372908157	0.9773786164130503	0.8477841202845663	0.9472190392110029	0.8932150966442831	0.921816846007093	0.9334434873574826	0.8788250304611654	0.6685931023223048	0.9246505658369337	0.9372961067153642	0.933602217996124	0.9047903395021603	0.6956823754569175
CM_madagascar__A46_02_1FE__bin.13	0.3905804975668662	0.46613746133144235	0.915507603245103	0.9094645371887823	0.7369545495722565	0.9161144238216953	0.5287964537405504	1.0	0.5422154239053498	0.6053399343853579	0.9145375572090935	0.5669737034303134	0.9089209993294632	0.7054120160009917	0.5673620685993324	0.8035088966398177	0.9178477634544041	0.9201606167377586	0.5531334264080513	0.5122289516697752	0.45844991151255665	0.9535769255608865	0.9520581403463299	0.6297120159576474	0.8915342894802886	0.40087044077279466	0.9272309433415962	0.7842661827128087	0.9170463268500334	0.59368334455229	0.9264186706555005	0.9062249821963178	0.8000123097888394	0.45303793885589183	0.9237126843271681	0.8917657481859316	0.9228085216680457	0.5177596877821444	0.584291062356449
CM_madagascar__A04_04_1FE__bin.47	0.6329053122765536	0.7818615964016784	0.9343609531674457	0.9213738171232233	0.780540870702266	0.9311196357362718	0.8383510462669455	0.9117883515200372	1.0	0.7264035079407539	0.9073815592580904	0.6974430254822799	0.9320963313417976	0.8687991673305524	0.6526797539018625	0.8593667659640533	0.9384616169560188	0.9479843991098951	0.8139023144041464	0.8347409169130879	0.7513631828031602	0.9670037238342154	0.9518474488929447	0.7444446793049134	0.9226143663177045	0.644242270073828	0.9540005524890067	0.8503899129210268	0.9327778316337129	0.8664361470670341	0.9302952754901154	0.9482555414720261	0.8480407413265422	0.6156972476863611	0.9318149846972207	0.9421584827106656	0.9421679581157938	0.8272356671742083	0.6687478543673965
BritoIL_2016__WL.43.ST__bin.74	0.49411323564538234	0.5874040723625654	0.935530489342708	0.93029892192748	0.7769901773835625	0.9336489665636055	0.6479317260769716	0.9318101450106954	0.6649421598547091	1.0	0.9311422711447799	0.6337315667480214	0.9214651057589276	0.7681476875284396	0.621390245171759	0.8484246583568301	0.9408074268107656	0.9378990729830676	0.6569076572639456	0.6320161784270737	0.5854164637246412	0.9630387526971829	0.9553685449423733	0.7185822392256133	0.923958457044568	0.5040432723550927	0.9358974530052989	0.834315906340198	0.9393682620467498	0.6949804708610836	0.9316747020588663	0.931403148948549	0.857931686044572	0.5292149779888523	0.9325914440086843	0.9178875436519957	0.9428630905279339	0.6327074045260631	0.6420136030093689
