	BritoIL_2016__W3.20.ST__bin.21	BritoIL_2016__W2.61.ST__bin.18	Obregon-TitoAJ_2015__HCO74__bin.29	BritoIL_2016__W2.23.ST__bin.47	Obregon-TitoAJ_2015__SM31__bin.16	CM_madagascar__A47_01_1FE__bin.7	BritoIL_2016__W1.5.ST__bin.49	CM_madagascar__A46_02_1FE__bin.13	CM_madagascar__A04_04_1FE__bin.47	BritoIL_2016__WL.43.ST__bin.74	Obregon-TitoAJ_2015__SM43__bin.39	BritoIL_2016__W1.42.ST__bin.78	BritoIL_2016__WL.26.ST__bin.47	BritoIL_2016__W1.40.ST__bin.10	SmitsSA_2017__TZ_29321__bin.1	DavidLA_2015__LD-Run2-11__bin.7	BritoIL_2016__WL.28.ST__bin.21	CM_madagascar__A62_01_1FE__bin.65	BritoIL_2016__W1.22.ST__bin.59	BritoIL_2016__W1.9.ST__bin.49	BritoIL_2016__M1.48.ST__bin.96	CM_madagascar__V32_02_2FE__bin.3	RampelliS_2015__H24__bin.33	BritoIL_2016__W2.5.ST__bin.71	BritoIL_2016__WL.2.ST__bin.57	RampelliS_2015__H20__bin.18	BritoIL_2016__W1.21.ST__bin.42	RampelliS_2015__H10__bin.78	CM_madagascar__A40_02_1FE__bin.22	Obregon-TitoAJ_2015__HCO11__bin.31	CM_madagascar__A72_02_1FE__bin.10	BritoIL_2016__M1.24.ST__bin.70	CM_madagascar__A13_03_1FE__bin.44	BritoIL_2016__M2.37.ST__bin.7	BritoIL_2016__W2.39.ST__bin.74	RampelliS_2015__H8__bin.12	BritoIL_2016__W2.63.ST__bin.39	RampelliS_2015__H1__bin.43	CM_madagascar__A48_01_1FE__bin.10
BritoIL_2016__W3.20.ST__bin.21	1.0	0.998633437582632	0.9949938199207012	0.9991209646717627	0.9951570281134975	0.9950973898351463	0.9964149722756364	0.9954922312567486	0.9950364435599871	0.9982148885318066	0.9950918653794131	0.9977939607341015	0.9977586725286001	0.9969085360975554	0.9951664485577331	0.9953186372563282	0.9985715242516462	0.99562363942823	0.9984081108901349	0.995536684280887	0.9974545600951967	0.9951841896597173	0.9946884354205113	0.998319689960846	0.997961761276107	0.9953498791647433	0.9962957847021074	0.9949251747580751	0.9956987345349122	0.9956259064846597	0.9949197515242403	0.9981218231286778	0.9953549284348381	0.9979979037030158	0.9976882519794545	0.9935702923733942	0.9983901435446461	0.9952907035943387	0.9956405596766665
BritoIL_2016__W2.61.ST__bin.18	0.998633437582632	1.0	0.9955648597809226	0.9986361947197748	0.9952369736743499	0.9950020482652485	0.9957629356472109	0.9950215216439207	0.9946666940121731	0.9979713605174053	0.9947163409900753	0.9980443375466497	0.9977002737097548	0.9964098472221039	0.9950090118514231	0.9954012646522207	0.9989348694399913	0.9956425314350505	0.9989693187253719	0.9956207348318861	0.9975115102948902	0.9950920921045386	0.9945479712531015	0.9981484202467373	0.9973924534964786	0.9952241660846436	0.9957757141279193	0.994742282249173	0.9954308529958837	0.9956678198481859	0.995167054410591	0.9975186680896784	0.9956351795966042	0.9979872394076835	0.9972196756523782	0.9939082112687252	0.9982041120732568	0.9953104694121737	0.9954938316298167
Obregon-TitoAJ_2015__HCO74__bin.29	0.9949938199207012	0.9955648597809226	1.0	0.9935919264026593	0.9938065327928876	0.9934122883743343	0.9959558204505573	0.9931042612966545	0.9939442304421968	0.9947680721173048	0.9929821232710586	0.9943405766550287	0.9935148459256868	0.9941613385121004	0.9943742501132827	0.9930315694617192	0.9935524339515057	0.993763315468292	0.9941709819887838	0.9950172296865314	0.9959426020384835	0.9931433404248213	0.9921365369057077	0.9947312180260183	0.9936703766060455	0.9951991230672864	0.9937611959311784	0.9936829723510862	0.9938651887405414	0.9956012471915007	0.9935361118240881	0.9934125172661565	0.9942200977381366	0.994354756333328	0.993624130043088	0.9917737031358672	0.9939175519284938	0.9951076746591565	0.9943224491920551
BritoIL_2016__W2.23.ST__bin.47	0.9991209646717627	0.9986361947197748	0.9935919264026593	1.0	0.9933813744911206	0.9935383422811387	0.9961537807249977	0.9937180445251049	0.994274978245392	0.9972983226937308	0.9924947385431689	0.9968509352587128	0.996500927205673	0.9956414586280864	0.9941828023636664	0.9936157055989825	0.99737669967245	0.9938853483237555	0.9982300898314321	0.9954347497168187	0.99730281213327	0.993290071775474	0.9924813920165638	0.9971596773995086	0.9967301602055517	0.9949223593316407	0.9940685388902705	0.9929068490813684	0.9938393666344592	0.9948345500632453	0.993511867339908	0.996667923056685	0.994037103785502	0.9980309826830794	0.99640122007417	0.9914631304265406	0.997218293129402	0.9953943725355376	0.994481960110555
Obregon-TitoAJ_2015__SM31__bin.16	0.9951570281134975	0.9952369736743499	0.9938065327928876	0.9933813744911206	1.0	0.9935239146582425	0.9955812795018967	0.9930856535545423	0.9939573117834755	0.994486244377618	0.9930532688082689	0.993810321233074	0.9933435317701188	0.9944443754869112	0.993682741764856	0.9929207962571274	0.9934161017893764	0.9937966103255902	0.9943079522477356	0.9946607855657099	0.9957726259336278	0.9931667801600453	0.9922070165694924	0.9941750119770968	0.9932802466749354	0.9949713359920239	0.9934443746895957	0.9929178470254958	0.9939775831290841	0.9952528813128314	0.9931687868517572	0.9933684514696253	0.9937415249817461	0.9948462068739126	0.9933910956985939	0.9918404383924428	0.993695105193369	0.9951267766025446	0.9939866730205982
CM_madagascar__A47_01_1FE__bin.7	0.9950973898351463	0.9950020482652485	0.9934122883743343	0.9935383422811387	0.9935239146582425	1.0	0.9955040126042459	0.9941454616682454	0.9945078988094446	0.9940350450926866	0.992721364062347	0.9937449152226343	0.9933243104406753	0.9942808143230977	0.994052231866088	0.9934169218121913	0.9932067286980786	0.9945489852271541	0.9938531466398218	0.994807609030331	0.9954987317674475	0.9995433768214612	0.992580990110379	0.9944056030682814	0.993573395503992	0.995531642411298	0.9933705694078203	0.9928810977954864	0.9946796646899171	0.9946824644348713	0.9939634996653918	0.9933326175245071	0.9946694873047163	0.9946528379935662	0.9933630084477552	0.9915727116557906	0.9935713234232069	0.9951873625958337	0.9954825353360981
BritoIL_2016__W1.5.ST__bin.49	0.9964149722756364	0.9957629356472109	0.9959558204505573	0.9961537807249977	0.9955812795018967	0.9955040126042459	1.0	0.9956368494823729	0.9946304757019462	0.9965225396478878	0.9949099385153662	0.9955449279224737	0.9960095763654909	0.9953462193411631	0.9961271246089238	0.9948206566618446	0.9953203292118453	0.9956171433739199	0.9953919180076705	0.9965618390844206	0.9959943347527167	0.9952576118396174	0.9956779529913262	0.9959132169409668	0.9961038560402737	0.9967763934791289	0.9996906581865764	0.9954360453453279	0.9954132210631145	0.9967758859966828	0.9955114959493588	0.996062163243294	0.9957159395260269	0.9957955832709662	0.996148152265699	0.9944380781572193	0.996031257691361	0.9964002693323665	0.9959734241648875
CM_madagascar__A46_02_1FE__bin.13	0.9954922312567486	0.9950215216439207	0.9931042612966545	0.9937180445251049	0.9930856535545423	0.9941454616682454	0.9956368494823729	1.0	0.9946160874663955	0.9945839276405859	0.9922035549893456	0.9938405389929736	0.9934624969837548	0.994073590703556	0.9946797660747232	0.9933039555373585	0.9932224296399699	0.9938739719884366	0.9941534536233542	0.9952841803841197	0.9958901117810177	0.9943104648900638	0.992848167539267	0.9941485931086795	0.9933831340413688	0.9951365138816956	0.9936247821052617	0.9930921318060381	0.9936901032459811	0.9947214371708656	0.9939672874830339	0.9930532371513107	0.9943761601201486	0.9951186702729699	0.9935901767346877	0.9917536656720451	0.993814519182083	0.9953504608937261	0.9950156599818104
CM_madagascar__A04_04_1FE__bin.47	0.9950364435599871	0.9946666940121731	0.9939442304421968	0.994274978245392	0.9939573117834755	0.9945078988094446	0.9946304757019462	0.9946160874663955	1.0	0.9953452016142789	0.9945409401375047	0.9950076969461987	0.9945511885650029	0.9947481855652286	0.9942230744232846	0.9949492293652059	0.9944141714768583	0.9948093546946084	0.994371567865369	0.9945924092899143	0.9954804287723723	0.9945911029069807	0.9934467102991097	0.9952484829021754	0.9948609656170554	0.9948907264875555	0.9939581147912349	0.9942265100556092	0.9946950410472079	0.9941155538656058	0.9941277402572982	0.994567176615185	0.9951611059494331	0.9946005777062222	0.9951588869116296	0.9927418506346819	0.994676740193822	0.9944675733185309	0.994964599609375
BritoIL_2016__WL.43.ST__bin.74	0.9982148885318066	0.9979713605174053	0.9947680721173048	0.9972983226937308	0.994486244377618	0.9940350450926866	0.9965225396478878	0.9945839276405859	0.9953452016142789	1.0	0.9940075223042987	0.9975869315286557	0.9978183724464712	0.9959619174681597	0.9945969800210667	0.9950204740930177	0.9982858994843514	0.9948225451906866	0.9984358558712283	0.9963642390607829	0.998705286216085	0.9940334864683048	0.9937949274142691	0.9975088231115848	0.9980762787258379	0.996272435214368	0.9951044763350942	0.9944324533112188	0.9947319150628733	0.9955060688711026	0.9952083278131112	0.9979519675867888	0.9954543899161337	0.9977533472856098	0.9976848589345056	0.9927986642601639	0.9976987580936206	0.9962838489791658	0.9953047105662719
