	BritoIL_2016__W3.20.ST__bin.21	BritoIL_2016__W2.61.ST__bin.18	Obregon-TitoAJ_2015__HCO74__bin.29	BritoIL_2016__W2.23.ST__bin.47	Obregon-TitoAJ_2015__SM31__bin.16	CM_madagascar__A47_01_1FE__bin.7	BritoIL_2016__W1.5.ST__bin.49	CM_madagascar__A46_02_1FE__bin.13	CM_madagascar__A04_04_1FE__bin.47	BritoIL_2016__WL.43.ST__bin.74	Obregon-TitoAJ_2015__SM43__bin.39	BritoIL_2016__W1.42.ST__bin.78	BritoIL_2016__WL.26.ST__bin.47	BritoIL_2016__W1.40.ST__bin.10	SmitsSA_2017__TZ_29321__bin.1	DavidLA_2015__LD-Run2-11__bin.7	BritoIL_2016__WL.28.ST__bin.21	CM_madagascar__A62_01_1FE__bin.65	BritoIL_2016__W1.22.ST__bin.59	BritoIL_2016__W1.9.ST__bin.49	BritoIL_2016__M1.48.ST__bin.96	CM_madagascar__V32_02_2FE__bin.3	RampelliS_2015__H24__bin.33	BritoIL_2016__W2.5.ST__bin.71	BritoIL_2016__WL.2.ST__bin.57	RampelliS_2015__H20__bin.18	BritoIL_2016__W1.21.ST__bin.42	RampelliS_2015__H10__bin.78	CM_madagascar__A40_02_1FE__bin.22	Obregon-TitoAJ_2015__HCO11__bin.31	CM_madagascar__A72_02_1FE__bin.10	BritoIL_2016__M1.24.ST__bin.70	CM_madagascar__A13_03_1FE__bin.44	BritoIL_2016__M2.37.ST__bin.7	BritoIL_2016__W2.39.ST__bin.74	RampelliS_2015__H8__bin.12	BritoIL_2016__W2.63.ST__bin.39	RampelliS_2015__H1__bin.43	CM_madagascar__A48_01_1FE__bin.10
BritoIL_2016__W3.20.ST__bin.21	0.0	1199.0	4755.0	822.0	3713.0	4515.0	3203.0	4062.0	4310.0	1322.0	4427.0	1654.0	2132.0	2705.0	3254.0	4119.0	1365.0	4079.0	1480.0	4170.0	2276.0	4549.0	4988.0	1263.0	1851.0	3425.0	3513.0	4284.0	3988.0	3809.0	4597.0	1781.0	4008.0	1509.0	2141.0	5950.0	1511.0	4255.0	3073.0
BritoIL_2016__W2.61.ST__bin.18	1199.0	0.0	4949.0	1501.0	4449.0	5417.0	4573.0	5354.0	5721.0	1786.0	5731.0	1701.0	2608.0	3793.0	4018.0	4784.0	1176.0	4800.0	1086.0	4673.0	2416.0	5526.0	6113.0	1676.0	2865.0	3925.0	4704.0	5341.0	4994.0	4612.0	5262.0	2776.0	4488.0	1689.0	3148.0	6744.0	2042.0	5005.0	3672.0
Obregon-TitoAJ_2015__HCO74__bin.29	4755.0	4949.0	0.0	13587.0	10809.0	14054.0	5068.0	14565.0	7763.0	7336.0	15017.0	7544.0	13744.0	9771.0	7474.0	12914.0	13784.0	13381.0	7651.0	6157.0	4437.0	15193.0	17262.0	7751.0	13053.0	4660.0	13419.0	11396.0	13096.0	6261.0	13725.0	13816.0	10822.0	6024.0	13652.0	17245.0	13090.0	6073.0	7635.0
BritoIL_2016__W2.23.ST__bin.47	822.0	1501.0	13587.0	0.0	11400.0	13704.0	4748.0	13181.0	7237.0	3767.0	15930.0	4194.0	7557.0	7258.0	7527.0	11966.0	5788.0	13277.0	2345.0	5582.0	2912.0	14837.0	16450.0	4155.0	6895.0	4730.0	12975.0	12889.0	13160.0	7273.0	13767.0	7143.0	11041.0	2114.0	7872.0	17473.0	6124.0	5506.0	7387.0
Obregon-TitoAJ_2015__SM31__bin.16	3713.0	4449.0	10809.0	11400.0	0.0	11029.0	4586.0	11756.0	6471.0	6421.0	12088.0	6875.0	11383.0	7609.0	6927.0	10737.0	11400.0	10777.0	6165.0	5452.0	3834.0	12152.0	13779.0	7283.0	11437.0	4035.0	11497.0	10550.0	10347.0	5675.0	11771.0	11383.0	9540.0	4553.0	11469.0	13803.0	10998.0	4887.0	6650.0
CM_madagascar__A47_01_1FE__bin.7	4515.0	5417.0	14054.0	13704.0	11029.0	0.0	5576.0	12374.0	7016.0	8347.0	15611.0	8219.0	14230.0	9671.0	7675.0	12204.0	14539.0	11801.0	8060.0	6307.0	4937.0	1055.0	16540.0	8129.0	13270.0	4316.0	14300.0	12957.0	11593.0	7521.0	12917.0	14158.0	9943.0	5698.0	14302.0	17788.0	13931.0	5858.0	6147.0
BritoIL_2016__W1.5.ST__bin.49	3203.0	4573.0	5068.0	4748.0	4586.0	5576.0	0.0	5323.0	6176.0	3377.0	6276.0	4246.0	4902.0	5515.0	3450.0	6040.0	5782.0	5331.0	5086.0	3991.0	4347.0	6032.0	5392.0	4165.0	4673.0	3011.0	400.0	5119.0	5748.0	3810.0	5474.0	4863.0	4981.0	3719.0	4712.0	6897.0	4902.0	4309.0	3706.0
CM_madagascar__A46_02_1FE__bin.13	4062.0	5354.0	14565.0	13181.0	11756.0	12374.0	5323.0	0.0	6735.0	7564.0	16450.0	8057.0	13709.0	9645.0	6964.0	12413.0	14352.0	13005.0	7461.0	5573.0	4347.0	12517.0	15709.0	8501.0	13610.0	4498.0	13638.0	12499.0	13350.0	7230.0	12894.0	14524.0	10380.0	5102.0	13660.0	16966.0	13169.0	5554.0	6719.0
CM_madagascar__A04_04_1FE__bin.47	4310.0	5721.0	7763.0	7237.0	6471.0	7016.0	6176.0	6735.0	0.0	4639.0	6796.0	4777.0	6968.0	6260.0	5173.0	5955.0	7192.0	6751.0	6285.0	6193.0	4659.0	7176.0	8558.0	4853.0	6505.0	4516.0	7908.0	6736.0	6789.0	6995.0	7495.0	7068.0	5630.0	4561.0	6189.0	9382.0	6881.0	6279.0	4620.0
BritoIL_2016__WL.43.ST__bin.74	1322.0	1786.0	7336.0	3767.0	6421.0	8347.0	3377.0	7564.0	4639.0	0.0	8363.0	2292.0	3013.0	4649.0	5032.0	6332.0	2417.0	7278.0	1540.0	3444.0	1136.0	8612.0	8885.0	2683.0	2664.0	2816.0	6867.0	6962.0	7417.0	4681.0	6691.0	2859.0	5845.0	1782.0	3236.0	9907.0	3252.0	3524.0	4518.0
Obregon-TitoAJ_2015__SM43__bin.39	4427.0	5731.0	15017.0	15930.0	12088.0	15611.0	6276.0	16450.0	6796.0	8363.0	0.0	8225.0	16048.0	9960.0	8877.0	13023.0	16643.0	16062.0	8124.0	7666.0	4705.0	16400.0	19252.0	9190.0	15343.0	5614.0	16591.0	14104.0	16061.0	9016.0	17665.0	15939.0	13176.0	6037.0	15776.0	19224.0	15694.0	6722.0	8324.0
BritoIL_2016__W1.42.ST__bin.78	1654.0	1701.0	7544.0	4194.0	6875.0	8219.0	4246.0	8057.0	4777.0	2292.0	8225.0	0.0	4022.0	4226.0	4950.0	6453.0	3061.0	7218.0	2349.0	4012.0	1924.0	8526.0	9172.0	2465.0	3569.0	3600.0	7511.0	7075.0	7655.0	5027.0	7691.0	3977.0	6414.0	2178.0	3709.0	10230.0	4031.0	4215.0	4546.0
BritoIL_2016__WL.26.ST__bin.47	2132.0	2608.0	13744.0	7557.0	11383.0	14230.0	4902.0	13709.0	6968.0	3013.0	16048.0	4022.0	0.0	7553.0	7568.0	10902.0	6368.0	13123.0	3348.0	5421.0	2162.0	15194.0	17056.0	3998.0	6324.0	4623.0	12956.0	12208.0	13654.0	7619.0	14212.0	7024.0	10149.0	2930.0	7140.0	18356.0	7340.0	5526.0	7078.0
BritoIL_2016__W1.40.ST__bin.10	2705.0	3793.0	9771.0	7258.0	7609.0	9671.0	5515.0	9645.0	6260.0	4649.0	9960.0	4226.0	7553.0	0.0	5484.0	8000.0	7182.0	8712.0	5140.0	5581.0	3121.0	10435.0	11130.0	4267.0	7381.0	4813.0	9243.0	8758.0	8992.0	7081.0	9737.0	7810.0	7194.0	4588.0	7606.0	12215.0	7389.0	5443.0	5805.0
SmitsSA_2017__TZ_29321__bin.1	3254.0	4018.0	7474.0	7527.0	6927.0	7675.0	3450.0	6964.0	5173.0	5032.0	8877.0	4950.0	7568.0	5484.0	0.0	7471.0	7720.0	7574.0	5182.0	3810.0	3046.0	8154.0	7642.0	4975.0	7245.0	2569.0	7278.0	6394.0	7567.0	4249.0	6369.0	7921.0	6736.0	3612.0	7197.0	8610.0	7179.0	3277.0	4921.0
