	XieH_2016__YSZC12003_37194__bin.73	XieH_2016__YSZC12003_35636__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.35	LeChatelierE_2013__MH0434__bin.13	ChengpingW_2017__AS67raw__bin.63	LiJ_2017__nHM410714__bin.28	RaymondF_2016__P1E7__bin.61	BackhedF_2015__SID566_M__bin.46	LeChatelierE_2013__MH0205__bin.54	VogtmannE_2016__MMRS81671217ST-27-0-0__bin.47	RaymondF_2016__P1E90__bin.38	LiJ_2014__O2.UC29-1__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.67	BritoIL_2016__W2.9.ST__bin.37	BritoIL_2016__W2.46.ST__bin.36	LiSS_2016__FAT_010-22-84-0__bin.59	QinN_2014__HD-9__bin.8	LeChatelierE_2013__MH0307__bin.65	SchirmerM_2016__G89151__bin.1	ZeeviD_2015__PNP_Main_467__bin.37	LeChatelierE_2013__MH0247__bin.68	CM_madagascar__A90_04_1FE__bin.34	QinN_2014__HD-35__bin.59	YuJ_2015__SZAXPI015269-94__bin.5	CosteaPI_2017__SID713A078-11-0-0__bin.39	NielsenHB_2014__O2_UC22_2__bin.37	CosteaPI_2017__SID713B057-11-0-0__bin.50	XieH_2016__YSZC12003_35666__bin.46	XieH_2016__YSZC12003_37203__bin.59	XieH_2016__YSZC12003_37100__bin.119	XieH_2016__YSZC12003_37102__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.63	Obregon-TitoAJ_2015__SM11__bin.19	LiJ_2014__O2.UC22-1__bin.34	LeChatelierE_2013__MH0229__bin.81	XieH_2016__YSZC12003_37138__bin.47	XieH_2016__YSZC12003_35388__bin.8	FengQ_2015__SID31881__bin.26	HeQ_2017__SZAXPI029560-51__bin.24	LiJ_2017__nHMX11726__bin.55
XieH_2016__YSZC12003_37194__bin.73	2038037.0	1841629.0	1598092.0	1061275.0	1628666.0	1348622.0	985310.0	1170447.0	1539339.0	1693272.0	1239342.0	1634465.0	1728190.0	1478585.0	1110342.0	987287.0	1591088.0	1668903.0	1397541.0	1341989.0	1218747.0	1505466.0	1608850.0	1622393.0	805729.0	1461762.0	918401.0	902992.0	1723898.0	1650863.0	1325968.0	1680914.0	1620421.0	1633887.0	1493023.0	1677449.0	932079.0	1453455.0	1506232.0	1578047.0
XieH_2016__YSZC12003_35636__bin.16	1841629.0	2165156.0	1616631.0	1072594.0	1664419.0	1410845.0	1004646.0	1208997.0	1627754.0	1806941.0	1299319.0	1754306.0	1836731.0	1536502.0	1123040.0	998016.0	1651379.0	1709329.0	1420336.0	1372227.0	1277322.0	1558746.0	1626995.0	1652979.0	840412.0	1534014.0	951374.0	939338.0	1794509.0	1684107.0	1368086.0	1695121.0	1678723.0	1710980.0	1500482.0	1710017.0	927780.0	1478643.0	1539262.0	1661327.0
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.35	1598092.0	1616631.0	1754101.0	933260.0	1465529.0	1243592.0	896834.0	1047486.0	1384938.0	1495057.0	1118735.0	1496629.0	1565778.0	1352224.0	980404.0	903647.0	1416503.0	1431026.0	1268034.0	1214113.0	1122583.0	1373655.0	1440488.0	1497636.0	764747.0	1297183.0	887837.0	813741.0	1530413.0	1482725.0	1266119.0	1628624.0	1511813.0	1458231.0	1442081.0	1477007.0	829032.0	1294570.0	1369446.0	1432387.0
LeChatelierE_2013__MH0434__bin.13	1061275.0	1072594.0	933260.0	1139551.0	950103.0	814873.0	595240.0	729599.0	971325.0	1016273.0	774626.0	1003678.0	1001237.0	902127.0	698632.0	611102.0	955464.0	1024864.0	872687.0	825914.0	766858.0	939016.0	933847.0	957301.0	513162.0	904946.0	556379.0	583335.0	979440.0	987031.0	821019.0	971706.0	967794.0	979349.0	886965.0	960429.0	613725.0	883719.0	915689.0	960600.0
ChengpingW_2017__AS67raw__bin.63	1628666.0	1664419.0	1465529.0	950103.0	2546288.0	1313211.0	989631.0	1113775.0	1435846.0	1695940.0	1316794.0	1572531.0	1635542.0	1618039.0	1177004.0	995458.0	1767800.0	1527594.0	1326122.0	1446832.0	1203318.0	1636563.0	1807168.0	1805818.0	844906.0	1604158.0	921871.0	841197.0	1628473.0	1723947.0	1398598.0	1549319.0	1823568.0	1787070.0	1571938.0	1574264.0	827762.0	1616677.0	1634617.0	1503143.0
LiJ_2017__nHM410714__bin.28	1348622.0	1410845.0	1243592.0	814873.0	1313211.0	1521087.0	837885.0	870890.0	1182487.0	1302828.0	1022128.0	1284474.0	1329393.0	1231198.0	919667.0	918068.0	1278247.0	1255851.0	1079366.0	1099386.0	998726.0	1245554.0	1288235.0	1309957.0	787240.0	1176897.0	891435.0	722257.0	1312910.0	1299877.0	1074474.0	1290404.0	1319019.0	1326691.0	1221751.0	1292264.0	732610.0	1143719.0	1230116.0	1263149.0
RaymondF_2016__P1E7__bin.61	985310.0	1004646.0	896834.0	595240.0	989631.0	837885.0	1173963.0	671260.0	877621.0	979466.0	915214.0	897316.0	977013.0	981002.0	721472.0	678726.0	1007281.0	930647.0	811910.0	892954.0	743898.0	981749.0	982055.0	1008530.0	606146.0	914907.0	606794.0	532688.0	974893.0	996940.0	887706.0	948883.0	1016601.0	984741.0	967387.0	914074.0	559744.0	908259.0	965529.0	933606.0
BackhedF_2015__SID566_M__bin.46	1170447.0	1208997.0	1047486.0	729599.0	1113775.0	870890.0	671260.0	1498219.0	1080973.0	1157530.0	888351.0	1162483.0	1233597.0	1007305.0	718927.0	622175.0	1093323.0	1199851.0	968489.0	880369.0	902160.0	1011334.0	1084211.0	1084243.0	533043.0	994465.0	612892.0	635551.0	1149453.0	1085879.0	904342.0	1096737.0	1125941.0	1077639.0	960113.0	1114317.0	618695.0	985667.0	988957.0	1086015.0
LeChatelierE_2013__MH0205__bin.54	1539339.0	1627754.0	1384938.0	971325.0	1435846.0	1182487.0	877621.0	1080973.0	1943773.0	1548457.0	1142537.0	1638813.0	1544705.0	1361490.0	1011436.0	849266.0	1422982.0	1532931.0	1246905.0	1231486.0	1127429.0	1384140.0	1411109.0	1417917.0	726352.0	1360714.0	811524.0	834953.0	1519099.0	1445100.0	1269534.0	1510758.0	1482077.0	1489548.0	1342830.0	1477976.0	814094.0	1285161.0	1354434.0	1425217.0
VogtmannE_2016__MMRS81671217ST-27-0-0__bin.47	1693272.0	1806941.0	1495057.0	1016273.0	1695940.0	1302828.0	979466.0	1157530.0	1548457.0	2455972.0	1308059.0	1684470.0	1779905.0	1585588.0	1126440.0	964404.0	1648242.0	1643900.0	1344962.0	1396371.0	1212448.0	1673894.0	1648586.0	1632558.0	799615.0	1495180.0	887043.0	882219.0	1750608.0	1684204.0	1404288.0	1597491.0	1703191.0	1676582.0	1477389.0	1654881.0	868754.0	1483452.0	1566952.0	1585943.0
