	XieH_2016__YSZC12003_37194__bin.73	XieH_2016__YSZC12003_35636__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.35	LeChatelierE_2013__MH0434__bin.13	ChengpingW_2017__AS67raw__bin.63	LiJ_2017__nHM410714__bin.28	RaymondF_2016__P1E7__bin.61	BackhedF_2015__SID566_M__bin.46	LeChatelierE_2013__MH0205__bin.54	VogtmannE_2016__MMRS81671217ST-27-0-0__bin.47	RaymondF_2016__P1E90__bin.38	LiJ_2014__O2.UC29-1__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.67	BritoIL_2016__W2.9.ST__bin.37	BritoIL_2016__W2.46.ST__bin.36	LiSS_2016__FAT_010-22-84-0__bin.59	QinN_2014__HD-9__bin.8	LeChatelierE_2013__MH0307__bin.65	SchirmerM_2016__G89151__bin.1	ZeeviD_2015__PNP_Main_467__bin.37	LeChatelierE_2013__MH0247__bin.68	CM_madagascar__A90_04_1FE__bin.34	QinN_2014__HD-35__bin.59	YuJ_2015__SZAXPI015269-94__bin.5	CosteaPI_2017__SID713A078-11-0-0__bin.39	NielsenHB_2014__O2_UC22_2__bin.37	CosteaPI_2017__SID713B057-11-0-0__bin.50	XieH_2016__YSZC12003_35666__bin.46	XieH_2016__YSZC12003_37203__bin.59	XieH_2016__YSZC12003_37100__bin.119	XieH_2016__YSZC12003_37102__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.63	Obregon-TitoAJ_2015__SM11__bin.19	LiJ_2014__O2.UC22-1__bin.34	LeChatelierE_2013__MH0229__bin.81	XieH_2016__YSZC12003_37138__bin.47	XieH_2016__YSZC12003_35388__bin.8	FengQ_2015__SID31881__bin.26	HeQ_2017__SZAXPI029560-51__bin.24	LiJ_2017__nHMX11726__bin.55
XieH_2016__YSZC12003_37194__bin.73	0.0	14375.0	10386.0	10732.0	33605.0	16367.0	20368.0	14903.0	16738.0	26744.0	23329.0	15417.0	15265.0	31475.0	22535.0	18710.0	33046.0	11773.0	8805.0	25633.0	19673.0	31740.0	33344.0	32451.0	16272.0	25770.0	24122.0	12794.0	14169.0	29612.0	30402.0	9793.0	34540.0	27646.0	30421.0	9626.0	9415.0	29646.0	30284.0	13376.0
XieH_2016__YSZC12003_35636__bin.16	14375.0	0.0	14014.0	14104.0	35652.0	20258.0	20911.0	18154.0	21196.0	29517.0	24995.0	19865.0	21158.0	33210.0	23283.0	19852.0	35014.0	16447.0	13196.0	26417.0	20583.0	33329.0	33886.0	33341.0	18314.0	26706.0	26059.0	15455.0	18923.0	31014.0	31270.0	14138.0	36371.0	29198.0	29759.0	15116.0	11063.0	31038.0	30809.0	19463.0
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.35	10386.0	14014.0	0.0	9500.0	30344.0	15671.0	18305.0	15492.0	16572.0	25204.0	22069.0	15140.0	16797.0	29637.0	20491.0	18906.0	29189.0	13041.0	8069.0	23305.0	18182.0	29666.0	30562.0	30381.0	15452.0	23075.0	23704.0	12273.0	16223.0	27246.0	29105.0	1347.0	32171.0	24826.0	29305.0	12870.0	9350.0	26919.0	28245.0	14515.0
LeChatelierE_2013__MH0434__bin.13	10732.0	14104.0	9500.0	0.0	22766.0	14246.0	13874.0	12242.0	14099.0	19231.0	17715.0	14602.0	14727.0	21556.0	16560.0	13433.0	22467.0	12771.0	9353.0	18571.0	14567.0	23361.0	21976.0	22671.0	12516.0	19170.0	16840.0	11024.0	13493.0	20401.0	21329.0	9577.0	23373.0	20975.0	20789.0	11133.0	8761.0	20979.0	21825.0	13603.0
ChengpingW_2017__AS67raw__bin.63	33605.0	35652.0	30344.0	22766.0	0.0	28653.0	23475.0	28662.0	31552.0	37786.0	29893.0	34954.0	35820.0	31998.0	22289.0	22346.0	32445.0	33107.0	28149.0	31789.0	28218.0	33877.0	33291.0	30528.0	20382.0	30015.0	25703.0	20908.0	35940.0	37728.0	28068.0	32018.0	41821.0	33848.0	25939.0	32762.0	17568.0	28255.0	27951.0	32309.0
LiJ_2017__nHM410714__bin.28	16367.0	20258.0	15671.0	14246.0	28653.0	0.0	19235.0	16760.0	18036.0	24947.0	22535.0	20075.0	19027.0	26084.0	19218.0	19703.0	27966.0	17278.0	14527.0	22815.0	18925.0	27389.0	28389.0	26538.0	17343.0	23644.0	23778.0	13943.0	20082.0	26161.0	26338.0	15411.0	29986.0	24972.0	24716.0	12784.0	11297.0	24355.0	25003.0	17307.0
RaymondF_2016__P1E7__bin.61	20368.0	20911.0	18305.0	13874.0	23475.0	19235.0	0.0	17423.0	18840.0	21122.0	5086.0	20088.0	21166.0	23256.0	17088.0	14656.0	24191.0	19975.0	17038.0	18641.0	17169.0	23236.0	24126.0	24255.0	13645.0	22028.0	18221.0	13821.0	20945.0	21315.0	22934.0	18973.0	24858.0	23083.0	22629.0	18586.0	12531.0	21876.0	21842.0	19749.0
BackhedF_2015__SID566_M__bin.46	14903.0	18154.0	15492.0	12242.0	28662.0	16760.0	17423.0	0.0	20251.0	24509.0	21565.0	18349.0	18359.0	27119.0	18380.0	16050.0	27513.0	17168.0	12766.0	21751.0	16589.0	27745.0	28371.0	27704.0	13924.0	23122.0	19402.0	12197.0	18171.0	24292.0	25125.0	16290.0	29998.0	24515.0	25084.0	15135.0	10731.0	24651.0	24761.0	17738.0
LeChatelierE_2013__MH0205__bin.54	16738.0	21196.0	16572.0	14099.0	31552.0	18036.0	18840.0	20251.0	0.0	27016.0	23095.0	22533.0	21459.0	29082.0	20163.0	16796.0	32039.0	17927.0	15496.0	25244.0	20895.0	30749.0	30862.0	29342.0	14718.0	25074.0	22720.0	14833.0	18137.0	27431.0	28541.0	16039.0	34774.0	27665.0	26892.0	17944.0	12305.0	26306.0	26810.0	18338.0
VogtmannE_2016__MMRS81671217ST-27-0-0__bin.47	26744.0	29517.0	25204.0	19231.0	37786.0	24947.0	21122.0	24509.0	27016.0	0.0	26228.0	29090.0	29740.0	33935.0	22736.0	19750.0	37077.0	28902.0	21899.0	27252.0	23755.0	36123.0	36596.0	35628.0	17294.0	29604.0	23683.0	19715.0	29993.0	32648.0	32787.0	25456.0	37688.0	33968.0	30722.0	26732.0	14472.0	31229.0	31979.0	27667.0
RaymondF_2016__P1E90__bin.38	23329.0	24995.0	22069.0	17715.0	29893.0	22535.0	5086.0	21565.0	23095.0	26228.0	0.0	25292.0	26619.0	28725.0	20060.0	15090.0	29695.0	24451.0	20062.0	22365.0	20158.0	28523.0	29806.0	28672.0	14616.0	26102.0	20641.0	16865.0	24845.0	24135.0	27877.0	21935.0	31117.0	27814.0	26333.0	22908.0	13346.0	26815.0	25298.0	22778.0
LiJ_2014__O2.UC29-1__bin.47	15417.0	19865.0	15140.0	14602.0	34954.0	20075.0	20088.0	18349.0	22533.0	29090.0	25292.0	0.0	21744.0	33033.0	23496.0	18400.0	34395.0	18414.0	14310.0	27165.0	20254.0	33124.0	34733.0	33070.0	16963.0	27008.0	24914.0	14690.0	20828.0	29243.0	31904.0	15714.0	38667.0	29926.0	29562.0	16015.0	10956.0	30756.0	30469.0	18936.0
