	XieH_2016__YSZC12003_37194__bin.73	XieH_2016__YSZC12003_35636__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.35	LeChatelierE_2013__MH0434__bin.13	ChengpingW_2017__AS67raw__bin.63	LiJ_2017__nHM410714__bin.28	RaymondF_2016__P1E7__bin.61	BackhedF_2015__SID566_M__bin.46	LeChatelierE_2013__MH0205__bin.54	VogtmannE_2016__MMRS81671217ST-27-0-0__bin.47	RaymondF_2016__P1E90__bin.38	LiJ_2014__O2.UC29-1__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.67	BritoIL_2016__W2.9.ST__bin.37	BritoIL_2016__W2.46.ST__bin.36	LiSS_2016__FAT_010-22-84-0__bin.59	QinN_2014__HD-9__bin.8	LeChatelierE_2013__MH0307__bin.65	SchirmerM_2016__G89151__bin.1	ZeeviD_2015__PNP_Main_467__bin.37	LeChatelierE_2013__MH0247__bin.68	CM_madagascar__A90_04_1FE__bin.34	QinN_2014__HD-35__bin.59	YuJ_2015__SZAXPI015269-94__bin.5	CosteaPI_2017__SID713A078-11-0-0__bin.39	NielsenHB_2014__O2_UC22_2__bin.37	CosteaPI_2017__SID713B057-11-0-0__bin.50	XieH_2016__YSZC12003_35666__bin.46	XieH_2016__YSZC12003_37203__bin.59	XieH_2016__YSZC12003_37100__bin.119	XieH_2016__YSZC12003_37102__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.63	Obregon-TitoAJ_2015__SM11__bin.19	LiJ_2014__O2.UC22-1__bin.34	LeChatelierE_2013__MH0229__bin.81	XieH_2016__YSZC12003_37138__bin.47	XieH_2016__YSZC12003_35388__bin.8	FengQ_2015__SID31881__bin.26	HeQ_2017__SZAXPI029560-51__bin.24	LiJ_2017__nHMX11726__bin.55
XieH_2016__YSZC12003_37194__bin.73	1.0	0.9921944104920155	0.9935009999424314	0.9898876351558267	0.9793665490653086	0.987863908493262	0.9793283332149273	0.9872672577229041	0.9891265016997556	0.9842057271365734	0.9811763016181168	0.9905675557445403	0.991167059177521	0.9787127557766377	0.9797044514212738	0.9810490769148181	0.9792305642428326	0.992945665506024	0.993699648167746	0.9808992473112671	0.9838580115479258	0.9789168270821128	0.9792746371631911	0.9799980645873102	0.9798046241354103	0.9823705911085389	0.9737347846964453	0.9858315466803692	0.9917808362211685	0.9820627150769022	0.9770718448710678	0.9941740029531553	0.9786845517306922	0.9830796132168259	0.9796245603718094	0.9942615244934421	0.9898989248765394	0.9796030836868015	0.9798941995655384	0.9915236998644527
XieH_2016__YSZC12003_35636__bin.16	0.9921944104920155	1.0	0.991331355145361	0.9868505697402745	0.9785799128704972	0.9856412291924344	0.9791857032228267	0.9849842472727393	0.9869783763394223	0.983664657562145	0.9807629996944554	0.9886764338718559	0.9884806212776939	0.9783859702102569	0.9792678800398917	0.9801085353341028	0.9787971144116523	0.990378095732302	0.990709240630386	0.9807488119676993	0.9838858173585048	0.9786180686269604	0.9791726465047527	0.979829749803234	0.9782083073540121	0.9825907716617971	0.9726090895904239	0.9835469234716364	0.9894550542794714	0.9815843055102793	0.977143249766462	0.9916595924420735	0.9783341265950368	0.9829349261826555	0.9801670396579233	0.9911603217979704	0.9880758369441032	0.9790091320217253	0.9799845640313345	0.988284666414258
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.35	0.9935009999424314	0.991331355145361	1.0	0.9898206287636886	0.9792948484813334	0.9873986001839832	0.9795893108423632	0.9852103035267297	0.9880341213830511	0.9831417798786267	0.9802732550604031	0.9898839324909513	0.9892724255929002	0.9780827732683343	0.9790994324788557	0.9790781134668737	0.9793936193569657	0.9908869580287151	0.9936366059585153	0.9808049168405247	0.9838034247801721	0.9784036020689328	0.9787835788982623	0.9797140293101929	0.9797946248890156	0.9822114535882756	0.9733014055507937	0.9849178055425498	0.9893995934430772	0.9816243740410393	0.9770124293214145	0.9991729214355186	0.9787202517771708	0.9829752624927052	0.9796786726959166	0.9912864326303125	0.9887217863725405	0.9792062229157172	0.9793748712983207	0.9898665653904986
LeChatelierE_2013__MH0434__bin.13	0.9898876351558267	0.9868505697402745	0.9898206287636886	1.0	0.9760383874169433	0.9825175211351953	0.9766917545863854	0.9832209199848135	0.9854847759503771	0.9810769350361567	0.9771308992985002	0.9854515093486158	0.9852911947920422	0.9761053598883528	0.9762965337974785	0.9780183995470478	0.9764857702644998	0.9875388344209574	0.9892825262665766	0.9775146080584661	0.9810043058819233	0.9751218296599845	0.9764672371384178	0.97631779346308	0.9756100412735159	0.9788164155651277	0.9697328619520147	0.9811017682806621	0.9862237605162133	0.979330942999764	0.9740213076676666	0.990144138247577	0.975849199313077	0.9785827115767719	0.9765616456117209	0.9884083050386858	0.9857248767770581	0.9762605534112088	0.9761654885010085	0.9858390589215074
ChengpingW_2017__AS67raw__bin.63	0.9793665490653086	0.9785799128704972	0.9792948484813334	0.9760383874169433	1.0	0.9781809625414347	0.9762790373381594	0.974265897510718	0.9780254985562519	0.9777197306508485	0.9772986511177907	0.9777721393091774	0.9780990032661956	0.9802242096760337	0.9810629360647882	0.9775520413719112	0.9816466794886299	0.9783273566143884	0.9787734461836844	0.9780285478894578	0.9765498396932482	0.9792999108497503	0.9815783590678897	0.9830946418742088	0.9758766063917169	0.9812892495626989	0.9721186586843495	0.9751449422667936	0.9779302450823563	0.9781153364923632	0.9799313312331349	0.9793341461635725	0.9770663885306169	0.9810594996278825	0.9834987130535683	0.9791890051478024	0.9787765082233782	0.9825227921223596	0.9829005816041311	0.9785057043807542
LiJ_2017__nHM410714__bin.28	0.987863908493262	0.9856412291924344	0.9873986001839832	0.9825175211351953	0.9781809625414347	1.0	0.9770433890092316	0.9807553192710905	0.9847474010285102	0.9808516550150903	0.9779528591331027	0.9843710343689324	0.9856874528450202	0.9788141306272428	0.9791033058704944	0.9785386267683875	0.9781215993466051	0.9862419984536382	0.9865411732442934	0.9792475072449531	0.9810508587941037	0.9780105880596104	0.9779628716810209	0.9797413197532439	0.9779698694172044	0.9799098816633911	0.9733261538979286	0.9806952372908813	0.9847042066859114	0.9798742496405429	0.9754875408804681	0.988057228588876	0.977266438163514	0.981177229663878	0.9797700186044456	0.9901072845796215	0.9845797900656557	0.9787054337647622	0.9796742746212552	0.986298528518805
RaymondF_2016__P1E7__bin.61	0.9793283332149273	0.9791857032228267	0.9795893108423632	0.9766917545863854	0.9762790373381594	0.9770433890092316	1.0	0.9740443345350535	0.978532874669134	0.9784351881535449	0.9944428297644048	0.9776132376999853	0.9783360098586201	0.9762936263126885	0.9763150891510689	0.9784066029590733	0.9759838615043865	0.9785364375536589	0.9790149154462933	0.9791243445910988	0.9769202229337893	0.9763320359888322	0.9754331478379521	0.9759501452609243	0.9774889218109168	0.9759232359135956	0.9699716872612452	0.974054230619049	0.9785155909417751	0.9786195759022609	0.9741648699006202	0.9800049110375041	0.9755479288334361	0.9765593186431762	0.9766081206383794	0.9796668541059039	0.9776129802195289	0.9759143592301315	0.9773782040725861	0.9788465369759835
BackhedF_2015__SID566_M__bin.46	0.9872672577229041	0.9849842472727393	0.9852103035267297	0.9832209199848135	0.974265897510718	0.9807553192710905	0.9740443345350535	1.0	0.9812659520635576	0.9788264667006471	0.9757246854002528	0.9842156831540763	0.9851175059602123	0.9730776676379052	0.9744341219623133	0.9742033993651303	0.9748354328958597	0.9856915567016238	0.9868186422354823	0.9752933145078938	0.9816119091957081	0.9725659376625329	0.9738325842479001	0.9744485322939599	0.9738782799886688	0.9767493074165506	0.9683435254498346	0.9808087785244615	0.9841916111402554	0.9776291833620505	0.9722173690926663	0.9851468492446229	0.973357396169071	0.9772511945094786	0.9738739085920095	0.9864176890418077	0.9826554279572326	0.9749905394012379	0.9749625110090732	0.9836668922620774
LeChatelierE_2013__MH0205__bin.54	0.9891265016997556	0.9869783763394223	0.9880341213830511	0.9854847759503771	0.9780254985562519	0.9847474010285102	0.978532874669134	0.9812659520635576	1.0	0.9825529543280828	0.9797862126128082	0.9862504141717207	0.9861080270990253	0.9786395786968689	0.9800649769238983	0.9802229219113917	0.9774846062704939	0.9883054097020675	0.9875724293350335	0.979501187995641	0.9814666821591426	0.9777847616570579	0.9781292586185759	0.9793062640478956	0.9797370971650109	0.9815729095166215	0.9720032925705216	0.982234928193563	0.9880606859724086	0.9810179226351118	0.9775185225444927	0.9893834750502728	0.9765369815468428	0.9814272517569088	0.9799736377650187	0.9878590721364894	0.9848850378457524	0.9795309692715543	0.9802057538425645	0.9871331874374218
VogtmannE_2016__MMRS81671217ST-27-0-0__bin.47	0.9842057271365734	0.983664657562145	0.9831417798786267	0.9810769350361567	0.9777197306508485	0.9808516550150903	0.9784351881535449	0.9788264667006471	0.9825529543280828	1.0	0.9799489166773059	0.9827304730864901	0.9832912430719617	0.978597845089645	0.9798160576684066	0.9795210306054309	0.9775051236408245	0.9824186386033213	0.9837177555945819	0.9804836966680058	0.9804074071630289	0.9784197804639959	0.9778015826896505	0.9781765793313316	0.9783720915690676	0.9802003772121083	0.9733011815661698	0.9776529410497847	0.9828670953177411	0.9806151748838027	0.9766522251845775	0.9840650119468591	0.9778721235610099	0.9797397323841005	0.9792052059410217	0.9838465726538645	0.983341659434086	0.9789484256989778	0.9795915892765062	0.9825548585289635
