	CosteaPI_2017__SID713A009-11-0-0__bin.16	SchirmerM_2016__G89044__bin.4	SchirmerM_2016__G89143__bin.4	CosteaPI_2017__SID713B057-11-0-0__bin.39	SchirmerM_2016__G88897__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.38	SchirmerM_2016__G88764__bin.6	SchirmerM_2016__G89117__bin.3	CosteaPI_2017__SID713B057-11-90-0__bin.8	VatanenT_2016__G80359__bin.8	BackhedF_2015__SID585_M__bin.18	SchirmerM_2016__G89030__bin.18	VatanenT_2016__G80275__bin.17	SchirmerM_2016__G88846__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.73	SchirmerM_2016__G88773__bin.12	SchirmerM_2016__G88815__bin.6	SchirmerM_2016__G89101__bin.11	FengQ_2015__SID530450__bin.38	VatanenT_2016__G78575__bin.8	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.56	SchirmerM_2016__G89185__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.46	SchirmerM_2016__G88953__bin.3	SchirmerM_2016__G88944__bin.14	VatanenT_2016__G80343__bin.18	VatanenT_2016__G78719__bin.3	SchirmerM_2016__G88814__bin.17	LiJ_2014__MH0355__bin.77	SchirmerM_2016__G89274__bin.5	LiSS_2016__FAT_017-22-42-0__bin.2	LiJ_2014__MH0381__bin.39	CosteaPI_2017__SID713A009-11-90-0__bin.46	VatanenT_2016__G80381__bin.16	ZeeviD_2015__PNP_Main_449__bin.35	ZeeviD_2015__PNP_Main_503__bin.3	CosteaPI_2017__SID713B020-11-0-0__bin.53	SchirmerM_2016__G88738__bin.15	VatanenT_2016__G80350__bin.11	KosticAD_2015__PRJNA231909.3113044__bin.7	KarlssonFH_2013__S193__bin.44	VatanenT_2016__G78624__bin.5	VatanenT_2016__G78880__bin.3	KosticAD_2015__PRJNA231909.3110086__bin.29	SchirmerM_2016__G89113__bin.14	SchirmerM_2016__G88829__bin.2	XieH_2016__YSZC12003_37583__bin.43
CosteaPI_2017__SID713A009-11-0-0__bin.16	2353566.0	1863278.0	1973517.0	1444648.0	1296934.0	1814758.0	1912803.0	1763514.0	1465682.0	1055222.0	1967717.0	1780070.0	1899267.0	1797423.0	1833543.0	1650457.0	1984045.0	1888905.0	2241714.0	1539499.0	2009109.0	2003519.0	2089548.0	2124211.0	2228221.0	1775699.0	2243794.0	1867592.0	1992493.0	1925591.0	2250323.0	1133270.0	1896242.0	2348433.0	1951723.0	1552381.0	2040492.0	2175388.0	1799368.0	2050390.0	1894872.0	1860156.0	1931469.0	2128749.0	2089872.0	2021467.0	2235671.0	1599194.0
SchirmerM_2016__G89044__bin.4	1863278.0	1936102.0	1715068.0	1358456.0	1228578.0	1656282.0	1762619.0	1515251.0	1369995.0	999840.0	1786901.0	1653775.0	1673263.0	1676543.0	1647078.0	1590391.0	1789239.0	1635261.0	1849121.0	1502032.0	1817489.0	1811492.0	1805403.0	1793039.0	1859625.0	1709656.0	1842640.0	1763873.0	1812580.0	1780088.0	1872075.0	1084833.0	1763707.0	1876704.0	1820057.0	1488519.0	1818498.0	1811939.0	1728900.0	1838751.0	1786179.0	1692407.0	1796534.0	1860939.0	1801812.0	1688545.0	1835016.0	1507036.0
SchirmerM_2016__G89143__bin.4	1973517.0	1715068.0	2047491.0	1340652.0	1206124.0	1591046.0	1708790.0	1608539.0	1353506.0	988861.0	1780344.0	1628450.0	1659562.0	1632974.0	1624578.0	1516057.0	1777561.0	1726288.0	1969628.0	1445510.0	1795523.0	1780479.0	1850767.0	1885477.0	1973526.0	1622236.0	1958154.0	1696223.0	1775075.0	1722300.0	2003505.0	1042698.0	1729297.0	1995949.0	1791287.0	1422779.0	1801490.0	1921662.0	1661920.0	1833730.0	1721655.0	1625112.0	1740884.0	1853673.0	1894708.0	1811694.0	1970778.0	1427526.0
CosteaPI_2017__SID713B057-11-0-0__bin.39	1444648.0	1358456.0	1340652.0	1478206.0	974987.0	1286512.0	1356300.0	1195621.0	1178035.0	814498.0	1376700.0	1302225.0	1315466.0	1326235.0	1288915.0	1263290.0	1361018.0	1263619.0	1415944.0	1192909.0	1392498.0	1419032.0	1387829.0	1369280.0	1424515.0	1331485.0	1432538.0	1368727.0	1371507.0	1353017.0	1430336.0	875929.0	1368203.0	1448781.0	1394557.0	1192850.0	1385929.0	1422708.0	1314089.0	1415128.0	1372028.0	1316825.0	1372624.0	1430266.0	1407721.0	1290962.0	1406361.0	1173224.0
SchirmerM_2016__G88897__bin.16	1296934.0	1228578.0	1206124.0	974987.0	1338598.0	1160733.0	1214500.0	1056794.0	973213.0	735545.0	1232111.0	1160468.0	1166359.0	1173305.0	1158079.0	1115228.0	1231940.0	1158816.0	1289987.0	1081343.0	1246807.0	1275314.0	1265752.0	1253580.0	1277829.0	1165734.0	1285333.0	1205980.0	1240944.0	1225368.0	1297572.0	815322.0	1208587.0	1302726.0	1237793.0	1050595.0	1239880.0	1259746.0	1196026.0	1250838.0	1216119.0	1191283.0	1213656.0	1270085.0	1248211.0	1200275.0	1285700.0	1016619.0
Bengtsson-PalmeJ_2015__TRAVELRES69__bin.38	1814758.0	1656282.0	1591046.0	1286512.0	1160733.0	1890060.0	1746304.0	1406866.0	1306317.0	930164.0	1693239.0	1638542.0	1729206.0	1637783.0	1620085.0	1536307.0	1703596.0	1528435.0	1778630.0	1412730.0	1719132.0	1769791.0	1746362.0	1804398.0	1777296.0	1680193.0	1776631.0	1635807.0	1780637.0	1806331.0	1816560.0	1016841.0	1719177.0	1852060.0	1695659.0	1412217.0	1760218.0	1746197.0	1616986.0	1742632.0	1688281.0	1807945.0	1747710.0	1798099.0	1691294.0	1597771.0	1790918.0	1560128.0
SchirmerM_2016__G88764__bin.6	1912803.0	1762619.0	1708790.0	1356300.0	1214500.0	1746304.0	1975631.0	1501679.0	1350319.0	984422.0	1810516.0	1705012.0	1733746.0	1692022.0	1787828.0	1583510.0	1798229.0	1623727.0	1926267.0	1498611.0	1852321.0	1820408.0	1859541.0	1854341.0	1907165.0	1715592.0	1894225.0	1734337.0	1947299.0	1844487.0	1923451.0	1061818.0	1806113.0	1954312.0	1804113.0	1480645.0	1864742.0	1843376.0	1715794.0	1862983.0	1758790.0	1751911.0	1869886.0	1911856.0	1773978.0	1707403.0	1943212.0	1542962.0
SchirmerM_2016__G89117__bin.3	1763514.0	1515251.0	1608539.0	1195621.0	1056794.0	1406866.0	1501679.0	1827572.0	1190814.0	876129.0	1568737.0	1409424.0	1466144.0	1415528.0	1450688.0	1330780.0	1566491.0	1534201.0	1751547.0	1278270.0	1607439.0	1580634.0	1651541.0	1670859.0	1762491.0	1438362.0	1737646.0	1505234.0	1563987.0	1497272.0	1772982.0	919540.0	1500415.0	1775643.0	1569864.0	1258440.0	1604032.0	1725562.0	1461850.0	1637641.0	1520804.0	1437127.0	1539102.0	1665244.0	1673753.0	1613745.0	1745231.0	1263055.0
CosteaPI_2017__SID713B057-11-90-0__bin.8	1465682.0	1369995.0	1353506.0	1178035.0	973213.0	1306317.0	1350319.0	1190814.0	1532578.0	825311.0	1406152.0	1301883.0	1325107.0	1332192.0	1295558.0	1273937.0	1380338.0	1265981.0	1434403.0	1194250.0	1413573.0	1430599.0	1399554.0	1397139.0	1442224.0	1329043.0	1446954.0	1377345.0	1387077.0	1369878.0	1450743.0	887840.0	1382896.0	1470174.0	1415215.0	1184115.0	1417055.0	1434169.0	1337791.0	1438894.0	1391577.0	1332342.0	1387589.0	1442808.0	1430730.0	1310658.0	1431928.0	1185467.0
VatanenT_2016__G80359__bin.8	1055222.0	999840.0	988861.0	814498.0	735545.0	930164.0	984422.0	876129.0	825311.0	1087085.0	1013971.0	951597.0	941865.0	972465.0	963002.0	920309.0	1002858.0	943344.0	1041096.0	870819.0	1023544.0	1024690.0	1021035.0	1015860.0	1042223.0	953459.0	1053404.0	994826.0	1002882.0	989197.0	1050615.0	632450.0	1005503.0	1061681.0	1025096.0	843845.0	1015056.0	1042382.0	977365.0	1041889.0	990030.0	951793.0	1003113.0	1043793.0	1033295.0	972267.0	1035163.0	841898.0
