	CosteaPI_2017__SID713A009-11-0-0__bin.16	SchirmerM_2016__G89044__bin.4	SchirmerM_2016__G89143__bin.4	CosteaPI_2017__SID713B057-11-0-0__bin.39	SchirmerM_2016__G88897__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.38	SchirmerM_2016__G88764__bin.6	SchirmerM_2016__G89117__bin.3	CosteaPI_2017__SID713B057-11-90-0__bin.8	VatanenT_2016__G80359__bin.8	BackhedF_2015__SID585_M__bin.18	SchirmerM_2016__G89030__bin.18	VatanenT_2016__G80275__bin.17	SchirmerM_2016__G88846__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.73	SchirmerM_2016__G88773__bin.12	SchirmerM_2016__G88815__bin.6	SchirmerM_2016__G89101__bin.11	FengQ_2015__SID530450__bin.38	VatanenT_2016__G78575__bin.8	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.56	SchirmerM_2016__G89185__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.46	SchirmerM_2016__G88953__bin.3	SchirmerM_2016__G88944__bin.14	VatanenT_2016__G80343__bin.18	VatanenT_2016__G78719__bin.3	SchirmerM_2016__G88814__bin.17	LiJ_2014__MH0355__bin.77	SchirmerM_2016__G89274__bin.5	LiSS_2016__FAT_017-22-42-0__bin.2	LiJ_2014__MH0381__bin.39	CosteaPI_2017__SID713A009-11-90-0__bin.46	VatanenT_2016__G80381__bin.16	ZeeviD_2015__PNP_Main_449__bin.35	ZeeviD_2015__PNP_Main_503__bin.3	CosteaPI_2017__SID713B020-11-0-0__bin.53	SchirmerM_2016__G88738__bin.15	VatanenT_2016__G80350__bin.11	KosticAD_2015__PRJNA231909.3113044__bin.7	KarlssonFH_2013__S193__bin.44	VatanenT_2016__G78624__bin.5	VatanenT_2016__G78880__bin.3	KosticAD_2015__PRJNA231909.3110086__bin.29	SchirmerM_2016__G89113__bin.14	SchirmerM_2016__G88829__bin.2	XieH_2016__YSZC12003_37583__bin.43
CosteaPI_2017__SID713A009-11-0-0__bin.16	0.0	9368.0	8817.0	3786.0	6218.0	2390.0	9186.0	8203.0	5207.0	2892.0	5249.0	1618.0	5337.0	6342.0	3983.0	2092.0	2651.0	9365.0	10704.0	11951.0	5811.0	1970.0	10400.0	2405.0	13540.0	8617.0	5505.0	4403.0	9779.0	2723.0	10241.0	7925.0	5098.0	113.0	4695.0	2752.0	5396.0	7164.0	9343.0	6062.0	4837.0	1673.0	5058.0	6438.0	4750.0	10791.0	10034.0	3803.0
SchirmerM_2016__G89044__bin.4	9368.0	0.0	354.0	7570.0	303.0	8583.0	638.0	486.0	9138.0	6595.0	11037.0	8271.0	9679.0	11730.0	10335.0	7446.0	7553.0	379.0	564.0	4090.0	10438.0	8784.0	396.0	9307.0	3505.0	463.0	10266.0	10341.0	416.0	9522.0	553.0	3004.0	11734.0	9491.0	9970.0	7624.0	10694.0	10920.0	558.0	11449.0	10544.0	8032.0	9740.0	11329.0	10598.0	1408.0	453.0	9644.0
SchirmerM_2016__G89143__bin.4	8817.0	354.0	0.0	7659.0	334.0	7757.0	579.0	364.0	9083.0	6651.0	11023.0	7547.0	9219.0	11755.0	9570.0	6445.0	7362.0	327.0	587.0	3973.0	10901.0	8104.0	371.0	8621.0	3870.0	373.0	10455.0	10009.0	375.0	8689.0	488.0	2871.0	11663.0	9010.0	9679.0	7376.0	10538.0	11662.0	390.0	11225.0	10155.0	7229.0	9700.0	11562.0	10947.0	1438.0	405.0	8742.0
CosteaPI_2017__SID713B057-11-0-0__bin.39	3786.0	7570.0	7659.0	0.0	5966.0	3731.0	7751.0	6638.0	1859.0	1749.0	2418.0	3185.0	5234.0	4488.0	3027.0	3481.0	3324.0	7156.0	8066.0	9815.0	2426.0	3339.0	7971.0	3838.0	9779.0	7228.0	5470.0	958.0	7799.0	3640.0	7893.0	7148.0	4942.0	3765.0	1832.0	4197.0	1043.0	910.0	7638.0	3118.0	859.0	3387.0	1776.0	3171.0	854.0	8302.0	7769.0	4488.0
SchirmerM_2016__G88897__bin.16	6218.0	303.0	334.0	5966.0	0.0	5913.0	475.0	317.0	7237.0	4622.0	7939.0	5691.0	7131.0	8939.0	7298.0	5211.0	5618.0	328.0	423.0	2705.0	7404.0	6103.0	412.0	6355.0	2523.0	410.0	7496.0	7477.0	333.0	6374.0	275.0	2126.0	8121.0	6393.0	7098.0	5382.0	7706.0	8976.0	324.0	8028.0	7443.0	5679.0	6710.0	8229.0	7821.0	799.0	324.0	6691.0
Bengtsson-PalmeJ_2015__TRAVELRES69__bin.38	2390.0	8583.0	7757.0	3731.0	5913.0	0.0	8221.0	6805.0	4909.0	2942.0	5090.0	1110.0	6389.0	6610.0	3881.0	230.0	1985.0	7898.0	8765.0	11236.0	5298.0	1591.0	8419.0	134.0	11214.0	8495.0	6206.0	4449.0	8754.0	2802.0	8937.0	6838.0	5087.0	2422.0	4691.0	2359.0	5184.0	6752.0	8536.0	6050.0	5147.0	1515.0	4724.0	6178.0	4545.0	9225.0	8558.0	3352.0
SchirmerM_2016__G88764__bin.6	9186.0	638.0	579.0	7751.0	475.0	8221.0	0.0	539.0	9267.0	6176.0	10522.0	7894.0	9390.0	13176.0	10978.0	7492.0	7137.0	617.0	689.0	4505.0	10017.0	8359.0	642.0	8919.0	3498.0	591.0	10118.0	9920.0	691.0	9298.0	729.0	3000.0	11792.0	9340.0	9502.0	7266.0	10312.0	12159.0	657.0	10934.0	9942.0	7736.0	9526.0	11182.0	10198.0	1661.0	763.0	9293.0
SchirmerM_2016__G89117__bin.3	8203.0	486.0	364.0	6638.0	317.0	6805.0	539.0	0.0	8004.0	5593.0	9761.0	6819.0	8310.0	9742.0	8531.0	6013.0	6228.0	403.0	431.0	3165.0	9522.0	7406.0	396.0	7739.0	3620.0	325.0	9286.0	8589.0	402.0	7766.0	462.0	2669.0	9837.0	8364.0	8401.0	6244.0	8987.0	9598.0	418.0	9406.0	8666.0	6523.0	8197.0	9624.0	9275.0	1296.0	434.0	8002.0
CosteaPI_2017__SID713B057-11-90-0__bin.8	5207.0	9138.0	9083.0	1859.0	7237.0	4909.0	9267.0	8004.0	0.0	2380.0	3344.0	4307.0	6478.0	5382.0	4484.0	4559.0	4597.0	8638.0	9703.0	10807.0	3569.0	4667.0	9455.0	5232.0	11822.0	8661.0	7059.0	1897.0	9609.0	4826.0	9546.0	7865.0	6082.0	5303.0	2818.0	4865.0	2115.0	2152.0	9115.0	3974.0	2012.0	4498.0	2825.0	4097.0	1990.0	9993.0	9479.0	5361.0
VatanenT_2016__G80359__bin.8	2892.0	6595.0	6651.0	1749.0	4622.0	2942.0	6176.0	5593.0	2380.0	0.0	2009.0	2627.0	4365.0	3472.0	2455.0	2898.0	2751.0	6339.0	6884.0	7891.0	1922.0	2518.0	6913.0	3132.0	7990.0	6035.0	4561.0	1765.0	6669.0	2696.0	6930.0	5549.0	3957.0	2881.0	1459.0	3116.0	1693.0	1774.0	6595.0	72.0	1677.0	2669.0	1451.0	78.0	1702.0	7299.0	6845.0	3478.0
