	SchirmerM_2016__G88728__bin.16	ZeeviD_2015__PNP_Main_316__bin.11	QinJ_2012__DOM022__bin.11	QinJ_2012__CON-101__bin.59	ZeeviD_2015__PNP_Main_170__bin.44	HeQ_2017__SZAXPI029492-90__bin.5	WenC_2017__N310__bin.37	WenC_2017__N017__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.47	ZeeviD_2015__PNP_Main_76__bin.23	ZellerG_2014__CCIS41692898ST-4-0__bin.27	BritoIL_2016__M1.62.ST__bin.60	QinJ_2012__CON-075__bin.51	BritoIL_2016__W2.68.ST__bin.11	ZeeviD_2015__PNP_DietIntervention_2__bin.17	QinN_2014__LD-45__bin.33	ZeeviD_2015__PNP_Main_303__bin.16	LiJ_2017__H3M615132__bin.31	QinJ_2012__CON-057__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.35	QinN_2014__HD-40__bin.11	BritoIL_2016__M1.26.ST__bin.14	QinN_2014__LD-98__bin.15	QinN_2014__HD-39__bin.8	BritoIL_2016__W2.52.ST__bin.10	ZeeviD_2015__PNP_Main_335__bin.20	LeChatelierE_2013__MH0313__bin.50	ZeeviD_2015__PNP_Main_176__bin.29	LiuW_2016__SRR3993044__bin.101	QinN_2014__HD-20__bin.7
SchirmerM_2016__G88728__bin.16	1.0	0.8285545594713265	0.7942634558807402	0.7123565226721298	0.6977738969814558	0.8899883161157576	0.8234103307825594	0.8392561912434297	0.7417926789291136	0.8838440512668212	0.8544049310615263	0.8697747814236318	0.8249177948935913	0.6810341097099539	0.9100340913334745	0.6786422034228861	0.7783743217745277	0.8636915739099043	0.7824301886434543	0.8934804400159104	0.6391564840222438	0.8763648240985595	0.8799393457617614	0.6413527697207783	0.8829945836808563	0.8688381737573202	0.8685844597818889	0.7339293240597319	0.6483316824141241	0.8890013213281571
ZeeviD_2015__PNP_Main_316__bin.11	0.5802879433778337	1.0	0.7878408315301237	0.687322619804805	0.7030964832015039	0.9315854239770694	0.8295447940521483	0.7939491868534808	0.7851318654127509	0.9169279452377829	0.8824873332480857	0.8947061197309052	0.8280576650663354	0.7357676524950719	0.9450974563534701	0.706586794028899	0.8135093753061858	0.8466550807334178	0.7794747968586787	0.9219232372414962	0.5747736923478038	0.9048972295061005	0.904885604823911	0.7032463585683041	0.9046531111801211	0.8901313921221189	0.8846985138674155	0.7797052146663633	0.5511128972527555	0.9222640895299808
QinJ_2012__DOM022__bin.11	0.573455664926593	0.8121781765904512	1.0	0.6916153325649446	0.6815626510010097	0.8981763678952754	0.8293727645430691	0.7961306078217293	0.7767459836138894	0.8864421048486812	0.8547800954508278	0.9256145219476557	0.8318696712292065	0.7379989907943151	0.9129361080355114	0.7279604329740624	0.7966638861437942	0.8324791321687094	0.7856045668483208	0.904121608001058	0.5866558013705168	0.8854303312103492	0.9185633499123258	0.7320118074497184	0.8807314044864714	0.9058297250021506	0.8691875979834718	0.7627296659820217	0.5575305019364508	0.9216817013204844
QinJ_2012__CON-101__bin.59	0.5791756412153366	0.7979048113862743	0.7788292063663428	1.0	0.6850209340535143	0.8739088965028299	0.8430574947863676	0.7915269978682786	0.7505524498409282	0.8654118926244754	0.8282482243286138	0.8512518260364971	0.8305105576357604	0.68012178235621	0.8778185786049972	0.6705220476285262	0.8053477626564632	0.8236883744311032	0.8327242127017436	0.864902457962001	0.6238723878219572	0.8446773717027118	0.870817587207551	0.6402008049742415	0.8495635104048536	0.8719651405957735	0.8457882959193657	0.6985443278040956	0.5606407984388262	0.927421706350679
ZeeviD_2015__PNP_Main_170__bin.44	0.5980546870316195	0.8604361915194354	0.8090897451400201	0.7221329141385762	1.0	0.930431994829841	0.8586670785451611	0.8072998011399144	0.7712189401783746	0.9248020290435307	0.8928091298829702	0.9110652376921662	0.8502589652162514	0.7168941651788572	0.9569615764107431	0.7223671361607301	0.8436346990018382	0.8723835469444949	0.8079262561362613	0.9262673138849457	0.6070963683900868	0.9183840407922294	0.9155621989027638	0.6733603696338515	0.910982421662641	0.9122998570280325	0.9118796799947974	0.760072817137126	0.5776285960193434	0.9416268929559632
HeQ_2017__SZAXPI029492-90__bin.5	0.5349605199395684	0.7995353610216357	0.7477626778027993	0.6460865568256321	0.6525230894216243	1.0	0.7885137253784099	0.7710334654086257	0.7912994213391864	0.8734746016362134	0.8348614634702546	0.868126264929734	0.7825510960348907	0.7315487728399989	0.9092343433767567	0.6895527493515008	0.7695469057324478	0.8146514495025797	0.7464115190558992	0.8862878053647274	0.5367492374789772	0.8642224423477096	0.8817992645591631	0.7039658219549043	0.8599216812519598	0.8741587326473019	0.8585548445027222	0.7692094723639576	0.5201398192753912	0.9083118354664919
WenC_2017__N310__bin.37	0.582306642659663	0.8376311878645855	0.8123626287249808	0.7332967219540415	0.708490556150607	0.9276993730650641	1.0	0.8200061624497205	0.8100904873994672	0.9105673436278383	0.8795492608204443	0.9146844469410983	0.8653714343206528	0.7580852807582747	0.9325023109186452	0.7296457849053519	0.839920097760767	0.8611713265825862	0.8397192941270177	0.9269711978838063	0.6133733543219942	0.9044719681900214	0.9309688251310568	0.7264614333354993	0.8984826539616796	0.9364056149558881	0.894563419782302	0.7818744327506953	0.5670585621369867	0.9788996883141927
WenC_2017__N017__bin.35	0.6175125016083621	0.8341064375922763	0.8113350823590475	0.7163150078182758	0.6930424978355262	0.9438152749699591	0.8531647115525112	1.0	0.8184912581426743	0.9061641161859026	0.8668140907792324	0.9086206031739801	0.8569571750399637	0.7680647968229668	0.9409941531945889	0.7265500794912559	0.7961931430341016	0.9042428048963996	0.810278688274331	0.9257819911414683	0.6127648345513269	0.902798223059661	0.9102252579376763	0.730609912744989	0.9013824281798138	0.9108899749422625	0.9214517349593603	0.7952043546814789	0.6160570156212858	0.9393061907223127
Bengtsson-PalmeJ_2015__TRAVELRES68__bin.47	0.47299915632994455	0.7148221337897417	0.6859959842514923	0.588634872300407	0.5737587617705581	0.8394237340413307	0.7304254939552098	0.7093174890685762	1.0	0.8057910843125752	0.7555726826288638	0.8221768804165734	0.7198701685525767	0.7750942703009998	0.8419233711724897	0.7078384205528911	0.697730633387562	0.747492803101319	0.6891514312151873	0.8339610460299125	0.4761697228286836	0.7969699695794955	0.8201724080581074	0.7524202595721776	0.7950373150124888	0.8231263872173403	0.7836455013335429	0.7933972234485845	0.4588945200757186	0.8507191606843706
ZeeviD_2015__PNP_Main_76__bin.23	0.5633375020308232	0.8344605189083806	0.7825428550917932	0.6784268015762966	0.68772627148422	0.9262023417752606	0.8206720796762773	0.7849620850036461	0.8054482735169324	1.0	0.8588628901541915	0.9008580464047817	0.8115698357583566	0.7576878464206506	0.9548288252207457	0.7161989791099138	0.7986832709288135	0.8386109547324792	0.7656592524303758	0.9116042180669586	0.5621190081270709	0.9038345719780406	0.905597137578352	0.7174601675287432	0.8958454080726638	0.8955805509481582	0.891514370671513	0.7910250839721767	0.5471623260576338	0.9227916923274556
