	SchirmerM_2016__G88728__bin.16	ZeeviD_2015__PNP_Main_316__bin.11	QinJ_2012__DOM022__bin.11	QinJ_2012__CON-101__bin.59	ZeeviD_2015__PNP_Main_170__bin.44	HeQ_2017__SZAXPI029492-90__bin.5	WenC_2017__N310__bin.37	WenC_2017__N017__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.47	ZeeviD_2015__PNP_Main_76__bin.23	ZellerG_2014__CCIS41692898ST-4-0__bin.27	BritoIL_2016__M1.62.ST__bin.60	QinJ_2012__CON-075__bin.51	BritoIL_2016__W2.68.ST__bin.11	ZeeviD_2015__PNP_DietIntervention_2__bin.17	QinN_2014__LD-45__bin.33	ZeeviD_2015__PNP_Main_303__bin.16	LiJ_2017__H3M615132__bin.31	QinJ_2012__CON-057__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.35	QinN_2014__HD-40__bin.11	BritoIL_2016__M1.26.ST__bin.14	QinN_2014__LD-98__bin.15	QinN_2014__HD-39__bin.8	BritoIL_2016__W2.52.ST__bin.10	ZeeviD_2015__PNP_Main_335__bin.20	LeChatelierE_2013__MH0313__bin.50	ZeeviD_2015__PNP_Main_176__bin.29	LiuW_2016__SRR3993044__bin.101	QinN_2014__HD-20__bin.7
SchirmerM_2016__G88728__bin.16	1.0	0.8235348166116262	0.7836963873619616	0.7026507775325604	0.6924263414385463	0.882706487905016	0.8129807894654164	0.8325659671155863	0.7354391593294126	0.8777181628974137	0.8465356482955223	0.8631705117968108	0.8140638161782968	0.6758762468589558	0.9033972182752311	0.6700639442208639	0.7684854046293316	0.8567126612165584	0.7723290527991825	0.886742199925427	0.6311058076195997	0.869583310362734	0.86834200881004	0.6328065211605162	0.8760625013708261	0.8582047127963726	0.8623583899595658	0.7287400433566359	0.643733413004264	0.8779944028800093
ZeeviD_2015__PNP_Main_316__bin.11	0.5767723073499544	1.0	0.7763581365302317	0.6771132426718834	0.6971130932116838	0.9227278313158974	0.8176191156273923	0.786776342775343	0.7770369349366538	0.909077133087665	0.8734238176452712	0.8866755401740712	0.8160136639835792	0.7290290733301559	0.9368941672326779	0.6965077794033881	0.8018867689527989	0.8392829563891744	0.7684944541962612	0.9138860150091254	0.5670436938590125	0.8967200959202348	0.8916521496528372	0.6928281523231926	0.8966146434460872	0.8778225143523307	0.8773766247569196	0.7730513296145421	0.5467523959300327	0.9094138337039392
QinJ_2012__DOM022__bin.11	0.5658262753847544	0.8003407674157529	1.0	0.6841960872094093	0.671738945281621	0.8859987048955036	0.8213380663567718	0.7859157172015643	0.765328006827332	0.8738856687228841	0.8428630797208293	0.9127075601831978	0.823498143155698	0.7274939214403138	0.900300065354414	0.7207710194475391	0.7886754111186389	0.8215285229003664	0.7776212277299591	0.8909146236814094	0.5806776058628088	0.8727780248244055	0.9094026041615397	0.7255362849675003	0.8680692542791734	0.8966480076319575	0.8572179392088393	0.7522840875483792	0.5504908856914065	0.9120856874689438
QinJ_2012__CON-101__bin.59	0.5712844645562158	0.7860528645699036	0.7704743815092086	1.0	0.6746457212066999	0.8608987931169931	0.8400235390623607	0.7806033113735024	0.7379659917420496	0.852301059016825	0.8163292846852951	0.8379698956405984	0.8217277498266138	0.6696709013523393	0.8647038892950764	0.6633745395448054	0.8021398183675054	0.812323691989152	0.8288313992970091	0.851793070242702	0.6208403599490855	0.8316571470984153	0.8613990704865752	0.6330436576348447	0.8369915111894889	0.8650759645641682	0.8332934107494088	0.6878110166089194	0.5533376163759387	0.9225818360757819
ZeeviD_2015__PNP_Main_170__bin.44	0.5934713532748913	0.8531138319027669	0.7974279271909921	0.7111956094294434	1.0	0.9219969535894905	0.8467288684485154	0.8002319864974307	0.7632538672037346	0.9169812490283088	0.8832080592698572	0.902820216053303	0.8381332758871223	0.7105452749644602	0.9487881931777882	0.7115629467873985	0.8318870165804804	0.8649992023241327	0.7969371278994501	0.9181040921280061	0.5988955491718905	0.9102660376035582	0.9018939975145029	0.6634905279801322	0.9025397593152791	0.8997738055438982	0.904646741367064	0.7538174125020703	0.5733551872810836	0.9285582186526087
HeQ_2017__SZAXPI029492-90__bin.5	0.530583506741541	0.7919333114791482	0.7376243550639947	0.636468102391608	0.6466074940851173	1.0	0.7778872466577349	0.7643275562270174	0.7824648670220347	0.8656363131039595	0.8254471793848522	0.8596768906245545	0.7715821954904365	0.7244273965964482	0.9006973147857815	0.6797290556141501	0.758746900031356	0.80743208574442	0.7361531170719192	0.8777650295031498	0.5294707248938172	0.856019996579345	0.8694125737578747	0.6943217126079644	0.851590960919016	0.8625117585017531	0.8511085060289045	0.7620610159345514	0.5158885864142982	0.8958713406117271
WenC_2017__N310__bin.37	0.5749309868513446	0.82558925805363	0.8044927192962231	0.7306577681451655	0.6986402785259589	0.9151971459892723	1.0	0.8094448974287493	0.797781518100624	0.8975394218616047	0.8675102655093558	0.9013073196907038	0.8570110441998562	0.7470012555467287	0.9189327643198354	0.7227786360025404	0.837835764426735	0.8498760173806235	0.8370417726056053	0.9135508915639416	0.6112856672738286	0.8914608149944558	0.9218844519716695	0.7191654282378538	0.8856655969715961	0.930652737573965	0.8820398127789085	0.7706688354018064	0.5599340156744215	0.974965362421214
WenC_2017__N017__bin.35	0.6125899319799102	0.8265707973768975	0.8009251081146507	0.7064293051221157	0.6869749924216155	0.9356066305957373	0.8421763811742026	1.0	0.8099829677171726	0.8985172536370793	0.8576341046929283	0.9005210003031353	0.8458419203517242	0.761092246931027	0.9326363400437474	0.7170325009104965	0.7860439960657825	0.8966940797006155	0.7998756926861502	0.9173613700846817	0.6050617065867611	0.8944539310552383	0.8982315648982315	0.7209693353484203	0.8933373460606576	0.8995697222276743	0.9137739046235779	0.7880787105187976	0.6113294122008719	0.9276165053942831
Bengtsson-PalmeJ_2015__TRAVELRES68__bin.47	0.4689478769148891	0.7074521164325155	0.6759120103538576	0.5787637058585174	0.5678330379984154	0.8300518902442712	0.7193269992561189	0.701944069815965	1.0	0.7976798317498139	0.7467595056516821	0.8133538757416132	0.7093862829530266	0.7668151908992495	0.8330924287416314	0.6975945575721656	0.687294752311777	0.7399681884982673	0.6788293246406086	0.8249002866663845	0.4693213294304774	0.7883764038488288	0.807589553006066	0.7415856007596054	0.7869627273222094	0.8110077018911515	0.775967423449794	0.7852542198622308	0.4547506335085183	0.8378709577923059
ZeeviD_2015__PNP_Main_76__bin.23	0.5594330319528774	0.8273157996153715	0.7714581499295352	0.6681487582697009	0.6819103717445433	0.917890890955186	0.8089303323749107	0.7783380120980388	0.7973404717555003	1.0	0.8495653093841034	0.8930279479051351	0.8000079343789082	0.7508060951143117	0.9471177424047212	0.705755825156515	0.78727212274862	0.8314458327508492	0.7548745423563593	0.90389880266444	0.5544128370694182	0.8960520797518428	0.8923232994925776	0.7070767103309391	0.8883005693861434	0.8831836506455184	0.8843632283098639	0.7847406780493518	0.5431380846409315	0.9100301884226077
