	SchirmerM_2016__G88728__bin.16	ZeeviD_2015__PNP_Main_316__bin.11	QinJ_2012__DOM022__bin.11	QinJ_2012__CON-101__bin.59	ZeeviD_2015__PNP_Main_170__bin.44	HeQ_2017__SZAXPI029492-90__bin.5	WenC_2017__N310__bin.37	WenC_2017__N017__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.47	ZeeviD_2015__PNP_Main_76__bin.23	ZellerG_2014__CCIS41692898ST-4-0__bin.27	BritoIL_2016__M1.62.ST__bin.60	QinJ_2012__CON-075__bin.51	BritoIL_2016__W2.68.ST__bin.11	ZeeviD_2015__PNP_DietIntervention_2__bin.17	QinN_2014__LD-45__bin.33	ZeeviD_2015__PNP_Main_303__bin.16	LiJ_2017__H3M615132__bin.31	QinJ_2012__CON-057__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.35	QinN_2014__HD-40__bin.11	BritoIL_2016__M1.26.ST__bin.14	QinN_2014__LD-98__bin.15	QinN_2014__HD-39__bin.8	BritoIL_2016__W2.52.ST__bin.10	ZeeviD_2015__PNP_Main_335__bin.20	LeChatelierE_2013__MH0313__bin.50	ZeeviD_2015__PNP_Main_176__bin.29	LiuW_2016__SRR3993044__bin.101	QinN_2014__HD-20__bin.7
SchirmerM_2016__G88728__bin.16	1686939.0	1397721.0	1339874.0	1201702.0	1177102.0	1501356.0	1389043.0	1415774.0	1251359.0	1490991.0	1441329.0	1467257.0	1391586.0	1148863.0	1535172.0	1144828.0	1313070.0	1456995.0	1319912.0	1507247.0	1078218.0	1478374.0	1484404.0	1081923.0	1489558.0	1465677.0	1465249.0	1238094.0	1093696.0	1499691.0
ZeeviD_2015__PNP_Main_316__bin.11	1397721.0	2408668.0	1897647.0	1655532.0	1693526.0	2243880.0	1998098.0	1912360.0	1891122.0	2208575.0	2125619.0	2155050.0	1994516.0	1772220.0	2276426.0	1701933.0	1959474.0	2039311.0	1877496.0	2220607.0	1384439.0	2179597.0	2179569.0	1693887.0	2179009.0	2144031.0	2130945.0	1878051.0	1327448.0	2221428.0
QinJ_2012__DOM022__bin.11	1339874.0	1897647.0	2336491.0	1615953.0	1592465.0	2098581.0	1937822.0	1860152.0	1814860.0	2071164.0	1997186.0	2162690.0	1943656.0	1724328.0	2133067.0	1700873.0	1861398.0	1945080.0	1835558.0	2112472.0	1370716.0	2068800.0	2146215.0	1710339.0	2057821.0	2116463.0	2030849.0	1782111.0	1302665.0	2153501.0
QinJ_2012__CON-101__bin.59	1201702.0	1655532.0	1615953.0	2074849.0	1421315.0	1813229.0	1749217.0	1642299.0	1557283.0	1795599.0	1718490.0	1766219.0	1723184.0	1411150.0	1821341.0	1391232.0	1670975.0	1709029.0	1727777.0	1794542.0	1294441.0	1752578.0	1806815.0	1328320.0	1762716.0	1809196.0	1754883.0	1449374.0	1163245.0	1924260.0
ZeeviD_2015__PNP_Main_170__bin.44	1177102.0	1693526.0	1592465.0	1421315.0	1968218.0	1831293.0	1690044.0	1588942.0	1517927.0	1820212.0	1757243.0	1793175.0	1673495.0	1411004.0	1883509.0	1421776.0	1660457.0	1717041.0	1590175.0	1823096.0	1194898.0	1807580.0	1802026.0	1325320.0	1793012.0	1795605.0	1794778.0	1495989.0	1136899.0	1853327.0
HeQ_2017__SZAXPI029492-90__bin.5	1501356.0	2243880.0	2098581.0	1813229.0	1831293.0	2806480.0	2212948.0	2163890.0	2220766.0	2451389.0	2343022.0	2436379.0	2196214.0	2053077.0	2551748.0	1935216.0	2159718.0	2286303.0	2094789.0	2487349.0	1506376.0	2425423.0	2474752.0	1975666.0	2413353.0	2453309.0	2409517.0	2158771.0	1459762.0	2549159.0
WenC_2017__N310__bin.37	1389043.0	1998098.0	1937822.0	1749217.0	1690044.0	2212948.0	2385415.0	1956055.0	1932402.0	2172081.0	2098090.0	2181902.0	2064270.0	1808348.0	2224405.0	1740508.0	2003558.0	2054251.0	2003079.0	2211211.0	1463150.0	2157541.0	2220747.0	1732912.0	2143254.0	2233716.0	2133905.0	1865095.0	1352670.0	2335082.0
WenC_2017__N017__bin.35	1415774.0	1912360.0	1860152.0	1642299.0	1588942.0	2163890.0	1956055.0	2292705.0	1876559.0	2077567.0	1987349.0	2083199.0	1964750.0	1760946.0	2157422.0	1665765.0	1825436.0	2073162.0	1857730.0	2122545.0	1404889.0	2069850.0	2086878.0	1675073.0	2066604.0	2088402.0	2112617.0	1823169.0	1412437.0	2153552.0
Bengtsson-PalmeJ_2015__TRAVELRES68__bin.47	1251359.0	1891122.0	1814860.0	1557283.0	1517927.0	2220766.0	1932402.0	1876559.0	2645584.0	2131788.0	1998931.0	2175138.0	1904477.0	2050577.0	2227379.0	1872646.0	1845905.0	1977555.0	1823208.0	2206314.0	1259747.0	2108451.0	2169835.0	1990591.0	2103338.0	2177650.0	2073200.0	2098999.0	1214044.0	2250649.0
ZeeviD_2015__PNP_Main_76__bin.23	1490991.0	2208575.0	2071164.0	1795599.0	1820212.0	2451389.0	2172081.0	2077567.0	2131788.0	2646710.0	2273161.0	2384310.0	2147990.0	2005380.0	2527155.0	1895571.0	2113883.0	2219560.0	2026478.0	2412752.0	1487766.0	2392188.0	2396853.0	1898909.0	2371043.0	2370342.0	2359580.0	2093614.0	1448180.0	2442362.0
