	SchirmerM_2016__G88728__bin.16	ZeeviD_2015__PNP_Main_316__bin.11	QinJ_2012__DOM022__bin.11	QinJ_2012__CON-101__bin.59	ZeeviD_2015__PNP_Main_170__bin.44	HeQ_2017__SZAXPI029492-90__bin.5	WenC_2017__N310__bin.37	WenC_2017__N017__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.47	ZeeviD_2015__PNP_Main_76__bin.23	ZellerG_2014__CCIS41692898ST-4-0__bin.27	BritoIL_2016__M1.62.ST__bin.60	QinJ_2012__CON-075__bin.51	BritoIL_2016__W2.68.ST__bin.11	ZeeviD_2015__PNP_DietIntervention_2__bin.17	QinN_2014__LD-45__bin.33	ZeeviD_2015__PNP_Main_303__bin.16	LiJ_2017__H3M615132__bin.31	QinJ_2012__CON-057__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.35	QinN_2014__HD-40__bin.11	BritoIL_2016__M1.26.ST__bin.14	QinN_2014__LD-98__bin.15	QinN_2014__HD-39__bin.8	BritoIL_2016__W2.52.ST__bin.10	ZeeviD_2015__PNP_Main_335__bin.20	LeChatelierE_2013__MH0313__bin.50	ZeeviD_2015__PNP_Main_176__bin.29	LiuW_2016__SRR3993044__bin.101	QinN_2014__HD-20__bin.7
SchirmerM_2016__G88728__bin.16	0.0	8468.0	17826.0	16373.0	9021.0	12284.0	17594.0	11286.0	10718.0	10334.0	13275.0	11141.0	18310.0	8701.0	11196.0	14471.0	16682.0	11773.0	17040.0	11367.0	13581.0	11440.0	19564.0	14417.0	11694.0	17938.0	10503.0	8754.0	7757.0	18568.0
ZeeviD_2015__PNP_Main_316__bin.11	8468.0	0.0	27658.0	24591.0	14412.0	21335.0	28725.0	17277.0	19498.0	18910.0	21831.0	19343.0	29010.0	16231.0	19759.0	24277.0	27995.0	17757.0	26448.0	19359.0	18619.0	19696.0	31875.0	25094.0	19362.0	29648.0	17636.0	16027.0	10503.0	30952.0
QinJ_2012__DOM022__bin.11	17826.0	27658.0	0.0	17335.0	22953.0	28453.0	18773.0	23867.0	26678.0	29338.0	27844.0	30157.0	19560.0	24545.0	29524.0	16798.0	18665.0	25586.0	18653.0	30858.0	13968.0	29562.0	21404.0	15130.0	29585.0	21453.0	27967.0	24406.0	16448.0	22421.0
QinJ_2012__CON-101__bin.59	16373.0	24591.0	17335.0	0.0	21527.0	26994.0	6295.0	22665.0	26115.0	27203.0	24730.0	27558.0	18223.0	21684.0	27211.0	14830.0	6656.0	23580.0	8077.0	27200.0	6291.0	27015.0	19542.0	14850.0	26085.0	14294.0	25925.0	22270.0	15153.0	10042.0
ZeeviD_2015__PNP_Main_170__bin.44	9021.0	14412.0	22953.0	21527.0	0.0	16602.0	23497.0	13911.0	15677.0	15393.0	18897.0	16228.0	23866.0	12496.0	16087.0	21265.0	23122.0	14534.0	21629.0	16067.0	16141.0	15978.0	26902.0	19426.0	16617.0	24654.0	14236.0	12312.0	8411.0	25722.0
HeQ_2017__SZAXPI029492-90__bin.5	12284.0	21335.0	28453.0	26994.0	16602.0	0.0	29823.0	18820.0	24794.0	21998.0	26421.0	23713.0	30784.0	19986.0	23959.0	27570.0	30310.0	20261.0	28790.0	23919.0	20427.0	23020.0	34763.0	27066.0	23380.0	32687.0	20898.0	20062.0	11931.0	34914.0
WenC_2017__N310__bin.37	17594.0	28725.0	18773.0	6295.0	23497.0	29823.0	0.0	25193.0	29362.0	31077.0	28718.0	31910.0	19943.0	26440.0	32369.0	16381.0	4972.0	26944.0	6387.0	32013.0	4980.0	31037.0	21670.0	17404.0	30574.0	13723.0	29874.0	26730.0	16995.0	9385.0
WenC_2017__N017__bin.35	11286.0	17277.0	23867.0	22665.0	13911.0	18820.0	25193.0	0.0	19507.0	17532.0	21047.0	18570.0	25484.0	15986.0	19162.0	21821.0	23269.0	17307.0	23851.0	19306.0	17661.0	19131.0	27498.0	22103.0	18445.0	25954.0	17603.0	16337.0	10839.0	26801.0
Bengtsson-PalmeJ_2015__TRAVELRES68__bin.47	10718.0	19498.0	26678.0	26115.0	15677.0	24794.0	29362.0	19507.0	0.0	21459.0	23316.0	23342.0	27736.0	21903.0	23363.0	27101.0	27609.0	19907.0	27308.0	23971.0	18118.0	22735.0	33289.0	28664.0	21362.0	32061.0	20313.0	21543.0	10963.0	33991.0
ZeeviD_2015__PNP_Main_76__bin.23	10334.0	18910.0	29338.0	27203.0	15393.0	21998.0	31077.0	17532.0	21459.0	0.0	24608.0	20724.0	30601.0	18214.0	20409.0	27640.0	30202.0	18964.0	28544.0	20394.0	20396.0	20598.0	35132.0	27482.0	19969.0	32811.0	18927.0	16633.0	10651.0	33776.0
