	Obregon-TitoAJ_2015__SM29__bin.49	FengQ_2015__SID531128__bin.35	ZellerG_2014__CCMD86114146ST-21-0__bin.41	XieH_2016__YSZC12003_36157__bin.8	CM_madagascar__A09_02_1FE__bin.24	FengQ_2015__SID31276__bin.37	CM_madagascar__A28_02_1FE__bin.14	CM_madagascar__V30_01_1FE__bin.2	CM_madagascar__A04_01_1FE__bin.22	FengQ_2015__SID31275__bin.63	CM_madagascar__A36_01_1FE__bin.33	FengQ_2015__SID31685__bin.11	CM_madagascar__A83_02_1FE__bin.4	CM_madagascar__V53_02_1FE__bin.13	FengQ_2015__SID31333__bin.34	ZellerG_2014__CCIS33816588ST-4-0__bin.48	ZellerG_2014__CCIS63468405ST-4-0__bin.56	FengQ_2015__SID530323__bin.3	CM_madagascar__A68_01_1FE__bin.11	CM_madagascar__V40_01_1FE__bin.52	FengQ_2015__SID31549__bin.70	CM_madagascar__A70_03_1FE__bin.14	FengQ_2015__SID31477__bin.73	FengQ_2015__SID31750__bin.100	FengQ_2015__SID31416__bin.1	XieH_2016__YSZC12003_36244__bin.35	LiSS_2016__FAT_010-22-14-0__bin.14	FengQ_2015__SID530026__bin.44	ZellerG_2014__CCIS77252613ST-4-0__bin.65	FengQ_2015__SID530168__bin.24	ZellerG_2014__CCIS41806458ST-4-0__bin.8	XieH_2016__YSZC12003_36533__bin.2	LiSS_2016__FAT_010-22-2-0__bin.88	XieH_2016__YSZC12003_35707__bin.64	CM_madagascar__A92_01_1FE__bin.31	XieH_2016__YSZC12003_35577__bin.32	LiSS_2016__FAT_010-22-0-0__bin.53	FengQ_2015__SID31871__bin.57	BritoIL_2016__M2.44.ST__bin.3	FengQ_2015__SID530054__bin.41	ZellerG_2014__CCIS16383318ST-4-0__bin.46	CM_madagascar__A62_01_1FE__bin.5	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.62	FengQ_2015__SID31360__bin.3	CM_madagascar__A13_01_1FE__bin.9	SchirmerM_2016__G89058__bin.17
Obregon-TitoAJ_2015__SM29__bin.49	1720010.0	1084836.0	1435925.0	1244898.0	777607.0	911409.0	1486906.0	955267.0	1404310.0	1306678.0	744263.0	1471433.0	1284843.0	1554386.0	1412642.0	1403980.0	1533487.0	1434900.0	1291580.0	889879.0	1389981.0	1414291.0	1434089.0	1519118.0	1196718.0	1353299.0	1419908.0	967139.0	1465013.0	1150845.0	816467.0	1414071.0	1270091.0	1432416.0	921779.0	1551913.0	1245455.0	1164156.0	1322436.0	1490740.0	1533145.0	1407113.0	1064417.0	1563666.0	1362852.0	1471434.0
FengQ_2015__SID531128__bin.35	1084836.0	1241473.0	1126704.0	952601.0	579328.0	727549.0	1123630.0	717850.0	1083511.0	1058410.0	597090.0	1140171.0	995532.0	1163587.0	1111235.0	1096384.0	1188046.0	1120716.0	985006.0	737819.0	1065120.0	1101950.0	1131164.0	1165627.0	963739.0	1049735.0	1126254.0	790380.0	1149772.0	909730.0	619469.0	1085369.0	1000409.0	1098648.0	726937.0	1181659.0	990061.0	943630.0	1017711.0	1145339.0	1152216.0	1087611.0	830056.0	1168659.0	1064817.0	1122275.0
ZellerG_2014__CCMD86114146ST-21-0__bin.41	1435925.0	1126704.0	1731837.0	1274890.0	813214.0	942609.0	1504887.0	984453.0	1436127.0	1346617.0	761371.0	1528909.0	1303943.0	1536424.0	1461365.0	1435289.0	1585336.0	1472896.0	1281975.0	933019.0	1393506.0	1434635.0	1496116.0	1564901.0	1229963.0	1406460.0	1480778.0	997434.0	1530192.0	1159558.0	805941.0	1443801.0	1328036.0	1473740.0	934498.0	1580013.0	1283153.0	1217076.0	1361628.0	1506100.0	1528218.0	1443403.0	1090411.0	1581023.0	1397874.0	1506703.0
XieH_2016__YSZC12003_36157__bin.8	1244898.0	952601.0	1274890.0	1466020.0	687847.0	822058.0	1296415.0	828164.0	1218875.0	1140885.0	653409.0	1273086.0	1128173.0	1310169.0	1260609.0	1234540.0	1336157.0	1270933.0	1134133.0	802049.0	1197272.0	1230231.0	1277080.0	1334838.0	1022424.0	1215389.0	1253454.0	869238.0	1299396.0	1026595.0	701733.0	1248922.0	1123531.0	1276900.0	823993.0	1381929.0	1103513.0	1019995.0	1169777.0	1314738.0	1318581.0	1231474.0	943229.0	1374859.0	1184477.0	1325724.0
CM_madagascar__A09_02_1FE__bin.24	777607.0	579328.0	813214.0	687847.0	999733.0	491329.0	836053.0	838669.0	784938.0	700470.0	439267.0	867083.0	710828.0	862677.0	804929.0	823110.0	854662.0	799348.0	704820.0	436089.0	684324.0	764620.0	843980.0	853726.0	612949.0	803677.0	825390.0	487807.0	851179.0	620536.0	448666.0	826628.0	715570.0	839310.0	307812.0	902349.0	660515.0	679969.0	747075.0	880944.0	866703.0	798187.0	603048.0	904319.0	727796.0	835699.0
FengQ_2015__SID31276__bin.37	911409.0	727549.0	942609.0	822058.0	491329.0	1053009.0	930972.0	616780.0	892891.0	876625.0	488460.0	953891.0	828168.0	975002.0	943530.0	941401.0	990346.0	949350.0	805537.0	589051.0	895125.0	901754.0	947093.0	961149.0	801493.0	888662.0	937659.0	653480.0	938588.0	743995.0	522620.0	900197.0	849827.0	907651.0	583944.0	970506.0	840682.0	800551.0	841402.0	957672.0	953091.0	885974.0	704924.0	982428.0	882882.0	932465.0
CM_madagascar__A28_02_1FE__bin.14	1486906.0	1123630.0	1504887.0	1296415.0	836053.0	930972.0	1764519.0	1032282.0	1468914.0	1324507.0	782584.0	1535071.0	1337628.0	1598621.0	1469429.0	1444489.0	1587372.0	1483327.0	1350809.0	924424.0	1422787.0	1478956.0	1496093.0	1575317.0	1220323.0	1406403.0	1481516.0	994722.0	1539485.0	1182267.0	813771.0	1457617.0	1316622.0	1497909.0	978841.0	1616067.0	1278569.0	1184728.0	1407360.0	1566399.0	1579092.0	1476318.0	1091356.0	1614472.0	1425377.0	1529878.0
CM_madagascar__V30_01_1FE__bin.2	955267.0	717850.0	984453.0	828164.0	838669.0	616780.0	1032282.0	1161762.0	959087.0	853934.0	511546.0	1031983.0	857499.0	1031064.0	959831.0	988168.0	1043305.0	983442.0	868334.0	558546.0	850931.0	941173.0	981696.0	1040996.0	760343.0	941489.0	964463.0	588408.0	994474.0	759991.0	571219.0	987859.0	851457.0	977692.0	455787.0	1073092.0	791628.0	816743.0	914685.0	1036356.0	1052709.0	961095.0	739135.0	1078607.0	905070.0	1027514.0
CM_madagascar__A04_01_1FE__bin.22	1404310.0	1083511.0	1436127.0	1218875.0	784938.0	892891.0	1468914.0	959087.0	1666136.0	1279678.0	756878.0	1455355.0	1336001.0	1499097.0	1385998.0	1381309.0	1499568.0	1426595.0	1281029.0	903022.0	1365712.0	1429283.0	1417000.0	1489676.0	1177818.0	1329446.0	1403175.0	960471.0	1461678.0	1134569.0	794071.0	1390188.0	1250753.0	1407183.0	939988.0	1524201.0	1237680.0	1149982.0	1307259.0	1465578.0	1517439.0	1397247.0	1052746.0	1529307.0	1372846.0	1453964.0
FengQ_2015__SID31275__bin.63	1306678.0	1058410.0	1346617.0	1140885.0	700470.0	876625.0	1324507.0	853934.0	1279678.0	1519452.0	710111.0	1373195.0	1165582.0	1391254.0	1323311.0	1295602.0	1418895.0	1343143.0	1171658.0	839096.0	1273253.0	1290169.0	1343749.0	1397334.0	1145318.0	1270415.0	1336103.0	929050.0	1354180.0	1063099.0	713159.0	1286473.0	1214255.0	1327784.0	847031.0	1410050.0	1196992.0	1115342.0	1212815.0	1352662.0	1383179.0	1283721.0	960223.0	1412157.0	1262269.0	1363040.0
CM_madagascar__A36_01_1FE__bin.33	744263.0	597090.0	761371.0	653409.0	439267.0	488460.0	782584.0	511546.0	756878.0	710111.0	856334.0	779689.0	717058.0	796537.0	762618.0	755723.0	798916.0	770924.0	682431.0	523777.0	699095.0	755966.0	768162.0	789371.0	656177.0	732962.0	764956.0	555477.0	790764.0	639012.0	429891.0	748902.0	700326.0	752345.0	497721.0	803175.0	686939.0	663076.0	714705.0	777251.0	794627.0	770157.0	578278.0	795097.0	719397.0	760332.0
FengQ_2015__SID31685__bin.11	1471433.0	1140171.0	1528909.0	1273086.0	867083.0	953891.0	1535071.0	1031983.0	1455355.0	1373195.0	779689.0	1805086.0	1320535.0	1597006.0	1470578.0	1491221.0	1617757.0	1522180.0	1315147.0	927071.0	1437641.0	1460797.0	1495501.0	1575981.0	1241277.0	1420319.0	1497440.0	1001331.0	1566150.0	1172151.0	814451.0	1439812.0	1332167.0	1512919.0	947745.0	1607252.0	1302393.0	1246222.0	1372684.0	1547819.0	1577511.0	1452072.0	1096731.0	1613738.0	1427331.0	1508913.0
CM_madagascar__A83_02_1FE__bin.4	1284843.0	995532.0	1303943.0	1128173.0	710828.0	828168.0	1337628.0	857499.0	1336001.0	1165582.0	717058.0	1320535.0	1484299.0	1363108.0	1268825.0	1269678.0	1392084.0	1297732.0	1189539.0	855835.0	1230024.0	1288560.0	1293839.0	1361058.0	1093234.0	1221606.0	1282061.0	881068.0	1318261.0	1028163.0	735203.0	1256465.0	1144514.0	1274885.0	859358.0	1382027.0	1135014.0	1067565.0	1192882.0	1326269.0	1359896.0	1273822.0	975753.0	1392986.0	1233808.0	1319499.0
CM_madagascar__V53_02_1FE__bin.13	1554386.0	1163587.0	1536424.0	1310169.0	862677.0	975002.0	1598621.0	1031064.0	1499097.0	1391254.0	796537.0	1597006.0	1363108.0	1872059.0	1522476.0	1529622.0	1664250.0	1561465.0	1379804.0	965600.0	1488537.0	1540610.0	1563042.0	1624376.0	1277147.0	1441458.0	1549644.0	1028041.0	1574331.0	1211127.0	830443.0	1506538.0	1374600.0	1545286.0	1029205.0	1668537.0	1345523.0	1244659.0	1414547.0	1615673.0	1637342.0	1510597.0	1124025.0	1667647.0	1500001.0	1549953.0
FengQ_2015__SID31333__bin.34	1412642.0	1111235.0	1461365.0	1260609.0	804929.0	943530.0	1469429.0	959831.0	1385998.0	1323311.0	762618.0	1470578.0	1268825.0	1522476.0	1672450.0	1426170.0	1540788.0	1459940.0	1284257.0	914810.0	1375972.0	1389423.0	1461783.0	1523568.0	1212593.0	1382460.0	1457223.0	997355.0	1495615.0	1150782.0	796081.0	1426960.0	1288008.0	1457579.0	893179.0	1561058.0	1261559.0	1194147.0	1333777.0	1515052.0	1492036.0	1392756.0	1059319.0	1543928.0	1348873.0	1487131.0
ZellerG_2014__CCIS33816588ST-4-0__bin.48	1403980.0	1096384.0	1435289.0	1234540.0	823110.0	941401.0	1444489.0	988168.0	1381309.0	1295602.0	755723.0	1491221.0	1269678.0	1529622.0	1426170.0	1794960.0	1548300.0	1460249.0	1247030.0	879613.0	1366810.0	1388316.0	1569808.0	1499698.0	1173252.0	1436887.0	1499483.0	970805.0	1474543.0	1141655.0	806021.0	1503200.0	1337358.0	1422143.0	880503.0	1541453.0	1297497.0	1214462.0	1324231.0	1501152.0	1505543.0	1370690.0	1073797.0	1536495.0	1358080.0	1461025.0
ZellerG_2014__CCIS63468405ST-4-0__bin.56	1533487.0	1188046.0	1585336.0	1336157.0	854662.0	990346.0	1587372.0	1043305.0	1499568.0	1418895.0	798916.0	1617757.0	1392084.0	1664250.0	1540788.0	1548300.0	1867700.0	1564937.0	1362667.0	963585.0	1490620.0	1511456.0	1564600.0	1642659.0	1279332.0	1464977.0	1555122.0	1039901.0	1588687.0	1227073.0	845613.0	1520647.0	1381608.0	1548649.0	1001370.0	1697584.0	1352046.0	1288328.0	1425645.0	1603183.0	1645743.0	1492338.0	1133544.0	1694561.0	1460735.0	1575667.0
