	Obregon-TitoAJ_2015__SM29__bin.49	FengQ_2015__SID531128__bin.35	ZellerG_2014__CCMD86114146ST-21-0__bin.41	XieH_2016__YSZC12003_36157__bin.8	CM_madagascar__A09_02_1FE__bin.24	FengQ_2015__SID31276__bin.37	CM_madagascar__A28_02_1FE__bin.14	CM_madagascar__V30_01_1FE__bin.2	CM_madagascar__A04_01_1FE__bin.22	FengQ_2015__SID31275__bin.63	CM_madagascar__A36_01_1FE__bin.33	FengQ_2015__SID31685__bin.11	CM_madagascar__A83_02_1FE__bin.4	CM_madagascar__V53_02_1FE__bin.13	FengQ_2015__SID31333__bin.34	ZellerG_2014__CCIS33816588ST-4-0__bin.48	ZellerG_2014__CCIS63468405ST-4-0__bin.56	FengQ_2015__SID530323__bin.3	CM_madagascar__A68_01_1FE__bin.11	CM_madagascar__V40_01_1FE__bin.52	FengQ_2015__SID31549__bin.70	CM_madagascar__A70_03_1FE__bin.14	FengQ_2015__SID31477__bin.73	FengQ_2015__SID31750__bin.100	FengQ_2015__SID31416__bin.1	XieH_2016__YSZC12003_36244__bin.35	LiSS_2016__FAT_010-22-14-0__bin.14	FengQ_2015__SID530026__bin.44	ZellerG_2014__CCIS77252613ST-4-0__bin.65	FengQ_2015__SID530168__bin.24	ZellerG_2014__CCIS41806458ST-4-0__bin.8	XieH_2016__YSZC12003_36533__bin.2	LiSS_2016__FAT_010-22-2-0__bin.88	XieH_2016__YSZC12003_35707__bin.64	CM_madagascar__A92_01_1FE__bin.31	XieH_2016__YSZC12003_35577__bin.32	LiSS_2016__FAT_010-22-0-0__bin.53	FengQ_2015__SID31871__bin.57	BritoIL_2016__M2.44.ST__bin.3	FengQ_2015__SID530054__bin.41	ZellerG_2014__CCIS16383318ST-4-0__bin.46	CM_madagascar__A62_01_1FE__bin.5	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.62	FengQ_2015__SID31360__bin.3	CM_madagascar__A13_01_1FE__bin.9	SchirmerM_2016__G89058__bin.17
Obregon-TitoAJ_2015__SM29__bin.49	0.0	27297.0	35933.0	32705.0	22443.0	23543.0	44051.0	25100.0	37132.0	34207.0	20173.0	36547.0	33320.0	45395.0	35387.0	41885.0	39248.0	35769.0	38045.0	24018.0	34775.0	41137.0	42453.0	37090.0	29694.0	40216.0	42707.0	23960.0	38256.0	28172.0	20229.0	42632.0	38258.0	37109.0	28680.0	40325.0	37306.0	28760.0	37832.0	39584.0	35184.0	39219.0	26757.0	39744.0	39761.0	38805.0
FengQ_2015__SID531128__bin.35	27297.0	0.0	23969.0	22092.0	15848.0	16394.0	32336.0	18573.0	27693.0	23580.0	15643.0	26211.0	25017.0	33087.0	22403.0	28944.0	25067.0	23121.0	27982.0	19499.0	22036.0	31307.0	30404.0	25752.0	19752.0	27827.0	29997.0	16466.0	27289.0	18719.0	13507.0	28740.0	27303.0	24163.0	20706.0	26840.0	26829.0	16871.0	26994.0	26816.0	29412.0	29350.0	18968.0	25317.0	29270.0	23618.0
ZellerG_2014__CCMD86114146ST-21-0__bin.41	35933.0	23969.0	0.0	29804.0	23043.0	21032.0	41749.0	24143.0	36352.0	29502.0	19278.0	33464.0	32480.0	44054.0	31912.0	38682.0	33448.0	30939.0	36363.0	23661.0	29052.0	39562.0	40876.0	33657.0	24931.0	38161.0	40031.0	20999.0	37540.0	24279.0	17674.0	39646.0	35985.0	33343.0	28190.0	37089.0	34206.0	25954.0	37103.0	35700.0	38397.0	37361.0	25151.0	36151.0	39517.0	34600.0
XieH_2016__YSZC12003_36157__bin.8	32705.0	22092.0	29804.0	0.0	19567.0	18442.0	37380.0	21522.0	32253.0	26426.0	17542.0	29820.0	29363.0	38060.0	27783.0	32423.0	30948.0	28215.0	32380.0	20769.0	27070.0	35169.0	35189.0	31471.0	23064.0	33496.0	34425.0	19215.0	32772.0	22781.0	15731.0	34416.0	30980.0	28206.0	24347.0	31687.0	29474.0	22582.0	33324.0	30854.0	34084.0	34154.0	22350.0	33213.0	32753.0	28501.0
CM_madagascar__A09_02_1FE__bin.24	22443.0	15848.0	23043.0	19567.0	0.0	13122.0	21537.0	21051.0	17760.0	19292.0	10528.0	22923.0	16349.0	21692.0	22559.0	24817.0	22896.0	20869.0	1435.0	9837.0	17666.0	17893.0	27312.0	23220.0	16439.0	24982.0	26117.0	12936.0	24146.0	16052.0	12179.0	26104.0	21946.0	23623.0	7648.0	25381.0	19779.0	18060.0	18489.0	25980.0	24167.0	19670.0	17188.0	25539.0	17199.0	24467.0
FengQ_2015__SID31276__bin.37	23543.0	16394.0	21032.0	18442.0	13122.0	0.0	26389.0	15609.0	23727.0	19547.0	12892.0	21425.0	22204.0	27689.0	20406.0	25740.0	20790.0	20420.0	22865.0	15246.0	19028.0	25699.0	26295.0	21824.0	15786.0	24801.0	26122.0	14374.0	22988.0	15725.0	11571.0	24729.0	23855.0	19983.0	16744.0	22550.0	23642.0	16891.0	22834.0	23135.0	24510.0	23517.0	17253.0	22434.0	23759.0	20431.0
CM_madagascar__A28_02_1FE__bin.14	44051.0	32336.0	41749.0	37380.0	21537.0	26389.0	0.0	24436.0	34241.0	37986.0	19299.0	43557.0	31399.0	43163.0	42157.0	43867.0	45525.0	41286.0	35788.0	21125.0	39349.0	38418.0	44803.0	43094.0	33439.0	42151.0	45899.0	27593.0	44480.0	31579.0	23215.0	43863.0	39641.0	43048.0	25191.0	46703.0	38295.0	33143.0	27970.0	45513.0	46443.0	36349.0	31114.0	45582.0	33749.0	43156.0
CM_madagascar__V30_01_1FE__bin.2	25100.0	18573.0	24143.0	21522.0	21051.0	15609.0	24436.0	0.0	19470.0	21808.0	10863.0	24479.0	17036.0	23523.0	24877.0	27532.0	26285.0	23526.0	20485.0	692.0	20193.0	21252.0	27689.0	24851.0	19084.0	26466.0	27457.0	14198.0	26342.0	17991.0	14659.0	27796.0	23966.0	25342.0	9693.0	29017.0	22112.0	20501.0	20329.0	27312.0	27440.0	20794.0	18559.0	27359.0	18888.0	27096.0
CM_madagascar__A04_01_1FE__bin.22	37132.0	27693.0	36352.0	32253.0	17760.0	23727.0	34241.0	19470.0	0.0	33754.0	14744.0	36070.0	1837.0	35378.0	35201.0	38874.0	38393.0	35709.0	30831.0	19848.0	35875.0	33809.0	40323.0	36471.0	29324.0	37520.0	39903.0	24532.0	39058.0	28060.0	20551.0	39140.0	36000.0	36905.0	22907.0	40246.0	35559.0	29212.0	30852.0	39422.0	40537.0	31325.0	27562.0	39187.0	32187.0	37757.0
FengQ_2015__SID31275__bin.63	34207.0	23580.0	29502.0	26426.0	19292.0	19547.0	37986.0	21808.0	33754.0	0.0	18473.0	31860.0	31107.0	40718.0	28500.0	34841.0	31492.0	27972.0	35259.0	22287.0	27599.0	37458.0	37082.0	31842.0	24803.0	34698.0	37132.0	20116.0	34125.0	22756.0	15040.0	35062.0	33623.0	30730.0	25367.0	32905.0	33039.0	23249.0	33526.0	33126.0	35703.0	34891.0	23228.0	32756.0	36396.0	30956.0
