	Obregon-TitoAJ_2015__SM29__bin.49	FengQ_2015__SID531128__bin.35	ZellerG_2014__CCMD86114146ST-21-0__bin.41	XieH_2016__YSZC12003_36157__bin.8	CM_madagascar__A09_02_1FE__bin.24	FengQ_2015__SID31276__bin.37	CM_madagascar__A28_02_1FE__bin.14	CM_madagascar__V30_01_1FE__bin.2	CM_madagascar__A04_01_1FE__bin.22	FengQ_2015__SID31275__bin.63	CM_madagascar__A36_01_1FE__bin.33	FengQ_2015__SID31685__bin.11	CM_madagascar__A83_02_1FE__bin.4	CM_madagascar__V53_02_1FE__bin.13	FengQ_2015__SID31333__bin.34	ZellerG_2014__CCIS33816588ST-4-0__bin.48	ZellerG_2014__CCIS63468405ST-4-0__bin.56	FengQ_2015__SID530323__bin.3	CM_madagascar__A68_01_1FE__bin.11	CM_madagascar__V40_01_1FE__bin.52	FengQ_2015__SID31549__bin.70	CM_madagascar__A70_03_1FE__bin.14	FengQ_2015__SID31477__bin.73	FengQ_2015__SID31750__bin.100	FengQ_2015__SID31416__bin.1	XieH_2016__YSZC12003_36244__bin.35	LiSS_2016__FAT_010-22-14-0__bin.14	FengQ_2015__SID530026__bin.44	ZellerG_2014__CCIS77252613ST-4-0__bin.65	FengQ_2015__SID530168__bin.24	ZellerG_2014__CCIS41806458ST-4-0__bin.8	XieH_2016__YSZC12003_36533__bin.2	LiSS_2016__FAT_010-22-2-0__bin.88	XieH_2016__YSZC12003_35707__bin.64	CM_madagascar__A92_01_1FE__bin.31	XieH_2016__YSZC12003_35577__bin.32	LiSS_2016__FAT_010-22-0-0__bin.53	FengQ_2015__SID31871__bin.57	BritoIL_2016__M2.44.ST__bin.3	FengQ_2015__SID530054__bin.41	ZellerG_2014__CCIS16383318ST-4-0__bin.46	CM_madagascar__A62_01_1FE__bin.5	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.62	FengQ_2015__SID31360__bin.3	CM_madagascar__A13_01_1FE__bin.9	SchirmerM_2016__G89058__bin.17
Obregon-TitoAJ_2015__SM29__bin.49	1.0	0.9748376713162173	0.9749757125198043	0.973728771353155	0.9711383770979428	0.9741685675695544	0.970374051890301	0.9737246235869134	0.9735585447657569	0.9738214005286688	0.9728953340418642	0.9751623077639281	0.9740668704269705	0.9707955424199651	0.9749497749606765	0.9701669539452129	0.9744060432204512	0.9750721304620531	0.9705438300376283	0.9730098136937718	0.9749816724113495	0.9709133410309476	0.9703972347601857	0.9755845168051461	0.9751871368192006	0.9702829899379221	0.9699226992171324	0.9752258982421348	0.9738869211399489	0.9755205957361764	0.9752237383752191	0.9698515845385416	0.9698777489172036	0.9740934197886647	0.968886251476764	0.9740159403265518	0.9700462883042743	0.9752954071447469	0.971392188355429	0.973446744569811	0.9770510943191936	0.9721280380466956	0.9748622955101243	0.9745828073258611	0.9708251519607412	0.9736277671985287
FengQ_2015__SID531128__bin.35	0.9748376713162173	1.0	0.9787264445675173	0.9768087583363864	0.9726441670349094	0.9774668097956288	0.9712218434894049	0.9741269067353904	0.9744414223759611	0.9777212989295264	0.9738012694903616	0.9770113430353868	0.974870722387628	0.971564653094268	0.9798395478904102	0.9736004903391513	0.9789006486280835	0.9793694388230382	0.9715920512159317	0.9735721091487207	0.9793112513144059	0.9715894550569445	0.973121492551036	0.9779071692745621	0.9795048244389819	0.9734914049736362	0.9733656883793531	0.9791669829702169	0.9762657292054425	0.9794235652336407	0.9781958419226789	0.973520526198924	0.9727081623615941	0.9780066044811441	0.9715161011201796	0.977286171391239	0.9729016696950996	0.9821211703739813	0.9734757706264352	0.9765868445936094	0.9744735362119603	0.9730142486605965	0.9771485297377527	0.9783367089972352	0.9725117085846676	0.978955247154218
ZellerG_2014__CCMD86114146ST-21-0__bin.41	0.9749757125198043	0.9787264445675173	1.0	0.9766222968256085	0.9716642851697094	0.9776874610787718	0.9722577176891022	0.9754757210349301	0.9746874754112972	0.9780917662557357	0.9746798866781109	0.9781124972120643	0.9750909357234173	0.9713269253799732	0.9781628819630962	0.9730493301349066	0.9789016334707595	0.9789944435995481	0.9716351722927514	0.9746403878163253	0.9791518658692535	0.9724236478267991	0.972678589093359	0.9784925691784976	0.9797302845695358	0.9728673406993444	0.9729662380181229	0.978946977945408	0.9754671309221327	0.9790618494288341	0.9780703550259883	0.9725405370961787	0.9729035959868558	0.9773752493655598	0.9698340713409767	0.9765261425064224	0.9733422280897134	0.9786751197131486	0.9727510010076174	0.976296394661709	0.9748746579349281	0.9741160299652973	0.9769343852914176	0.9771344249893897	0.9717306423898006	0.9770359520091219
XieH_2016__YSZC12003_36157__bin.8	0.973728771353155	0.9768087583363864	0.9766222968256085	1.0	0.971553266932908	0.9775660598157307	0.9711666403119371	0.9740123936804788	0.9735387139780536	0.9768372798310084	0.9731531093082587	0.9765766020520216	0.973972963366434	0.9709503125169349	0.9779606523513635	0.9737367764511478	0.9768380512170352	0.9777997738669151	0.9714495566216661	0.9741050733808034	0.9773902672074516	0.9714126859102071	0.9724457355843017	0.9764233562424803	0.9774418440881669	0.9724400994249578	0.9725358888319795	0.9778944316746392	0.9747790511899375	0.9778091652501717	0.9775826418310098	0.9724434352185325	0.9724262169891174	0.9779105646487587	0.970452418891908	0.9770704573100355	0.9732907541642011	0.9778606757876264	0.9715125190527767	0.9765322064167918	0.9741510002040071	0.9722657563212865	0.9763047997888106	0.97584261367893	0.972348133395583	0.9785015583937532
CM_madagascar__A09_02_1FE__bin.24	0.9711383770979428	0.9726441670349094	0.9716642851697094	0.971553266932908	1.0	0.9732928445094835	0.9742396714083916	0.9748995133956304	0.9773740091574111	0.9724584921552671	0.9760328000965245	0.9735630845028677	0.9770000618996438	0.9748550152606363	0.9719739256505854	0.9698497163198114	0.9732104621476092	0.9738924723649774	0.9979640191822026	0.9774426779854571	0.9741847428995623	0.9765988334074442	0.9676390435792317	0.9728015780238625	0.9731804766791364	0.9689153727181442	0.9683579883449036	0.9734813153562782	0.97163228886051	0.9741320406874058	0.9728550859659524	0.9684211035677475	0.9693307433235043	0.9718542612383982	0.9751536652242278	0.9718723021801986	0.9700551842123192	0.9734399656454926	0.9752514807750226	0.9705089086252928	0.972116168975993	0.9753566520126236	0.971498122869158	0.971758859429029	0.9763683779520634	0.9707227123641406
FengQ_2015__SID31276__bin.37	0.9741685675695544	0.9774668097956288	0.9776874610787718	0.9775660598157307	0.9732928445094835	1.0	0.9716543569516591	0.9746927591685852	0.9734267676569704	0.9777019820333666	0.9736068460058142	0.9775393624638454	0.9731890147892698	0.9716010838952125	0.9783727067501828	0.9726577728300693	0.9790073368297545	0.9784905461631642	0.9716152082399692	0.9741176909978932	0.9787426337103756	0.9715010967514421	0.9722360950825315	0.9772938430982085	0.9803042571800378	0.9720917514195498	0.9721412581759467	0.9780039174879109	0.9755078905760568	0.9788641052695246	0.977859630324136	0.9725293463541869	0.9719295809617722	0.9779838285860976	0.971326017563328	0.9767646980028974	0.9718775946196064	0.978900782086338	0.9728619613454687	0.9758424596312725	0.9742836728077382	0.9734563316756474	0.9755250211370303	0.9771647387900182	0.9730892690076364	0.9780892580418568
CM_madagascar__A28_02_1FE__bin.14	0.970374051890301	0.9712218434894049	0.9722577176891022	0.9711666403119371	0.9742396714083916	0.9716543569516591	1.0	0.9763281738904679	0.9766895815548086	0.9713206498719901	0.97533938848737	0.9716254166745382	0.9765263585989528	0.9729998542493812	0.9713106247392694	0.9696314752137261	0.9713205222216342	0.9721666227338949	0.9735062469971698	0.9771479321177295	0.9723437169442791	0.9740235679763293	0.9700533322460569	0.9726442360489984	0.9725982383352604	0.9700292163768137	0.9690188968597032	0.9722605914014166	0.9711072209212821	0.973289451536751	0.971472318379495	0.9699077329641462	0.9698918900033571	0.9712612715458683	0.9742644617460854	0.9711008268840339	0.9700485464609262	0.972024802317494	0.9801259095043201	0.9709441847192191	0.9705887940664635	0.9753786108412957	0.9714905127199557	0.9717666209138344	0.9763227553131557	0.9717912147243114
CM_madagascar__V30_01_1FE__bin.2	0.9737246235869134	0.9741269067353904	0.9754757210349301	0.9740123936804788	0.9748995133956304	0.9746927591685852	0.9763281738904679	1.0	0.9796994433247453	0.9744617265502955	0.9787643730964566	0.9762796480174577	0.9801329214378093	0.9771857033123065	0.9740818956670497	0.9721383408489245	0.9748060250837483	0.9760778978323074	0.9764088472868735	0.9987610689182269	0.9762695212655316	0.9774196667350211	0.9717947307516788	0.976127670039078	0.9749008013488649	0.9718892095393573	0.9715313080958005	0.9758704844257726	0.9735116252410823	0.976327351244949	0.9743373382187918	0.9718623811697823	0.9718529532319307	0.9740797715435945	0.978733487352645	0.9729594480249597	0.9720676883586735	0.9748990808614215	0.9777748623843181	0.9736461216030012	0.9739339171603929	0.9783642615974487	0.9748909197913778	0.9746348762802393	0.9791308959527992	0.9736295563856064
CM_madagascar__A04_01_1FE__bin.22	0.9735585447657569	0.9744414223759611	0.9746874754112972	0.9735387139780536	0.9773740091574111	0.9734267676569704	0.9766895815548086	0.9796994433247453	1.0	0.9736230520490311	0.9805199781206483	0.975215669029206	0.9986250010291908	0.9764004597434323	0.9746024164537034	0.9718571297226037	0.9743972930870758	0.974969069707941	0.9759326291598395	0.9780204690472657	0.9737316505969048	0.9763454823152588	0.9715434015525759	0.975517495079467	0.9751031144030742	0.9717777179366442	0.9715623496712812	0.9744583646981533	0.9732786564482738	0.9752681414704615	0.9741194427198575	0.9718455345607933	0.9712173386751821	0.973773844624331	0.97563053996434	0.9735953460206364	0.9712696335078534	0.9745978632709034	0.9763994740139482	0.9731013975373539	0.9732859113282313	0.9775809144696679	0.9738189458805828	0.9743759755235541	0.9765545443553028	0.9740316816647455
FengQ_2015__SID31275__bin.63	0.9738214005286688	0.9777212989295264	0.9780917662557357	0.9768372798310084	0.9724584921552671	0.9777019820333666	0.9713206498719901	0.9744617265502955	0.9736230520490311	1.0	0.9739857571562756	0.976798633842972	0.973312044969809	0.970732878396037	0.9784631126016484	0.9731082539236586	0.9778052639554019	0.9791742204664731	0.9699067475321297	0.9734392727411405	0.9783240251544666	0.9709665942988864	0.9724040724867516	0.9772123200322901	0.9783440057695767	0.9726876650543327	0.9722087294168189	0.978347774608471	0.9748002481206339	0.9785946558128641	0.9789107337914826	0.9727456386570102	0.9723097701883048	0.9768561754020232	0.9700518635091278	0.9766639480869472	0.9723983117681655	0.979155272553172	0.9723568722352544	0.9755105118647526	0.9741877226302598	0.9728204181438178	0.9758097858518282	0.9768042788443495	0.9711662094212882	0.977289001056462
