	Obregon-TitoAJ_2015__SM29__bin.49	FengQ_2015__SID531128__bin.35	ZellerG_2014__CCMD86114146ST-21-0__bin.41	XieH_2016__YSZC12003_36157__bin.8	CM_madagascar__A09_02_1FE__bin.24	FengQ_2015__SID31276__bin.37	CM_madagascar__A28_02_1FE__bin.14	CM_madagascar__V30_01_1FE__bin.2	CM_madagascar__A04_01_1FE__bin.22	FengQ_2015__SID31275__bin.63	CM_madagascar__A36_01_1FE__bin.33	FengQ_2015__SID31685__bin.11	CM_madagascar__A83_02_1FE__bin.4	CM_madagascar__V53_02_1FE__bin.13	FengQ_2015__SID31333__bin.34	ZellerG_2014__CCIS33816588ST-4-0__bin.48	ZellerG_2014__CCIS63468405ST-4-0__bin.56	FengQ_2015__SID530323__bin.3	CM_madagascar__A68_01_1FE__bin.11	CM_madagascar__V40_01_1FE__bin.52	FengQ_2015__SID31549__bin.70	CM_madagascar__A70_03_1FE__bin.14	FengQ_2015__SID31477__bin.73	FengQ_2015__SID31750__bin.100	FengQ_2015__SID31416__bin.1	XieH_2016__YSZC12003_36244__bin.35	LiSS_2016__FAT_010-22-14-0__bin.14	FengQ_2015__SID530026__bin.44	ZellerG_2014__CCIS77252613ST-4-0__bin.65	FengQ_2015__SID530168__bin.24	ZellerG_2014__CCIS41806458ST-4-0__bin.8	XieH_2016__YSZC12003_36533__bin.2	LiSS_2016__FAT_010-22-2-0__bin.88	XieH_2016__YSZC12003_35707__bin.64	CM_madagascar__A92_01_1FE__bin.31	XieH_2016__YSZC12003_35577__bin.32	LiSS_2016__FAT_010-22-0-0__bin.53	FengQ_2015__SID31871__bin.57	BritoIL_2016__M2.44.ST__bin.3	FengQ_2015__SID530054__bin.41	ZellerG_2014__CCIS16383318ST-4-0__bin.46	CM_madagascar__A62_01_1FE__bin.5	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.62	FengQ_2015__SID31360__bin.3	CM_madagascar__A13_01_1FE__bin.9	SchirmerM_2016__G89058__bin.17
Obregon-TitoAJ_2015__SM29__bin.49	1.0	0.6148446811355748	0.8139441049761339	0.7047592746553799	0.43904628461462436	0.5161981616385951	0.8388643089284363	0.5407916233045157	0.7948663089168087	0.7398044197417457	0.4209801105807524	0.8342311963302539	0.7276254207824373	0.8773152481671618	0.8007249957849082	0.7919110935401539	0.8687385538456173	0.8134435264911251	0.7287951814233637	0.5034046313684222	0.7879058842681146	0.7983407073214691	0.8090859936860831	0.8616391765164155	0.6784983808233673	0.763415910372614	0.8006936006186011	0.548356695600607	0.8295050610170871	0.6527130656217115	0.4629263783350097	0.7973436200952321	0.7161778129196924	0.8112202836030024	0.5192405858105477	0.8788251231097494	0.7024081255341538	0.6601101156388626	0.7468584484973925	0.8436904436602113	0.8709024947529376	0.795282585566363	0.6032871901907546	0.8859960116510951	0.7692344811948767	0.8329189946570078
FengQ_2015__SID531128__bin.35	0.8518421262484162	1.0	0.88824726756039	0.7495201264948976	0.4538801890979506	0.5728316282351691	0.8790316019760397	0.5632639614393548	0.8504558697611627	0.833550145673728	0.46835251350613344	0.8972889462759158	0.781744749986508	0.9106118296571895	0.8770484738693471	0.8598173298976297	0.9367734940671284	0.8841070244781805	0.7708778201378524	0.5786029982126072	0.8401986994481556	0.8623973296237615	0.8866564154033153	0.9181633430610251	0.7603765849116332	0.8231415423452625	0.8830292724851849	0.623383674071043	0.9041541781416108	0.7177046943429297	0.4880992176229366	0.8511091260140172	0.7838317869176373	0.8654920405034987	0.5688653720217838	0.9302006568004298	0.775878331627027	0.7464995211333634	0.7980173551901651	0.9009644188798307	0.9044127419605582	0.8524236934673569	0.6533271363936227	0.9209559934046088	0.8341276854188532	0.8849624599165669
ZellerG_2014__CCMD86114146ST-21-0__bin.41	0.8083855466767369	0.6367429498272644	1.0	0.7189394844895912	0.45626176135513913	0.5321384171836033	0.8448474076948349	0.5545036859704464	0.8082602462009992	0.7605305811112709	0.42850048820991815	0.8635021656195127	0.7341701326395036	0.8617265943619405	0.8253969628781462	0.8064309747395395	0.8960935700068771	0.832617041904059	0.7192432082234068	0.5250829032986362	0.7878651397331272	0.8055452100861686	0.8402869323152236	0.8841732795869357	0.6958114418389258	0.7900853255820265	0.8319183618319738	0.5638146084186907	0.8618894272382447	0.6555345566586233	0.45516235072931227	0.8107893525776386	0.7460580874528031	0.8317162642904615	0.5233217675797434	0.890917563257974	0.721168909083245	0.6877795081176808	0.7648092747758594	0.8490406429704412	0.8602547468381839	0.8118789470371635	0.6151040773467711	0.8920423804318767	0.7843446005599835	0.8500239918652852
XieH_2016__YSZC12003_36157__bin.8	0.8268597972742527	0.6347178073968978	0.8492967353787807	1.0	0.45584644138551994	0.5481616894721764	0.8588116123927367	0.5502257813672392	0.8094173340063574	0.7601935853535423	0.4337369203694356	0.8480552789184321	0.7495191061513485	0.8677296353392178	0.8409339572447853	0.8199867668926754	0.8903077720631369	0.8476814777424592	0.751526582174868	0.5329258809566035	0.7982169411058512	0.8151744178114897	0.8471173653838283	0.8890513089862347	0.6816823781394524	0.8061915935662542	0.8315227623088363	0.5798167828542585	0.863988212984816	0.6847205358726347	0.46793495313842925	0.82843753836919	0.7452497237418316	0.8517578204935813	0.5454536773031746	0.9210256340295494	0.7326223380308591	0.6803542925744532	0.7751961091935989	0.8757615857900984	0.8761797246967981	0.8167146423650428	0.6281490020599991	0.915162139670673	0.7856127474386434	0.8848603702541575
CM_madagascar__A09_02_1FE__bin.24	0.7553656826372641	0.563630489340654	0.7903820320025448	0.6684584784137365	1.0	0.47833471536900357	0.814733533853539	0.8178363623087365	0.7673828912319589	0.6813599230994675	0.42885350388553745	0.8443854509153944	0.6946644754149358	0.8412096029639914	0.7825789485792707	0.7985062011557085	0.8319881408336026	0.7786869094048111	0.7035728539520052	0.42636583967919434	0.6668360452240748	0.7469264293566382	0.8168861085909938	0.8307278043237544	0.5966693107059584	0.7789029670922136	0.7994864628855904	0.4749978244191199	0.8272538767851016	0.6046454403325688	0.43660357315403214	0.8007377969917968	0.6938092470689674	0.8159048465940407	0.3002441651921063	0.8772022129908685	0.6409071222016278	0.6620857769024329	0.728780584416039	0.8551923363538064	0.8427610171915902	0.7787249195535207	0.5860164663965279	0.8790146969240787	0.7107867800702787	0.8114486567913632
FengQ_2015__SID31276__bin.37	0.8431703812597993	0.6753551014283828	0.8751843526503572	0.7631615684196431	0.45413382031872473	1.0	0.8590458391143855	0.5709077510258697	0.825409849298534	0.8139322645865325	0.4516276688993161	0.8855251949413537	0.7653913689246721	0.8996247895317134	0.8766534758962174	0.869566167050804	0.9207480657810143	0.8821671989508161	0.7432718998603052	0.5449193691601877	0.8319938386091668	0.8319539529101839	0.8744445679001794	0.8920389094490171	0.7461541164415498	0.8203738049722272	0.8656497712745095	0.6069330841426807	0.8695082378213291	0.6916085237638046	0.485322537604142	0.8313965027839267	0.7843921561923972	0.8429823486788812	0.5386468681654193	0.9002354205899474	0.7759097975420913	0.7442101634458964	0.7773608772574594	0.8874919397649973	0.8818357677854606	0.8190404830348079	0.6530532977400952	0.9116674216459688	0.8158743182631868	0.8661217520458039
CM_madagascar__A28_02_1FE__bin.14	0.8177044282322831	0.6184654288222456	0.8291993455440264	0.7135287293591058	0.46160795094867213	0.5126513231084505	1.0	0.5711732205773924	0.8130674705117938	0.7291057789686594	0.4325739762507516	0.84528078190147	0.7402748284376649	0.8815195529206542	0.808873126330745	0.7937698602281981	0.8738058360380364	0.817243112712303	0.7452574894347977	0.5119236460474498	0.7840312289071414	0.8163913225077202	0.822484767803577	0.8683516584406289	0.6726388324523567	0.7731580107666736	0.8136024605005671	0.5480978102247694	0.8472592247519012	0.6521255934336779	0.44802917962345545	0.8012121150296483	0.7236992064126258	0.8245085487886501	0.5404589012643106	0.8894004541747638	0.7028963700589225	0.6526339472683491	0.7817371192942665	0.861926678035204	0.8685930840075963	0.8160688550250805	0.600867431861034	0.8891318257270111	0.7886727204410947	0.8425650276364268
CM_madagascar__V30_01_1FE__bin.2	0.8006519407589506	0.6019107183743314	0.826597874607708	0.6943263766589026	0.7037740948662463	0.5174648508042095	0.867515033199571	1.0	0.8087861369196101	0.7162620226862301	0.43096864934470225	0.86722065276709	0.7234381912990785	0.8672525009425338	0.8047724060521863	0.8268784828562132	0.8754116591866492	0.8262587345773058	0.72979577572687	0.480179244974444	0.7150672857263364	0.7918325784454991	0.821172494882773	0.8746584928754771	0.6380472076036228	0.787616568625932	0.8065386886470723	0.49425786004362343	0.8333307510488379	0.6386850318739983	0.47906541959540766	0.8263852665175827	0.7122723931407637	0.8197462130797875	0.3839805399040423	0.8986995615280927	0.6623697452662421	0.6853744570746849	0.7698272107367946	0.868546225474753	0.8825120807876312	0.8093748977845721	0.6202440775305097	0.9048738037567075	0.7627913462481989	0.8611212967888432
CM_madagascar__A04_01_1FE__bin.22	0.8205680688731293	0.63369256771356	0.8401324981874229	0.7121999644686868	0.46045340836522347	0.5216644979761557	0.8610779672247645	0.5639497616040948	1.0	0.7477924971310865	0.4454222224356235	0.8518422265649382	0.8007533598697825	0.8785111179399521	0.8107363384501625	0.8057175404648841	0.8769842317793987	0.8347973994919983	0.7503577138961045	0.5300731752990152	0.7981563329764196	0.837551076262682	0.8262692841400702	0.8722007087056519	0.6893158781756111	0.7754024881522277	0.8182237224332227	0.5617422587351812	0.8538438638862613	0.6641168548065703	0.464259820326792	0.810886986416475	0.7290839403266001	0.8224286612857534	0.5504238549554178	0.890656585056682	0.7215023263407069	0.6726761800957425	0.7660881224581907	0.8559661396188547	0.8864234372224116	0.819814228850466	0.615306313530228	0.8943567631934008	0.8046516010697806	0.8499948383565328
FengQ_2015__SID31275__bin.63	0.8374538978526468	0.6810547486857104	0.8668355433406254	0.7334611425698213	0.4483050468195113	0.5640704675106551	0.8467006526037019	0.5476487575783902	0.8199824673632337	1.0	0.45518910765196924	0.8827755006410206	0.7466343128970181	0.8888309732719427	0.8521565669728297	0.8297471720067499	0.9130943261123089	0.865556134711725	0.7479005588857035	0.5375681495697133	0.8198047717203308	0.8244492093202023	0.8599593800922964	0.8986739956247385	0.7374467900269308	0.8132649139294957	0.8548943961375548	0.5981985610601717	0.8687704514522341	0.684683030460982	0.4594544612136481	0.8235936377062256	0.7770117121172633	0.8536327570729447	0.5407633804819105	0.9063432079460225	0.7660347283099433	0.7187413620173588	0.7761278408268244	0.8684288809386542	0.886817089319044	0.8218949989864767	0.6166664034138625	0.9078279537622774	0.8067862624156603	0.8766871214095607
