	KarlssonFH_2013__S517__bin.51	BritoIL_2016__WL.11.ST__bin.23	LeChatelierE_2013__MH0247__bin.73	ZellerG_2014__CCIS90903952ST-3-0__bin.20	ZeeviD_2015__PNP_Main_65__bin.27	ZeeviD_2015__PNP_Main_216__bin.37	SchirmerM_2016__G88853__bin.18	ZellerG_2014__CCIS74239020ST-4-0__bin.25	LiJ_2014__MH0374__bin.3	BritoIL_2016__M1.24.ST__bin.68	BritoIL_2016__M1.37.ST__bin.55	CosteaPI_2017__tigress-11-60-0__bin.19	ZeeviD_2015__PNP_Main_391__bin.18	BritoIL_2016__M2.40.ST__bin.42	LeChatelierE_2013__MH0422__bin.89	CosteaPI_2017__tigress-11-2-0__bin.2	BritoIL_2016__M2.11.ST__bin.69	ZeeviD_2015__PNP_Main_357__bin.9	ZeeviD_2015__PNP_Validation_63__bin.18	ZeeviD_2015__PNP_Main_311__bin.24	YuJ_2015__SZAXPI017591-140__bin.72	WenC_2017__RA030__bin.18	LeChatelierE_2013__MH0428__bin.46	ZeeviD_2015__PNP_Main_310__bin.38	FengQ_2015__SID31549__bin.26	CosteaPI_2017__tigress-11-0-0__bin.31	ZeeviD_2015__PNP_Main_589__bin.70	SchirmerM_2016__G89030__bin.39	CosteaPI_2017__SID713B007-11-0-0__bin.12	LiJ_2014__MH0345__bin.67	CM_madagascar__V48_03_2FE__bin.12	ZeeviD_2015__PNP_Main_287__bin.67	SchirmerM_2016__G89199__bin.19	LeChatelierE_2013__MH0447__bin.112	BritoIL_2016__M2.36.ST__bin.81	ZeeviD_2015__PNP_Main_34__bin.13	BritoIL_2016__W1.44.ST__bin.5	SchirmerM_2016__G89113__bin.12	CosteaPI_2017__tigress-11-7-0__bin.36
KarlssonFH_2013__S517__bin.51	2913085.0	2032220.0	1525293.0	2513849.0	2223648.0	2686009.0	2130991.0	2394298.0	1617794.0	2681710.0	2660397.0	2640062.0	2629631.0	2452898.0	2700779.0	2379413.0	2196768.0	2634453.0	2291410.0	2889073.0	2624337.0	2213415.0	2663884.0	2728042.0	1857360.0	2617571.0	1817008.0	2376584.0	2656298.0	2805571.0	2131126.0	2352088.0	2146034.0	2527760.0	1677128.0	2646964.0	2473356.0	2566995.0	2686265.0
BritoIL_2016__WL.11.ST__bin.23	2032220.0	2266606.0	1084756.0	1949750.0	1910005.0	2040315.0	1714230.0	1894583.0	1158150.0	2030703.0	2014451.0	2011263.0	2039913.0	1893852.0	2020362.0	1868088.0	1921931.0	1979512.0	1794246.0	2035070.0	2104027.0	1823125.0	2019082.0	2050458.0	1507584.0	2006131.0	1441243.0	1847302.0	2028409.0	2031862.0	1825770.0	1832447.0	1682362.0	1951740.0	1477833.0	1999418.0	2093064.0	1968960.0	2051068.0
LeChatelierE_2013__MH0247__bin.73	1525293.0	1084756.0	1655412.0	1450714.0	1248148.0	1546908.0	1145500.0	1401543.0	1474578.0	1525874.0	1517569.0	1537266.0	1515003.0	1376185.0	1515842.0	1335774.0	1218401.0	1516419.0	1307818.0	1546790.0	1490671.0	1156605.0	1526497.0	1555805.0	916980.0	1471885.0	901392.0	1315469.0	1538439.0	1526119.0	1229928.0	1295528.0	1174301.0	1426615.0	992652.0	1538664.0	1387681.0	1463504.0	1540280.0
ZellerG_2014__CCIS90903952ST-3-0__bin.20	2513849.0	1949750.0	1450714.0	2700174.0	2167727.0	2514380.0	2066548.0	2340219.0	1512635.0	2497753.0	2484052.0	2501285.0	2492786.0	2320174.0	2521691.0	2319206.0	2120911.0	2490189.0	2255608.0	2521132.0	2462740.0	2121235.0	2511650.0	2544825.0	1818084.0	2475201.0	1757294.0	2294203.0	2547130.0	2508034.0	2059361.0	2247263.0	2060321.0	2431918.0	1598447.0	2504794.0	2343732.0	2447785.0	2546213.0
ZeeviD_2015__PNP_Main_65__bin.27	2223648.0	1910005.0	1248148.0	2167727.0	2641720.0	2280290.0	1878863.0	2105021.0	1316860.0	2234435.0	2213071.0	2205799.0	2257890.0	2079218.0	2253015.0	2047864.0	2125265.0	2185765.0	1980181.0	2243421.0	2321329.0	2028117.0	2223580.0	2241955.0	1628427.0	2177667.0	1575799.0	2022630.0	2231085.0	2229693.0	2035180.0	1985091.0	1840865.0	2135173.0	1531936.0	2211835.0	2315840.0	2182150.0	2242556.0
ZeeviD_2015__PNP_Main_216__bin.37	2686009.0	2040315.0	1546908.0	2514380.0	2280290.0	3003390.0	2121796.0	2412606.0	1627552.0	2685534.0	2647160.0	2663439.0	2669096.0	2461915.0	2724726.0	2383049.0	2228024.0	2641213.0	2293046.0	2704748.0	2631667.0	2215465.0	2664206.0	2695587.0	1857947.0	2637427.0	1797729.0	2354621.0	2654739.0	2692430.0	2184036.0	2341856.0	2134935.0	2524852.0	1671203.0	2661379.0	2484340.0	2563592.0	2700406.0
SchirmerM_2016__G88853__bin.18	2130991.0	1714230.0	1145500.0	2066548.0	1878863.0	2121796.0	2311381.0	2010982.0	1226121.0	2128617.0	2102666.0	2094904.0	2121634.0	1987282.0	2132815.0	2011031.0	1850630.0	2086738.0	1899652.0	2136535.0	2107370.0	1871768.0	2105622.0	2122187.0	1601454.0	2077631.0	1496916.0	1976935.0	2126496.0	2122135.0	1828178.0	1926017.0	1801377.0	2033257.0	1384991.0	2097990.0	2027984.0	2089461.0	2131055.0
ZellerG_2014__CCIS74239020ST-4-0__bin.25	2394298.0	1894583.0	1401543.0	2340219.0	2105021.0	2412606.0	2010982.0	2535207.0	1448671.0	2410514.0	2399701.0	2429723.0	2402918.0	2249525.0	2421590.0	2251678.0	2071886.0	2374613.0	2159711.0	2414660.0	2345002.0	2049154.0	2405090.0	2430899.0	1772573.0	2403503.0	1701439.0	2204203.0	2442160.0	2402624.0	2002872.0	2171121.0	1978545.0	2314693.0	1534239.0	2394386.0	2261934.0	2358542.0	2467252.0
LiJ_2014__MH0374__bin.3	1617794.0	1158150.0	1474578.0	1512635.0	1316860.0	1627552.0	1226121.0	1448671.0	1687745.0	1620899.0	1612679.0	1610264.0	1586713.0	1450603.0	1602937.0	1409065.0	1270635.0	1579156.0	1361393.0	1626333.0	1569552.0	1254967.0	1620030.0	1618740.0	954256.0	1540883.0	951626.0	1379949.0	1607817.0	1597474.0	1297805.0	1358416.0	1233648.0	1496192.0	1033609.0	1610031.0	1471558.0	1546782.0	1609188.0
BritoIL_2016__M1.24.ST__bin.68	2681710.0	2030703.0	1525874.0	2497753.0	2234435.0	2685534.0	2128617.0	2410514.0	1620899.0	2822127.0	2751162.0	2639340.0	2651587.0	2548973.0	2668449.0	2378705.0	2204888.0	2642350.0	2292694.0	2699207.0	2599458.0	2209538.0	2643579.0	2696272.0	1876850.0	2619096.0	1806590.0	2376991.0	2636587.0	2683486.0	2139859.0	2358249.0	2153082.0	2519916.0	1670753.0	2664858.0	2492917.0	2552255.0	2686074.0
