	KarlssonFH_2013__S517__bin.51	BritoIL_2016__WL.11.ST__bin.23	LeChatelierE_2013__MH0247__bin.73	ZellerG_2014__CCIS90903952ST-3-0__bin.20	ZeeviD_2015__PNP_Main_65__bin.27	ZeeviD_2015__PNP_Main_216__bin.37	SchirmerM_2016__G88853__bin.18	ZellerG_2014__CCIS74239020ST-4-0__bin.25	LiJ_2014__MH0374__bin.3	BritoIL_2016__M1.24.ST__bin.68	BritoIL_2016__M1.37.ST__bin.55	CosteaPI_2017__tigress-11-60-0__bin.19	ZeeviD_2015__PNP_Main_391__bin.18	BritoIL_2016__M2.40.ST__bin.42	LeChatelierE_2013__MH0422__bin.89	CosteaPI_2017__tigress-11-2-0__bin.2	BritoIL_2016__M2.11.ST__bin.69	ZeeviD_2015__PNP_Main_357__bin.9	ZeeviD_2015__PNP_Validation_63__bin.18	ZeeviD_2015__PNP_Main_311__bin.24	YuJ_2015__SZAXPI017591-140__bin.72	WenC_2017__RA030__bin.18	LeChatelierE_2013__MH0428__bin.46	ZeeviD_2015__PNP_Main_310__bin.38	FengQ_2015__SID31549__bin.26	CosteaPI_2017__tigress-11-0-0__bin.31	ZeeviD_2015__PNP_Main_589__bin.70	SchirmerM_2016__G89030__bin.39	CosteaPI_2017__SID713B007-11-0-0__bin.12	LiJ_2014__MH0345__bin.67	CM_madagascar__V48_03_2FE__bin.12	ZeeviD_2015__PNP_Main_287__bin.67	SchirmerM_2016__G89199__bin.19	LeChatelierE_2013__MH0447__bin.112	BritoIL_2016__M2.36.ST__bin.81	ZeeviD_2015__PNP_Main_34__bin.13	BritoIL_2016__W1.44.ST__bin.5	SchirmerM_2016__G89113__bin.12	CosteaPI_2017__tigress-11-7-0__bin.36
KarlssonFH_2013__S517__bin.51	1.0	0.6817003280027875	0.5184987736368832	0.8529325440212008	0.7465683287648661	0.910609542804278	0.7192464346217154	0.8120734547738909	0.5493564382776335	0.9102738162463505	0.9027391922995724	0.8962436729446618	0.891775557527501	0.8320625728394468	0.918179524456032	0.8075552206681234	0.7381277923575865	0.8941095093346058	0.7777404366848204	0.9888482485063086	0.882327154889061	0.7440709763017557	0.904254424433204	0.9256894323371958	0.6299376777539962	0.8884495303089337	0.6168831324866937	0.8066208160764275	0.9023025418070534	0.9580915078001501	0.7147299169093934	0.7984943796696629	0.7286138234895309	0.8582804827184926	0.564619638630524	0.8982727932758571	0.8299218869342981	0.8688445410964665	0.9117684516586367
BritoIL_2016__WL.11.ST__bin.23	0.8761341847678864	1.0	0.46836150614619393	0.8406383817919832	0.828275403841691	0.8797934003527741	0.7402790780576773	0.8168706868330887	0.5006423701340242	0.8754172538147346	0.8690354653609847	0.8673351257342476	0.8795578058118615	0.8172567265770936	0.8707988949115991	0.8056053853206071	0.8374838855981145	0.8533732814613567	0.7735980580656718	0.8772631855734963	0.908844766139329	0.7858427975572286	0.8707512465774819	0.8837596829797503	0.649189581250557	0.8647263794413322	0.6208538228523175	0.7967326478443982	0.8748194436968754	0.8757807929565173	0.7905974836385327	0.7900080560979721	0.7256810402866666	0.8413133998586434	0.6506931509049213	0.8622363127954307	0.9117786681937663	0.8495521497781264	0.8842939619854532
LeChatelierE_2013__MH0247__bin.73	0.91241998970649	0.641285069819477	1.0	0.8673725936504024	0.7386173351407384	0.9239156173810507	0.6814182813704383	0.8381387835777439	0.8804799047004613	0.9118177227179699	0.906426919703373	0.9193596518570604	0.9047040857502543	0.8218062935390101	0.9063284547895025	0.7983625828494659	0.7213926200849095	0.9070291866918929	0.7814193687130455	0.925031955791066	0.8833039750829401	0.6854233266401355	0.9124689201238121	0.9302783838706015	0.547310880916654	0.8800600696382531	0.5389419673168976	0.7867201639229389	0.9201987179022503	0.9124713364407169	0.7271639930120115	0.774801680790039	0.702424532382271	0.8534473593280706	0.5884885454497127	0.9194085822743824	0.8209219215518554	0.8732925700671494	0.9211773262486921
ZellerG_2014__CCIS90903952ST-3-0__bin.20	0.9201869953565955	0.7056567465652214	0.53176536030641	1.0	0.7849808938238795	0.9196448080753314	0.7523181839392573	0.8566588671693008	0.5537765344011163	0.9146277239911206	0.9091862228137891	0.9166564821378178	0.9118349410075055	0.8487808563448134	0.9233719752875185	0.8498304183360036	0.7688448966622151	0.9117086528497793	0.8262863800629145	0.9229164490880958	0.8933250227577927	0.7690059973912792	0.9196344383732308	0.9316447754848391	0.6650245502697234	0.9068456329110642	0.6436007457297196	0.8399125389697109	0.9330239458642294	0.9177275242262166	0.745203827605184	0.8230702910256895	0.7543287951072782	0.890681119068623	0.5805155519607255	0.9168853562770399	0.848481616369908	0.8942108915943936	0.9330387597243734
ZeeviD_2015__PNP_Main_65__bin.27	0.8232579531517344	0.7106635071090047	0.46284844722377844	0.8023503626425208	1.0	0.8444146238057024	0.6969273806459428	0.7791768241903002	0.48862445679330135	0.8269952909468073	0.8196421270990112	0.8165975197977076	0.836035234619869	0.7701580788274306	0.8338953409142529	0.757813470011962	0.7911182865708706	0.8091629695804249	0.7329005345002498	0.8306050603394757	0.8606430658813198	0.7513218660569629	0.823437003164605	0.8298831821691928	0.6019036839634783	0.8056762260951199	0.582134367003316	0.7489715034144421	0.8260538588495374	0.8253880047847615	0.7569064851687537	0.7347379737443787	0.6817433338885271	0.7897332041245856	0.5716574807322501	0.81919999091501	0.8626902169798465	0.8081893614766137	0.8299910664264192
ZeeviD_2015__PNP_Main_216__bin.37	0.8832296171992315	0.6639647198665508	0.5092448866114624	0.8267993833634659	0.7427297154215736	1.0	0.6943137587859053	0.7930548480217354	0.5355921142442374	0.8836478113065569	0.8706112093334532	0.875874595040937	0.8778130712295106	0.8094666360346143	0.8960314844226024	0.7833421566962666	0.7262972840690021	0.8692617342403085	0.7540376041739502	0.8895724497983944	0.8581715994259821	0.7224180009922122	0.8770985453104658	0.8862285617252504	0.6098725107295423	0.8671371350374077	0.5906472352907881	0.7755169991243228	0.8734250297164204	0.8853352378478985	0.7105976912755253	0.7705928966934031	0.7024745371064031	0.8300030965009539	0.5459064590346241	0.8764392902686632	0.8088103776066379	0.8409850202604391	0.8880178731366889
SchirmerM_2016__G88853__bin.18	0.9064823151181047	0.7259387353274946	0.4880320466422455	0.878864194176555	0.7965311647019683	0.9021857495583809	1.0	0.8550680307573697	0.5222393019584395	0.9053561485536137	0.8945448630061423	0.8909491771369584	0.9023756793016815	0.845368634595508	0.9068686642314703	0.8553176650669017	0.7847654713783664	0.8874802553105697	0.8081454334010706	0.9085152988624549	0.8949091473885092	0.7946201859407861	0.8958947053731081	0.9019936566061587	0.6803863145020228	0.8832602673466642	0.6369257167035638	0.8412390687645179	0.9042178680191626	0.9030181523513432	0.7731317337989713	0.8191146331998056	0.7662042735490168	0.8647661289938785	0.5885520388027763	0.8928649149577677	0.8591872131855371	0.8892458664322326	0.9063200744489982
ZellerG_2014__CCIS74239020ST-4-0__bin.25	0.9331147318542431	0.7303245849352735	0.5472787823637282	0.9124020247656306	0.8119127944976484	0.9395102648422792	0.779576578953908	1.0	0.5645393058633871	0.9392696533261387	0.9346933011781682	0.9484188076161039	0.9358687476012807	0.8759142744556954	0.9443165784884627	0.8785247121832656	0.8002979638349057	0.9253059020427129	0.8417565114012386	0.9409748395298687	0.9060636863183164	0.7909401480825827	0.93748636699094	0.9476464840938038	0.6906737793008618	0.9379017176901137	0.6630267272061019	0.8591830962915454	0.9526342424898637	0.9364541041421864	0.7717089768212221	0.846647630745734	0.7715007098039727	0.9024166468458	0.5934213655926321	0.933101715165665	0.8722135904484329	0.9171464105297911	0.9629383320573035
LiJ_2014__MH0374__bin.3	0.9482012981818936	0.6723521622045985	0.8636120977991344	0.8859709257026387	0.7648128123620571	0.9531013275109688	0.7152111249033473	0.8480096223066874	1.0	0.9503112140755862	0.9452002524077986	0.9428746641228385	0.9292677507561865	0.8499554138806514	0.9389712308435221	0.8251050958527503	0.7382708880784716	0.9253198794841638	0.7965279115032188	0.9534402412686751	0.9125027773745442	0.7290254155692952	0.9485408044461693	0.9481651552811592	0.5580825302400539	0.9020367413323694	0.5575166864662612	0.8087850949047398	0.9419337636906049	0.935941744754095	0.7529970463547514	0.7955544232096673	0.7231921883933887	0.8765814740970941	0.6015594772907045	0.9436188523740257	0.8543210022841128	0.9045797795283055	0.9423497033023354
BritoIL_2016__M1.24.ST__bin.68	0.9396122144751105	0.7030959272917201	0.5348568650524941	0.8751037781077889	0.774128875135669	0.9404038159870197	0.7415056090672036	0.8437759888197802	0.5683241753471762	1.0	0.9736135191648001	0.9246366304563898	0.927935206317788	0.9014672266698133	0.9346170459373373	0.8330542884852453	0.7645782773064429	0.9256865477705292	0.8027707470287482	0.9457186016079361	0.9024685990389518	0.7666688990254514	0.9256443809934847	0.944277135649813	0.657129888201346	0.9173718971541678	0.6327805233428545	0.8328275091801326	0.9239637337370005	0.9399020667744578	0.7409542518816481	0.826124763343393	0.7544054537588138	0.8828298655588498	0.5805869119284851	0.9334246828721741	0.863236133597106	0.8920874220047503	0.9409317865567355
BritoIL_2016__M1.37.ST__bin.55	0.9403447845534575	0.7043446172066166	0.5365504452391432	0.8778418121803471	0.774252687293476	0.9349914735354201	0.7393419192751737	0.8473331957847191	0.5704299562287889	0.982505103542282	1.0	0.9205974997380736	0.929061388041924	0.8998643703914808	0.9261739398774292	0.8375180174977571	0.7708474651423324	0.9256397172696575	0.8062159339223132	0.9388286507803977	0.9049173152846667	0.7698415962028	0.93073056550717	0.9414143025051607	0.6549190137835869	0.9141675191939317	0.6335912310255322	0.8339661880713884	0.9269974436697304	0.9349296124168496	0.7466047006583382	0.8316880540458781	0.7572508918907225	0.885254061468497	0.5840773056586475	0.9299699955695997	0.8575034497407018	0.897403156061299	0.938649503841647
CosteaPI_2017__tigress-11-60-0__bin.19	0.908483043065391	0.6840699844354537	0.5295769874373617	0.861263278840603	0.7506412154612696	0.915358515212578	0.7165756328033686	0.8366641276703392	0.553730393386686	0.9079986735513019	0.8958508114059277	1.0	0.9002223158639019	0.826030964156308	0.9109087182684904	0.8563106701523642	0.7431435790244338	0.8949394868675664	0.7839750243489632	0.9102524532515566	0.8840710979285895	0.7424392946160171	0.9056213657062905	0.9152130651717093	0.6392056061595657	0.9695783236291247	0.6120833491368166	0.8048387540150996	0.9094319479970869	0.9089844629431225	0.7207018208048537	0.7979124787435901	0.724785556880535	0.8641392228305066	0.571179526758458	0.9064954578179223	0.8378482580269806	0.8668248290875028	0.9934951122870836
