	KarlssonFH_2013__S517__bin.51	BritoIL_2016__WL.11.ST__bin.23	LeChatelierE_2013__MH0247__bin.73	ZellerG_2014__CCIS90903952ST-3-0__bin.20	ZeeviD_2015__PNP_Main_65__bin.27	ZeeviD_2015__PNP_Main_216__bin.37	SchirmerM_2016__G88853__bin.18	ZellerG_2014__CCIS74239020ST-4-0__bin.25	LiJ_2014__MH0374__bin.3	BritoIL_2016__M1.24.ST__bin.68	BritoIL_2016__M1.37.ST__bin.55	CosteaPI_2017__tigress-11-60-0__bin.19	ZeeviD_2015__PNP_Main_391__bin.18	BritoIL_2016__M2.40.ST__bin.42	LeChatelierE_2013__MH0422__bin.89	CosteaPI_2017__tigress-11-2-0__bin.2	BritoIL_2016__M2.11.ST__bin.69	ZeeviD_2015__PNP_Main_357__bin.9	ZeeviD_2015__PNP_Validation_63__bin.18	ZeeviD_2015__PNP_Main_311__bin.24	YuJ_2015__SZAXPI017591-140__bin.72	WenC_2017__RA030__bin.18	LeChatelierE_2013__MH0428__bin.46	ZeeviD_2015__PNP_Main_310__bin.38	FengQ_2015__SID31549__bin.26	CosteaPI_2017__tigress-11-0-0__bin.31	ZeeviD_2015__PNP_Main_589__bin.70	SchirmerM_2016__G89030__bin.39	CosteaPI_2017__SID713B007-11-0-0__bin.12	LiJ_2014__MH0345__bin.67	CM_madagascar__V48_03_2FE__bin.12	ZeeviD_2015__PNP_Main_287__bin.67	SchirmerM_2016__G89199__bin.19	LeChatelierE_2013__MH0447__bin.112	BritoIL_2016__M2.36.ST__bin.81	ZeeviD_2015__PNP_Main_34__bin.13	BritoIL_2016__W1.44.ST__bin.5	SchirmerM_2016__G89113__bin.12	CosteaPI_2017__tigress-11-7-0__bin.36
KarlssonFH_2013__S517__bin.51	1.0	0.9771830805719853	0.9902562982980975	0.9883907108183506	0.9780401394465311	0.9875927444770289	0.9832167287426367	0.9880303120162988	0.9892001082956173	0.9888112435721983	0.9884825460260255	0.9889290478784211	0.9879021048960862	0.9881654271804209	0.9903568562996083	0.9886795608832935	0.9788147860857405	0.9886746888253463	0.98874666689942	0.9970668792377347	0.9794069892700519	0.9792750116900807	0.9888456103944466	0.9884789163803197	0.9879947883016755	0.9887521675629811	0.9890066526949799	0.9887111080441507	0.9895290362752974	0.9948071176954709	0.9769807134819809	0.9889434408916673	0.9890402481973725	0.9891144728929961	0.9807152465405145	0.9885835243698063	0.9774706916432572	0.9859847798690687	0.9887553908493764
BritoIL_2016__WL.11.ST__bin.23	0.9771830805719853	1.0	0.9786449671631224	0.9772514424926273	0.9829157515294462	0.9773711412208409	0.9788190616195026	0.9772725713257218	0.9798031343090273	0.9771128520517279	0.9778152955817739	0.9774489959791435	0.9773019731723853	0.9781118059911756	0.9769328466878708	0.9774646590524644	0.9876764566469868	0.9771403254943642	0.9772584138406886	0.9770720417479497	0.9790715613440322	0.9770015769626328	0.9774986850459764	0.9769207659947192	0.9760364928256071	0.9770020003678723	0.9764009261450012	0.977576487222988	0.9775498925512557	0.9769610337709943	0.9814889060505978	0.977183514721026	0.977692672563931	0.9770389498601249	0.9979916539960875	0.9774594406972429	0.9873768790634209	0.9779782220055258	0.9772206479746162
LeChatelierE_2013__MH0247__bin.73	0.9902562982980975	0.9786449671631224	1.0	0.98976021462535	0.9796242112313603	0.9887213719238636	0.9847472719336534	0.989955356346541	0.9884570365216353	0.9892258469572193	0.988758995472364	0.9900166919713309	0.9885511777864466	0.9885502312552454	0.989777958388803	0.989403147538431	0.9801387228014422	0.9901663062781461	0.9891062823726238	0.9899915308477557	0.9809220143143591	0.981024636760173	0.989528312207623	0.9898374153573231	0.9880531745512443	0.9897933602149624	0.9897702664323624	0.9900240902674255	0.9901647059129416	0.9897760266401244	0.9787207056022792	0.9900334072285586	0.9902077916990618	0.9903211448078143	0.9814023444268485	0.989169825250997	0.979305762635649	0.9878066612732183	0.9900329810164386
ZellerG_2014__CCIS90903952ST-3-0__bin.20	0.9883907108183506	0.9772514424926273	0.98976021462535	1.0	0.9777914838907298	0.9875997263738974	0.9829870876456778	0.9884237329925105	0.9885352381770883	0.9887502887595371	0.9882888925030555	0.9895441742944127	0.9876952935390363	0.9877948809011738	0.9887274055385851	0.9894291408352687	0.9788317378711318	0.9885884163812466	0.9891421736401006	0.9884587558287309	0.9794509367614933	0.9788872991441306	0.9886620349172854	0.9885170886013773	0.9876782370891554	0.989269558310618	0.9889261557826977	0.988539375111967	0.9890845775441379	0.9880344524834991	0.9770894952366292	0.9889510039545883	0.9885930396282909	0.9889289030304476	0.9806349538020341	0.9884046352714035	0.9775213206970763	0.9864122053203203	0.9894564987296821
ZeeviD_2015__PNP_Main_65__bin.27	0.9780401394465311	0.9829157515294462	0.9796242112313603	0.9777914838907298	1.0	0.978255835880524	0.9798942232616216	0.9778368006779979	0.9802173351761008	0.9777371013253909	0.9783983432976168	0.9779775945133713	0.9781570404226956	0.9785130755889955	0.9777644622872018	0.9775702878706789	0.9833658390835966	0.9779560016744709	0.9777479937440062	0.9780714364356935	0.979429456143442	0.9786328895226459	0.9782827692280017	0.9778603941649141	0.9764398404104083	0.9773629301449671	0.9759087294762847	0.9782179637402787	0.9780904806405852	0.9779122058507607	0.982485578671174	0.9777748224136829	0.9783308390349102	0.9770889759284143	0.9857846541892089	0.9784170157358031	0.9840861199392014	0.9783974520541667	0.9777254168903697
ZeeviD_2015__PNP_Main_216__bin.37	0.9875927444770289	0.9773711412208409	0.9887213719238636	0.9875997263738974	0.978255835880524	1.0	0.9827971209296276	0.9872532025535873	0.9883506026228348	0.9882351145060908	0.9877699119055894	0.9876678234417984	0.9877557794848892	0.9875011931768563	0.9876706868874154	0.9872570811594726	0.9790531879369343	0.9884594691908604	0.9876247576367853	0.9877936872492372	0.9793883496658202	0.9793442911533244	0.9887632562947459	0.987425002420623	0.9858650435130819	0.9874589893862465	0.9867694185274867	0.9891952887534766	0.9881332967195645	0.9875863067934914	0.9771826105430497	0.9882721226241067	0.9882291498336014	0.9873145039788471	0.9810717189952387	0.9890695763361776	0.977794102256535	0.9852605250757531	0.9876529677389252
SchirmerM_2016__G88853__bin.18	0.9832167287426367	0.9788190616195026	0.9847472719336534	0.9829870876456778	0.9798942232616216	0.9827971209296276	1.0	0.9827974591517975	0.9844819556960528	0.9830904291377923	0.9833392464613971	0.983015450827341	0.9830790796150514	0.9832369034691604	0.9827945696180869	0.9830604301972471	0.9801483819023792	0.9830199095430284	0.9833022048248837	0.9828647787188134	0.9815438200221128	0.9812487445025239	0.9834405225629291	0.9824068284274665	0.9820026051325857	0.9826340673584482	0.9834740225904459	0.9835548462645459	0.9828337321114171	0.9835467583353557	0.9774770290420298	0.983005861318981	0.9831312379363121	0.9830552655173448	0.9822215451219538	0.9836800938040696	0.9792527948938453	0.9836919664927941	0.983011231526169
ZellerG_2014__CCIS74239020ST-4-0__bin.25	0.9880303120162988	0.9772725713257218	0.989955356346541	0.9884237329925105	0.9778368006779979	0.9872532025535873	0.9827974591517975	1.0	0.9879565477599814	0.9878569466926971	0.9874734393993252	0.9895934639463017	0.9873915797376357	0.987152398839755	0.9886223514302587	0.9891476489977696	0.9792628551957009	0.9878839204535644	0.988107668109298	0.9879510987054078	0.9795552413174914	0.9785487083938055	0.9882050151969365	0.9883092633630604	0.9878301203956057	0.9892956239289071	0.9879343308810954	0.9882061679436966	0.9889298817440298	0.988130061133161	0.9768182889370863	0.9886261521122038	0.9885617966738184	0.9883872288895331	0.9805812523342191	0.9879802170577342	0.9775890896905038	0.9858446446999883	0.9894603388709382
LiJ_2014__MH0374__bin.3	0.9892001082956173	0.9798031343090273	0.9884570365216353	0.9885352381770883	0.9802173351761008	0.9883506026228348	0.9844819556960528	0.9879565477599814	1.0	0.9895021219705855	0.9891968581472196	0.9882429216575667	0.9884377325956237	0.9889046141501155	0.9886502089601775	0.9882915266506513	0.9806222872815561	0.9889485269346411	0.9874709213283747	0.9894431214271616	0.9812175703640275	0.980431357956026	0.9881884903365987	0.9885843310228943	0.9870527405643769	0.9880101214693133	0.9887771036100317	0.989183658236645	0.9887592928797245	0.9888304911378839	0.9792434148427537	0.9884254896879895	0.9893940572999753	0.9888075861921465	0.9822660212904493	0.9891660471133785	0.9798295412073462	0.9870169164109746	0.9883531321386936
BritoIL_2016__M1.24.ST__bin.68	0.9888112435721983	0.9771128520517279	0.9892258469572193	0.9887502887595371	0.9777371013253909	0.9882351145060908	0.9830904291377923	0.9878569466926971	0.9895021219705855	1.0	0.9987274468024784	0.9886721680420105	0.9876164727010655	0.9980705954908115	0.9884423498444227	0.9883466003560761	0.9786152403205968	0.9886672848033001	0.9881480040511293	0.9887859656558389	0.9797738605509302	0.9792259739366329	0.9881626386047098	0.988353548900111	0.9880938807043717	0.9884861036021589	0.9884849357076039	0.9887900290745737	0.9889842436452884	0.9884616502564202	0.9771984976580232	0.9886271551477388	0.9888281078008176	0.9887067664160234	0.9806895453726553	0.9885115829811569	0.9772334979463817	0.986415542334132	0.9885911557164844
