	NielsenHB_2014__V1_CD25_0__bin.12	KarlssonFH_2013__S205__bin.25	VogtmannE_2016__MMRS81130264ST-27-0-0__bin.26	XieH_2016__YSZC12003_35704__bin.10	YuJ_2015__SZAXPI015246-34__bin.44	NielsenHB_2014__MH0127__bin.2	QinJ_2012__CON-049__bin.3	LoombaR_2017__SID0006_evh__bin.65	HeQ_2017__SZAXPI029585-104__bin.20	HeQ_2017__SZAXPI029555-35__bin.91	QinJ_2012__CON-023__bin.42	BackhedF_2015__SID130_12M__bin.8	QinN_2014__LD-76__bin.25	LiuW_2016__SRR3992999__bin.11	HeQ_2017__SZAXPI029480-66__bin.2	FengQ_2015__SID31428__bin.43	NielsenHB_2014__V1_CD20_4__bin.10	GeversD_2014__SKBSTL059__bin.3	BackhedF_2015__SID130_4M__bin.2	HeQ_2017__SZAXPI029598-166__bin.49	BackhedF_2015__SID591_12M__bin.5	QinJ_2012__CON-035__bin.6	CosteaPI_2017__SID713A037-11-0-0__bin.30	QinJ_2012__T2D-038__bin.20	QinJ_2012__CON-065__bin.22	QinJ_2012__CON-029__bin.9	NielsenHB_2014__V1_UC7_0__bin.5	FengQ_2015__SID532826__bin.1	CosteaPI_2017__SID713A037-11-90-0__bin.13	KosticAD_2015__PRJNA231909.3112359__bin.15	LeChatelierE_2013__MH0236__bin.16	BackhedF_2015__SID624_12M__bin.9	YuJ_2015__SZAXPI017587-113__bin.24	ZellerG_2014__CCIS16383318ST-4-0__bin.38	LiuW_2016__SRR3992985__bin.77	YuJ_2015__SZAXPI015254-45__bin.10	VatanenT_2016__G80466__bin.1	FengQ_2015__SID531333__bin.39	YuJ_2015__SZAXPI015257-56__bin.49	WenC_2017__RA134__bin.31	LiJ_2014__V1.FI10__bin.30	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.23	HeQ_2017__SZAXPI029587-106__bin.17	LeChatelierE_2013__MH0127__bin.13
NielsenHB_2014__V1_CD25_0__bin.12	1.0	0.7586673610676262	0.7626330829111692	0.7581432003433314	0.8141682232142721	0.6483208376797029	0.6331604967308682	0.7000875128481996	0.6879328487799365	0.7822567318456658	0.8166998339852252	0.8184137418080796	0.7670368271781612	0.7562011176597262	0.3589480741827934	0.5850421756946428	0.7608156258543194	0.442587447939019	0.77119162564661	0.6898969242212044	0.8093799111431499	0.854147391185486	0.7523566614382958	0.8103262106325819	0.7689877680558249	0.606121317549457	0.5117167943722977	0.8301013652309774	0.7327021615520778	0.7836181446359817	0.743330161692587	0.7961650128825632	0.7572198099764647	0.7211333601115522	0.694394748618198	0.7405266960005253	0.7509078885272642	0.7506351172412529	0.7971491887879699	0.6572068281403444	0.6770534592011436	0.6024457779250749	0.6604067743802701	0.7017464387768972
KarlssonFH_2013__S205__bin.25	0.8832955354923328	1.0	0.8310107546919526	0.8251154295208666	0.8817439095213218	0.7229922660531763	0.7159720742888499	0.7817851273645582	0.7596708120413004	0.8561479489410855	0.8830892684597436	0.915341252801942	0.8454476688091173	0.8260887965349983	0.35348443697457477	0.661006177697626	0.8389282080480417	0.4909308297731525	0.8596719145030263	0.7652090818663183	0.8835402108689212	0.9109705255079414	0.8104647800820018	0.879086976761885	0.8415943872606636	0.6912104282921552	0.5709930228398062	0.8881797965709173	0.7946661479169341	0.838866327938265	0.8086126443824774	0.8699696182886308	0.809619796514016	0.7963923896000162	0.7772757032727821	0.8153305482542162	0.8165080485040483	0.8251413907163476	0.8786566610559663	0.7325438521933121	0.7681053555101215	0.658314392922338	0.7171709125075705	0.7788067025405342
VogtmannE_2016__MMRS81130264ST-27-0-0__bin.26	0.8293470588332993	0.7761982823194501	1.0	0.7663924556254785	0.8368698419341927	0.677402917499182	0.6600922451921719	0.7464124193851096	0.6935323730133817	0.8095596844995192	0.8075918756467045	0.8249623395798974	0.7667043686087319	0.8134717177303763	0.3489180206978679	0.6258771514604935	0.7684071012521363	0.4561891807052422	0.7851115529047935	0.7114901235859695	0.8272616597823252	0.8448031942015409	0.7892478047338359	0.830145277042839	0.7788048650453171	0.6370465594071328	0.5103251834025089	0.8650041272830851	0.7739461310665664	0.7906509148949246	0.7602638139417464	0.8233223881439848	0.7637403648285724	0.734933091509423	0.7622950683534548	0.7515236068966319	0.7518594365303584	0.83985277972931	0.8346376212233699	0.6675014242033181	0.7057501274724253	0.6824732473994795	0.6576892861710273	0.7332725451800476
XieH_2016__YSZC12003_35704__bin.10	0.8776069953609414	0.8203683667119258	0.8157918929622087	1.0	0.8639588990721883	0.6962813277890926	0.6899878366146187	0.7555240863317493	0.7320119795202534	0.8314600305498981	0.9067559826883911	0.8904492673681829	0.8314494229463679	0.8144556885041865	0.36198765274949085	0.633872199592668	0.8213205759221544	0.47457640303236026	0.840743451572754	0.7452598155691332	0.8670195462774384	0.8909223664856303	0.819607094365241	0.8601546588594705	0.8145041298936411	0.6478438277890926	0.5716405719619824	0.8777413583389907	0.783516844874406	0.8282144574564381	0.7896282388549446	0.8494179961529758	0.8156532869427472	0.7671524949083504	0.7639224796334012	0.8376866938221317	0.8565692888662594	0.8300555838424983	0.8749218573206607	0.7120251329486309	0.7238741796786603	0.6881403456664403	0.698642226748133	0.7503009023534737
YuJ_2015__SZAXPI015246-34__bin.44	0.8462740077800257	0.7871992796554741	0.7998970664248585	0.7757845113226932	1.0	0.6740355295459366	0.660668769788202	0.7347044263342313	0.7055071050201867	0.8425195675392843	0.8250268922696313	0.844494101480694	0.7907930647789373	0.7902945894150503	0.35911054215069577	0.6183234463761158	0.785122193139201	0.4601213358885752	0.8062985060979094	0.7109138164670861	0.8345195141992454	0.864013380729768	0.7834937344504261	0.8690644919170791	0.7969255817556746	0.6371359701092582	0.5302209420612877	0.8620607543043507	0.763558212397495	0.8219284075077374	0.787764430068034	0.8509428486882795	0.7805457447983937	0.7474177706149725	0.7263681402487424	0.766392536966552	0.7709686678071275	0.8002637791925588	0.819767183430044	0.6844250896303155	0.7095682504848229	0.6361555293935365	0.6699804165857041	0.7219437745189554
NielsenHB_2014__MH0127__bin.2	0.8768992985965735	0.8399216173304529	0.8425314809375016	0.8135713733864973	0.8770930655795884	1.0	0.7224095853923658	0.8028150335084673	0.7675382875708603	0.8576804232961623	0.8798376158315475	0.8709821755033087	0.8288781387462492	0.8251556642964296	0.3315245660590481	0.6918468720266168	0.8536423028441605	0.515217731703377	0.838586319059441	0.770336960370314	0.9078516116744401	0.8934740189048819	0.8082805845069869	0.8768802937325677	0.8336343125382938	0.6914043892146571	0.5800842245994828	0.9106792049191198	0.7859585454338128	0.8421265947043359	0.8281865269561273	0.8747744721708884	0.7802298183837355	0.8107057704138061	0.7835011338880274	0.8228821041524388	0.819743822696187	0.8353914361603895	0.865760795692341	0.7276710406774325	0.7724101431438094	0.638340330015332	0.7316438835530668	0.9382217975048266
QinJ_2012__CON-049__bin.3	0.8061983545003878	0.7830140319407701	0.7728799821401763	0.7589631656693117	0.8093102109808357	0.6800672388136908	1.0	0.7271277965286912	0.7230354388374935	0.7908580416267685	0.8154320233795671	0.8097287033659079	0.7729896613712082	0.7794389557292619	0.322091730730487	0.645377487132137	0.7692811809886222	0.4761140415085328	0.7858583022121757	0.7372719585988128	0.7947664337992497	0.8362030139230394	0.761593911480304	0.8077377530692683	0.7876909565973613	0.6709844761105411	0.5582101127362479	0.8162725085507018	0.7435532337093282	0.7952724362090813	0.7471959843399838	0.8049405437445112	0.7403441438680365	0.7460544646836765	0.7377176763249212	0.7697090077763352	0.7508760725812035	0.7673746292491951	0.852584501624575	0.700058417803195	0.7252924196094019	0.599859439453564	0.6902845203711669	0.7210946609550494
LoombaR_2017__SID0006_evh__bin.65	0.9006794540788858	0.863874578042905	0.8830313319107632	0.8396869559749911	0.9093555600092742	0.7636136425262017	0.734683989012414	1.0	0.7806742668065658	0.8712955212619219	0.8950697334449382	0.9022030188353002	0.8484381201639493	0.8671983620794674	0.37025374407098705	0.6905049338033317	0.8648668403616944	0.5217260255669649	0.8702403829150113	0.7844806243589593	0.8868718783034476	0.918364122938354	0.8518318537817966	0.8933182430865843	0.8613277059288165	0.7059237077993783	0.5821518534674165	0.9231694233875246	0.8382050465872071	0.8689026954167305	0.8508781030302316	0.898038660897791	0.8160039140327505	0.8232535200751369	0.819090341063155	0.8505707964427887	0.839324632862942	0.8786005368040901	0.8955181181204783	0.7543040606124911	0.7785856037474113	0.6905029689274529	0.7356243786080033	0.8207974252266484
HeQ_2017__SZAXPI029585-104__bin.20	0.8917721183170289	0.8458213587404563	0.8267113735732449	0.8197420219316203	0.8798575798875939	0.7356108883597058	0.7361042587446535	0.7866105771324806	1.0	0.8591178094038138	0.8806847474109933	0.8827457368601529	0.848761782880602	0.8338422782783195	0.3776880964693528	0.696308354114812	0.8524014783689159	0.5114180003373608	0.8413346975592024	0.7980582747241521	0.8608370824467053	0.9208524616648043	0.8204270385977194	0.8707120134500844	0.8728296256641296	0.7063262279022731	0.5761663299657966	0.8909972179612162	0.7956908096105066	0.8483860136227245	0.8221217619103808	0.871810019932797	0.8009294052709063	0.8022594463006328	0.7819338535236386	0.8285830925215978	0.8094073774315121	0.8399852543233263	0.8838017712234397	0.7529810103877036	0.7768227580750794	0.6556650878286397	0.7382551318835265	0.7876480012163996
HeQ_2017__SZAXPI029555-35__bin.91	0.8602096650129487	0.8086287800667086	0.8186216255252542	0.7898553304692775	0.8913292331876673	0.6973017637792102	0.6830074602049625	0.7447363736215752	0.7287857769059464	1.0	0.848261580784178	0.8709189722988248	0.8077138049060673	0.810320006180449	0.353301333834935	0.6391726259854289	0.8008928061589518	0.4702512150964184	0.8248682455922315	0.7351042782814321	0.8556347892097422	0.8674626233990453	0.7962430260015518	0.9370104765327681	0.8160338984189471	0.6570707359100879	0.5456500052063564	0.8834145636905342	0.7738832365398891	0.8563693893111822	0.8167449859428376	0.8782219788857054	0.7797791833074135	0.766163385542452	0.7572998155942132	0.7886786939099065	0.78459959759903	0.8037022232821542	0.8339397339048009	0.6950532895775462	0.7333462092686581	0.6464363329784054	0.6972292106827717	0.7525526261869653
