	NielsenHB_2014__V1_CD25_0__bin.12	KarlssonFH_2013__S205__bin.25	VogtmannE_2016__MMRS81130264ST-27-0-0__bin.26	XieH_2016__YSZC12003_35704__bin.10	YuJ_2015__SZAXPI015246-34__bin.44	NielsenHB_2014__MH0127__bin.2	QinJ_2012__CON-049__bin.3	LoombaR_2017__SID0006_evh__bin.65	HeQ_2017__SZAXPI029585-104__bin.20	HeQ_2017__SZAXPI029555-35__bin.91	QinJ_2012__CON-023__bin.42	BackhedF_2015__SID130_12M__bin.8	QinN_2014__LD-76__bin.25	LiuW_2016__SRR3992999__bin.11	HeQ_2017__SZAXPI029480-66__bin.2	FengQ_2015__SID31428__bin.43	NielsenHB_2014__V1_CD20_4__bin.10	GeversD_2014__SKBSTL059__bin.3	BackhedF_2015__SID130_4M__bin.2	HeQ_2017__SZAXPI029598-166__bin.49	BackhedF_2015__SID591_12M__bin.5	QinJ_2012__CON-035__bin.6	CosteaPI_2017__SID713A037-11-0-0__bin.30	QinJ_2012__T2D-038__bin.20	QinJ_2012__CON-065__bin.22	QinJ_2012__CON-029__bin.9	NielsenHB_2014__V1_UC7_0__bin.5	FengQ_2015__SID532826__bin.1	CosteaPI_2017__SID713A037-11-90-0__bin.13	KosticAD_2015__PRJNA231909.3112359__bin.15	LeChatelierE_2013__MH0236__bin.16	BackhedF_2015__SID624_12M__bin.9	YuJ_2015__SZAXPI017587-113__bin.24	ZellerG_2014__CCIS16383318ST-4-0__bin.38	LiuW_2016__SRR3992985__bin.77	YuJ_2015__SZAXPI015254-45__bin.10	VatanenT_2016__G80466__bin.1	FengQ_2015__SID531333__bin.39	YuJ_2015__SZAXPI015257-56__bin.49	WenC_2017__RA134__bin.31	LiJ_2014__V1.FI10__bin.30	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.23	HeQ_2017__SZAXPI029587-106__bin.17	LeChatelierE_2013__MH0127__bin.13
NielsenHB_2014__V1_CD25_0__bin.12	0.0	25754.0	35956.0	26918.0	27696.0	23313.0	26362.0	27213.0	26092.0	29956.0	33821.0	29211.0	28086.0	40020.0	12562.0	24224.0	25008.0	17350.0	27270.0	29999.0	29923.0	30202.0	42621.0	30391.0	22981.0	31343.0	16982.0	28417.0	41838.0	28298.0	23944.0	28502.0	27774.0	25391.0	34611.0	28658.0	25335.0	36833.0	31836.0	28377.0	24146.0	32327.0	34006.0	25690.0
KarlssonFH_2013__S205__bin.25	25754.0	0.0	34858.0	21927.0	25450.0	21113.0	22928.0	24872.0	22221.0	27387.0	29000.0	22466.0	24127.0	38361.0	9061.0	21692.0	22140.0	16221.0	21232.0	25734.0	26169.0	25936.0	36886.0	26710.0	19203.0	28095.0	14143.0	26253.0	36265.0	26302.0	22957.0	26776.0	23278.0	20580.0	34305.0	24213.0	21103.0	33786.0	27525.0	26603.0	17990.0	30330.0	29446.0	22088.0
VogtmannE_2016__MMRS81130264ST-27-0-0__bin.26	35956.0	34858.0	0.0	34061.0	36603.0	31198.0	31489.0	30694.0	33582.0	35963.0	39714.0	38782.0	34705.0	35093.0	14387.0	31996.0	33772.0	18208.0	36420.0	36906.0	39448.0	38881.0	44094.0	36839.0	31447.0	36595.0	22098.0	37675.0	42837.0	34825.0	31509.0	35694.0	35386.0	31933.0	32680.0	34716.0	32512.0	38392.0	38135.0	33541.0	32712.0	28668.0	37285.0	33991.0
XieH_2016__YSZC12003_35704__bin.10	26918.0	21927.0	34061.0	0.0	28740.0	22059.0	22509.0	26695.0	26820.0	30018.0	31975.0	25367.0	25738.0	37812.0	10212.0	21149.0	26207.0	15615.0	24329.0	26277.0	27719.0	29017.0	38497.0	30091.0	22755.0	28370.0	12093.0	30087.0	36882.0	29071.0	25959.0	29538.0	25918.0	22505.0	34457.0	26616.0	10873.0	36075.0	27862.0	27873.0	20840.0	32790.0	30309.0	23545.0
YuJ_2015__SZAXPI015246-34__bin.44	27696.0	25450.0	36603.0	28740.0	0.0	25470.0	24784.0	26254.0	26714.0	19592.0	32556.0	29898.0	28283.0	40588.0	11353.0	26042.0	27418.0	18024.0	28883.0	30576.0	32321.0	28879.0	42318.0	18593.0	20396.0	30025.0	18491.0	27654.0	41059.0	22877.0	19900.0	22182.0	28885.0	25672.0	35474.0	28458.0	26519.0	38299.0	29765.0	26551.0	24796.0	33489.0	33276.0	27180.0
NielsenHB_2014__MH0127__bin.2	23313.0	21113.0	31198.0	22059.0	25470.0	0.0	21520.0	22424.0	23413.0	26151.0	26462.0	23046.0	24064.0	31562.0	8731.0	22159.0	21197.0	15048.0	22403.0	25578.0	19776.0	25840.0	32652.0	26367.0	20171.0	26770.0	14742.0	25947.0	31989.0	24698.0	21957.0	24469.0	21117.0	22049.0	29419.0	24434.0	21315.0	30843.0	24513.0	25142.0	20762.0	26636.0	28317.0	1813.0
QinJ_2012__CON-049__bin.3	26362.0	22928.0	31489.0	22509.0	24784.0	21520.0	0.0	24268.0	24844.0	27317.0	26302.0	23739.0	23469.0	34790.0	10531.0	22754.0	23835.0	15615.0	23023.0	27087.0	26046.0	26223.0	34981.0	27363.0	20058.0	26425.0	16507.0	27202.0	34077.0	27223.0	24320.0	27587.0	21120.0	23679.0	31985.0	22141.0	21719.0	31693.0	9662.0	25243.0	21783.0	27479.0	26237.0	23147.0
LoombaR_2017__SID0006_evh__bin.65	27213.0	24872.0	30694.0	26695.0	26254.0	22424.0	24268.0	0.0	26809.0	27306.0	29982.0	27041.0	26748.0	32493.0	10387.0	24800.0	25607.0	15712.0	25680.0	28981.0	26751.0	29016.0	36360.0	26582.0	23645.0	28728.0	16341.0	27510.0	35942.0	26717.0	23827.0	27511.0	25580.0	24262.0	30403.0	27617.0	25095.0	31820.0	27861.0	27512.0	23504.0	22504.0	30996.0	23235.0
HeQ_2017__SZAXPI029585-104__bin.20	26092.0	22221.0	33582.0	26820.0	26714.0	23413.0	24844.0	26809.0	0.0	27077.0	30278.0	24791.0	26217.0	36633.0	9400.0	23945.0	23764.0	17724.0	23605.0	26666.0	27757.0	25509.0	38623.0	26845.0	10752.0	29020.0	16341.0	27532.0	37228.0	26070.0	24116.0	26720.0	25096.0	21594.0	32733.0	25606.0	23713.0	35100.0	29001.0	25680.0	22690.0	29694.0	31082.0	24470.0
HeQ_2017__SZAXPI029555-35__bin.91	29956.0	27387.0	35963.0	30018.0	19592.0	26151.0	27317.0	27306.0	27077.0	0.0	32814.0	31181.0	30081.0	39850.0	11659.0	27444.0	28624.0	17673.0	29465.0	31737.0	32968.0	29009.0	41959.0	3904.0	19431.0	29551.0	20052.0	29594.0	40540.0	24206.0	21134.0	25009.0	28001.0	26298.0	36441.0	27964.0	28640.0	37515.0	32666.0	27401.0	26380.0	33148.0	33781.0	27508.0
QinJ_2012__CON-023__bin.42	33821.0	29000.0	39714.0	31975.0	32556.0	26462.0	26302.0	29982.0	30278.0	32814.0	0.0	33370.0	31854.0	41649.0	13055.0	26594.0	30876.0	20621.0	31797.0	33042.0	33959.0	29104.0	44311.0	32587.0	26606.0	30546.0	20960.0	35145.0	43286.0	32840.0	30763.0	35076.0	24018.0	30196.0	37080.0	14764.0	30153.0	42449.0	34891.0	29887.0	28213.0	37880.0	31202.0	27221.0
BackhedF_2015__SID130_12M__bin.8	29211.0	22466.0	38782.0	25367.0	29898.0	23046.0	23739.0	27041.0	24791.0	31181.0	33370.0	0.0	28511.0	40945.0	11997.0	21592.0	24543.0	17333.0	1575.0	29420.0	28902.0	29892.0	41354.0	31522.0	22280.0	29757.0	16334.0	30302.0	40691.0	28738.0	25746.0	31419.0	26799.0	24115.0	36825.0	27282.0	24034.0	37865.0	29386.0	29181.0	20539.0	33319.0	32643.0	24734.0
QinN_2014__LD-76__bin.25	28086.0	24127.0	34705.0	25738.0	28283.0	24064.0	23469.0	26748.0	26217.0	30081.0	31854.0	28511.0	0.0	38285.0	10646.0	24444.0	24726.0	17763.0	26512.0	28151.0	30240.0	25352.0	39140.0	29898.0	22779.0	29079.0	16514.0	29760.0	37402.0	28292.0	25974.0	30172.0	24464.0	24161.0	34274.0	27231.0	23825.0	36276.0	28991.0	25661.0	23550.0	31362.0	31153.0	25888.0
LiuW_2016__SRR3992999__bin.11	40020.0	38361.0	35093.0	37812.0	40588.0	31562.0	34790.0	32493.0	36633.0	39850.0	41649.0	40945.0	38285.0	0.0	16294.0	33091.0	37182.0	19783.0	38583.0	40161.0	40253.0	43251.0	44952.0	42448.0	34477.0	36774.0	25352.0	40069.0	43673.0	40443.0	34977.0	41641.0	38581.0	36510.0	970.0	38999.0	36846.0	38798.0	39978.0	37089.0	36395.0	31540.0	40528.0	34501.0
HeQ_2017__SZAXPI029480-66__bin.2	12562.0	9061.0	14387.0	10212.0	11353.0	8731.0	10531.0	10387.0	9400.0	11659.0	13055.0	11997.0	10646.0	16294.0	0.0	8965.0	10283.0	7212.0	11208.0	10951.0	12913.0	12848.0	17730.0	11962.0	8725.0	10927.0	4870.0	12938.0	17041.0	11797.0	9761.0	11535.0	12986.0	10236.0	12912.0	11505.0	9138.0	16162.0	12934.0	12133.0	10280.0	16901.0	12476.0	10169.0
FengQ_2015__SID31428__bin.43	24224.0	21692.0	31996.0	21149.0	26042.0	22159.0	22754.0	24800.0	23945.0	27444.0	26594.0	21592.0	24444.0	33091.0	8965.0	0.0	23637.0	16232.0	20758.0	25416.0	25494.0	26172.0	34101.0	27237.0	21666.0	26668.0	14798.0	27538.0	33272.0	26594.0	24225.0	27128.0	21804.0	23029.0	31852.0	24538.0	20658.0	32332.0	25561.0	24656.0	20174.0	27709.0	28987.0	23165.0
NielsenHB_2014__V1_CD20_4__bin.10	25008.0	22140.0	33772.0	26207.0	27418.0	21197.0	23835.0	25607.0	23764.0	28624.0	30876.0	24543.0	24726.0	37182.0	10283.0	23637.0	0.0	16018.0	23322.0	27939.0	24790.0	27994.0	39588.0	27836.0	21014.0	27539.0	16242.0	27191.0	38471.0	26652.0	24155.0	28521.0	25500.0	22663.0	33206.0	26367.0	23582.0	35262.0	27803.0	27492.0	21695.0	30946.0	30814.0	22286.0
GeversD_2014__SKBSTL059__bin.3	17350.0	16221.0	18208.0	15615.0	18024.0	15048.0	15615.0	15712.0	17724.0	17673.0	20621.0	17333.0	17763.0	19783.0	7212.0	16232.0	16018.0	0.0	16666.0	19243.0	18286.0	16628.0	21375.0	18307.0	15127.0	17387.0	12471.0	16475.0	20614.0	17470.0	15552.0	17640.0	15862.0	16753.0	18901.0	17935.0	15966.0	18399.0	16307.0	15266.0	15780.0	15005.0	20439.0	15457.0
BackhedF_2015__SID130_4M__bin.2	27270.0	21232.0	36420.0	24329.0	28883.0	22403.0	23023.0	25680.0	23605.0	29465.0	31797.0	1575.0	26512.0	38583.0	11208.0	20758.0	23322.0	16666.0	0.0	28230.0	27784.0	27726.0	38506.0	29830.0	20981.0	27982.0	16063.0	28547.0	37752.0	27211.0	24461.0	29714.0	25261.0	22754.0	34813.0	26075.0	22900.0	35587.0	26457.0	27576.0	20155.0	31316.0	31931.0	23561.0
HeQ_2017__SZAXPI029598-166__bin.49	29999.0	25734.0	36906.0	26277.0	30576.0	25578.0	27087.0	28981.0	26666.0	31737.0	33042.0	29420.0	28151.0	40161.0	10951.0	25416.0	27939.0	19243.0	28230.0	0.0	31061.0	31088.0	42102.0	31058.0	23599.0	31200.0	17644.0	31191.0	39973.0	30397.0	27177.0	31458.0	26938.0	22923.0	36078.0	29152.0	24981.0	38397.0	30972.0	29599.0	24692.0	32669.0	32540.0	26601.0
BackhedF_2015__SID591_12M__bin.5	29923.0	26169.0	39448.0	27719.0	32321.0	19776.0	26046.0	26751.0	27757.0	32968.0	33959.0	28902.0	30240.0	40253.0	12913.0	25494.0	24790.0	18286.0	27784.0	31061.0	0.0	32901.0	42339.0	33265.0	24818.0	31625.0	17997.0	32080.0	40809.0	31045.0	26321.0	32525.0	28785.0	27085.0	35094.0	29456.0	26674.0	37316.0	31072.0	30600.0	26537.0	33511.0	34787.0	21102.0
QinJ_2012__CON-035__bin.6	30202.0	25936.0	38881.0	29017.0	28879.0	25840.0	26223.0	29016.0	25509.0	29009.0	29104.0	29892.0	25352.0	43251.0	12848.0	26172.0	27994.0	16628.0	27726.0	31088.0	32901.0	0.0	43109.0	29031.0	22556.0	29396.0	18541.0	30502.0	42179.0	28832.0	26751.0	29131.0	25984.0	27302.0	37610.0	25204.0	27222.0	38378.0	32150.0	12089.0	25079.0	34254.0	33048.0	27571.0
CosteaPI_2017__SID713A037-11-0-0__bin.30	42621.0	36886.0	44094.0	38497.0	42318.0	32652.0	34981.0	36360.0	38623.0	41959.0	44311.0	41354.0	39140.0	44952.0	17730.0	34101.0	39588.0	21375.0	38506.0	42102.0	42339.0	43109.0	0.0	43545.0	37471.0	38856.0	24781.0	44219.0	1174.0	42134.0	37958.0	42295.0	38795.0	36859.0	41866.0	37343.0	36687.0	43754.0	43182.0	37118.0	34887.0	37839.0	40976.0	35828.0
QinJ_2012__T2D-038__bin.20	30391.0	26710.0	36839.0	30091.0	18593.0	26367.0	27363.0	26582.0	26845.0	3904.0	32587.0	31522.0	29898.0	42448.0	11962.0	27237.0	27836.0	18307.0	29830.0	31058.0	33265.0	29031.0	43545.0	0.0	19629.0	29119.0	18965.0	29237.0	41428.0	23931.0	20308.0	22986.0	29064.0	26163.0	36494.0	28605.0	28203.0	38793.0	33274.0	27025.0	25689.0	33360.0	33362.0	28289.0
QinJ_2012__CON-065__bin.22	22981.0	19203.0	31447.0	22755.0	20396.0	20171.0	20058.0	23645.0	10752.0	19431.0	26606.0	22280.0	22779.0	34477.0	8725.0	21666.0	21014.0	15127.0	20981.0	23599.0	24818.0	22556.0	37471.0	19629.0	0.0	26147.0	14384.0	24004.0	36217.0	22468.0	20253.0	22855.0	21740.0	18959.0	30932.0	21687.0	20770.0	32778.0	21947.0	23148.0	19927.0	29129.0	29189.0	21137.0
QinJ_2012__CON-029__bin.9	31343.0	28095.0	36595.0	28370.0	30025.0	26770.0	26425.0	28728.0	29020.0	29551.0	30546.0	29757.0	29079.0	36774.0	10927.0	26668.0	27539.0	17387.0	27982.0	31200.0	31625.0	29396.0	38856.0	29119.0	26147.0	0.0	19320.0	32466.0	37139.0	30924.0	28574.0	31126.0	23203.0	28598.0	35543.0	24953.0	26672.0	35931.0	30507.0	27929.0	26620.0	30569.0	26601.0	27845.0
NielsenHB_2014__V1_UC7_0__bin.5	16982.0	14143.0	22098.0	12093.0	18491.0	14742.0	16507.0	16341.0	16341.0	20052.0	20960.0	16334.0	16514.0	25352.0	4870.0	14798.0	16242.0	12471.0	16063.0	17644.0	17997.0	18541.0	24781.0	18965.0	14384.0	19320.0	0.0	17731.0	23736.0	18339.0	17112.0	18945.0	15884.0	15447.0	23034.0	18240.0	11740.0	22789.0	17710.0	19735.0	13105.0	19566.0	21299.0	14971.0
FengQ_2015__SID532826__bin.1	28417.0	26253.0	37675.0	30087.0	27654.0	25947.0	27202.0	27510.0	27532.0	29594.0	35145.0	30302.0	29760.0	40069.0	12938.0	27538.0	27191.0	16475.0	28547.0	31191.0	32080.0	30502.0	44219.0	29237.0	24004.0	32466.0	17731.0	0.0	42507.0	28677.0	23040.0	26919.0	29560.0	26593.0	36631.0	30706.0	28016.0	39435.0	33468.0	27716.0	25574.0	34406.0	34212.0	27115.0
CosteaPI_2017__SID713A037-11-90-0__bin.13	41838.0	36265.0	42837.0	36882.0	41059.0	31989.0	34077.0	35942.0	37228.0	40540.0	43286.0	40691.0	37402.0	43673.0	17041.0	33272.0	38471.0	20614.0	37752.0	39973.0	40809.0	42179.0	1174.0	41428.0	36217.0	37139.0	23736.0	42507.0	0.0	41317.0	36414.0	40774.0	39803.0	35623.0	40696.0	35766.0	36839.0	42001.0	42398.0	35818.0	33643.0	37345.0	39599.0	35142.0
KosticAD_2015__PRJNA231909.3112359__bin.15	28298.0	26302.0	34825.0	29071.0	22877.0	24698.0	27223.0	26717.0	26070.0	24206.0	32840.0	28738.0	28292.0	40443.0	11797.0	26594.0	26652.0	17470.0	27211.0	30397.0	31045.0	28832.0	42134.0	23931.0	22468.0	30924.0	18339.0	28677.0	41317.0	0.0	22759.0	25212.0	27992.0	26190.0	35901.0	29182.0	26714.0	38738.0	30496.0	27577.0	25641.0	33173.0	33229.0	26536.0
LeChatelierE_2013__MH0236__bin.16	23944.0	22957.0	31509.0	25959.0	19900.0	21957.0	24320.0	23827.0	24116.0	21134.0	30763.0	25746.0	25974.0	34977.0	9761.0	24225.0	24155.0	15552.0	24461.0	27177.0	26321.0	26751.0	37958.0	20308.0	20253.0	28574.0	17112.0	23040.0	36414.0	22759.0	0.0	21410.0	25183.0	23597.0	32752.0	27086.0	24664.0	33894.0	27974.0	25889.0	22085.0	30185.0	30680.0	23527.0
BackhedF_2015__SID624_12M__bin.9	28502.0	26776.0	35694.0	29538.0	22182.0	24469.0	27587.0	27511.0	26720.0	25009.0	35076.0	31419.0	30172.0	41641.0	11535.0	27128.0	28521.0	17640.0	29714.0	31458.0	32525.0	29131.0	42295.0	22986.0	22855.0	31126.0	18945.0	26919.0	40774.0	25212.0	21410.0	0.0	30536.0	26449.0	36419.0	29764.0	27499.0	37568.0	32712.0	28468.0	25642.0	32851.0	34224.0	26653.0
YuJ_2015__SZAXPI017587-113__bin.24	27774.0	23278.0	35386.0	25918.0	28885.0	21117.0	21120.0	25580.0	25096.0	28001.0	24018.0	26799.0	24464.0	38581.0	12986.0	21804.0	25500.0	15862.0	25261.0	26938.0	28785.0	25984.0	38795.0	29064.0	21740.0	23203.0	15884.0	29560.0	39803.0	27992.0	25183.0	30536.0	0.0	25546.0	33552.0	19234.0	23726.0	35890.0	28364.0	26085.0	22728.0	34952.0	16592.0	23330.0
ZellerG_2014__CCIS16383318ST-4-0__bin.38	25391.0	20580.0	31933.0	22505.0	25672.0	22049.0	23679.0	24262.0	21594.0	26298.0	30196.0	24115.0	24161.0	36510.0	10236.0	23029.0	22663.0	16753.0	22754.0	22923.0	27085.0	27302.0	36859.0	26163.0	18959.0	28598.0	15447.0	26593.0	35623.0	26190.0	23597.0	26449.0	25546.0	0.0	33365.0	25893.0	21342.0	34758.0	27210.0	26797.0	21178.0	30111.0	31443.0	23447.0
LiuW_2016__SRR3992985__bin.77	34611.0	34305.0	32680.0	34457.0	35474.0	29419.0	31985.0	30403.0	32733.0	36441.0	37080.0	36825.0	34274.0	970.0	12912.0	31852.0	33206.0	18901.0	34813.0	36078.0	35094.0	37610.0	41866.0	36494.0	30932.0	35543.0	23034.0	36631.0	40696.0	35901.0	32752.0	36419.0	33552.0	33365.0	0.0	34721.0	33093.0	35510.0	38263.0	33868.0	32932.0	28485.0	37614.0	31526.0
YuJ_2015__SZAXPI015254-45__bin.10	28658.0	24213.0	34716.0	26616.0	28458.0	24434.0	22141.0	27617.0	25606.0	27964.0	14764.0	27282.0	27231.0	38999.0	11505.0	24538.0	26367.0	17935.0	26075.0	29152.0	29456.0	25204.0	37343.0	28605.0	21687.0	24953.0	18240.0	30706.0	35766.0	29182.0	27086.0	29764.0	19234.0	25893.0	34721.0	0.0	25225.0	37169.0	29709.0	26392.0	23948.0	31998.0	26175.0	26076.0
VatanenT_2016__G80466__bin.1	25335.0	21103.0	32512.0	10873.0	26519.0	21315.0	21719.0	25095.0	23713.0	28640.0	30153.0	24034.0	23825.0	36846.0	9138.0	20658.0	23582.0	15966.0	22900.0	24981.0	26674.0	27222.0	36687.0	28203.0	20770.0	26672.0	11740.0	28016.0	36839.0	26714.0	24664.0	27499.0	23726.0	21342.0	33093.0	25225.0	0.0	33815.0	24767.0	26791.0	19389.0	29949.0	29224.0	22959.0
FengQ_2015__SID531333__bin.39	36833.0	33786.0	38392.0	36075.0	38299.0	30843.0	31693.0	31820.0	35100.0	37515.0	42449.0	37865.0	36276.0	38798.0	16162.0	32332.0	35262.0	18399.0	35587.0	38397.0	37316.0	38378.0	43754.0	38793.0	32778.0	35931.0	22789.0	39435.0	42001.0	38738.0	33894.0	37568.0	35890.0	34758.0	35510.0	37169.0	33815.0	0.0	39872.0	34028.0	31313.0	33703.0	38502.0	33182.0
YuJ_2015__SZAXPI015257-56__bin.49	31836.0	27525.0	38135.0	27862.0	29765.0	24513.0	9662.0	27861.0	29001.0	32666.0	34891.0	29386.0	28991.0	39978.0	12934.0	25561.0	27803.0	16307.0	26457.0	30972.0	31072.0	32150.0	43182.0	33274.0	21947.0	30507.0	17710.0	33468.0	42398.0	30496.0	27974.0	32712.0	28364.0	27210.0	38263.0	29709.0	24767.0	39872.0	0.0	29452.0	24441.0	34357.0	33481.0	27219.0
WenC_2017__RA134__bin.31	28377.0	26603.0	33541.0	27873.0	26551.0	25142.0	25243.0	27512.0	25680.0	27401.0	29887.0	29181.0	25661.0	37089.0	12133.0	24656.0	27492.0	15266.0	27576.0	29599.0	30600.0	12089.0	37118.0	27025.0	23148.0	27929.0	19735.0	27716.0	35818.0	27577.0	25889.0	28468.0	26085.0	26797.0	33868.0	26392.0	26791.0	34028.0	29452.0	0.0	25180.0	29526.0	31514.0	26904.0
LiJ_2014__V1.FI10__bin.30	24146.0	17990.0	32712.0	20840.0	24796.0	20762.0	21783.0	23504.0	22690.0	26380.0	28213.0	20539.0	23550.0	36395.0	10280.0	20174.0	21695.0	15780.0	20155.0	24692.0	26537.0	25079.0	34887.0	25689.0	19927.0	26620.0	13105.0	25574.0	33643.0	25641.0	22085.0	25642.0	22728.0	21178.0	32932.0	23948.0	19389.0	31313.0	24441.0	25180.0	0.0	28370.0	28476.0	21742.0
VogtmannE_2016__MMRS93621581ST-27-0-0__bin.23	32327.0	30330.0	28668.0	32790.0	33489.0	26636.0	27479.0	22504.0	29694.0	33148.0	37880.0	33319.0	31362.0	31540.0	16901.0	27709.0	30946.0	15005.0	31316.0	32669.0	33511.0	34254.0	37839.0	33360.0	29129.0	30569.0	19566.0	34406.0	37345.0	33173.0	30185.0	32851.0	34952.0	30111.0	28485.0	31998.0	29949.0	33703.0	34357.0	29526.0	28370.0	0.0	32288.0	29121.0
