	BritoIL_2016__W1.22.ST__bin.88	CosteaPI_2017__SID713A053-11-90-0__bin.39	BritoIL_2016__W2.15.ST__bin.13	BritoIL_2016__W2.8.ST__bin.10	BritoIL_2016__W1.2.ST__bin.88	BritoIL_2016__M1.44.ST__bin.98	CosteaPI_2017__SID713A056-11-90-0__bin.20	BritoIL_2016__WL.14.ST__bin.42	LiuW_2016__SRR3993004__bin.64	LiuW_2016__SRR3992955__bin.18	LiuW_2016__SRR3993055__bin.60	LiuW_2016__SRR3993002__bin.65	RaymondF_2016__P14E90__bin.91	LiuW_2016__SRR3992997__bin.34	BritoIL_2016__W2.34.ST__bin.44	LiuW_2016__SRR3992995__bin.49	LiuW_2016__SRR3992991__bin.50	BritoIL_2016__W1.44.ST__bin.43	CosteaPI_2017__SID713A053-11-0-0__bin.71	BritoIL_2016__W3.19.ST__bin.82	BritoIL_2016__M2.31.ST__bin.71	BritoIL_2016__M1.57.ST__bin.67	CosteaPI_2017__SID713A056-11-0-0__bin.68	BritoIL_2016__W2.9.ST__bin.86	BritoIL_2016__W2.36.ST__bin.17	LiuW_2016__SRR3992989__bin.9	LiuW_2016__SRR3992970__bin.1	BritoIL_2016__W3.22.ST__bin.107	BritoIL_2016__WL.1.ST__bin.4	BritoIL_2016__M2.44.ST__bin.15	LiuW_2016__SRR3993030__bin.22	LiJ_2014__MH0402__bin.38	LiuW_2016__SRR3993009__bin.6	CosteaPI_2017__SID713B012-11-0-0__bin.41	LiuW_2016__SRR3992998__bin.70	BritoIL_2016__W1.27.ST__bin.23	BritoIL_2016__W1.4.ST__bin.36	LiuW_2016__SRR3993034__bin.29	CosteaPI_2017__SID713A084-11-0-0__bin.32	BritoIL_2016__M1.27.ST__bin.63
BritoIL_2016__W1.22.ST__bin.88	1.0	0.9536959048513364	0.9716343890221972	0.9703226382114193	0.9803161089551643	0.9701057424465338	0.9587942202888897	0.971540680307239	0.9540465078276108	0.9549244135684336	0.9563913530710377	0.9565733248882664	0.9559091647894047	0.9556572408120382	0.9686772809580239	0.9576461915311886	0.9574749543900207	0.9705426393172235	0.9553421546962672	0.9709540153373657	0.984451847627981	0.9690554427600588	0.9562677169321071	0.9841099287116437	0.9689332235797014	0.9562684458767788	0.9571785216198636	0.9873576740520662	0.973506414433276	0.9709935148793656	0.9569213064370161	0.9657840659583121	0.9584877350508579	0.9553656988746132	0.9556386174510548	0.9710587092013941	0.9667343380940361	0.9575105182884113	0.9556928251354273	0.9699936777407657
CosteaPI_2017__SID713A053-11-90-0__bin.39	0.9536959048513364	1.0	0.9547347281321975	0.9545035458905609	0.95460364373842	0.9547042392899604	0.9744301247661918	0.9569926149127989	0.9595936022888254	0.9628099714520362	0.9642379524875391	0.9646813467657948	0.9658479397419776	0.9653549775705694	0.9572436914833204	0.9647258878131943	0.9639014859442999	0.9528299215090693	0.9956728911783644	0.9553949891444143	0.9532137671626665	0.9562659961989763	0.9699042039763922	0.9557878861013165	0.9536618790148759	0.963921404362916	0.965026123235326	0.9543774908105235	0.9546804602481458	0.9598889920545811	0.964970212456168	0.9585130818116672	0.9650402490657007	0.9677115691810738	0.9640633783392165	0.9514769924615941	0.9562726192567409	0.9658316673598906	0.9817624614168687	0.9525431989566363
BritoIL_2016__W2.15.ST__bin.13	0.9716343890221972	0.9547347281321975	1.0	0.9727105214442994	0.9727153061819412	0.970117825874735	0.9600363215329986	0.9723815201583744	0.9541175362507345	0.956232953438535	0.9582384575818805	0.9571847029085048	0.9573356830392302	0.9558751281068181	0.9704951235374015	0.9581971300929535	0.9578562854357917	0.9695335533148542	0.9564386187809213	0.9722892957474736	0.9701741583899025	0.9695527368948141	0.9563547512276849	0.972671972883818	0.9702141809440187	0.9569177110881146	0.9564958061509785	0.9702972586074278	0.9728602995661253	0.9722822691457442	0.9584900581253301	0.9669784521759203	0.9596366729294673	0.9568322428339207	0.955486663877708	0.9697762122076079	0.9689608842147672	0.9564414088319537	0.9567498083939869	0.9705850287012434
BritoIL_2016__W2.8.ST__bin.10	0.9703226382114193	0.9545035458905609	0.9727105214442994	1.0	0.9702321434468183	0.9720905225084315	0.9595944181282806	0.9715358256290544	0.9542377356433163	0.956425923219911	0.9578624369730255	0.9563951445680462	0.9578701938679379	0.9570235605452608	0.9706086095149914	0.9582656663305956	0.9578182581816599	0.9712293747854968	0.9560940828312137	0.9704853709515264	0.9692485992092863	0.9693414054253796	0.9568342637161678	0.9718592526954221	0.9718573493199617	0.9574720568706931	0.9567004698514604	0.9701781297814561	0.9733373306228718	0.9744267611190351	0.9580125563265025	0.9670684928755762	0.9597403740473348	0.9563171452995403	0.9558782337402076	0.9682571909272121	0.9751615642643673	0.9575025275219052	0.9565206574560894	0.9728574635961255
BritoIL_2016__W1.2.ST__bin.88	0.9803161089551643	0.95460364373842	0.9727153061819412	0.9702321434468183	1.0	0.9700037502792761	0.9591910706341106	0.9716362164997847	0.9547654158893053	0.9561693407992146	0.958256848730095	0.9569920678485977	0.9576195456000749	0.9568022224784368	0.9700426536470209	0.9583274622292303	0.9581240709257605	0.9726677670897603	0.9551123635997743	0.9715114445445533	0.9789522292762034	0.969964025054128	0.9561747017147766	0.9807323302261006	0.9695220519129885	0.9568189627277185	0.957518220415335	0.9818280145822013	0.973558416426035	0.9735662143420929	0.9586055780685248	0.9664907578622233	0.9601581900662701	0.9565081302598797	0.9557771983305839	0.97227124203171	0.9686200128039838	0.9574948313477332	0.9564265149720101	0.9707761286079569
BritoIL_2016__M1.44.ST__bin.98	0.9701057424465338	0.9547042392899604	0.970117825874735	0.9720905225084315	0.9700037502792761	1.0	0.9598656705763315	0.9729004010790597	0.9549666197646918	0.9555702038968795	0.9577809933208672	0.9575345613996142	0.9575658533943686	0.95686176833843	0.9698888752035691	0.9581005586592178	0.9580721498165583	0.9706793385473407	0.9560065516305828	0.9701895465180678	0.970018387570496	0.9691050078116525	0.9575402008555349	0.9711146303597256	0.9712987280866567	0.9572424373811826	0.9577967559988528	0.9705755406245259	0.9724391501392202	0.973161364526786	0.9572173910996163	0.9678624117811242	0.9602506115990093	0.9567887770550206	0.9563545019680532	0.9671537658431947	0.9680320002906182	0.9583856964600593	0.956513393588955	0.9689863214646806
CosteaPI_2017__SID713A056-11-90-0__bin.20	0.9587942202888897	0.9744301247661918	0.9600363215329986	0.9595944181282806	0.9591910706341106	0.9598656705763315	1.0	0.9606443630364637	0.9654853457462759	0.9687795514530494	0.9718438148185728	0.9720067558724361	0.9713631829118009	0.9716405588509195	0.9609431747431774	0.9721248342545814	0.9714002108547014	0.9588572568704254	0.976104005742298	0.9605711535531429	0.9580966758508951	0.9620422700313758	0.9899080177261386	0.9609884000312908	0.9590220303024927	0.9721934597674622	0.9712171975344538	0.9590174819733361	0.9597787553988895	0.9645597504502187	0.9724494924456631	0.96401465557945	0.9731019396661361	0.9835557554310215	0.9700985591139922	0.9549944586324869	0.9629857379297694	0.9717061479075209	0.9763899812636427	0.9576226717792005
BritoIL_2016__WL.14.ST__bin.42	0.971540680307239	0.9569926149127989	0.9723815201583744	0.9715358256290544	0.9716362164997847	0.9729004010790597	0.9606443630364637	1.0	0.9566659944842354	0.9571295161668057	0.9599423475337283	0.9595866547766164	0.9599310538821093	0.9585968391903419	0.9709270885574053	0.9599564363756263	0.9594697980872048	0.972549568349263	0.9586602266795166	0.9728949656115404	0.9703544241847053	0.9719232912499776	0.9587352409057044	0.9741943028009906	0.9706221398101884	0.9588327683343801	0.9593746384250699	0.9714168020824739	0.9714673510228283	0.9729361292236268	0.960134874157214	0.969262846716784	0.9612108688239756	0.9572707378257996	0.9580746067824105	0.9690053966869338	0.9697151544493818	0.9596076424738427	0.9589729235415433	0.9698938994506403
LiuW_2016__SRR3993004__bin.64	0.9540465078276108	0.9595936022888254	0.9541175362507345	0.9542377356433163	0.9547654158893053	0.9549666197646918	0.9654853457462759	0.9566659944842354	1.0	0.9624122688148931	0.9640667447513872	0.9633271599599433	0.9626987401458779	0.9641071920785361	0.9574152769346141	0.9636627646922005	0.965008306361729	0.9541494756150248	0.9611429966565507	0.9553550023935616	0.9530439483850004	0.9565005938679995	0.9618032935480862	0.9552986762595088	0.953757799794479	0.9649015383136438	0.9638091704661789	0.9543238826032826	0.9541661007515669	0.9598416738981714	0.9649436360742669	0.9580930416191402	0.9669883368002408	0.9625658210988387	0.9644447430470907	0.9517987884801137	0.9574379235327949	0.965235300581243	0.9624587478563297	0.9528974820776778
LiuW_2016__SRR3992955__bin.18	0.9549244135684336	0.9628099714520362	0.956232953438535	0.956425923219911	0.9561693407992146	0.9555702038968795	0.9687795514530494	0.9571295161668057	0.9624122688148931	1.0	0.9663342398987401	0.965756687979014	0.9645378202397614	0.96506802636133	0.9578724913585808	0.9666715048120939	0.9655516724912631	0.9545650931694332	0.9648531096196479	0.9555721704648211	0.9547959494686943	0.9578585077967462	0.9645681126678448	0.9566905629169842	0.9547647343671348	0.9656596278013312	0.9642540522600425	0.9552915227000189	0.9563280230421234	0.9607062280362879	0.9658178196202327	0.9592715431045233	0.9668661703599375	0.9644669765612931	0.9636029233395229	0.9510731436755785	0.9583420247531637	0.9648914037403165	0.9655765272397862	0.9550542390806593
