	BritoIL_2016__W1.22.ST__bin.88	CosteaPI_2017__SID713A053-11-90-0__bin.39	BritoIL_2016__W2.15.ST__bin.13	BritoIL_2016__W2.8.ST__bin.10	BritoIL_2016__W1.2.ST__bin.88	BritoIL_2016__M1.44.ST__bin.98	CosteaPI_2017__SID713A056-11-90-0__bin.20	BritoIL_2016__WL.14.ST__bin.42	LiuW_2016__SRR3993004__bin.64	LiuW_2016__SRR3992955__bin.18	LiuW_2016__SRR3993055__bin.60	LiuW_2016__SRR3993002__bin.65	RaymondF_2016__P14E90__bin.91	LiuW_2016__SRR3992997__bin.34	BritoIL_2016__W2.34.ST__bin.44	LiuW_2016__SRR3992995__bin.49	LiuW_2016__SRR3992991__bin.50	BritoIL_2016__W1.44.ST__bin.43	CosteaPI_2017__SID713A053-11-0-0__bin.71	BritoIL_2016__W3.19.ST__bin.82	BritoIL_2016__M2.31.ST__bin.71	BritoIL_2016__M1.57.ST__bin.67	CosteaPI_2017__SID713A056-11-0-0__bin.68	BritoIL_2016__W2.9.ST__bin.86	BritoIL_2016__W2.36.ST__bin.17	LiuW_2016__SRR3992989__bin.9	LiuW_2016__SRR3992970__bin.1	BritoIL_2016__W3.22.ST__bin.107	BritoIL_2016__WL.1.ST__bin.4	BritoIL_2016__M2.44.ST__bin.15	LiuW_2016__SRR3993030__bin.22	LiJ_2014__MH0402__bin.38	LiuW_2016__SRR3993009__bin.6	CosteaPI_2017__SID713B012-11-0-0__bin.41	LiuW_2016__SRR3992998__bin.70	BritoIL_2016__W1.27.ST__bin.23	BritoIL_2016__W1.4.ST__bin.36	LiuW_2016__SRR3993034__bin.29	CosteaPI_2017__SID713A084-11-0-0__bin.32	BritoIL_2016__M1.27.ST__bin.63
BritoIL_2016__W1.22.ST__bin.88	0.0	74656.0	40003.0	51886.0	26117.0	51631.0	34395.0	43206.0	65241.0	46989.0	63547.0	58416.0	59950.0	64152.0	32036.0	43434.0	57317.0	49936.0	73318.0	40232.0	24731.0	42142.0	67711.0	19225.0	51630.0	61389.0	59382.0	22331.0	29763.0	28997.0	62738.0	57378.0	49358.0	66746.0	66807.0	48246.0	56138.0	42456.0	55381.0	49787.0
CosteaPI_2017__SID713A053-11-90-0__bin.39	74656.0	0.0	67528.0	85023.0	62944.0	83855.0	24880.0	67425.0	64062.0	42612.0	58109.0	53786.0	52174.0	56595.0	46982.0	40243.0	55243.0	84946.0	8736.0	66832.0	76820.0	64916.0	53716.0	57339.0	83114.0	56675.0	54824.0	84610.0	52306.0	42941.0	57741.0	75608.0	46174.0	54777.0	61755.0	86330.0	80155.0	38199.0	27321.0	84128.0
BritoIL_2016__W2.15.ST__bin.13	40003.0	67528.0	0.0	44815.0	33227.0	48364.0	31996.0	37849.0	61380.0	43134.0	56672.0	54608.0	54714.0	60535.0	28174.0	39899.0	53786.0	48021.0	65350.0	37917.0	43489.0	39341.0	63876.0	31605.0	46848.0	56203.0	57183.0	47536.0	28605.0	26042.0	56746.0	51787.0	44513.0	60361.0	62991.0	47757.0	48999.0	41517.0	49998.0	46406.0
BritoIL_2016__W2.8.ST__bin.10	51886.0	85023.0	44815.0	0.0	45073.0	57671.0	39451.0	48627.0	74702.0	51290.0	70241.0	68260.0	66856.0	72024.0	34537.0	48390.0	65884.0	57926.0	83499.0	48322.0	55217.0	49117.0	78602.0	40046.0	56607.0	68343.0	68739.0	61025.0	33262.0	29494.0	70704.0	65591.0	53517.0	75629.0	77499.0	62695.0	50249.0	48424.0	62916.0	54160.0
BritoIL_2016__W1.2.ST__bin.88	26117.0	62944.0	33227.0	45073.0	0.0	45111.0	31187.0	36171.0	56226.0	38395.0	52053.0	51319.0	50698.0	55076.0	27918.0	37264.0	49411.0	40817.0	62901.0	35319.0	28943.0	36277.0	58777.0	21358.0	44590.0	51777.0	51160.0	28024.0	26070.0	23711.0	52178.0	48385.0	40479.0	55441.0	58172.0	40445.0	46026.0	37212.0	47629.0	42836.0
BritoIL_2016__M1.44.ST__bin.98	51631.0	83855.0	48364.0	57671.0	45111.0	0.0	38793.0	45567.0	72204.0	51630.0	69879.0	65041.0	66604.0	71183.0	35204.0	48300.0	64386.0	57704.0	83184.0	48874.0	53449.0	49556.0	76360.0	40802.0	56215.0	67946.0	66219.0	60128.0	34159.0	30895.0	72685.0	62868.0	52449.0	73697.0	76433.0	64526.0	63360.0	46657.0	62076.0	60889.0
CosteaPI_2017__SID713A056-11-90-0__bin.20	34395.0	24880.0	31996.0	39451.0	31187.0	38793.0	0.0	32444.0	29926.0	17696.0	23864.0	22458.0	23912.0	24149.0	24089.0	15830.0	23194.0	39179.0	23437.0	32606.0	37139.0	30438.0	10027.0	27927.0	39268.0	22531.0	23857.0	39501.0	26084.0	22041.0	24174.0	34906.0	18506.0	15065.0	27150.0	42964.0	35514.0	15913.0	19242.0	39411.0
BritoIL_2016__WL.14.ST__bin.42	43206.0	67425.0	37849.0	48627.0	36171.0	45567.0	32444.0	0.0	59740.0	44116.0	57058.0	53567.0	53560.0	59118.0	29623.0	40077.0	54354.0	45120.0	65887.0	37010.0	44825.0	37486.0	62198.0	30896.0	48243.0	56432.0	55125.0	47809.0	30797.0	26186.0	56147.0	49326.0	45163.0	62989.0	62752.0	49886.0	49104.0	40022.0	49395.0	48615.0
LiuW_2016__SRR3993004__bin.64	65241.0	64062.0	61380.0	74702.0	56226.0	72204.0	29926.0	59740.0	0.0	40220.0	52829.0	51306.0	50629.0	54170.0	42930.0	38588.0	49667.0	72590.0	61433.0	59407.0	68787.0	57243.0	58574.0	52352.0	73530.0	50385.0	52285.0	73669.0	48257.0	38919.0	51763.0	66977.0	40373.0	54356.0	55567.0	75203.0	68084.0	37017.0	46890.0	73621.0
LiuW_2016__SRR3992955__bin.18	46989.0	42612.0	43134.0	51290.0	38395.0	51630.0	17696.0	44116.0	40220.0	0.0	38460.0	36655.0	34965.0	39160.0	31237.0	29851.0	37536.0	52160.0	40412.0	42843.0	47756.0	39916.0	38895.0	37287.0	52032.0	37948.0	39958.0	51525.0	34434.0	27361.0	37132.0	46701.0	33100.0	37953.0	41261.0	55750.0	47930.0	30831.0	30153.0	50743.0
LiuW_2016__SRR3993055__bin.60	63547.0	58109.0	56672.0	70241.0	52053.0	69879.0	23864.0	57058.0	52829.0	38460.0	0.0	34086.0	45525.0	49065.0	40985.0	29187.0	42254.0	69074.0	55537.0	57545.0	64123.0	52964.0	50130.0	48717.0	68677.0	41325.0	48612.0	69678.0	44771.0	35335.0	40799.0	62180.0	34348.0	47588.0	53283.0	74648.0	64892.0	35653.0	41808.0	68416.0
LiuW_2016__SRR3993002__bin.65	58416.0	53786.0	54608.0	68260.0	51319.0	65041.0	22458.0	53567.0	51306.0	36655.0	34086.0	0.0	44143.0	46836.0	38331.0	28775.0	39643.0	66647.0	51711.0	54908.0	61204.0	49307.0	46788.0	47027.0	67907.0	42881.0	45865.0	66044.0	43926.0	35474.0	38566.0	58996.0	33808.0	44965.0	49154.0	71385.0	61432.0	34526.0	38214.0	66711.0
RaymondF_2016__P14E90__bin.91	59950.0	52174.0	54714.0	66856.0	50698.0	66604.0	23912.0	53560.0	50629.0	34965.0	45525.0	44143.0	0.0	46410.0	38870.0	32736.0	44588.0	67590.0	50123.0	54194.0	61004.0	50771.0	46957.0	47116.0	67010.0	44659.0	42553.0	68202.0	40791.0	35997.0	46405.0	55482.0	37026.0	46836.0	47225.0	71891.0	62852.0	31547.0	39285.0	69014.0
LiuW_2016__SRR3992997__bin.34	64152.0	56595.0	60535.0	72024.0	55076.0	71183.0	24149.0	59118.0	54170.0	39160.0	49065.0	46836.0	46410.0	0.0	42676.0	35541.0	45052.0	72015.0	53604.0	59017.0	67742.0	55825.0	51707.0	49348.0	71905.0	40675.0	48831.0	73378.0	46829.0	38543.0	47031.0	64632.0	38401.0	50179.0	53364.0	76992.0	68634.0	34013.0	40883.0	70648.0
BritoIL_2016__W2.34.ST__bin.44	32036.0	46982.0	28174.0	34537.0	27918.0	35204.0	24089.0	29623.0	42930.0	31237.0	40985.0	38331.0	38870.0	42676.0	0.0	29833.0	39452.0	34966.0	45260.0	28511.0	33077.0	27150.0	43350.0	25431.0	35944.0	40882.0	39400.0	35784.0	23087.0	18994.0	41485.0	32925.0	32518.0	42039.0	46002.0	39162.0	33083.0	28009.0	36139.0	35677.0
LiuW_2016__SRR3992995__bin.49	43434.0	40243.0	39899.0	48390.0	37264.0	48300.0	15830.0	40077.0	38588.0	29851.0	29187.0	28775.0	32736.0	35541.0	29833.0	0.0	28494.0	48759.0	37468.0	40220.0	44938.0	36569.0	35680.0	33756.0	47954.0	27718.0	37618.0	48300.0	30769.0	25739.0	29642.0	42397.0	26298.0	34315.0	38745.0	52279.0	44831.0	27802.0	28894.0	47284.0
