	BritoIL_2016__W1.22.ST__bin.88	CosteaPI_2017__SID713A053-11-90-0__bin.39	BritoIL_2016__W2.15.ST__bin.13	BritoIL_2016__W2.8.ST__bin.10	BritoIL_2016__W1.2.ST__bin.88	BritoIL_2016__M1.44.ST__bin.98	CosteaPI_2017__SID713A056-11-90-0__bin.20	BritoIL_2016__WL.14.ST__bin.42	LiuW_2016__SRR3993004__bin.64	LiuW_2016__SRR3992955__bin.18	LiuW_2016__SRR3993055__bin.60	LiuW_2016__SRR3993002__bin.65	RaymondF_2016__P14E90__bin.91	LiuW_2016__SRR3992997__bin.34	BritoIL_2016__W2.34.ST__bin.44	LiuW_2016__SRR3992995__bin.49	LiuW_2016__SRR3992991__bin.50	BritoIL_2016__W1.44.ST__bin.43	CosteaPI_2017__SID713A053-11-0-0__bin.71	BritoIL_2016__W3.19.ST__bin.82	BritoIL_2016__M2.31.ST__bin.71	BritoIL_2016__M1.57.ST__bin.67	CosteaPI_2017__SID713A056-11-0-0__bin.68	BritoIL_2016__W2.9.ST__bin.86	BritoIL_2016__W2.36.ST__bin.17	LiuW_2016__SRR3992989__bin.9	LiuW_2016__SRR3992970__bin.1	BritoIL_2016__W3.22.ST__bin.107	BritoIL_2016__WL.1.ST__bin.4	BritoIL_2016__M2.44.ST__bin.15	LiuW_2016__SRR3993030__bin.22	LiJ_2014__MH0402__bin.38	LiuW_2016__SRR3993009__bin.6	CosteaPI_2017__SID713B012-11-0-0__bin.41	LiuW_2016__SRR3992998__bin.70	BritoIL_2016__W1.27.ST__bin.23	BritoIL_2016__W1.4.ST__bin.36	LiuW_2016__SRR3993034__bin.29	CosteaPI_2017__SID713A084-11-0-0__bin.32	BritoIL_2016__M1.27.ST__bin.63
BritoIL_2016__W1.22.ST__bin.88	1866512.0	1612298.0	1410264.0	1748336.0	1326821.0	1727121.0	834713.0	1518167.0	1419718.0	1042449.0	1457211.0	1345164.0	1359693.0	1446730.0	1022772.0	1025504.0	1347841.0	1695196.0	1641772.0	1385114.0	1590607.0	1361855.0	1548307.0	1209875.0	1661904.0	1403769.0	1386734.0	1766368.0	1123404.0	999673.0	1456358.0	1676938.0	1188998.0	1495397.0	1505972.0	1667030.0	1687566.0	999212.0	1249933.0	1659217.0
CosteaPI_2017__SID713A053-11-90-0__bin.39	1612298.0	2105158.0	1491828.0	1868783.0	1386543.0	1851277.0	973020.0	1567754.0	1585442.0	1145791.0	1624879.0	1522878.0	1527697.0	1633568.0	1098832.0	1140865.0	1530340.0	1800845.0	2018900.0	1498307.0	1641936.0	1484337.0	1784834.0	1296907.0	1793642.0	1570876.0	1567570.0	1854567.0	1154160.0	1070554.0	1648340.0	1822454.0	1320776.0	1696490.0	1718442.0	1779156.0	1833062.0	1117965.0	1498064.0	1772728.0
BritoIL_2016__W2.15.ST__bin.13	1410264.0	1491828.0	1758016.0	1642208.0	1217789.0	1618490.0	800627.0	1370423.0	1337766.0	985536.0	1357038.0	1275432.0	1282430.0	1371902.0	954893.0	954456.0	1276252.0	1576193.0	1500182.0	1368316.0	1458098.0	1292103.0	1463527.0	1156505.0	1572829.0	1304550.0	1314425.0	1600391.0	1053991.0	939543.0	1367046.0	1568279.0	1102808.0	1398289.0	1415104.0	1580113.0	1578621.0	953130.0	1156018.0	1577632.0
BritoIL_2016__W2.8.ST__bin.10	1748336.0	1868783.0	1642208.0	2301760.0	1514150.0	2066359.0	976375.0	1708358.0	1632393.0	1177076.0	1666945.0	1565422.0	1586905.0	1675895.0	1175072.0	1159477.0	1561908.0	2013373.0	1901771.0	1637222.0	1795593.0	1602063.0	1820935.0	1423061.0	2011431.0	1607014.0	1587523.0	2046317.0	1247512.0	1153315.0	1683932.0	1991740.0	1329297.0	1731320.0	1756480.0	1975093.0	2023034.0	1139456.0	1447032.0	1995392.0
BritoIL_2016__W1.2.ST__bin.88	1326821.0	1386543.0	1217789.0	1514150.0	1637139.0	1503888.0	764220.0	1275253.0	1242987.0	875985.0	1246983.0	1193245.0	1196259.0	1274973.0	931925.0	894210.0	1179938.0	1493365.0	1401299.0	1239761.0	1375110.0	1207785.0	1341166.0	1108489.0	1463025.0	1199068.0	1204281.0	1542154.0	985947.0	896996.0	1260508.0	1443930.0	1015993.0	1274744.0	1315430.0	1458594.0	1466731.0	875470.0	1093073.0	1465788.0
BritoIL_2016__M1.44.ST__bin.98	1727121.0	1851277.0	1618490.0	2066359.0	1503888.0	2317005.0	966579.0	1681464.0	1603344.0	1162058.0	1655155.0	1531622.0	1569585.0	1650114.0	1169136.0	1152760.0	1535638.0	1968032.0	1890827.0	1639492.0	1782726.0	1604014.0	1798407.0	1412549.0	1958624.0	1589099.0	1569050.0	2043470.0	1239403.0	1151139.0	1698938.0	1956214.0	1319492.0	1705506.0	1751223.0	1964487.0	1981982.0	1121177.0	1427474.0	1963295.0
CosteaPI_2017__SID713A056-11-90-0__bin.20	834713.0	973020.0	800627.0	976375.0	764220.0	966579.0	1065857.0	824380.0	867052.0	566808.0	847558.0	802265.0	835009.0	851533.0	616768.0	567889.0	810985.0	952270.0	980792.0	826958.0	886302.0	801892.0	993561.0	715864.0	958271.0	810277.0	828863.0	963850.0	648513.0	621920.0	877443.0	970006.0	688005.0	916126.0	907983.0	954638.0	959468.0	562419.0	814993.0	930002.0
BritoIL_2016__WL.14.ST__bin.42	1518167.0	1567754.0	1370423.0	1708358.0	1275253.0	1681464.0	824380.0	1795170.0	1378594.0	1029053.0	1424397.0	1325478.0	1336696.0	1427862.0	1018921.0	1000835.0	1341074.0	1643690.0	1593792.0	1365429.0	1512030.0	1335128.0	1507291.0	1197255.0	1642155.0	1370799.0	1356911.0	1672626.0	1079360.0	967563.0	1408424.0	1604768.0	1164321.0	1474142.0	1496754.0	1609506.0	1621405.0	990831.0	1203961.0	1614789.0
LiuW_2016__SRR3993004__bin.64	1419718.0	1585442.0	1337766.0	1632393.0	1242987.0	1603344.0	867052.0	1378594.0	1770074.0	1070030.0	1470198.0	1399019.0	1357300.0	1509216.0	1008108.0	1061941.0	1419394.0	1583188.0	1581002.0	1330653.0	1464923.0	1315949.0	1533483.0	1171151.0	1590106.0	1435533.0	1444703.0	1612856.0	1052867.0	969139.0	1476565.0	1598231.0	1222992.0	1452042.0	1562835.0	1560189.0	1599640.0	1064787.0	1249026.0	1562995.0
LiuW_2016__SRR3992955__bin.18	1042449.0	1145791.0	985536.0	1177076.0	875985.0	1162058.0	566808.0	1029053.0	1070030.0	1250288.0	1142407.0	1070428.0	985980.0	1121036.0	741487.0	895660.0	1089632.0	1148016.0	1149803.0	964328.0	1056454.0	947190.0	1097740.0	860944.0	1150253.0	1105055.0	1117833.0	1152466.0	788469.0	696319.0	1086297.0	1146643.0	998979.0	1068105.0	1133635.0	1139456.0	1150560.0	878161.0	875943.0	1128983.0
