	HMP_2012__SRS015217__bin.3	YuJ_2015__SZAXPI015246-34__bin.38	LoombaR_2017__SID1015_aao__bin.3	XieH_2016__YSZC12003_37208R1__bin.67	LoombaR_2017__SID5362_xgk__bin.23	HMP_2012__SRS014923__bin.28	YuJ_2015__SZAXPI003415-12__bin.35	HMP_2012__SRS014979__bin.67	XieH_2016__YSZC12003_37284__bin.35	FengQ_2015__SID31750__bin.10	FengQ_2015__SID31501__bin.24	VogtmannE_2016__MMRS42570301ST-27-0-0__bin.62	VincentC_2016__MM068.1__bin.6	RaymondF_2016__P5E0__bin.23	ZeeviD_2015__PNP_Main_133__bin.18	Obregon-TitoAJ_2015__NO10__bin.2	FengQ_2015__SID31489__bin.59	LoombaR_2017__SID0013_eop__bin.26	XieH_2016__YSZC12003_35629__bin.65	LoombaR_2017__SID1035_bai__bin.20	FengQ_2015__SID31865__bin.13	FengQ_2015__SID31866__bin.19	XieH_2016__YSZC12003_36694__bin.76	RaymondF_2016__P21E90__bin.21	LiJ_2014__MH0382__bin.43	XieH_2016__YSZC12003_37405__bin.106	XieH_2016__YSZC12003_37222__bin.43	XieH_2016__YSZC12003_37134__bin.30	KarlssonFH_2013__S77__bin.15	HMP_2012__SRS014235__bin.3	XieH_2016__YSZC12003_37232__bin.109	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.53	FengQ_2015__SID31685__bin.27	RaymondF_2016__P5E7__bin.24	ZellerG_2014__CCIS23164343ST-4-0__bin.74	LeChatelierE_2013__MH0456__bin.11	YuJ_2015__SZAXPI015235-21__bin.54	ZellerG_2014__CCIS22275061ST-4-0__bin.14	VogtmannE_2016__MMRS25641480ST-27-0-0__bin.32	KarlssonFH_2013__S350__bin.1	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.17	FengQ_2015__SID31137__bin.54	FengQ_2015__SID530177__bin.7	ZellerG_2014__CCMD25963797ST-21-0__bin.42	HMP_2012__SRS023914__bin.23
HMP_2012__SRS015217__bin.3	0.0	2248.0	769.0	30672.0	14304.0	2246.0	34403.0	30261.0	22211.0	2751.0	4911.0	1757.0	20029.0	2317.0	3056.0	1371.0	3580.0	794.0	2753.0	1555.0	3097.0	3872.0	27351.0	3378.0	20533.0	1931.0	2849.0	2354.0	2132.0	19180.0	27398.0	3234.0	3024.0	2317.0	2942.0	1804.0	3830.0	1312.0	24235.0	3272.0	24162.0	1871.0	17812.0	2439.0	1420.0
YuJ_2015__SZAXPI015246-34__bin.38	2248.0	0.0	1246.0	21236.0	12085.0	2953.0	23770.0	21597.0	16423.0	2627.0	5072.0	1853.0	15604.0	2657.0	3589.0	1862.0	3267.0	1404.0	3107.0	2014.0	3505.0	4104.0	19270.0	3470.0	17236.0	1937.0	3095.0	2460.0	2678.0	14684.0	19800.0	3204.0	2474.0	2517.0	3591.0	2708.0	2992.0	2596.0	18994.0	3082.0	19004.0	2220.0	14747.0	2778.0	1647.0
LoombaR_2017__SID1015_aao__bin.3	769.0	1246.0	0.0	15688.0	10207.0	1137.0	17424.0	16240.0	12579.0	1161.0	2156.0	1151.0	11656.0	1522.0	1234.0	705.0	2075.0	641.0	1772.0	960.0	1303.0	1788.0	14327.0	2506.0	13880.0	2029.0	1819.0	1453.0	1442.0	11323.0	14990.0	1493.0	2555.0	1542.0	1391.0	1862.0	2606.0	532.0	14071.0	1685.0	14259.0	660.0	11940.0	918.0	1214.0
XieH_2016__YSZC12003_37208R1__bin.67	30672.0	21236.0	15688.0	0.0	13756.0	31549.0	33462.0	29293.0	22675.0	11411.0	22354.0	12894.0	19094.0	27844.0	30772.0	18498.0	16716.0	13672.0	25945.0	15634.0	29681.0	27938.0	30780.0	24737.0	20805.0	15944.0	30756.0	15369.0	27858.0	18420.0	1495.0	26056.0	20011.0	24284.0	26563.0	24267.0	21508.0	28684.0	1788.0	31137.0	1787.0	18093.0	17268.0	31219.0	14458.0
LoombaR_2017__SID5362_xgk__bin.23	14304.0	12085.0	10207.0	13756.0	0.0	14292.0	503.0	418.0	327.0	5576.0	12596.0	7981.0	450.0	13656.0	14380.0	10351.0	9389.0	8464.0	13111.0	9730.0	14184.0	13354.0	13852.0	13649.0	10148.0	10049.0	14436.0	9534.0	13061.0	656.0	13252.0	12823.0	11326.0	13250.0	13370.0	13130.0	11124.0	13994.0	11934.0	14436.0	11900.0	10044.0	1236.0	14308.0	8972.0
HMP_2012__SRS014923__bin.28	2246.0	2953.0	1137.0	31549.0	14292.0	0.0	36257.0	30899.0	23734.0	2604.0	4901.0	1221.0	20155.0	2239.0	3477.0	1585.0	2836.0	712.0	3043.0	1744.0	3196.0	3343.0	28018.0	3071.0	21049.0	1772.0	2985.0	2240.0	2428.0	19877.0	28244.0	2409.0	2580.0	2559.0	3328.0	2464.0	3130.0	2599.0	24809.0	3450.0	24932.0	2274.0	18016.0	1942.0	684.0
YuJ_2015__SZAXPI003415-12__bin.35	34403.0	23770.0	17424.0	33462.0	503.0	36257.0	0.0	1329.0	361.0	13833.0	26320.0	13811.0	651.0	30945.0	34959.0	20332.0	19032.0	14369.0	28582.0	18590.0	33009.0	31037.0	35164.0	28513.0	19557.0	17846.0	35781.0	16831.0	30087.0	1126.0	30730.0	29763.0	21839.0	27300.0	30263.0	26945.0	23034.0	32073.0	26035.0	36399.0	26289.0	20565.0	2234.0	34894.0	15618.0
HMP_2012__SRS014979__bin.67	30261.0	21597.0	16240.0	29293.0	418.0	30899.0	1329.0	0.0	910.0	12330.0	24042.0	13279.0	887.0	27204.0	30596.0	18879.0	17895.0	13501.0	25868.0	17199.0	29146.0	27710.0	29841.0	25539.0	18661.0	16715.0	31216.0	15844.0	27054.0	1105.0	26981.0	26154.0	19735.0	24608.0	26943.0	24651.0	21120.0	28822.0	24020.0	31538.0	23296.0	18472.0	2427.0	30065.0	14667.0
XieH_2016__YSZC12003_37284__bin.35	22211.0	16423.0	12579.0	22675.0	327.0	23734.0	361.0	910.0	0.0	8326.0	17612.0	10699.0	797.0	22541.0	22900.0	14421.0	13367.0	11081.0	19194.0	13615.0	21749.0	20518.0	23483.0	18743.0	14038.0	12643.0	23610.0	14274.0	20545.0	734.0	20760.0	20118.0	16412.0	18807.0	20980.0	17841.0	15257.0	20785.0	17107.0	23735.0	16091.0	18397.0	1527.0	22240.0	10909.0
FengQ_2015__SID31750__bin.10	2751.0	2627.0	1161.0	11411.0	5576.0	2604.0	13833.0	12330.0	8326.0	0.0	2120.0	1280.0	8832.0	2789.0	1738.0	1829.0	1510.0	1212.0	3158.0	924.0	1290.0	2196.0	11178.0	1475.0	8165.0	1706.0	3183.0	623.0	2393.0	8444.0	10856.0	1191.0	2396.0	2791.0	1421.0	2473.0	2370.0	2671.0	9807.0	3371.0	10157.0	840.0	7536.0	2350.0	1113.0
