	HMP_2012__SRS015217__bin.3	YuJ_2015__SZAXPI015246-34__bin.38	LoombaR_2017__SID1015_aao__bin.3	XieH_2016__YSZC12003_37208R1__bin.67	LoombaR_2017__SID5362_xgk__bin.23	HMP_2012__SRS014923__bin.28	YuJ_2015__SZAXPI003415-12__bin.35	HMP_2012__SRS014979__bin.67	XieH_2016__YSZC12003_37284__bin.35	FengQ_2015__SID31750__bin.10	FengQ_2015__SID31501__bin.24	VogtmannE_2016__MMRS42570301ST-27-0-0__bin.62	VincentC_2016__MM068.1__bin.6	RaymondF_2016__P5E0__bin.23	ZeeviD_2015__PNP_Main_133__bin.18	Obregon-TitoAJ_2015__NO10__bin.2	FengQ_2015__SID31489__bin.59	LoombaR_2017__SID0013_eop__bin.26	XieH_2016__YSZC12003_35629__bin.65	LoombaR_2017__SID1035_bai__bin.20	FengQ_2015__SID31865__bin.13	FengQ_2015__SID31866__bin.19	XieH_2016__YSZC12003_36694__bin.76	RaymondF_2016__P21E90__bin.21	LiJ_2014__MH0382__bin.43	XieH_2016__YSZC12003_37405__bin.106	XieH_2016__YSZC12003_37222__bin.43	XieH_2016__YSZC12003_37134__bin.30	KarlssonFH_2013__S77__bin.15	HMP_2012__SRS014235__bin.3	XieH_2016__YSZC12003_37232__bin.109	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.53	FengQ_2015__SID31685__bin.27	RaymondF_2016__P5E7__bin.24	ZellerG_2014__CCIS23164343ST-4-0__bin.74	LeChatelierE_2013__MH0456__bin.11	YuJ_2015__SZAXPI015235-21__bin.54	ZellerG_2014__CCIS22275061ST-4-0__bin.14	VogtmannE_2016__MMRS25641480ST-27-0-0__bin.32	KarlssonFH_2013__S350__bin.1	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.17	FengQ_2015__SID31137__bin.54	FengQ_2015__SID530177__bin.7	ZellerG_2014__CCMD25963797ST-21-0__bin.42	HMP_2012__SRS023914__bin.23
HMP_2012__SRS015217__bin.3	1.0	0.6551340999280278	0.5138555165077748	0.8665397388194627	0.41464140949468253	0.9363469608670076	0.8725720988459312	0.7825975811002038	0.5687558711864119	0.3755521187320674	0.735310190078512	0.40158122241340033	0.5509151992809742	0.8483115541081192	0.9383920384295136	0.5835664404628341	0.5133566227756204	0.448559221973291	0.7734956710333405	0.5035342173420876	0.9034014110571094	0.8526159628204281	0.9176686115787435	0.8137552350002185	0.5437554941155678	0.5159539640974413	0.94226059192001	0.474140868252994	0.7918607614665311	0.5406913584257543	0.7805575311489522	0.8011815659926187	0.5849150004969601	0.7831954801001345	0.8088119329192902	0.7872628176048383	0.6276021272209956	0.8763973375317755	0.7116150582371417	0.9428627450525405	0.713907262229761	0.5600778274222161	0.48447570329513506	0.953694926869527	0.5010382017240066
YuJ_2015__SZAXPI015246-34__bin.38	0.9259717408166399	1.0	0.597875942305306	0.8812024337728342	0.4832851669624794	0.9286682194331218	0.8866751975896225	0.8120981314873598	0.6329476561735585	0.37760594460657815	0.7929636830847759	0.48637193257108935	0.6020636014743447	0.8642539204984303	0.9135115279517093	0.6342650114271002	0.5713380667019055	0.5343684866758536	0.8108671422628884	0.5711953987678082	0.9055024453065256	0.8743571060383519	0.9099727072415729	0.8776636130626979	0.6333138918664519	0.5943480540039128	0.9307847337657831	0.5413034601620292	0.8353213007598571	0.5680670900059746	0.8176654606397755	0.814888628819032	0.6604284520310503	0.8326986159023911	0.8468036096627187	0.8623965042529803	0.6670474789045507	0.8962148174588381	0.7582844426904002	0.9320124432676314	0.7694387793309694	0.5962169492785431	0.5552603197838882	0.929579435701858	0.5751141206817668
LoombaR_2017__SID1015_aao__bin.3	0.9614907848090641	0.7914940484245275	1.0	0.9113027470090158	0.5498323688420966	0.9558941546548492	0.9176389370310362	0.8617305266722772	0.6722121596088871	0.3573463549901838	0.8421712667242202	0.564114847424168	0.6558709258175139	0.915849375824497	0.9516138252829612	0.6883855089684298	0.6239504509361367	0.6182308020172183	0.8604265277664207	0.6434330050662022	0.9309633165280052	0.9187779460642317	0.9501064835954478	0.9423751160537317	0.7283477928624513	0.7114066616832007	0.9527557288753262	0.6470606113453694	0.8881441027336939	0.6052819915724911	0.8745787511858647	0.8614989619387178	0.7166776539308475	0.8850910664496712	0.8988583134995728	0.9223744358323268	0.7208566737318032	0.9471822551944673	0.8120200911351954	0.957045465564515	0.8239587004297697	0.6411376196447942	0.622443109248623	0.9477944544588152	0.6732093352427776
XieH_2016__YSZC12003_37208R1__bin.67	0.9174682702560162	0.6601015155262412	0.5156572712665854	1.0	0.43573549620258556	0.916144457347264	0.905333250347639	0.8099941527843064	0.6001941701457874	0.37233742856815283	0.7377237133259192	0.40948362697712054	0.5684885848263934	0.8134169032031932	0.9117582266393907	0.5859987028025688	0.5155250128163762	0.4587451907879328	0.7652707326381097	0.5119253718386955	0.8997243455458794	0.840771062670032	0.9214908925930353	0.8107934360499683	0.5718503243812516	0.5239232196702301	0.9177225504342826	0.483203586292292	0.7951550003521433	0.5567708137129492	0.8616306361344828	0.7952540918225787	0.5870612745619911	0.7577835940558221	0.8101935641318359	0.776508606217048	0.6154870141037463	0.8721584906649283	0.7712911536703971	0.9261502390479357	0.7763005960229106	0.5518117360334257	0.5090386161917101	0.918317508725782	0.4944476019045217
LoombaR_2017__SID5362_xgk__bin.23	0.9130421082930668	0.7529290837277668	0.6470596751310189	0.9062301470375336	1.0	0.9107632223923533	0.9729522813555453	0.9030638922621775	0.7207232141488498	0.37544985854897306	0.8068678263209618	0.5185155221424934	0.6744352603942234	0.8696598192220107	0.9032112193402132	0.6539295452958379	0.5903004280149677	0.5665339303628333	0.8169141704804226	0.6129394051392454	0.8983664577971792	0.8614401605098709	0.915731466168423	0.8844836483975412	0.7229194946936703	0.6360706079924514	0.915045075273066	0.5827526829708634	0.8313990622163102	0.6700852793849392	0.8483399729871971	0.8149248291261376	0.6723249916117242	0.846422166167912	0.8456335830796979	0.8516561096454102	0.6755065752160087	0.8834506556480773	0.790660996135432	0.9151753703189589	0.8063662329743548	0.6382098312295935	0.6337252971663808	0.9072222629098545	0.6199199835129929
HMP_2012__SRS014923__bin.28	0.9357585202139489	0.6566289716841228	0.5105434253696934	0.8647456255384377	0.41334656696608535	1.0	0.8845265053353879	0.7891272411470127	0.5748950565965834	0.375443649421589	0.7292481449144625	0.40563171464824777	0.5493762529726395	0.8361302136899303	0.9446301559087359	0.5817777824157332	0.5092795825221742	0.4456356259906383	0.7828308301901523	0.5046427866072855	0.9179924455436398	0.8434639806720938	0.916618451255282	0.8147940728475925	0.5517961062045408	0.5104954998305213	0.9534082595028807	0.46826227792406666	0.7994119072548057	0.5339569837366229	0.7813687147491234	0.7916769571302188	0.5942020919497848	0.7630708211925188	0.8106485137092164	0.7791521585624194	0.6159861819848671	0.8926178050334956	0.7109587542760983	0.9476139072184752	0.7198678801103988	0.5560224430661986	0.4835930395111286	0.9647233247028714	0.49070689010789814
YuJ_2015__SZAXPI003415-12__bin.35	0.8490736022748056	0.610437281402576	0.4772124298437275	0.8320509452892091	0.4299494746887985	0.8612473196296065	1.0	0.8560980731439117	0.6208573271485676	0.34851551321989915	0.6806515078188916	0.38297779460365894	0.5835650864304203	0.7528071917094233	0.8484541723460287	0.5405527151427661	0.48022528282658744	0.42160975011308544	0.7043144084820504	0.47687486687525077	0.830290876165947	0.7735121827491398	0.8546992754250395	0.7489600275770506	0.5511165168017547	0.4779259408673976	0.8542841896343708	0.4342463464547609	0.7432568316046246	0.5803964351544172	0.7623462620828351	0.732296760373946	0.5381826242002167	0.7034187564586672	0.7504363481181147	0.7224001818399403	0.5711501451483132	0.8110983328077336	0.693841300998539	0.858761697102528	0.700580517987929	0.5013916475556603	0.5141919450024498	0.8475445963206013	0.462564756017615
HMP_2012__SRS014979__bin.67	0.8723293366245038	0.6404466531191831	0.5133450185408549	0.8527491419304387	0.4571327328642582	0.880160810986739	0.9806668155337964	1.0	0.6596617210017321	0.36830992412087205	0.7201012009094114	0.41785164039794076	0.6116257756250479	0.7890709397855452	0.8714680339451543	0.5778133947654523	0.5163169007587912	0.45222830814806125	0.7417747318451794	0.5106313546937548	0.8505894189957331	0.8070350064791688	0.8684120906549091	0.7791724252093551	0.5983669735686125	0.5157814963905469	0.8785408032444987	0.47183393670503015	0.7821292195425181	0.6050931526005909	0.7921924076039492	0.7623334836374045	0.5634376581533637	0.738908895903079	0.7881734261827393	0.7622507158123619	0.5983501613541505	0.8405163160385939	0.7244331481690636	0.8814471609342763	0.7249659660427755	0.5419697535329361	0.5427745844149909	0.8704054157746852	0.49578487607673616
XieH_2016__YSZC12003_37284__bin.35	0.8711040347625623	0.6858740958849178	0.5502326961657998	0.8682270962942166	0.5012963104463608	0.8810604808639464	0.9772190542531244	0.9064073927308288	1.0	0.3407202593450152	0.7331205690142414	0.4545302155541853	0.6280184308868398	0.8418536795136748	0.8711620829342521	0.6049987768420966	0.5501847175749132	0.5162851776362902	0.7521396378386415	0.554050251946835	0.8530860007356716	0.8105971083717902	0.8693602202987348	0.7814776576733463	0.6289768180480059	0.5580046355611393	0.876141194477368	0.5797318292933583	0.7977435846404537	0.6394787984976186	0.8143192992993349	0.77758783784184	0.6485633373670889	0.7737969368335197	0.8261830424705302	0.7702157200372218	0.621962466526048	0.8343713886485024	0.7432547136003905	0.8804675602531138	0.7135583351547428	0.7121183850998636	0.5626781057104592	0.8627119276553928	0.5233824551178051
FengQ_2015__SID31750__bin.10	0.9328145442808646	0.6635847356519701	0.47436249656584834	0.8734925755081103	0.423505351513044	0.933131542899519	0.8896172385770028	0.8207228721227573	0.5525593315747915	1.0	0.7665977594921874	0.4108013917199961	0.6068794463859276	0.8239360853936644	0.9324014854747391	0.628242271477617	0.5615841861876978	0.4201634175909258	0.8082600234002617	0.49769551610256924	0.894632540964867	0.8886614397116657	0.9066535128249957	0.8507570503374594	0.5534872729857621	0.5151823126298013	0.9273400741968888	0.39729917176906365	0.7927443819199358	0.5823850591826816	0.7967145494681147	0.8182051346091408	0.6038842897405798	0.7801211126843635	0.7974292372628994	0.8249053326852472	0.6347417037619091	0.9181461536540335	0.749357837646756	0.930592672144659	0.7911248071591737	0.5315528897786197	0.5026118764973382	0.9220759759234747	0.5265567994282497
FengQ_2015__SID31501__bin.24	0.8493783027596093	0.6480616885916223	0.5199084731573231	0.8048626092208558	0.4232674207237178	0.8429055751944744	0.8080000214432276	0.7462462066707201	0.5529194284129019	0.3565110796709715	1.0	0.42349614848362876	0.5381660411647425	0.7685833487084253	0.8423596663612495	0.5675169055278407	0.5136805557727178	0.4579951743803466	0.7373883667810454	0.5018041348796879	0.8250277310072197	0.8154372475115805	0.823295296919457	0.7896428317747533	0.5558433018281691	0.5307216673538924	0.8442095914663102	0.4927349898524393	0.749156231334899	0.5180371048247708	0.7474957214060146	0.7423145015633453	0.5793741168629094	0.7356434241439127	0.7749988943335825	0.7632064594148947	0.5908757280087417	0.8194328355675241	0.6979011100890832	0.8446621329131653	0.7029885158114765	0.5279059035438954	0.5014467477548271	0.8458665275239461	0.5123546495394844
VogtmannE_2016__MMRS42570301ST-27-0-0__bin.62	0.9647591254168187	0.8266972155713936	0.7242840565006081	0.9291363895245501	0.5657038372880601	0.9751028284680858	0.9455294818299984	0.9005869143283468	0.7129582916398388	0.3973308730687434	0.8807737940940643	1.0	0.696604221657947	0.9249359151245881	0.9600690137665182	0.6861490262536619	0.6760032221290022	0.6473952134474643	0.8707032473076919	0.6534715466869583	0.9446719198146998	0.9430571389018189	0.9473997660518793	0.9576765736913353	0.7316035294762554	0.7082217248424474	0.9696211211113558	0.6374612447935394	0.9046805418899998	0.6372233944404337	0.8857993119063613	0.8638436802882449	0.7382159551131787	0.9013097564170818	0.9145076637056156	0.9337066468953561	0.7220031087784433	0.9583380949859102	0.847797143380095	0.9753722683212132	0.8864961391127253	0.6329550955257189	0.6577547112487423	0.9574062047352659	0.721149263174912
