	HMP_2012__SRS015217__bin.3	YuJ_2015__SZAXPI015246-34__bin.38	LoombaR_2017__SID1015_aao__bin.3	XieH_2016__YSZC12003_37208R1__bin.67	LoombaR_2017__SID5362_xgk__bin.23	HMP_2012__SRS014923__bin.28	YuJ_2015__SZAXPI003415-12__bin.35	HMP_2012__SRS014979__bin.67	XieH_2016__YSZC12003_37284__bin.35	FengQ_2015__SID31750__bin.10	FengQ_2015__SID31501__bin.24	VogtmannE_2016__MMRS42570301ST-27-0-0__bin.62	VincentC_2016__MM068.1__bin.6	RaymondF_2016__P5E0__bin.23	ZeeviD_2015__PNP_Main_133__bin.18	Obregon-TitoAJ_2015__NO10__bin.2	FengQ_2015__SID31489__bin.59	LoombaR_2017__SID0013_eop__bin.26	XieH_2016__YSZC12003_35629__bin.65	LoombaR_2017__SID1035_bai__bin.20	FengQ_2015__SID31865__bin.13	FengQ_2015__SID31866__bin.19	XieH_2016__YSZC12003_36694__bin.76	RaymondF_2016__P21E90__bin.21	LiJ_2014__MH0382__bin.43	XieH_2016__YSZC12003_37405__bin.106	XieH_2016__YSZC12003_37222__bin.43	XieH_2016__YSZC12003_37134__bin.30	KarlssonFH_2013__S77__bin.15	HMP_2012__SRS014235__bin.3	XieH_2016__YSZC12003_37232__bin.109	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.53	FengQ_2015__SID31685__bin.27	RaymondF_2016__P5E7__bin.24	ZellerG_2014__CCIS23164343ST-4-0__bin.74	LeChatelierE_2013__MH0456__bin.11	YuJ_2015__SZAXPI015235-21__bin.54	ZellerG_2014__CCIS22275061ST-4-0__bin.14	VogtmannE_2016__MMRS25641480ST-27-0-0__bin.32	KarlssonFH_2013__S350__bin.1	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.17	FengQ_2015__SID31137__bin.54	FengQ_2015__SID530177__bin.7	ZellerG_2014__CCMD25963797ST-21-0__bin.42	HMP_2012__SRS023914__bin.23
HMP_2012__SRS015217__bin.3	2585721.0	1696242.0	1329456.0	2271302.0	1086451.0	2423378.0	2290631.0	2053840.0	1492855.0	973824.0	1906218.0	1040134.0	1444542.0	2195814.0	2429476.0	1510311.0	1330977.0	1160643.0	2002797.0	1303554.0	2339041.0	2208499.0	2400186.0	2107522.0	1426533.0	1336044.0	2439272.0	1228350.0	2049663.0	1417257.0	2045702.0	2074866.0	1515451.0	2027442.0	2094304.0	2037446.0	1626634.0	2267431.0	1864273.0	2441252.0	1870127.0	1450076.0	1270531.0	2468428.0	1296965.0
YuJ_2015__SZAXPI015246-34__bin.38	1696242.0	1829423.0	1095014.0	1633328.0	896218.0	1701880.0	1645874.0	1507268.0	1174352.0	693428.0	1455738.0	891633.0	1117033.0	1583743.0	1674788.0	1162201.0	1048486.0	978990.0	1486526.0	1046972.0	1660052.0	1603673.0	1683995.0	1609088.0	1175835.0	1089251.0	1705894.0	992733.0	1530834.0	1053919.0	1515656.0	1493980.0	1210677.0	1525875.0	1552753.0	1580396.0	1223304.0	1642152.0	1406217.0	1708127.0	1426633.0	1092953.0	1030553.0	1703372.0	1053774.0
LoombaR_2017__SID1015_aao__bin.3	1329456.0	1095014.0	1381903.0	1275020.0	770022.0	1322090.0	1285512.0	1207068.0	941511.0	494979.0	1165955.0	780703.0	918006.0	1267137.0	1316272.0	951987.0	864314.0	854976.0	1190798.0	890122.0	1287804.0	1271450.0	1327282.0	1304777.0	1020386.0	985124.0	1318435.0	895628.0	1228771.0	847764.0	1223573.0	1192001.0	992934.0	1224652.0	1243526.0	1276494.0	998760.0	1309446.0	1136204.0	1324229.0	1152890.0	886650.0	872096.0	1310678.0	931524.0
XieH_2016__YSZC12003_37208R1__bin.67	2271302.0	1633328.0	1275020.0	2442188.0	1077904.0	2268946.0	2244456.0	2007451.0	1488462.0	920729.0	1824014.0	1012930.0	1407450.0	2014361.0	2257457.0	1449617.0	1275725.0	1134014.0	1894880.0	1265852.0	2226977.0	2081259.0	2281234.0	2004847.0	1417371.0	1295463.0	2272007.0	1195443.0	1969776.0	1378159.0	2105759.0	1968216.0	1453725.0	1874934.0	2005208.0	1920647.0	1524643.0	2158659.0	1885426.0	2292970.0	1897659.0	1365721.0	1260436.0	2273923.0	1221992.0
LoombaR_2017__SID5362_xgk__bin.23	1086451.0	896218.0	770022.0	1077904.0	1174258.0	1083763.0	1143000.0	1060848.0	846642.0	446451.0	960067.0	616852.0	792411.0	1034861.0	1074983.0	778233.0	702554.0	673721.0	972379.0	729479.0	1069098.0	1024907.0	1089157.0	1052261.0	859042.0	756960.0	1088935.0	693836.0	989338.0	787509.0	1009422.0	969755.0	800809.0	1007168.0	1006362.0	1013194.0	804343.0	1051393.0	940374.0	1089088.0	958782.0	759467.0	745393.0	1079621.0	736918.0
HMP_2012__SRS014923__bin.28	2423378.0	1701880.0	1322090.0	2268946.0	1083763.0	2587347.0	2324834.0	2072645.0	1511187.0	974007.0	1891719.0	1050731.0	1441582.0	2165598.0	2447563.0	1506846.0	1320519.0	1153726.0	2028498.0	1307430.0	2378361.0	2185677.0	2399628.0	2111226.0	1448737.0	1322601.0	2469783.0	1213797.0	2070784.0	1401409.0	2049916.0	2050752.0	1539987.0	1976888.0	2100757.0	2018401.0	1596900.0	2312111.0	1864306.0	2455256.0	1887480.0	1440897.0	1269239.0	2498016.0	1270313.0
YuJ_2015__SZAXPI003415-12__bin.35	2290631.0	1645874.0	1285512.0	2244456.0	1143000.0	2324834.0	2657282.0	2276223.0	1650154.0	939937.0	1835003.0	1031491.0	1551348.0	2031366.0	2289541.0	1456733.0	1295126.0	1134705.0	1900144.0	1285781.0	2239326.0	2086477.0	2306341.0	2018711.0	1484029.0	1287830.0	2305855.0	1170746.0	2005130.0	1543403.0	2056499.0	1975682.0	1451942.0	1896482.0	2024384.0	1946566.0	1540741.0	2187390.0	1869767.0	2318371.0	1887929.0	1352904.0	1368587.0	2287059.0	1244783.0
HMP_2012__SRS014979__bin.67	2053840.0	1507268.0	1207068.0	2007451.0	1060848.0	2072645.0	2276223.0	2319742.0	1531155.0	866714.0	1694491.0	982587.0	1419701.0	1857645.0	2052177.0	1359257.0	1215617.0	1062554.0	1746594.0	1201732.0	2002294.0	1899823.0	2044333.0	1833018.0	1406718.0	1213195.0	2069204.0	1110377.0	1841392.0	1404765.0	1864663.0	1794571.0	1326765.0	1738686.0	1855302.0	1792876.0	1409138.0	1978603.0	1704518.0	2076268.0	1705030.0	1275702.0	1261524.0	2049181.0	1164760.0
XieH_2016__YSZC12003_37284__bin.35	1492855.0	1174352.0	941511.0	1488462.0	846642.0	1511187.0	1650154.0	1531155.0	1688253.0	583548.0	1255305.0	778061.0	1061051.0	1443803.0	1493642.0	1035812.0	942218.0	882701.0	1288996.0	948992.0	1461974.0	1389011.0	1491183.0	1338075.0	1075910.0	954696.0	1502758.0	993008.0	1367338.0	1080336.0	1395537.0	1332883.0	1111351.0	1325172.0	1415786.0	1318160.0	1065287.0	1429415.0	1271909.0	1510187.0	1220758.0	1220633.0	951470.0	1478716.0	894511.0
FengQ_2015__SID31750__bin.10	973824.0	693428.0	494979.0	920729.0	446451.0	974007.0	939937.0	866714.0	583548.0	1041014.0	800159.0	428930.0	640602.0	860518.0	972381.0	655838.0	586127.0	438608.0	844568.0	519032.0	932615.0	927305.0	955017.0	887125.0	584353.0	538018.0	968557.0	414217.0	827651.0	614715.0	840247.0	852954.0	631048.0	814908.0	831556.0	861211.0	663145.0	958474.0	789899.0	972131.0	833729.0	554194.0	530762.0	962244.0	549266.0
