	CosteaPI_2017__bugkiller-11-7-0__bin.17	FengQ_2015__SID31871__bin.33	LiJ_2014__O2.UC4-1__bin.70	BackhedF_2015__SID38_M__bin.48	NielsenHB_2014__O2_UC17_2__bin.12	SchirmerM_2016__G89052__bin.18	NielsenHB_2014__V1_CD17_4__bin.17	KarlssonFH_2013__S434__bin.53	XieH_2016__YSZC12003_36389__bin.26	FengQ_2015__SID31188__bin.62	KarlssonFH_2013__S372__bin.31	NielsenHB_2014__V1_CD15_3__bin.40	LiSS_2016__FAT_024-22-84-0__bin.7	LiuW_2016__SRR3993035__bin.110	CM_madagascar__A15_02_1FE__bin.27	NielsenHB_2014__V1_UC4_5__bin.83	CosteaPI_2017__SID713A010-11-90-0__bin.32	HMP_2012__SRS015133__bin.58	LiJ_2014__O2.UC32-1__bin.39	ZellerG_2014__CCIS76845094ST-20-0__bin.91	ZeeviD_2015__PNP_Main_243__bin.52	ZellerG_2014__CCMD13071240ST-21-0__bin.47	ZellerG_2014__CCIS98512455ST-4-0__bin.37	FengQ_2015__SID31883__bin.1	LiJ_2014__V1.FI36__bin.59	IjazUZ_2017__S4_a_WGS__bin.22	FengQ_2015__SID530154__bin.5	ZellerG_2014__MMPU29365221ST__bin.5	ZeeviD_2015__PNP_Main_144__bin.9	ZellerG_2014__CCIS36699628ST-4-0__bin.17
CosteaPI_2017__bugkiller-11-7-0__bin.17	2524733.0	2007496.0	1593966.0	1762513.0	2047502.0	1334808.0	1336512.0	1659670.0	1267806.0	2124110.0	2158588.0	1393011.0	1875710.0	1430708.0	1853668.0	1445643.0	1238234.0	1873505.0	1861735.0	1943626.0	1375541.0	1965838.0	1973988.0	1122780.0	1684414.0	1650829.0	963134.0	2259181.0	2074643.0	2048871.0
FengQ_2015__SID31871__bin.33	2007496.0	2652854.0	1620973.0	1853069.0	2234829.0	1494136.0	1431247.0	1701585.0	1371449.0	2307506.0	2277410.0	1470534.0	1968468.0	1434243.0	1954718.0	1476828.0	1300894.0	1981747.0	1964263.0	2045557.0	1437672.0	2102906.0	2065299.0	1135141.0	1799626.0	1688187.0	1063813.0	2104885.0	2220298.0	2211958.0
LiJ_2014__O2.UC4-1__bin.70	1593966.0	1620973.0	2130082.0	1531610.0	1644581.0	1117829.0	1165507.0	1425445.0	904123.0	1653641.0	1733304.0	952383.0	1567926.0	1168340.0	1464979.0	1269846.0	1042011.0	1559761.0	1644201.0	1544518.0	1130693.0	1587336.0	1671084.0	743871.0	1554327.0	1352745.0	708119.0	1611680.0	1696582.0	1647782.0
BackhedF_2015__SID38_M__bin.48	1762513.0	1853069.0	1531610.0	2370924.0	1906847.0	1261254.0	1257256.0	1534724.0	1045180.0	1909220.0	1942021.0	1150513.0	1699692.0	1295763.0	1714979.0	1371447.0	1222668.0	1706949.0	1839954.0	1751970.0	1259985.0	1823399.0	1889604.0	853605.0	1715126.0	1497884.0	810919.0	1841636.0	1880388.0	1904629.0
NielsenHB_2014__O2_UC17_2__bin.12	2047502.0	2234829.0	1644581.0	1906847.0	2687588.0	1480378.0	1494199.0	1730684.0	1444023.0	2329410.0	2349122.0	1537806.0	2039511.0	1451933.0	1966046.0	1576574.0	1325536.0	2010373.0	2034838.0	2112234.0	1439201.0	2142497.0	2099909.0	1214659.0	1858439.0	1743836.0	1100481.0	2147034.0	2246920.0	2315848.0
SchirmerM_2016__G89052__bin.18	1334808.0	1494136.0	1117829.0	1261254.0	1480378.0	1897332.0	963422.0	1207984.0	954328.0	1525867.0	1510319.0	1035216.0	1332156.0	993146.0	1348346.0	1011609.0	906620.0	1353081.0	1363812.0	1388080.0	958232.0	1412554.0	1357749.0	726884.0	1218242.0	1143804.0	739900.0	1406883.0	1454545.0	1475657.0
NielsenHB_2014__V1_CD17_4__bin.17	1336512.0	1431247.0	1165507.0	1257256.0	1494199.0	963422.0	1957502.0	1183355.0	828995.0	1507085.0	1545130.0	912735.0	1305833.0	955854.0	1330270.0	1048080.0	904999.0	1344626.0	1346628.0	1320026.0	1039408.0	1403382.0	1377962.0	681839.0	1277076.0	1236952.0	614118.0	1402087.0	1453062.0	1546960.0
KarlssonFH_2013__S434__bin.53	1659670.0	1701585.0	1425445.0	1534724.0	1730684.0	1207984.0	1183355.0	2253554.0	1016062.0	1759373.0	1770158.0	1087043.0	1602433.0	1228568.0	1535421.0	1307912.0	1077623.0	1589251.0	1645990.0	1619418.0	1198739.0	1700292.0	1687767.0	820548.0	1489347.0	1407406.0	751089.0	1732612.0	1730670.0	1778451.0
XieH_2016__YSZC12003_36389__bin.26	1267806.0	1371449.0	904123.0	1045180.0	1444023.0	954328.0	828995.0	1016062.0	1723551.0	1443489.0	1478802.0	1459528.0	1276979.0	939166.0	1216803.0	820865.0	669269.0	1218906.0	1209072.0	1390974.0	785644.0	1365570.0	1240402.0	1151859.0	1000410.0	1014745.0	1116489.0	1342338.0	1421151.0	1386579.0
FengQ_2015__SID31188__bin.62	2124110.0	2307506.0	1653641.0	1909220.0	2329410.0	1525867.0	1507085.0	1759373.0	1443489.0	3047029.0	2383642.0	1582639.0	2041091.0	1498270.0	2038319.0	1535733.0	1340062.0	2087985.0	2062544.0	2160176.0	1498890.0	2213058.0	2230404.0	1258961.0	1865382.0	1813340.0	1146634.0	2293853.0	2320287.0	2347463.0
KarlssonFH_2013__S372__bin.31	2158588.0	2277410.0	1733304.0	1942021.0	2349122.0	1510319.0	1545130.0	1770158.0	1478802.0	2383642.0	2909188.0	1631713.0	2058181.0	1507922.0	2090016.0	1569170.0	1327383.0	2070060.0	2104581.0	2191685.0	1470552.0	2282163.0	2195372.0	1302075.0	1910652.0	1884574.0	1128624.0	2284379.0	2345221.0	2337785.0
NielsenHB_2014__V1_CD15_3__bin.40	1393011.0	1470534.0	952383.0	1150513.0	1537806.0	1035216.0	912735.0	1087043.0	1459528.0	1582639.0	1631713.0	1816548.0	1317718.0	1008650.0	1325832.0	903209.0	749774.0	1343859.0	1305125.0	1461339.0	850531.0	1485880.0	1346191.0	1205243.0	1053045.0	1094737.0	1106688.0	1485536.0	1521896.0	1520412.0
LiSS_2016__FAT_024-22-84-0__bin.7	1875710.0	1968468.0	1567926.0	1699692.0	2039511.0	1332156.0	1305833.0	1602433.0	1276979.0	2041091.0	2058181.0	1317718.0	2214808.0	1342489.0	1747144.0	1447257.0	1161168.0	1783054.0	1868234.0	1970840.0	1308384.0	1925314.0	1908610.0	1042778.0	1720879.0	1565587.0	967591.0	1955406.0	1986109.0	2041421.0
LiuW_2016__SRR3993035__bin.110	1430708.0	1434243.0	1168340.0	1295763.0	1451933.0	993146.0	955854.0	1228568.0	939166.0	1498270.0	1507922.0	1008650.0	1342489.0	1787514.0	1333073.0	1061386.0	857997.0	1326711.0	1337002.0	1360850.0	998342.0	1401538.0	1399105.0	783810.0	1235228.0	1188172.0	727373.0	1450610.0	1491151.0	1482130.0
CM_madagascar__A15_02_1FE__bin.27	1853668.0	1954718.0	1464979.0	1714979.0	1966046.0	1348346.0	1330270.0	1535421.0	1216803.0	2038319.0	2090016.0	1325832.0	1747144.0	1333073.0	3066344.0	1350565.0	1195911.0	1818535.0	1744425.0	1874477.0	1293432.0	1853739.0	1853767.0	1042583.0	1605312.0	1600036.0	936700.0	1929836.0	1977032.0	1960855.0
NielsenHB_2014__V1_UC4_5__bin.83	1445643.0	1476828.0	1269846.0	1371447.0	1576574.0	1011609.0	1048080.0	1307912.0	820865.0	1535733.0	1569170.0	903209.0	1447257.0	1061386.0	1350565.0	1792859.0	956658.0	1389311.0	1500821.0	1490749.0	1035875.0	1467517.0	1541667.0	671896.0	1415730.0	1250158.0	577714.0	1540523.0	1522184.0	1557776.0
CosteaPI_2017__SID713A010-11-90-0__bin.32	1238234.0	1300894.0	1042011.0	1222668.0	1325536.0	906620.0	904999.0	1077623.0	669269.0	1340062.0	1327383.0	749774.0	1161168.0	857997.0	1195911.0	956658.0	1978208.0	1232913.0	1231938.0	1222399.0	939620.0	1226169.0	1271268.0	557167.0	1156483.0	1099579.0	521263.0	1296743.0	1317393.0	1289456.0
HMP_2012__SRS015133__bin.58	1873505.0	1981747.0	1559761.0	1706949.0	2010373.0	1353081.0	1344626.0	1589251.0	1218906.0	2087985.0	2070060.0	1343859.0	1783054.0	1326711.0	1818535.0	1389311.0	1232913.0	2493975.0	1837055.0	1844744.0	1357301.0	1935251.0	1902939.0	1020276.0	1687799.0	1613915.0	951652.0	1976019.0	2032458.0	2001864.0
LiJ_2014__O2.UC32-1__bin.39	1861735.0	1964263.0	1644201.0	1839954.0	2034838.0	1363812.0	1346628.0	1645990.0	1209072.0	2062544.0	2104581.0	1305125.0	1868234.0	1337002.0	1744425.0	1500821.0	1231938.0	1837055.0	2486591.0	1926471.0	1358127.0	1962925.0	2033812.0	982585.0	1821844.0	1578907.0	927577.0	1980788.0	2071276.0	2032276.0
ZellerG_2014__CCIS76845094ST-20-0__bin.91	1943626.0	2045557.0	1544518.0	1751970.0	2112234.0	1388080.0	1320026.0	1619418.0	1390974.0	2160176.0	2191685.0	1461339.0	1970840.0	1360850.0	1874477.0	1490749.0	1222399.0	1844744.0	1926471.0	2619261.0	1348644.0	2042851.0	1971159.0	1152750.0	1707312.0	1628786.0	1066251.0	2055899.0	2110002.0	2098088.0
ZeeviD_2015__PNP_Main_243__bin.52	1375541.0	1437672.0	1130693.0	1259985.0	1439201.0	958232.0	1039408.0	1198739.0	785644.0	1498890.0	1470552.0	850531.0	1308384.0	998342.0	1293432.0	1035875.0	939620.0	1357301.0	1358127.0	1348644.0	1984554.0	1400249.0	1402814.0	663066.0	1233927.0	1186674.0	638477.0	1447024.0	1474478.0	1459582.0
ZellerG_2014__CCMD13071240ST-21-0__bin.47	1965838.0	2102906.0	1587336.0	1823399.0	2142497.0	1412554.0	1403382.0	1700292.0	1365570.0	2213058.0	2282163.0	1485880.0	1925314.0	1401538.0	1853739.0	1467517.0	1226169.0	1935251.0	1962925.0	2042851.0	1400249.0	2646661.0	2031359.0	1160479.0	1779857.0	1663660.0	1035612.0	2098550.0	2175825.0	2153059.0
ZellerG_2014__CCIS98512455ST-4-0__bin.37	1973988.0	2065299.0	1671084.0	1889604.0	2099909.0	1357749.0	1377962.0	1687767.0	1240402.0	2230404.0	2195372.0	1346191.0	1908610.0	1399105.0	1853767.0	1541667.0	1271268.0	1902939.0	2033812.0	1971159.0	1402814.0	2031359.0	3136421.0	1035468.0	1845503.0	1662382.0	930821.0	2081981.0	2188871.0	2111199.0
FengQ_2015__SID31883__bin.1	1122780.0	1135141.0	743871.0	853605.0	1214659.0	726884.0	681839.0	820548.0	1151859.0	1258961.0	1302075.0	1205243.0	1042778.0	783810.0	1042583.0	671896.0	557167.0	1020276.0	982585.0	1152750.0	663066.0	1160479.0	1035468.0	1798411.0	768477.0	880651.0	868917.0	1194365.0	1228596.0	1167412.0
LiJ_2014__V1.FI36__bin.59	1684414.0	1799626.0	1554327.0	1715126.0	1858439.0	1218242.0	1277076.0	1489347.0	1000410.0	1865382.0	1910652.0	1053045.0	1720879.0	1235228.0	1605312.0	1415730.0	1156483.0	1687799.0	1821844.0	1707312.0	1233927.0	1779857.0	1845503.0	768477.0	2088021.0	1495246.0	682333.0	1773074.0	1833462.0	1817845.0
IjazUZ_2017__S4_a_WGS__bin.22	1650829.0	1688187.0	1352745.0	1497884.0	1743836.0	1143804.0	1236952.0	1407406.0	1014745.0	1813340.0	1884574.0	1094737.0	1565587.0	1188172.0	1600036.0	1250158.0	1099579.0	1613915.0	1578907.0	1628786.0	1186674.0	1663660.0	1662382.0	880651.0	1495246.0	2532752.0	764562.0	1730500.0	1770319.0	1798014.0
FengQ_2015__SID530154__bin.5	963134.0	1063813.0	708119.0	810919.0	1100481.0	739900.0	614118.0	751089.0	1116489.0	1146634.0	1128624.0	1106688.0	967591.0	727373.0	936700.0	577714.0	521263.0	951652.0	927577.0	1066251.0	638477.0	1035612.0	930821.0	868917.0	682333.0	764562.0	1224604.0	1013826.0	1107156.0	1095442.0
