	CosteaPI_2017__bugkiller-11-7-0__bin.17	FengQ_2015__SID31871__bin.33	LiJ_2014__O2.UC4-1__bin.70	BackhedF_2015__SID38_M__bin.48	NielsenHB_2014__O2_UC17_2__bin.12	SchirmerM_2016__G89052__bin.18	NielsenHB_2014__V1_CD17_4__bin.17	KarlssonFH_2013__S434__bin.53	XieH_2016__YSZC12003_36389__bin.26	FengQ_2015__SID31188__bin.62	KarlssonFH_2013__S372__bin.31	NielsenHB_2014__V1_CD15_3__bin.40	LiSS_2016__FAT_024-22-84-0__bin.7	LiuW_2016__SRR3993035__bin.110	CM_madagascar__A15_02_1FE__bin.27	NielsenHB_2014__V1_UC4_5__bin.83	CosteaPI_2017__SID713A010-11-90-0__bin.32	HMP_2012__SRS015133__bin.58	LiJ_2014__O2.UC32-1__bin.39	ZellerG_2014__CCIS76845094ST-20-0__bin.91	ZeeviD_2015__PNP_Main_243__bin.52	ZellerG_2014__CCMD13071240ST-21-0__bin.47	ZellerG_2014__CCIS98512455ST-4-0__bin.37	FengQ_2015__SID31883__bin.1	LiJ_2014__V1.FI36__bin.59	IjazUZ_2017__S4_a_WGS__bin.22	FengQ_2015__SID530154__bin.5	ZellerG_2014__MMPU29365221ST__bin.5	ZeeviD_2015__PNP_Main_144__bin.9	ZellerG_2014__CCIS36699628ST-4-0__bin.17
CosteaPI_2017__bugkiller-11-7-0__bin.17	1.0	0.7856438680842687	0.6233459142016206	0.6895731152561478	0.8019259858369182	0.5226762592321644	0.5224314808734231	0.6496801840036154	0.49628455761460716	0.8315671399708405	0.8450877775986609	0.5454604506694372	0.7354211316602587	0.55951659046719	0.7186474767826936	0.5655897079017861	0.48385512448247003	0.7330501878812532	0.7286956680171724	0.7610206703045431	0.5384272317112344	0.7698311068932834	0.7719501428467882	0.43886818923030674	0.6596887670894309	0.6461316899648398	0.3767336981771934	0.8945682573167142	0.8097371088348748	0.8018812286289283
FengQ_2015__SID31871__bin.33	0.7477007781053914	1.0	0.6032985607198889	0.6901898860623313	0.8330002329566573	0.5577464873679441	0.5329286873683964	0.6338599862638502	0.5104163289800343	0.8617914894675697	0.8490180763811352	0.5480335517898836	0.7336645740775783	0.5338446819915457	0.7206996691110781	0.550311098914603	0.4846365461499201	0.7383945742962108	0.7320527251028515	0.7622722547113411	0.535739999261173	0.7843077681621379	0.7699986505099791	0.42261051682452183	0.6713901330416223	0.6289863671351684	0.3969408041301934	0.7842693190051168	0.8256549361555517	0.8252813762084156
LiJ_2014__O2.UC4-1__bin.70	0.7388363452674592	0.7513621541330333	1.0	0.7098764272924705	0.7626786198841171	0.5183922496880402	0.5410528796543983	0.6617031644791139	0.41863740456940157	0.7671559123076013	0.8043361710957606	0.4416463779328683	0.7272658986837127	0.5418791389251681	0.673021038626682	0.5887271006468296	0.48266216981318094	0.7236101708760508	0.7697623847344844	0.7161170321142566	0.5245314499629592	0.7369434603926046	0.775593146179349	0.34462429145920204	0.7217492096548396	0.6274810077734096	0.32848265935302023	0.7473895371164115	0.7853617841942235	0.7656893021019848
BackhedF_2015__SID38_M__bin.48	0.7343078057331235	0.7722613630803855	0.6377661198756265	1.0	0.7949963811577259	0.5259928196770541	0.5232419934169126	0.6402427914180293	0.43556942356650824	0.7966843306660188	0.8100516929264708	0.47929583571637047	0.7084027155657456	0.5394905108725544	0.7075996531310157	0.571947898793888	0.5091989452213567	0.7114357102969138	0.7671469013768472	0.7303768488572389	0.5250611154132313	0.7601816844403279	0.787207012962035	0.35536314112135187	0.7154742201774498	0.624146113498366	0.3376679303090272	0.7672991626893144	0.7812308618918193	0.7939377221707655
NielsenHB_2014__O2_UC17_2__bin.12	0.7533331001626737	0.8222346579907337	0.6044706257060234	0.7013262449452817	1.0	0.5452684712091288	0.5495820043846006	0.6367289182716994	0.5304883040108826	0.8582100381457277	0.8648114964049549	0.5658519832652921	0.7509123422191198	0.5336349916728308	0.7156003822014386	0.5807687041317345	0.4873410656692916	0.7391709592392882	0.7491572368979174	0.7772712930702177	0.5297378169570633	0.7888240310642852	0.7726701414056023	0.4462510622907976	0.6843258713761187	0.6416396411950046	0.4051435711128342	0.7901694753808992	0.8242226859176331	0.8529127232298999
SchirmerM_2016__G89052__bin.18	0.6955124353565955	0.779842431372053	0.5819845973187613	0.6572855989357688	0.7723777388459162	1.0	0.5013413572321554	0.6294960502431836	0.4973035820826297	0.7965095196834292	0.7876692112924886	0.5400457062865118	0.694760326605992	0.5171261539888644	0.6956689709550042	0.5277974545308886	0.4723437964468	0.7052150071785012	0.711423198470273	0.7238506492274415	0.4997907588129014	0.737187271389509	0.7075356342485132	0.37847672415792283	0.6351745503686229	0.5960923022433607	0.385716363820354	0.7335627080553113	0.756217678297736	0.7698267883533298
NielsenHB_2014__V1_CD17_4__bin.17	0.6738179577849729	0.7222378316854849	0.5887539323076043	0.6337500549169298	0.7545586160320654	0.48593104885716587	1.0	0.5974302963675133	0.41746368586085736	0.7604048424982451	0.7795925623575353	0.4606023391036126	0.6585857894398065	0.48169605956979866	0.6641219268230634	0.5290073777702398	0.4559234166810558	0.6778440073113591	0.6799369809072991	0.6657873146489761	0.5249746871267564	0.7083343976149195	0.6963471812544764	0.3433069289328951	0.6452631976876652	0.6241899114279321	0.3099440000572158	0.7068401462680498	0.7317565959064154	0.7843062229310621
KarlssonFH_2013__S434__bin.53	0.727858751110468	0.7461716027217453	0.6254485137698054	0.6735880302846082	0.759362766545643	0.5299908500084755	0.5189451861370973	1.0	0.4457044295366341	0.7724048325445053	0.7772101311972112	0.4768357004092203	0.7031125058463209	0.5386891106225987	0.6669869015785732	0.5742387357924417	0.472362765658156	0.6970274508620605	0.7227543693206375	0.7107107262572807	0.5258884411023654	0.746654395679003	0.7402622701741339	0.35978547662935967	0.6537047703316629	0.6177961566485649	0.32953592414470656	0.760170823508112	0.7570379942082596	0.7808568155012038
XieH_2016__YSZC12003_36389__bin.26	0.726979358313157	0.7856222415234594	0.5173806867333778	0.5991711298360187	0.8272073179151647	0.5474453613499107	0.4741292830905497	0.5827614036370261	1.0	0.8285881879909559	0.8480317669741133	0.8365867908753498	0.7322991892900181	0.5384488187468778	0.6915275498085058	0.47050362884533153	0.38330748553422556	0.6982688646869167	0.6932576987858207	0.7974814786449603	0.4499657973567362	0.7829336062582424	0.7105852974469569	0.6602920366151046	0.5727796856605927	0.5816636699465232	0.6396573121421995	0.7701535956870439	0.8115582306528788	0.7951177539858119
FengQ_2015__SID31188__bin.62	0.6890269176958933	0.7503069383323888	0.5362945347746937	0.6199081137724649	0.7569717912103889	0.49597263432674915	0.4885066732216857	0.5712633519405296	0.468690649153651	1.0	0.7740202013174146	0.5140820779848174	0.6627422974970045	0.48598290334617755	0.6547860227126161	0.4986815025390307	0.4347424983483912	0.6777063821840882	0.6697855517620607	0.7013641813057899	0.4869618897621257	0.7190089099906827	0.7237689565803279	0.4080164645626937	0.6059495987731	0.5885313201810681	0.3724805375990842	0.7445455885060497	0.7515855608857022	0.7622421709803221
