	CosteaPI_2017__bugkiller-11-7-0__bin.17	FengQ_2015__SID31871__bin.33	LiJ_2014__O2.UC4-1__bin.70	BackhedF_2015__SID38_M__bin.48	NielsenHB_2014__O2_UC17_2__bin.12	SchirmerM_2016__G89052__bin.18	NielsenHB_2014__V1_CD17_4__bin.17	KarlssonFH_2013__S434__bin.53	XieH_2016__YSZC12003_36389__bin.26	FengQ_2015__SID31188__bin.62	KarlssonFH_2013__S372__bin.31	NielsenHB_2014__V1_CD15_3__bin.40	LiSS_2016__FAT_024-22-84-0__bin.7	LiuW_2016__SRR3993035__bin.110	CM_madagascar__A15_02_1FE__bin.27	NielsenHB_2014__V1_UC4_5__bin.83	CosteaPI_2017__SID713A010-11-90-0__bin.32	HMP_2012__SRS015133__bin.58	LiJ_2014__O2.UC32-1__bin.39	ZellerG_2014__CCIS76845094ST-20-0__bin.91	ZeeviD_2015__PNP_Main_243__bin.52	ZellerG_2014__CCMD13071240ST-21-0__bin.47	ZellerG_2014__CCIS98512455ST-4-0__bin.37	FengQ_2015__SID31883__bin.1	LiJ_2014__V1.FI36__bin.59	IjazUZ_2017__S4_a_WGS__bin.22	FengQ_2015__SID530154__bin.5	ZellerG_2014__MMPU29365221ST__bin.5	ZeeviD_2015__PNP_Main_144__bin.9	ZellerG_2014__CCIS36699628ST-4-0__bin.17
CosteaPI_2017__bugkiller-11-7-0__bin.17	0.0	23955.0	20184.0	21525.0	22853.0	15190.0	17512.0	19401.0	14820.0	24625.0	24967.0	15869.0	18968.0	18078.0	39275.0	17680.0	16629.0	22749.0	21973.0	22252.0	16156.0	22220.0	25020.0	14755.0	18876.0	19519.0	11982.0	635.0	30273.0	24335.0
FengQ_2015__SID31871__bin.33	23955.0	0.0	20510.0	22096.0	25001.0	14516.0	17465.0	20047.0	17389.0	21299.0	25089.0	16681.0	22163.0	18031.0	42807.0	16933.0	15224.0	22894.0	22234.0	23360.0	16432.0	22252.0	22605.0	14017.0	18526.0	19578.0	10787.0	24333.0	29956.0	22607.0
LiJ_2014__O2.UC4-1__bin.70	20184.0	20510.0	0.0	19515.0	20013.0	13611.0	13020.0	15963.0	12391.0	19536.0	20002.0	11640.0	18790.0	14093.0	31389.0	15809.0	13901.0	18412.0	4544.0	19130.0	13398.0	17586.0	19007.0	9793.0	16942.0	16159.0	8424.0	19679.0	23697.0	16801.0
BackhedF_2015__SID38_M__bin.48	21525.0	22096.0	19515.0	0.0	21971.0	14165.0	16689.0	16757.0	12478.0	20342.0	21450.0	14139.0	20123.0	16672.0	37314.0	15402.0	15396.0	20189.0	21107.0	20302.0	15105.0	21066.0	23196.0	11066.0	18791.0	18081.0	10334.0	22428.0	28149.0	22263.0
NielsenHB_2014__O2_UC17_2__bin.12	22853.0	25001.0	20013.0	21971.0	0.0	14921.0	17149.0	19419.0	18289.0	22895.0	24865.0	17029.0	21368.0	17742.0	42807.0	15707.0	15764.0	23786.0	21412.0	23249.0	15484.0	22463.0	23290.0	15320.0	19253.0	19373.0	11622.0	23384.0	31749.0	23570.0
SchirmerM_2016__G89052__bin.18	15190.0	14516.0	13611.0	14165.0	14921.0	0.0	12211.0	13621.0	10778.0	14624.0	15849.0	10570.0	13965.0	11986.0	28431.0	10202.0	10427.0	15054.0	14006.0	14695.0	9963.0	13865.0	15319.0	8788.0	13105.0	12819.0	8068.0	15071.0	19749.0	15040.0
NielsenHB_2014__V1_CD17_4__bin.17	17512.0	17465.0	13020.0	16689.0	17149.0	12211.0	0.0	13884.0	11809.0	18591.0	19076.0	11105.0	16650.0	12933.0	30250.0	12547.0	12528.0	17745.0	15650.0	16746.0	11769.0	16816.0	14861.0	9815.0	13972.0	15099.0	7402.0	18446.0	20647.0	11679.0
KarlssonFH_2013__S434__bin.53	19401.0	20047.0	15963.0	16757.0	19419.0	13621.0	13884.0	0.0	11643.0	18717.0	18673.0	12468.0	17931.0	14603.0	32330.0	13834.0	13128.0	18462.0	17224.0	17793.0	13621.0	17666.0	19546.0	9752.0	16188.0	15169.0	8462.0	19526.0	24644.0	18748.0
XieH_2016__YSZC12003_36389__bin.26	14820.0	17389.0	12391.0	12478.0	18289.0	10778.0	11809.0	11643.0	0.0	15375.0	17176.0	17628.0	14824.0	11122.0	24920.0	9928.0	8619.0	15404.0	14207.0	16474.0	10105.0	16144.0	15672.0	13812.0	13195.0	12218.0	14007.0	14939.0	22389.0	16153.0
FengQ_2015__SID31188__bin.62	24625.0	21299.0	19536.0	20342.0	22895.0	14624.0	18591.0	18717.0	15375.0	0.0	25180.0	16216.0	21696.0	17466.0	43167.0	16236.0	15389.0	22994.0	21688.0	23099.0	15103.0	22217.0	25059.0	15723.0	19036.0	20068.0	11675.0	25201.0	30184.0	24889.0
