	CosteaPI_2017__bugkiller-11-7-0__bin.17	FengQ_2015__SID31871__bin.33	LiJ_2014__O2.UC4-1__bin.70	BackhedF_2015__SID38_M__bin.48	NielsenHB_2014__O2_UC17_2__bin.12	SchirmerM_2016__G89052__bin.18	NielsenHB_2014__V1_CD17_4__bin.17	KarlssonFH_2013__S434__bin.53	XieH_2016__YSZC12003_36389__bin.26	FengQ_2015__SID31188__bin.62	KarlssonFH_2013__S372__bin.31	NielsenHB_2014__V1_CD15_3__bin.40	LiSS_2016__FAT_024-22-84-0__bin.7	LiuW_2016__SRR3993035__bin.110	CM_madagascar__A15_02_1FE__bin.27	NielsenHB_2014__V1_UC4_5__bin.83	CosteaPI_2017__SID713A010-11-90-0__bin.32	HMP_2012__SRS015133__bin.58	LiJ_2014__O2.UC32-1__bin.39	ZellerG_2014__CCIS76845094ST-20-0__bin.91	ZeeviD_2015__PNP_Main_243__bin.52	ZellerG_2014__CCMD13071240ST-21-0__bin.47	ZellerG_2014__CCIS98512455ST-4-0__bin.37	FengQ_2015__SID31883__bin.1	LiJ_2014__V1.FI36__bin.59	IjazUZ_2017__S4_a_WGS__bin.22	FengQ_2015__SID530154__bin.5	ZellerG_2014__MMPU29365221ST__bin.5	ZeeviD_2015__PNP_Main_144__bin.9	ZellerG_2014__CCIS36699628ST-4-0__bin.17
CosteaPI_2017__bugkiller-11-7-0__bin.17	1.0	0.988067224044282	0.9873372455874215	0.9877873241218647	0.9888385945410554	0.9886200861846798	0.9868972369870229	0.9883103267517036	0.988310514384693	0.9884069092466963	0.98843364273312	0.9886081301583405	0.9898875625763044	0.987364297955977	0.9788122792215219	0.9877701479549239	0.986570389764778	0.9878575183946667	0.9881975683972208	0.9885512953623794	0.9882548030193211	0.988696932300627	0.9873251509127715	0.9868585119079428	0.9887937288576324	0.9881762435721689	0.9875593634945916	0.999718924689965	0.9854080918982205	0.9881227271019015
FengQ_2015__SID31871__bin.33	0.988067224044282	1.0	0.9873471057198362	0.9880759971701	0.9888130143290605	0.9902846862668458	0.9877973543350659	0.9882186314524399	0.9873207097019284	0.9907696881394892	0.9889835383176503	0.9886565016517809	0.9887409904555218	0.9874282112584827	0.9781006774378709	0.9885342098064229	0.9882972786406886	0.9884475667176487	0.9886807418354874	0.9885801275642772	0.9885704110534252	0.9894184523701963	0.9890548535587341	0.98765175427546	0.989705638838292	0.9884029435127744	0.9898600599917466	0.9884397484898225	0.9865081173788384	0.9897796431939485
LiJ_2014__O2.UC4-1__bin.70	0.9873372455874215	0.9873471057198362	1.0	0.9872585057553815	0.9878309429575071	0.9878237190124787	0.988828895922547	0.9888013918460551	0.9862950063210426	0.9881860694068423	0.9884601893262809	0.9877780262772435	0.9880160160619825	0.9879375866614171	0.9785737542995497	0.9875504588745407	0.9866594498522568	0.9881956274070194	0.9972363476241651	0.9876142589468041	0.988150629746536	0.988921060191415	0.9886259457932696	0.9868350829646538	0.9891001057049128	0.9880546592299362	0.9881036944355398	0.9877897597537972	0.9860325053548841	0.9898038696866455
BackhedF_2015__SID38_M__bin.48	0.9877873241218647	0.9880759971701	0.9872585057553815	1.0	0.9884778380226625	0.988769113913613	0.9867258537640703	0.9890814244124676	0.9880613865554259	0.9893453871214423	0.9889548053290876	0.9877106994879675	0.9881607961913099	0.9871334495582912	0.9782422991768412	0.9887695259094956	0.9874078654221751	0.9881724644380119	0.9885285175607651	0.988411902030286	0.9880117620447862	0.9884468511828733	0.9877244120990429	0.9870361584105061	0.9890439536220662	0.98792897180289	0.9872564337498566	0.9878216976644679	0.9850302171679461	0.9883111094076589
NielsenHB_2014__O2_UC17_2__bin.12	0.9888385945410554	0.9888130143290605	0.9878309429575071	0.9884778380226625	1.0	0.9899208175209304	0.9885229477465853	0.9887795807900229	0.9873346892674147	0.990171330937877	0.9894151942725835	0.9889264315524845	0.9895229787924654	0.9877804278847577	0.9782268573573558	0.9900372580037473	0.9881074523815272	0.9881683647760888	0.9894772949984225	0.9889931702642795	0.9892412526116922	0.9895155045724685	0.9889090432013958	0.9873874066713374	0.9896402303223296	0.9888905837475542	0.9894391634203589	0.9891086959964305	0.9858699909209051	0.9898223026727143
SchirmerM_2016__G89052__bin.18	0.9886200861846798	0.9902846862668458	0.9878237190124787	0.988769113913613	0.9899208175209304	1.0	0.9873253880438686	0.9887241883998463	0.9887061890670713	0.9904159405767344	0.9895061904140781	0.989789570485773	0.9895169935052651	0.9879312809999738	0.9789141659485028	0.9899150758840619	0.9884990403917848	0.988874280253732	0.9897302560763507	0.9894134343841854	0.9896027266883176	0.9901844460459565	0.9887173549750359	0.9879100379152657	0.9892426956220521	0.9887926602809572	0.9890958237599675	0.9892876664228653	0.9864225582570495	0.9898079296205012
NielsenHB_2014__V1_CD17_4__bin.17	0.9868972369870229	0.9877973543350659	0.988828895922547	0.9867258537640703	0.9885229477465853	0.9873253880438686	1.0	0.9882672570783915	0.9857550407421034	0.9876642657846106	0.9876541132461346	0.9878332703358587	0.9872495181236804	0.9864696909779108	0.9772602554368662	0.9880285856041524	0.9861568907810948	0.9868030218068072	0.9883783791811844	0.9873138862416346	0.9886772085648754	0.9880175176822846	0.9892152323503841	0.9856051061907577	0.98905938252696	0.9877933824432961	0.9879469417929453	0.9868438977039228	0.9857906957858646	0.9924503542431607
KarlssonFH_2013__S434__bin.53	0.9883103267517036	0.9882186314524399	0.9888013918460551	0.9890814244124676	0.9887795807900229	0.9887241883998463	0.9882672570783915	1.0	0.988541053597123	0.989361550961621	0.9894512241280157	0.9885303525251531	0.9888101405799805	0.9881138040385229	0.9789438857485993	0.9894228357871172	0.9878176319547746	0.9883832069320705	0.9895357808978184	0.9890127193843714	0.9886372262852882	0.9896100199259892	0.9884190175539633	0.9881152595582464	0.9891308069912519	0.989222015537805	0.9887336920125311	0.9887303100751929	0.9857604280423189	0.9894582420319705
XieH_2016__YSZC12003_36389__bin.26	0.988310514384693	0.9873207097019284	0.9862950063210426	0.9880613865554259	0.9873346892674147	0.9887061890670713	0.9857550407421034	0.988541053597123	1.0	0.9893487238212415	0.9883851928791008	0.9879221227684567	0.9883913517763409	0.9881575781065328	0.9795201030898182	0.987905441211405	0.9871217701701409	0.9873624381207411	0.988249665859436	0.9881565004090659	0.9871379403393904	0.9881778305030134	0.9873653863828017	0.9880089490119884	0.9868104077328296	0.9879595366323559	0.9874544218527903	0.9888709103072401	0.9842458683137822	0.9883504654260594
FengQ_2015__SID31188__bin.62	0.9884069092466963	0.9907696881394892	0.9881860694068423	0.9893453871214423	0.990171330937877	0.9904159405767344	0.9876642657846106	0.989361550961621	0.9893487238212415	1.0	0.9894363331406311	0.9897538225710348	0.9893703906391239	0.9883425550801925	0.9788222550052273	0.9894278497629471	0.9885162029816531	0.9889874687797087	0.9894848303842245	0.9893068898089785	0.9899238770023151	0.9899609499615464	0.9887648157015501	0.9875111302097523	0.9897951197127451	0.9889331289223201	0.9898180238855642	0.989013681347497	0.9869912644427177	0.9893974899710879
KarlssonFH_2013__S372__bin.31	0.98843364273312	0.9889835383176503	0.9884601893262809	0.9889548053290876	0.9894151942725835	0.9895061904140781	0.9876541132461346	0.9894512241280157	0.9883851928791008	0.9894363331406311	1.0	0.9890685433038776	0.9893245540601142	0.988399930500384	0.9783049507754965	0.9888858441086689	0.9883454888302773	0.9888553954957827	0.9899181832393241	0.9887351512648943	0.9894236993999532	0.9898302619050436	0.9883072208263566	0.985877925618724	0.989069176385862	0.9912882168596192	0.9893702419937906	0.9884104170104873	0.9859356538253751	0.9892890064740769
