	QinJ_2012__T2D-102__bin.52	HeQ_2017__SZAXPI029601-32__bin.23	FengQ_2015__SID532749__bin.65	VatanenT_2016__G69157__bin.5	BackhedF_2015__SID130_4M__bin.7	ZeeviD_2015__PNP_Validation_10__bin.17	FengQ_2015__SID31870__bin.24	BackhedF_2015__SID130_12M__bin.23	LiJ_2014__MH0335__bin.24	Obregon-TitoAJ_2015__NO21__bin.23	FengQ_2015__SID531775__bin.40	LiJ_2014__V1.CD2-0-PN__bin.1	QinN_2014__LV-10__bin.21	YuJ_2015__SZAXPI003434-7__bin.11	LiJ_2014__V1.FI10__bin.38	KosticAD_2015__PRJNA231909.3105829__bin.10	FengQ_2015__SID531403__bin.37	WenC_2017__RA074__bin.11	YuJ_2015__SZAXPI017452-17__bin.41	BackhedF_2015__SID590_12M__bin.1	BackhedF_2015__SID1_12M__bin.3	WenC_2017__RA064__bin.26	BackhedF_2015__SID195_12M__bin.36	VatanenT_2016__G80392__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.23	LiJ_2014__O2.UC19-1__bin.21	VatanenT_2016__G78694__bin.4	BackhedF_2015__SID256_12M__bin.4	FengQ_2015__SID31865__bin.25	WenC_2017__RA107__bin.12	WenC_2017__N290__bin.87	WenC_2017__N310__bin.122
QinJ_2012__T2D-102__bin.52	1.0	0.998544541116011	0.9971102640979121	0.9977292950598161	0.9987616440826721	0.9973377887378619	0.9971826884637468	0.9993725527919215	0.9963670912821311	0.9993972554005468	0.9973529223890131	0.9971800696588671	0.9972812817470933	0.9962587372614311	0.9966670736599745	0.9995152757206409	0.9992681542695996	0.9969361775411225	0.9967448399960804	0.9990773460485978	0.9986468872599629	0.996884883322485	0.9971504114890872	0.9995144414113738	0.9990846796048574	0.9969001457944501	0.9995128416377118	0.9970910191852494	0.9962313984199564	0.9976993937906958	0.9968505707508408	0.9967750056527729
HeQ_2017__SZAXPI029601-32__bin.23	0.998544541116011	1.0	0.9961332126258302	0.9966426225923992	0.9985121330614231	0.996506079447864	0.9952517546847514	0.9992402818073131	0.9955103784283073	0.9987036135474381	0.9965521058029796	0.9963045239253704	0.9966700426805727	0.9952806511947477	0.9960039829211086	0.9989978185500639	0.9991676553225187	0.9965948682460888	0.9960933454082865	0.9989611577194423	0.9978681427217225	0.9960141722687423	0.9959014366200434	0.9992914142763228	0.9989589134173208	0.9957974766083144	0.998810008718748	0.9960017590902942	0.9951284344474864	0.9973517912746434	0.9959020316218027	0.9959444462997167
FengQ_2015__SID532749__bin.65	0.9971102640979121	0.9961332126258302	1.0	0.9973067181583369	0.9958102285130651	0.9969064698283355	0.9969168421276158	0.9950578037922876	0.997098459008992	0.9969907075695279	0.9969443825033277	0.9968450766591023	0.9997792144516592	0.9955949069482367	0.9975509060056966	0.9970309608124127	0.995683088751166	0.9955367259072222	0.9969280033752409	0.9966637934730701	0.9968294519165463	0.9960166462633222	0.9970460926744111	0.9967918457421545	0.9964523194299061	0.9976872030080136	0.9960881067256968	0.9997565064749044	0.9956717730858644	0.9945591650399663	0.9990171546827669	0.9993322237583615
VatanenT_2016__G69157__bin.5	0.9977292950598161	0.9966426225923992	0.9973067181583369	1.0	0.9953721046484064	0.9975659512846599	0.9972869937203201	0.996767437048423	0.9964993253473073	0.9969916571417573	0.9971975907645976	0.9970518717620535	0.9974566838518306	0.9960865655520967	0.9972277444096664	0.9978568296818358	0.99638623219352	0.9957658226056962	0.9965333860477226	0.9969763763486194	0.9969480194606496	0.9962443634159758	0.9965664622553855	0.9969661978980205	0.9966965109085179	0.9974063490495146	0.9960293404815717	0.9970114562735289	0.9963506145819084	0.9951802557335367	0.9964921131811689	0.9966018701715524
BackhedF_2015__SID130_4M__bin.7	0.9987616440826721	0.9985121330614231	0.9958102285130651	0.9953721046484064	1.0	0.9958393842647753	0.9967896655613963	0.9990089485114577	0.9952953495976758	0.998960865515337	0.9963213723710338	0.996093950981563	0.9962688204451663	0.9951425465280861	0.9961000655502797	0.9991871607590457	0.9988086413929731	0.9960659608779077	0.9958277623799495	0.9987652065361443	0.9977630662918747	0.9959701918968722	0.995172586127211	0.998835029191572	0.9987928358031992	0.9958781946510895	0.9971654926958273	0.9955448525531335	0.9950353873597888	0.9970648981839727	0.9957068894935824	0.9958655589408719
ZeeviD_2015__PNP_Validation_10__bin.17	0.9973377887378619	0.996506079447864	0.9969064698283355	0.9975659512846599	0.9958393842647753	1.0	0.9975374459025813	0.9963533034654577	0.9965514211846631	0.9968037964353333	0.9969873497869262	0.9967292035946087	0.9971518938754204	0.9957934516791737	0.9970185991031691	0.9973048522417606	0.9959971816635991	0.9956581320699965	0.9965329687601263	0.9966829472144593	0.9966202072429133	0.9960758093184733	0.9965848926304712	0.9966890376694255	0.9966562936149017	0.9970400254873149	0.9958382840308548	0.9966162657436777	0.99639745420912	0.9948172980562324	0.9961409985620076	0.9965736968954715
FengQ_2015__SID31870__bin.24	0.9971826884637468	0.9952517546847514	0.9969168421276158	0.9972869937203201	0.9967896655613963	0.9975374459025813	1.0	0.9967302368501999	0.9978378932776182	0.9971602093649566	0.9971505399971996	0.9966021251576038	0.996904530371976	0.995259777635803	0.9965327499337046	0.9974152549480375	0.9960890014168462	0.9953328541174614	0.9967734846901313	0.997006306608201	0.9971719529147696	0.9956893424703195	0.9972978551298258	0.9972166271600693	0.9967138110045956	0.9969531038634918	0.9972417249785333	0.996675829242097	0.9953818254468334	0.9947769180199519	0.9965618647708933	0.996400320729717
BackhedF_2015__SID130_12M__bin.23	0.9993725527919215	0.9992402818073131	0.9950578037922876	0.996767437048423	0.9990089485114577	0.9963533034654577	0.9967302368501999	1.0	0.9955466435975523	0.9996178650774301	0.9967153621268808	0.9966027433251444	0.9966573230848109	0.9954722367184756	0.9964623936221569	0.9997895774776744	0.9994276598953674	0.9971389787259295	0.996250237832917	0.9993095673208073	0.9981825718362791	0.996481099064109	0.9962884229435306	0.9994589283381183	0.9994926794011799	0.9949651171013834	0.9987843613975923	0.9958497197934876	0.9957612044125617	0.9979663876548058	0.9954488491304319	0.9960711074437948
LiJ_2014__MH0335__bin.24	0.9963670912821311	0.9955103784283073	0.997098459008992	0.9964993253473073	0.9952953495976758	0.9965514211846631	0.9978378932776182	0.9955466435975523	1.0	0.995843473030992	0.9957933569994528	0.9958161745756937	0.9966288567811374	0.9950122849426025	0.995965130331193	0.9963905901259392	0.9956275418213398	0.9942736135776453	0.9966367050571513	0.9958331860694686	0.9960612558980934	0.9950634982165888	0.9969483784217136	0.9959227559232428	0.9955227234825819	0.996686739277898	0.9955819444615156	0.9962127223434504	0.9953136016652983	0.9943791944598993	0.9958966935380338	0.9962156715568621
Obregon-TitoAJ_2015__NO21__bin.23	0.9993972554005468	0.9987036135474381	0.9969907075695279	0.9969916571417573	0.998960865515337	0.9968037964353333	0.9971602093649566	0.9996178650774301	0.995843473030992	1.0	0.9968763433555288	0.9967540451282586	0.9972234471017848	0.9957005309550094	0.9966444481185893	0.9997947713500804	0.9995288581348254	0.997245990210115	0.9965116895866819	0.9993396818209689	0.9983113139698845	0.9964411802171461	0.9964200988064958	0.9996902033619925	0.9993605661910689	0.9968539240889158	0.9995873902100856	0.9966461463521809	0.9956823873731749	0.9977846379407104	0.9964891094363476	0.9964522515007339
