	QinJ_2012__T2D-102__bin.52	HeQ_2017__SZAXPI029601-32__bin.23	FengQ_2015__SID532749__bin.65	VatanenT_2016__G69157__bin.5	BackhedF_2015__SID130_4M__bin.7	ZeeviD_2015__PNP_Validation_10__bin.17	FengQ_2015__SID31870__bin.24	BackhedF_2015__SID130_12M__bin.23	LiJ_2014__MH0335__bin.24	Obregon-TitoAJ_2015__NO21__bin.23	FengQ_2015__SID531775__bin.40	LiJ_2014__V1.CD2-0-PN__bin.1	QinN_2014__LV-10__bin.21	YuJ_2015__SZAXPI003434-7__bin.11	LiJ_2014__V1.FI10__bin.38	KosticAD_2015__PRJNA231909.3105829__bin.10	FengQ_2015__SID531403__bin.37	WenC_2017__RA074__bin.11	YuJ_2015__SZAXPI017452-17__bin.41	BackhedF_2015__SID590_12M__bin.1	BackhedF_2015__SID1_12M__bin.3	WenC_2017__RA064__bin.26	BackhedF_2015__SID195_12M__bin.36	VatanenT_2016__G80392__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.23	LiJ_2014__O2.UC19-1__bin.21	VatanenT_2016__G78694__bin.4	BackhedF_2015__SID256_12M__bin.4	FengQ_2015__SID31865__bin.25	WenC_2017__RA107__bin.12	WenC_2017__N290__bin.87	WenC_2017__N310__bin.122
QinJ_2012__T2D-102__bin.52	1631174.0	1423606.0	1327803.0	910290.0	1286383.0	1432268.0	1215698.0	914818.0	1438792.0	1562851.0	1174125.0	1411737.0	1349533.0	1242094.0	1433275.0	1520452.0	1034371.0	859384.0	1347092.0	1555296.0	1549760.0	1219858.0	1551803.0	1579624.0	1363457.0	1233929.0	1535435.0	1525964.0	859470.0	1157521.0	1351991.0	857986.0
HeQ_2017__SZAXPI029601-32__bin.23	1423606.0	2823267.0	1221686.0	1683159.0	2137960.0	2298564.0	1177277.0	1911235.0	2305985.0	2503883.0	2032835.0	2299839.0	1512632.0	2095840.0	2290781.0	1524674.0	2028006.0	1583786.0	2259222.0	2475833.0	2466394.0	2034960.0	2425972.0	2500756.0	2284152.0	1171677.0	2376488.0	2358037.0	1605644.0	1995311.0	2246235.0	1557124.0
FengQ_2015__SID532749__bin.65	1327803.0	1221686.0	1521970.0	797540.0	1140635.0	1282677.0	1224394.0	713448.0	1297931.0	1360785.0	1026961.0	1282757.0	1204789.0	1093961.0	1320080.0	1340501.0	856631.0	741384.0	1213543.0	1352734.0	1357494.0	1116647.0	1382237.0	1381168.0	1168369.0	1306643.0	1340783.0	1433303.0	712763.0	1020983.0	1252486.0	787689.0
VatanenT_2016__G69157__bin.5	910290.0	1683159.0	797540.0	2029347.0	1628386.0	1687723.0	736821.0	1420854.0	1675677.0	1766421.0	1530112.0	1686833.0	1059247.0	1570232.0	1702224.0	978457.0	1510335.0	1201414.0	1659256.0	1767085.0	1754926.0	1517985.0	1748925.0	1784889.0	1627673.0	769186.0	1712310.0	1761393.0	1228152.0	1480369.0	1645150.0	1166524.0
BackhedF_2015__SID130_4M__bin.7	1286383.0	2137960.0	1140635.0	1628386.0	2508599.0	2116754.0	1042882.0	1755711.0	2116204.0	2294217.0	1844166.0	2118509.0	1390177.0	1943611.0	2115933.0	1381577.0	1855025.0	1502527.0	2091204.0	2287832.0	2250849.0	1907535.0	2261045.0	2303062.0	2091679.0	1091512.0	2285406.0	2203743.0	1483298.0	1868419.0	2076350.0	1484844.0
ZeeviD_2015__PNP_Validation_10__bin.17	1432268.0	2298564.0	1282677.0	1687723.0	2116754.0	2756616.0	1186979.0	1870460.0	2344734.0	2450720.0	2056329.0	2326039.0	1563144.0	2147604.0	2323069.0	1537207.0	1998342.0	1564534.0	2268223.0	2450368.0	2455476.0	2044498.0	2432720.0	2472695.0	2230459.0	1230416.0	2396127.0	2426609.0	1636898.0	1965770.0	2230888.0	1577502.0
FengQ_2015__SID31870__bin.24	1215698.0	1177277.0	1224394.0	736821.0	1042882.0	1186979.0	1464223.0	650200.0	1209006.0	1275094.0	978431.0	1177795.0	1077704.0	1011134.0	1206720.0	1251961.0	715674.0	671931.0	1119474.0	1259314.0	1254576.0	1020030.0	1317842.0	1302736.0	1087582.0	1312155.0	1272897.0	1263473.0	650690.0	940058.0	1107868.0	703396.0
BackhedF_2015__SID130_12M__bin.23	914818.0	1911235.0	713448.0	1420854.0	1755711.0	1870460.0	650200.0	2168859.0	1821772.0	2038547.0	1799894.0	1857381.0	1189765.0	1757159.0	1812525.0	983735.0	2035503.0	1348120.0	1781713.0	2071165.0	1995127.0	1624655.0	1951731.0	2058877.0	1870612.0	650462.0	1938076.0	1916979.0	1385771.0	1619286.0	1800204.0	1270078.0
LiJ_2014__MH0335__bin.24	1438792.0	2305985.0	1297931.0	1675677.0	2116204.0	2344734.0	1209006.0	1821772.0	2973585.0	2447476.0	2054132.0	2312716.0	1562378.0	2115598.0	2325230.0	1550669.0	1950619.0	1545128.0	2301612.0	2433274.0	2444434.0	2050845.0	2519644.0	2464655.0	2242658.0	1250128.0	2359409.0	2419680.0	1638145.0	1962708.0	2258910.0	1564082.0
Obregon-TitoAJ_2015__NO21__bin.23	1562851.0	2503883.0	1360785.0	1766421.0	2294217.0	2450720.0	1275094.0	2038547.0	2447476.0	2834824.0	2156447.0	2456288.0	1628278.0	2226554.0	2437453.0	1666434.0	2156463.0	1653952.0	2375362.0	2756247.0	2648805.0	2150994.0	2616832.0	2717912.0	2430275.0	1322600.0	2576284.0	2557953.0	1676621.0	2106202.0	2366636.0	1625538.0
FengQ_2015__SID531775__bin.40	1174125.0	2032835.0	1026961.0	1530112.0	1844166.0	2056329.0	978431.0	1799894.0	2054132.0	2156447.0	2350008.0	2023469.0	1515119.0	1913234.0	2050457.0	1266889.0	1914149.0	1399213.0	1980122.0	2142256.0	2123101.0	1797910.0	2144638.0	2171887.0	1985717.0	970411.0	2037560.0	2132434.0	1458155.0	1741915.0	1978172.0	1400576.0
LiJ_2014__V1.CD2-0-PN__bin.1	1411737.0	2299839.0	1282757.0	1686833.0	2118509.0	2326039.0	1177795.0	1857381.0	2312716.0	2456288.0	2023469.0	2752673.0	1542537.0	2128380.0	2335343.0	1509780.0	1989396.0	1580095.0	2243376.0	2445735.0	2430705.0	2071250.0	2424090.0	2465251.0	2237124.0	1222827.0	2343905.0	2425586.0	1613059.0	1970318.0	2246212.0	1558734.0
QinN_2014__LV-10__bin.21	1349533.0	1512632.0	1204789.0	1059247.0	1390177.0	1563144.0	1077704.0	1189765.0	1562378.0	1628278.0	1515119.0	1542537.0	1752009.0	1415493.0	1578790.0	1303179.0	1293416.0	1004894.0	1466337.0	1628793.0	1633514.0	1360734.0	1636547.0	1651048.0	1480873.0	1093087.0	1590151.0	1685174.0	996846.0	1280081.0	1521679.0	1009008.0
YuJ_2015__SZAXPI003434-7__bin.11	1242094.0	2095840.0	1093961.0	1570232.0	1943611.0	2147604.0	1011134.0	1757159.0	2115598.0	2226554.0	1913234.0	2128380.0	1415493.0	2742066.0	2192963.0	1331135.0	1845283.0	1472923.0	2077608.0	2215606.0	2206854.0	1915528.0	2206857.0	2238715.0	2055057.0	1029686.0	2126743.0	2208593.0	1496371.0	1825047.0	2076899.0	1463135.0
