	QinJ_2012__T2D-102__bin.52	HeQ_2017__SZAXPI029601-32__bin.23	FengQ_2015__SID532749__bin.65	VatanenT_2016__G69157__bin.5	BackhedF_2015__SID130_4M__bin.7	ZeeviD_2015__PNP_Validation_10__bin.17	FengQ_2015__SID31870__bin.24	BackhedF_2015__SID130_12M__bin.23	LiJ_2014__MH0335__bin.24	Obregon-TitoAJ_2015__NO21__bin.23	FengQ_2015__SID531775__bin.40	LiJ_2014__V1.CD2-0-PN__bin.1	QinN_2014__LV-10__bin.21	YuJ_2015__SZAXPI003434-7__bin.11	LiJ_2014__V1.FI10__bin.38	KosticAD_2015__PRJNA231909.3105829__bin.10	FengQ_2015__SID531403__bin.37	WenC_2017__RA074__bin.11	YuJ_2015__SZAXPI017452-17__bin.41	BackhedF_2015__SID590_12M__bin.1	BackhedF_2015__SID1_12M__bin.3	WenC_2017__RA064__bin.26	BackhedF_2015__SID195_12M__bin.36	VatanenT_2016__G80392__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.23	LiJ_2014__O2.UC19-1__bin.21	VatanenT_2016__G78694__bin.4	BackhedF_2015__SID256_12M__bin.4	FengQ_2015__SID31865__bin.25	WenC_2017__RA107__bin.12	WenC_2017__N290__bin.87	WenC_2017__N310__bin.122
QinJ_2012__T2D-102__bin.52	0.0	2072.0	3837.0	2067.0	1593.0	3813.0	3425.0	574.0	5227.0	942.0	3108.0	3981.0	3669.0	4647.0	4777.0	737.0	757.0	2633.0	4385.0	1435.0	2097.0	3800.0	4422.0	767.0	1248.0	3825.0	748.0	4439.0	3239.0	2663.0	4258.0	2767.0
HeQ_2017__SZAXPI029601-32__bin.23	2072.0	0.0	4724.0	5651.0	3181.0	8031.0	5590.0	1452.0	10353.0	3246.0	7009.0	8499.0	5037.0	9891.0	9154.0	1528.0	1688.0	5393.0	8826.0	2572.0	5258.0	8111.0	9943.0	1772.0	2378.0	4924.0	2828.0	9428.0	7822.0	5284.0	9205.0	6315.0
FengQ_2015__SID532749__bin.65	3837.0	4724.0	0.0	2148.0	4779.0	3968.0	3775.0	3526.0	3766.0	4095.0	3138.0	4047.0	266.0	4819.0	3233.0	3980.0	3698.0	3309.0	3728.0	4513.0	4304.0	4448.0	4083.0	4431.0	4145.0	3022.0	5245.0	349.0	3085.0	5555.0	1231.0	526.0
VatanenT_2016__G69157__bin.5	2067.0	5651.0	2148.0	0.0	7536.0	4108.0	1999.0	4593.0	5866.0	5314.0	4288.0	4973.0	2694.0	6145.0	4719.0	2097.0	5458.0	5087.0	5752.0	5343.0	5356.0	5701.0	6005.0	5415.0	5377.0	1995.0	6799.0	5264.0	4482.0	7135.0	5771.0	3964.0
BackhedF_2015__SID130_4M__bin.7	1593.0	3181.0	4779.0	7536.0	0.0	8807.0	3348.0	1740.0	9956.0	2384.0	6784.0	8275.0	5187.0	9441.0	8252.0	1123.0	2210.0	5911.0	8725.0	2825.0	5035.0	7687.0	10915.0	2683.0	2525.0	4499.0	6478.0	9818.0	7364.0	5484.0	8914.0	6139.0
ZeeviD_2015__PNP_Validation_10__bin.17	3813.0	8031.0	3968.0	4108.0	8807.0	0.0	2923.0	6821.0	8086.0	7833.0	6195.0	7608.0	4452.0	9034.0	6926.0	4143.0	7999.0	6793.0	7864.0	8128.0	8299.0	8023.0	8308.0	8187.0	7458.0	3642.0	9972.0	8211.0	5897.0	10188.0	8609.0	5405.0
FengQ_2015__SID31870__bin.24	3425.0	5590.0	3775.0	1999.0	3348.0	2923.0	0.0	2126.0	2614.0	3621.0	2788.0	4002.0	3336.0	4793.0	4184.0	3236.0	2799.0	3136.0	3612.0	3770.0	3548.0	4397.0	3561.0	3626.0	3574.0	3998.0	3511.0	4200.0	3005.0	4910.0	3809.0	2532.0
BackhedF_2015__SID130_12M__bin.23	574.0	1452.0	3526.0	4593.0	1740.0	6821.0	2126.0	0.0	8113.0	779.0	5912.0	6310.0	3977.0	7956.0	6412.0	207.0	1165.0	3857.0	6681.0	1430.0	3626.0	5717.0	7244.0	1114.0	949.0	3275.0	2356.0	7956.0	5874.0	3293.0	8193.0	4990.0
LiJ_2014__MH0335__bin.24	5227.0	10353.0	3766.0	5866.0	9956.0	8086.0	2614.0	8113.0	0.0	10173.0	8641.0	9676.0	5267.0	10552.0	9382.0	5597.0	8529.0	8848.0	7741.0	10139.0	9628.0	10124.0	7689.0	10049.0	10041.0	4142.0	10424.0	9164.0	7677.0	11032.0	9269.0	5919.0
Obregon-TitoAJ_2015__NO21__bin.23	942.0	3246.0	4095.0	5314.0	2384.0	7833.0	3621.0	779.0	10173.0	0.0	6736.0	7973.0	4521.0	9573.0	8179.0	342.0	1016.0	4555.0	8286.0	1820.0	4473.0	7655.0	9368.0	842.0	1554.0	4161.0	1063.0	8579.0	7239.0	4666.0	8309.0	5767.0
FengQ_2015__SID531775__bin.40	3108.0	7009.0	3138.0	4288.0	6784.0	6195.0	2788.0	5912.0	8641.0	6736.0	0.0	6766.0	4266.0	7716.0	6484.0	3106.0	6424.0	6138.0	6715.0	6717.0	6702.0	7373.0	7516.0	6717.0	6428.0	2901.0	6083.0	6737.0	5661.0	8660.0	6572.0	4870.0
LiJ_2014__V1.CD2-0-PN__bin.1	3981.0	8499.0	4047.0	4973.0	8275.0	7608.0	4002.0	6310.0	9676.0	7973.0	6766.0	0.0	4339.0	9143.0	7897.0	4286.0	6776.0	7054.0	8795.0	8219.0	8292.0	7001.0	9726.0	8195.0	7922.0	4280.0	8377.0	7595.0	6812.0	9512.0	7691.0	5264.0
QinN_2014__LV-10__bin.21	3669.0	5037.0	266.0	2694.0	5187.0	4452.0	3336.0	3977.0	5267.0	4521.0	4266.0	4339.0	0.0	5004.0	3733.0	3779.0	4030.0	4036.0	4512.0	4659.0	5161.0	4536.0	4765.0	4743.0	4855.0	2312.0	4815.0	490.0	4275.0	6074.0	1115.0	552.0
YuJ_2015__SZAXPI003434-7__bin.11	4647.0	9891.0	4819.0	6145.0	9441.0	9034.0	4793.0	7956.0	10552.0	9573.0	7716.0	9143.0	5004.0	0.0	10421.0	4907.0	7663.0	7131.0	10155.0	9691.0	9379.0	9741.0	10214.0	9388.0	9132.0	4925.0	9836.0	8108.0	7663.0	11251.0	8522.0	5501.0
LiJ_2014__V1.FI10__bin.38	4777.0	9154.0	3233.0	4719.0	8252.0	6926.0	4184.0	6412.0	9382.0	8179.0	6484.0	7897.0	3733.0	10421.0	0.0	4919.0	6603.0	6883.0	8816.0	8222.0	8583.0	9581.0	9060.0	8017.0	8107.0	3007.0	7641.0	6323.0	7179.0	9619.0	6342.0	4178.0
