	QinJ_2012__T2D-102__bin.52	HeQ_2017__SZAXPI029601-32__bin.23	FengQ_2015__SID532749__bin.65	VatanenT_2016__G69157__bin.5	BackhedF_2015__SID130_4M__bin.7	ZeeviD_2015__PNP_Validation_10__bin.17	FengQ_2015__SID31870__bin.24	BackhedF_2015__SID130_12M__bin.23	LiJ_2014__MH0335__bin.24	Obregon-TitoAJ_2015__NO21__bin.23	FengQ_2015__SID531775__bin.40	LiJ_2014__V1.CD2-0-PN__bin.1	QinN_2014__LV-10__bin.21	YuJ_2015__SZAXPI003434-7__bin.11	LiJ_2014__V1.FI10__bin.38	KosticAD_2015__PRJNA231909.3105829__bin.10	FengQ_2015__SID531403__bin.37	WenC_2017__RA074__bin.11	YuJ_2015__SZAXPI017452-17__bin.41	BackhedF_2015__SID590_12M__bin.1	BackhedF_2015__SID1_12M__bin.3	WenC_2017__RA064__bin.26	BackhedF_2015__SID195_12M__bin.36	VatanenT_2016__G80392__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.23	LiJ_2014__O2.UC19-1__bin.21	VatanenT_2016__G78694__bin.4	BackhedF_2015__SID256_12M__bin.4	FengQ_2015__SID31865__bin.25	WenC_2017__RA107__bin.12	WenC_2017__N290__bin.87	WenC_2017__N310__bin.122
QinJ_2012__T2D-102__bin.52	1.0	0.8714790696761964	0.8116644821459881	0.5567909983852121	0.7876474244930338	0.8757220259763827	0.7431904873422456	0.560482204841421	0.8788547389794099	0.9575367189521167	0.7178982744943212	0.8630323926202845	0.8250891689053406	0.7586235435336758	0.8757483873578171	0.9316694601556915	0.6336626258142908	0.5252358117527621	0.8231537530637443	0.9526028492361942	0.9488031319773366	0.7455109019638616	0.948630250359557	0.9679267815695933	0.8351095591273524	0.7541218778622023	0.9408481253379468	0.9327790903974683	0.5249170229540195	0.7079919125733981	0.826234969414667	0.5242966109072361
HeQ_2017__SZAXPI029601-32__bin.23	0.5035067529921896	1.0	0.4310474354710341	0.5941726375861724	0.7561378360601388	0.8113058382363411	0.41501104925605686	0.6764443462130929	0.8131119019207181	0.8857245878622177	0.7175467286657621	0.8115916773015092	0.5339895234846722	0.7388422703201646	0.8081513367315242	0.5394976812324163	0.7177209948616265	0.5590661457099169	0.7970893294895595	0.8760280200207773	0.8717333500515538	0.7179090748413097	0.8557564693668718	0.885139095948063	0.8082034040705325	0.4132634285032199	0.840749387146168	0.8318763333400632	0.5659478894486423	0.7048667377191035	0.7923550978352384	0.5492959043547777
FengQ_2015__SID532749__bin.65	0.8699028233145201	0.7995965754909755	1.0	0.5226068844983804	0.7463064317956334	0.8401670203749088	0.8019993823794161	0.4664494043903625	0.8503222796769976	0.8914039041505418	0.6726959138484989	0.8401676774180832	0.7914236154457709	0.7156133169510568	0.8652253329566286	0.8781520003679442	0.5604138057911785	0.48494714087662705	0.7949006879242034	0.8858394055073359	0.8891042530404673	0.730762761421053	0.9055066788438668	0.9045756486658739	0.7649454325643738	0.8565352799332444	0.8775061269276003	0.9415126447958895	0.46628908585583156	0.6671800364001919	0.8221285570674849	0.5172000762170083
VatanenT_2016__G69157__bin.5	0.44754445641873963	0.8266245250319438	0.3919447980064524	1.0	0.7987051992586778	0.8296338674460306	0.3620977585400624	0.6978900109246965	0.8228316793530135	0.867819549835489	0.7518792991045888	0.8287690572386093	0.5206369339496892	0.7707341327037712	0.8364784337030582	0.4811202815486952	0.7415572595519643	0.5895132769309537	0.8147960895795544	0.8681324583720774	0.8621344698565597	0.7452072021196966	0.8588575536859887	0.8768702444678017	0.7994177437372711	0.378048209596486	0.8404235451108164	0.8653665440163757	0.602987069239514	0.7259645590428843	0.8078357225255218	0.5728739343246867
BackhedF_2015__SID130_4M__bin.7	0.5121543937472669	0.8509845535296794	0.45278500071155253	0.646117613855383	1.0	0.840288543525689	0.41438827010614293	0.6991834884730481	0.8396112730651651	0.9135908130394694	0.7324335216589021	0.8412002077653702	0.552097007134261	0.7710160133205824	0.8401825082446418	0.5502888265521911	0.7385855611040265	0.596594354059776	0.8301362633087234	0.91086977233109	0.8952463107894088	0.7573342730344707	0.8969667930187327	0.9169974954147714	0.832797111056809	0.43331477051533546	0.9084465073931705	0.8745618570365371	0.5883499116439096	0.7426196853303378	0.8241396891252846	0.5894545122596317
ZeeviD_2015__PNP_Validation_10__bin.17	0.5181915072683319	0.8309220435490471	0.4638691061794606	0.6107542726299201	0.7646864851687722	1.0	0.42953244122503825	0.6760604306149279	0.8476508879002371	0.8861905321597205	0.743714031987045	0.841042423028815	0.565436752888324	0.77579539551392	0.8402124198655163	0.556139846826689	0.7220240323643191	0.5650917646853969	0.8199760140694242	0.8859558240973716	0.8877467880909057	0.7387590436970547	0.879488474274255	0.8940338443947217	0.8064238907414017	0.4450289775579914	0.8656102264515624	0.8773068138616332	0.5916678275102517	0.7094140061582752	0.8061619754075287	0.5702995992187523
FengQ_2015__SID31870__bin.24	0.8279292157000675	0.8002107602462194	0.8336291671418903	0.5018511524542368	0.7099560654353879	0.8086582439969868	1.0	0.4426060784457012	0.8239127509948964	0.8683602156228936	0.6663213185423259	0.8016490657502306	0.7337461575183563	0.6872867042793345	0.8212792723512743	0.8528243307201158	0.48686231537136077	0.4567576113747701	0.7620847370926424	0.8574814082281184	0.8543971785718432	0.6936327321726268	0.8975961994860072	0.8872350727997034	0.7403298541274109	0.8934137764534501	0.866934886284398	0.8600281514496084	0.4423404085306678	0.6386650120917373	0.7540238064830289	0.47865932989715365
BackhedF_2015__SID130_12M__bin.23	0.4215322434515107	0.8805473292639125	0.3273251050437119	0.65299818937054	0.8087067900679573	0.8592716262329639	0.29880872846044854	1.0	0.8362272512874281	0.9395576199282664	0.8271547389664335	0.8534768742458593	0.5467335589819348	0.8065083991167706	0.8327480025211413	0.45347715088901586	0.9379761432163178	0.6198019327213065	0.8184174259368636	0.9542967062404701	0.918225205050213	0.7464468644573022	0.8965483694421813	0.948776753122264	0.862049123525319	0.2983997576605948	0.8925061518521952	0.8801969145988743	0.6362317697923194	0.7450890076302793	0.8262459661969727	0.5832965628471007
LiJ_2014__MH0335__bin.24	0.4820998895272878	0.772008198857608	0.43522044939021415	0.5615480976666212	0.7083194191523027	0.785801650196648	0.40570288052973097	0.6099233753196899	1.0	0.819651363589741	0.6878871799528179	0.7744994678141032	0.5236477181583845	0.7079151932768022	0.7788067265607003	0.5195990698096742	0.6531140021220176	0.5166423693958639	0.7714159844093914	0.8148867444515627	0.8188116364590217	0.6862830556382279	0.8447564135546823	0.8254702656893951	0.7508166068903361	0.4190181212240444	0.7899505142782197	0.8106430453476191	0.5483172668681071	0.6563377202938541	0.7565416828508349	0.5240014998730489
Obregon-TitoAJ_2015__NO21__bin.23	0.5509721238426089	0.8821136691378371	0.4785799753353295	0.6212403309694006	0.8084568918564257	0.8617420340733675	0.44851920260305406	0.718834044018253	0.8597722468837572	1.0	0.7583225625294551	0.8636567913916349	0.5727893512965884	0.7820524307681889	0.8569399722875212	0.5877232590100832	0.7603459685680662	0.5818340045096275	0.8349992803786055	0.9716395091899885	0.9328028830008493	0.7560748039384455	0.9197974900734579	0.9584616187812718	0.856744898448722	0.46508672143314717	0.9084235917291514	0.8993059181099073	0.5888838248864833	0.7413285621964539	0.8319130217607865	0.5713832675326581
