	XieH_2016__YSZC12003_36695__bin.8	XieH_2016__YSZC12003_37199__bin.80	LiuW_2016__SRR3992987__bin.97	FengQ_2015__SID31137__bin.52	XieH_2016__YSZC12003_37296R1__bin.49	CosteaPI_2017__SID713A062-11-90-0__bin.58	QinJ_2012__T2D-084__bin.22	LiJ_2014__O2.UC47-1__bin.24	VincentC_2016__MM034.2__bin.23	BackhedF_2015__SID42_4M__bin.11	IjazUZ_2017__S33_a_WGS__bin.8	VincentC_2016__MM058.1__bin.1	YuJ_2015__SZAXPI003424-12__bin.38	XieH_2016__YSZC12003_37652__bin.56	LeChatelierE_2013__MH0101__bin.17	ZellerG_2014__CCIS58234805ST-4-0__bin.18	VatanenT_2016__G69211__bin.2	ZeeviD_2015__PNP_Main_319__bin.19	ZellerG_2014__CCIS44093303ST-4-0__bin.45	QinJ_2012__DLM022__bin.52	HMP_2012__SRS012273__bin.44	NielsenHB_2014__MH0101__bin.36	FengQ_2015__SID31873__bin.55	CosteaPI_2017__SID713B026-11-0-0__bin.28	VatanenT_2016__G78521__bin.10	FengQ_2015__SID530227__bin.21	IjazUZ_2017__S34_a_WGS__bin.12	LiJ_2014__MH0336__bin.3	ZeeviD_2015__PNP_Main_448__bin.40	CosteaPI_2017__SID713A089-11-90-0__bin.48	ZeeviD_2015__PNP_Main_381__bin.25	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.14	XieH_2016__YSZC12003_37880__bin.55	ZellerG_2014__CCMD45988061ST-21-0__bin.51	LiuW_2016__SRR3992973__bin.26	IjazUZ_2017__S32_a_WGS__bin.1	KarlssonFH_2013__S58__bin.29
XieH_2016__YSZC12003_36695__bin.8	0.0	24510.0	52999.0	111109.0	127057.0	108732.0	99543.0	94944.0	70117.0	131468.0	99243.0	14276.0	129572.0	99883.0	10404.0	99688.0	96244.0	100734.0	87412.0	109017.0	100624.0	10708.0	91841.0	100523.0	98539.0	17601.0	78187.0	98161.0	101685.0	90174.0	100659.0	11865.0	101653.0	14108.0	88867.0	80659.0	96616.0
XieH_2016__YSZC12003_37199__bin.80	24510.0	0.0	53665.0	105193.0	119486.0	102668.0	83682.0	92107.0	60764.0	123915.0	96755.0	22292.0	120884.0	82763.0	23266.0	83683.0	81297.0	84185.0	85281.0	103263.0	83801.0	22754.0	92878.0	83567.0	95406.0	17642.0	76857.0	82302.0	84858.0	80536.0	84169.0	19862.0	86918.0	14291.0	79301.0	78621.0	83603.0
LiuW_2016__SRR3992987__bin.97	52999.0	53665.0	0.0	68171.0	79545.0	66540.0	60785.0	61042.0	47558.0	83357.0	65875.0	53972.0	81715.0	60263.0	50141.0	60453.0	59976.0	60880.0	59487.0	67145.0	60803.0	46796.0	61513.0	60411.0	63333.0	54894.0	52281.0	59277.0	61134.0	56213.0	60794.0	51855.0	60938.0	39867.0	59983.0	52291.0	58331.0
FengQ_2015__SID31137__bin.52	111109.0	105193.0	68171.0	0.0	130468.0	7159.0	108182.0	97886.0	73729.0	136233.0	104980.0	111550.0	132203.0	104826.0	104655.0	104943.0	104035.0	109625.0	10007.0	8743.0	106105.0	99317.0	96803.0	104833.0	8705.0	106585.0	79614.0	104972.0	106000.0	94344.0	109164.0	109586.0	107168.0	67951.0	96064.0	82889.0	100789.0
XieH_2016__YSZC12003_37296R1__bin.49	127057.0	119486.0	79545.0	130468.0	0.0	129135.0	126842.0	122717.0	88641.0	3313.0	1039.0	125434.0	1095.0	124626.0	116310.0	118942.0	120459.0	127750.0	105854.0	129177.0	126032.0	110488.0	124948.0	124094.0	118034.0	127008.0	1005.0	124016.0	121778.0	111099.0	127138.0	123511.0	127134.0	79167.0	111864.0	908.0	121142.0
CosteaPI_2017__SID713A062-11-90-0__bin.58	108732.0	102668.0	66540.0	7159.0	129135.0	0.0	106967.0	96342.0	72038.0	135382.0	103989.0	109749.0	130664.0	102982.0	102364.0	103826.0	101568.0	108039.0	9243.0	6473.0	104638.0	97539.0	94746.0	103253.0	7686.0	104672.0	79129.0	102821.0	104213.0	91114.0	106544.0	108147.0	105000.0	67172.0	93614.0	83325.0	98286.0
QinJ_2012__T2D-084__bin.22	99543.0	83682.0	60785.0	108182.0	126842.0	106967.0	0.0	93651.0	3284.0	131652.0	100956.0	101865.0	127607.0	2168.0	93164.0	5205.0	3020.0	1704.0	82758.0	107074.0	2918.0	89592.0	77696.0	1833.0	96679.0	100933.0	78723.0	1550.0	6301.0	37384.0	1200.0	100615.0	24311.0	64118.0	38759.0	81220.0	20488.0
LiJ_2014__O2.UC47-1__bin.24	94944.0	92107.0	61042.0	97886.0	122717.0	96342.0	93651.0	0.0	65265.0	124131.0	98342.0	95984.0	120120.0	91037.0	88796.0	91747.0	90564.0	94474.0	79838.0	95955.0	91388.0	85245.0	84286.0	92004.0	88429.0	96784.0	75686.0	91539.0	92683.0	80932.0	93676.0	94368.0	90323.0	63567.0	83908.0	79589.0	86033.0
VincentC_2016__MM034.2__bin.23	70117.0	60764.0	47558.0	73729.0	88641.0	72038.0	3284.0	65265.0	0.0	92338.0	72649.0	72762.0	89448.0	3113.0	67764.0	6159.0	4008.0	3397.0	59950.0	72725.0	1688.0	64717.0	56227.0	3478.0	65921.0	70665.0	56967.0	3697.0	6282.0	26217.0	3575.0	71510.0	17063.0	49294.0	29680.0	58125.0	14116.0
BackhedF_2015__SID42_4M__bin.11	131468.0	123915.0	83357.0	136233.0	3313.0	135382.0	131652.0	124131.0	92338.0	0.0	1498.0	131530.0	2338.0	131027.0	121231.0	125415.0	125825.0	134971.0	110368.0	134880.0	131463.0	115166.0	129895.0	130304.0	123883.0	131991.0	2454.0	128633.0	127625.0	116161.0	132394.0	129208.0	132480.0	82146.0	116071.0	2677.0	126061.0
IjazUZ_2017__S33_a_WGS__bin.8	99243.0	96755.0	65875.0	104980.0	1039.0	103989.0	100956.0	98342.0	72649.0	1498.0	0.0	98802.0	1090.0	99862.0	92876.0	95747.0	96546.0	101237.0	87089.0	103985.0	100659.0	89096.0	101280.0	99108.0	97196.0	99248.0	1282.0	98955.0	97362.0	91390.0	101038.0	98314.0	101041.0	66314.0	91453.0	868.0	97445.0
VincentC_2016__MM058.1__bin.1	14276.0	22292.0	53972.0	111550.0	125434.0	109749.0	101865.0	95984.0	72762.0	131530.0	98802.0	0.0	126776.0	100381.0	12032.0	100939.0	99365.0	103076.0	89390.0	109608.0	101800.0	12469.0	98401.0	101250.0	100990.0	14384.0	77978.0	100180.0	102305.0	90632.0	102505.0	6880.0	102449.0	11998.0	90626.0	80497.0	98179.0
YuJ_2015__SZAXPI003424-12__bin.38	129572.0	120884.0	81715.0	132203.0	1095.0	130664.0	127607.0	120120.0	89448.0	2338.0	1090.0	126776.0	0.0	127516.0	117988.0	121869.0	123137.0	129071.0	107366.0	130346.0	127431.0	112741.0	126838.0	126324.0	120188.0	127600.0	1617.0	124946.0	124051.0	113241.0	128101.0	125968.0	128798.0	80371.0	113506.0	1602.0	121622.0
XieH_2016__YSZC12003_37652__bin.56	99883.0	82763.0	60263.0	104826.0	124626.0	102982.0	2168.0	91037.0	3113.0	131027.0	99862.0	100381.0	127516.0	0.0	92318.0	6230.0	3171.0	2459.0	81121.0	102835.0	2236.0	89201.0	77196.0	2978.0	92128.0	99622.0	77154.0	3010.0	6996.0	35479.0	2291.0	100253.0	23870.0	63856.0	38521.0	79190.0	19810.0
LeChatelierE_2013__MH0101__bin.17	10404.0	23266.0	50141.0	104655.0	116310.0	102364.0	93164.0	88796.0	67764.0	121231.0	92876.0	12032.0	117988.0	92318.0	0.0	93149.0	91425.0	93872.0	83880.0	102852.0	93495.0	3046.0	90266.0	92992.0	94168.0	16540.0	73833.0	91873.0	93991.0	84713.0	93547.0	9750.0	94761.0	13009.0	84363.0	77387.0	92003.0
ZellerG_2014__CCIS58234805ST-4-0__bin.18	99688.0	83683.0	60453.0	104943.0	118942.0	103826.0	5205.0	91747.0	6159.0	125415.0	95747.0	100939.0	121869.0	6230.0	93149.0	0.0	4917.0	5383.0	81902.0	103857.0	5855.0	89534.0	77074.0	5227.0	94302.0	99633.0	73926.0	5673.0	1823.0	39277.0	5183.0	100378.0	25638.0	64212.0	40072.0	76321.0	22059.0
