	ZeeviD_2015__PNP_Main_364__bin.14	Obregon-TitoAJ_2015__SM11__bin.23	Obregon-TitoAJ_2015__SM01__bin.37	WenC_2017__N021__bin.24	RampelliS_2015__H21__bin.9	CosteaPI_2017__SID713B044-11-90-0__bin.58	QinN_2014__LV-11__bin.4	LiuW_2016__SRR3993043__bin.20	LiuW_2016__SRR3993054__bin.15	LiuW_2016__SRR3992980__bin.37	CosteaPI_2017__SID713B044-11-0-0__bin.44	LiJ_2014__MH0400__bin.45	LiuW_2016__SRR3992978__bin.42	ZeeviD_2015__PNP_Main_293__bin.1	YuJ_2015__SZAXPI015220-136__bin.34	LiuW_2016__SRR3992956__bin.43	ZeeviD_2015__PNP_Main_634__bin.23	LiuW_2016__SRR3992966__bin.11	Obregon-TitoAJ_2015__SM42__bin.24	NielsenHB_2014__O2_UC12_2__bin.35	ZeeviD_2015__PNP_Main_538__bin.7	LiuW_2016__SRR3993034__bin.53	LiJ_2014__MH0357__bin.54	LiuW_2016__SRR3992961__bin.41	LiuW_2016__SRR3993001__bin.60	Obregon-TitoAJ_2015__SM25__bin.54
ZeeviD_2015__PNP_Main_364__bin.14	1.0	0.9733765757304492	0.9742431515220218	0.9708124844609952	0.971564730260576	0.9769862193009314	0.9719283344001876	0.9764588856411303	0.9715870885845352	0.9760578199057822	0.9769566335660355	0.9773776083021343	0.9758204390139347	0.9784921401152075	0.9748126005270411	0.9752017925322946	0.9777927447825433	0.9742084281284581	0.9725357425597311	0.9777820979909279	0.9747055826132183	0.9746469977028106	0.978281305227377	0.972962095635691	0.9741377408523537	0.9715912549518994
Obregon-TitoAJ_2015__SM11__bin.23	0.9733765757304492	1.0	0.9751270906028155	0.9659359154092051	0.9700150870936771	0.973636548735202	0.9679363415261494	0.9738259683503452	0.9693859859200606	0.9738226001872545	0.9742936657932078	0.9714270838552119	0.9727648860615908	0.9689986767550455	0.9701850347007902	0.970531223249595	0.9706051693435521	0.9707003891567209	0.9775337465543945	0.9726393327105326	0.9717007415188006	0.9703207422358668	0.9723904238553285	0.9702470413870663	0.9707130233058889	0.973028207916647
Obregon-TitoAJ_2015__SM01__bin.37	0.9742431515220218	0.9751270906028155	1.0	0.9664269730922064	0.970269599404271	0.9736509808625193	0.9680826986604001	0.9732785371559188	0.9694461836188741	0.9739582460933326	0.9736866882959748	0.9718694900384154	0.9743823549282296	0.9698921596418846	0.970559648238307	0.9712281385079783	0.9726423172406996	0.9702543490205433	0.9744456739882017	0.9725850907338316	0.9720606750742875	0.9719477773130772	0.9733995048070879	0.971132469409267	0.9716503293281821	0.9763122881802836
WenC_2017__N021__bin.24	0.9708124844609952	0.9659359154092051	0.9664269730922064	1.0	0.9614088414810611	0.9675644901330297	0.985625420100849	0.9680546055992184	0.9651260187388947	0.9688674553886364	0.9676367264923385	0.9708605272715661	0.9665606618931725	0.9700379831786778	0.9849720924818649	0.9671826423933947	0.9730005214533791	0.9673113370967413	0.9689078265669233	0.9722806778738174	0.9769302686278404	0.9694425121733081	0.9704106274467789	0.967336464961421	0.966926754519808	0.9668294115435605
RampelliS_2015__H21__bin.9	0.971564730260576	0.9700150870936771	0.970269599404271	0.9614088414810611	1.0	0.9735965917155978	0.9629721042523072	0.973282605487135	0.9682469696986111	0.9729991156312182	0.973779725997002	0.9686180384522739	0.9728251317386903	0.9666703233672571	0.9673333116450055	0.970537333238024	0.9685934177119919	0.9695585626184995	0.9679949179075694	0.9682192898256278	0.9686371532922499	0.9720998473298023	0.9687260654101842	0.9691970969452961	0.9708684483846461	0.9666302518106479
CosteaPI_2017__SID713B044-11-90-0__bin.58	0.9769862193009314	0.973636548735202	0.9736509808625193	0.9675644901330297	0.9735965917155978	1.0	0.9681360244062476	0.979760841455275	0.9733709906304617	0.9799316300542131	0.9993870201517125	0.972845386453963	0.9797351918465977	0.9730936758044323	0.9702328083325595	0.9781140121212983	0.9724217829501505	0.9777859693134627	0.9706797151369116	0.9731420472910813	0.9719960736506288	0.9776197176528661	0.9725320838791974	0.9753828955163885	0.9776164107974338	0.9699610716687757
QinN_2014__LV-11__bin.4	0.9719283344001876	0.9679363415261494	0.9680826986604001	0.985625420100849	0.9629721042523072	0.9681360244062476	1.0	0.9681034124744277	0.9657186237281984	0.9686936266484089	0.9682430247008154	0.9713672241451816	0.9678867008611863	0.9692298204741675	0.9848024004164901	0.9678880433580062	0.9732438992100967	0.9679921175415336	0.9684652229384744	0.9721234324563659	0.9770307095787123	0.9694102094937168	0.9723119239447205	0.9676211724729774	0.9675013563058721	0.9668521719437423
LiuW_2016__SRR3993043__bin.20	0.9764588856411303	0.9738259683503452	0.9732785371559188	0.9680546055992184	0.973282605487135	0.979760841455275	0.9681034124744277	1.0	0.9759464532035876	0.9810733645895028	0.9801931779196509	0.9717981507290764	0.9818469169547529	0.9742228493834981	0.9700653794428186	0.9780732305952444	0.972408629340069	0.978114741101369	0.9730942392754336	0.9720512043276517	0.9726979289110356	0.978887872314039	0.9715607985689982	0.9789920742977742	0.9775705320848126	0.9704504210755739
LiuW_2016__SRR3993054__bin.15	0.9715870885845352	0.9693859859200606	0.9694461836188741	0.9651260187388947	0.9682469696986111	0.9733709906304617	0.9657186237281984	0.9759464532035876	1.0	0.9759761958513583	0.9741644628442463	0.9683960378317238	0.9743800827801918	0.9692921150459792	0.9669022050899889	0.9738634029389492	0.9691974555978317	0.9745052811325172	0.9704867849328113	0.9687797593738824	0.9690174166171814	0.9739921248710981	0.9687022594493498	0.997430805317811	0.9736040380513635	0.9679554425701641
LiuW_2016__SRR3992980__bin.37	0.9760578199057822	0.9738226001872545	0.9739582460933326	0.9688674553886364	0.9729991156312182	0.9799316300542131	0.9686936266484089	0.9810733645895028	0.9759761958513583	1.0	0.9805084808450517	0.971289708387614	0.9795815747171036	0.9732619757653237	0.9712183617108452	0.9783914651309026	0.9719238576958669	0.9785534834283506	0.9731695680239218	0.9719049765900822	0.9722256181191272	0.9787318901924558	0.9718872847002976	0.9776127598953201	0.9778041797228718	0.9700840789764582
CosteaPI_2017__SID713B044-11-0-0__bin.44	0.9769566335660355	0.9742936657932078	0.9736866882959748	0.9676367264923385	0.973779725997002	0.9993870201517125	0.9682430247008154	0.9801931779196509	0.9741644628442463	0.9805084808450517	1.0	0.9726684207272749	0.9800028221647401	0.9731051117606659	0.9703635895338896	0.9787487534771427	0.9721705120249713	0.9784755643320838	0.971764479136552	0.9725633096959437	0.972311019355803	0.977800051104689	0.9721653250494353	0.976035369413657	0.9779586135992202	0.9709010883639505
LiJ_2014__MH0400__bin.45	0.9773776083021343	0.9714270838552119	0.9718694900384154	0.9708605272715661	0.9686180384522739	0.972845386453963	0.9713672241451816	0.9717981507290764	0.9683960378317238	0.971289708387614	0.9726684207272749	1.0	0.9714012132898945	0.9748515500640439	0.9765445706700048	0.9708881884950342	0.9802900404233414	0.969920541654445	0.9709891187437127	0.9921437867748286	0.9740330167112582	0.9712747893302921	0.988296416634063	0.9693922046165473	0.9706735597962551	0.9684627783169378
LiuW_2016__SRR3992978__bin.42	0.9758204390139347	0.9727648860615908	0.9743823549282296	0.9665606618931725	0.9728251317386903	0.9797351918465977	0.9678867008611863	0.9818469169547529	0.9743800827801918	0.9795815747171036	0.9800028221647401	0.9714012132898945	1.0	0.9721140346239477	0.9715336209097345	0.9787121270776942	0.9714252989743466	0.9775813487241092	0.971036801688914	0.9717208744365785	0.9723834527203501	0.9773295476303797	0.9722907355567695	0.9772892843862426	0.9772127293686075	0.9694042254108165
ZeeviD_2015__PNP_Main_293__bin.1	0.9784921401152075	0.9689986767550455	0.9698921596418846	0.9700379831786778	0.9666703233672571	0.9730936758044323	0.9692298204741675	0.9742228493834981	0.9692921150459792	0.9732619757653237	0.9731051117606659	0.9748515500640439	0.9721140346239477	1.0	0.9700024228949319	0.9717943544973844	0.9750615243832014	0.9723962013883902	0.9717807090078109	0.9755034181194179	0.9694334073986172	0.9748508274347701	0.9717654972991425	0.971553332202815	0.9704188720569447	0.9699362927589428
