	ZeeviD_2015__PNP_Main_364__bin.14	Obregon-TitoAJ_2015__SM11__bin.23	Obregon-TitoAJ_2015__SM01__bin.37	WenC_2017__N021__bin.24	RampelliS_2015__H21__bin.9	CosteaPI_2017__SID713B044-11-90-0__bin.58	QinN_2014__LV-11__bin.4	LiuW_2016__SRR3993043__bin.20	LiuW_2016__SRR3993054__bin.15	LiuW_2016__SRR3992980__bin.37	CosteaPI_2017__SID713B044-11-0-0__bin.44	LiJ_2014__MH0400__bin.45	LiuW_2016__SRR3992978__bin.42	ZeeviD_2015__PNP_Main_293__bin.1	YuJ_2015__SZAXPI015220-136__bin.34	LiuW_2016__SRR3992956__bin.43	ZeeviD_2015__PNP_Main_634__bin.23	LiuW_2016__SRR3992966__bin.11	Obregon-TitoAJ_2015__SM42__bin.24	NielsenHB_2014__O2_UC12_2__bin.35	ZeeviD_2015__PNP_Main_538__bin.7	LiuW_2016__SRR3993034__bin.53	LiJ_2014__MH0357__bin.54	LiuW_2016__SRR3992961__bin.41	LiuW_2016__SRR3993001__bin.60	Obregon-TitoAJ_2015__SM25__bin.54
ZeeviD_2015__PNP_Main_364__bin.14	1.0	0.7442035113098615	0.8228480109147336	0.5344924503060605	0.8527531988913227	0.8270177054001826	0.5922847375119539	0.8058528313643005	0.6263252122340459	0.6082121551325316	0.7983728878977132	0.822677094206522	0.8326175650764431	0.5545484227230211	0.5446786373188591	0.6598869705742764	0.7997798652637784	0.5824602057657648	0.48838420879215	0.7749789907087883	0.7948086948358845	0.5690221133308675	0.6324684898031541	0.5235021693706039	0.4954299415405018	0.5969496042548911
Obregon-TitoAJ_2015__SM11__bin.23	0.7745599984429891	1.0	0.8075810862097489	0.5216473175621101	0.8258829711661039	0.7817744085791302	0.578606669845564	0.7681497844512997	0.6050268097819211	0.5947450881170872	0.760120668346941	0.7698414768248654	0.7964784305329843	0.5184982629596832	0.5218921575305807	0.6408073101663082	0.7631576181625325	0.569164955576532	0.5041254950808185	0.732320627475404	0.756200114829556	0.556701472348459	0.5920187619816857	0.5070954934264945	0.48082171251739475	0.611582993548136
Obregon-TitoAJ_2015__SM01__bin.37	0.7705650250977503	0.7266285518955351	1.0	0.5100566117827038	0.8487984881109654	0.818805871038331	0.5707699818859107	0.7778463846771335	0.5965251208656658	0.5905809537285185	0.775079888317463	0.7992225511306246	0.793046529253624	0.5056888467363118	0.5420802343484041	0.6427685837527967	0.7741776861877618	0.5726990693588901	0.471559618889647	0.7590598465415819	0.7809179346295718	0.5640510977026068	0.6237389833975195	0.5027234176089123	0.4723868709977039	0.6062651213419836
WenC_2017__N021__bin.24	0.7673793116038914	0.719585063666599	0.7819828411078859	1.0	0.829464581997661	0.7774917604456286	0.8535018508793689	0.7804965532942646	0.6323086109115433	0.6297811698932213	0.7602125907049021	0.8080943620936469	0.7649168419820465	0.7435219222082972	0.46800292961933204	0.7183092616994154	0.7965289165670617	0.6881356860496209	0.6220914561002772	0.7670770066764822	0.7765354459239309	0.6809727238264608	0.5495694168360755	0.6511701831763819	0.5563489941246527	0.7318732488597788
RampelliS_2015__H21__bin.9	0.7108351176128024	0.6614555729999962	0.7555451914239859	0.4815871087938687	1.0	0.7591026310899838	0.529109527117099	0.7401045751960006	0.5572825413293994	0.5487984327437834	0.7224040448378936	0.7371288709096148	0.7454390200408774	0.48075035758332285	0.5191115348211959	0.6010598432993188	0.7061210658040606	0.5211541555110231	0.43894116678783557	0.7119471487484272	0.7184223062160264	0.534572726898621	0.5910721389281354	0.4688216647483324	0.45140919628238046	0.5497707975074541
CosteaPI_2017__SID713B044-11-90-0__bin.58	0.7605644557166825	0.6907793046661701	0.8041045071296448	0.4980219698579987	0.8374833788373132	1.0	0.5617836046718795	0.7972073695122648	0.6030027123536253	0.5947184428352386	0.8433830747207679	0.7747240009933144	0.8090979068169295	0.5188980814036275	0.5211120581075159	0.6623835142830217	0.7635956467515387	0.5866329737727856	0.47358361554055495	0.7403886170573543	0.7516703709588992	0.569465625750231	0.6209566635642789	0.5107586129093725	0.47935261216232294	0.5942400147483798
QinN_2014__LV-11__bin.4	0.756953851301293	0.7104915995507015	0.7789513180221304	0.7597571875821523	0.811220514781445	0.7807045383935186	1.0	0.7688110317137873	0.6256683316205817	0.6221604569462037	0.7612121501804364	0.8037478192290228	0.7608876036613054	0.6760958822264178	0.5045168845446072	0.6941452572712281	0.7906225653036351	0.6494257103936142	0.5801500848409531	0.7807728891331884	0.7740783404631599	0.6323284659321751	0.5961006619984227	0.612771550797027	0.5353043519824104	0.6938030255956791
LiuW_2016__SRR3993043__bin.20	0.7946482376292542	0.7277827401477697	0.8190744077671621	0.5360702012673344	0.8755213869131608	0.854809372462215	0.5931983486740637	1.0	0.6468439449784217	0.6402221928823633	0.8197758598688999	0.8046360009411703	0.8436049474869796	0.5535331131860456	0.5527829798658906	0.7042542221737048	0.7797517847936101	0.6142404365377623	0.490698936905453	0.7687273328076745	0.7834002945951309	0.6171281179029606	0.6221695743860081	0.5399090103772131	0.5238910455324286	0.619071678668554
LiuW_2016__SRR3993054__bin.15	0.8230315087363724	0.7638847456394312	0.8370581623761714	0.5787315415165063	0.8785095507155849	0.8616177069731257	0.6433123366829355	0.8619794187939761	1.0	0.7075009497392579	0.8644357172730665	0.8082922434929959	0.8585770669791017	0.6086749896425588	0.5318033644113902	0.7805456049310758	0.8105863614002375	0.6955644596511938	0.5665104982432895	0.7894385062874459	0.8027751553124703	0.6670334568690599	0.6170253232676535	0.6622550274748632	0.594933380644191	0.6919940297891309
LiuW_2016__SRR3992980__bin.37	0.8303148384145346	0.7801088741299872	0.8609490899585007	0.5988373280397347	0.8987834117570173	0.882831646407215	0.6645860904159723	0.886337736496422	0.7350183192824232	1.0	0.8798034506420939	0.8214855365487044	0.8842387796948011	0.6133707275430513	0.53130463108192	0.8007716767963925	0.819396791164265	0.7238807265627553	0.5842365331830213	0.7946856721563246	0.8161352645165507	0.7053919346142534	0.6154901071790347	0.6362764679933339	0.6130766387282293	0.7303476170636866
