	ZeeviD_2015__PNP_Main_364__bin.14	Obregon-TitoAJ_2015__SM11__bin.23	Obregon-TitoAJ_2015__SM01__bin.37	WenC_2017__N021__bin.24	RampelliS_2015__H21__bin.9	CosteaPI_2017__SID713B044-11-90-0__bin.58	QinN_2014__LV-11__bin.4	LiuW_2016__SRR3993043__bin.20	LiuW_2016__SRR3993054__bin.15	LiuW_2016__SRR3992980__bin.37	CosteaPI_2017__SID713B044-11-0-0__bin.44	LiJ_2014__MH0400__bin.45	LiuW_2016__SRR3992978__bin.42	ZeeviD_2015__PNP_Main_293__bin.1	YuJ_2015__SZAXPI015220-136__bin.34	LiuW_2016__SRR3992956__bin.43	ZeeviD_2015__PNP_Main_634__bin.23	LiuW_2016__SRR3992966__bin.11	Obregon-TitoAJ_2015__SM42__bin.24	NielsenHB_2014__O2_UC12_2__bin.35	ZeeviD_2015__PNP_Main_538__bin.7	LiuW_2016__SRR3993034__bin.53	LiJ_2014__MH0357__bin.54	LiuW_2016__SRR3992961__bin.41	LiuW_2016__SRR3993001__bin.60	Obregon-TitoAJ_2015__SM25__bin.54
ZeeviD_2015__PNP_Main_364__bin.14	2673817.0	2044290.0	2258312.0	1472102.0	2346839.0	2263383.0	1629401.0	2206650.0	1723653.0	1666139.0	2185054.0	2250602.0	2281431.0	1515353.0	1494001.0	1809284.0	2187033.0	1598623.0	1342727.0	2119237.0	2180323.0	1561038.0	1728649.0	1438647.0	1359858.0	1642804.0
Obregon-TitoAJ_2015__SM11__bin.23	2044290.0	2569025.0	2127616.0	1387385.0	2187300.0	2062780.0	1535695.0	2026436.0	1603416.0	1568987.0	2004292.0	2035914.0	2103461.0	1374651.0	1381957.0	1696236.0	2019947.0	1506334.0	1324876.0	1934273.0	1999275.0	1473925.0	1564095.0	1342690.0	1272511.0	1614724.0
Obregon-TitoAJ_2015__SM01__bin.37	2258312.0	2127616.0	2855236.0	1506924.0	2497780.0	2401152.0	1683413.0	2281911.0	1756900.0	1731335.0	2272842.0	2348020.0	2323867.0	1488682.0	1594716.0	1889624.0	2272634.0	1685322.0	1381723.0	2228386.0	2293792.0	1656981.0	1829590.0	1478062.0	1388129.0	1773029.0
WenC_2017__N021__bin.24	1472102.0	1387385.0	1506924.0	1862358.0	1606767.0	1496508.0	1612708.0	1501531.0	1220136.0	1210566.0	1463140.0	1550131.0	1473833.0	1427474.0	884887.0	1383140.0	1524585.0	1324863.0	1195735.0	1469300.0	1480338.0	1308190.0	1054703.0	1253661.0	1071561.0	1409773.0
RampelliS_2015__H21__bin.9	2346839.0	2187300.0	2497780.0	1606767.0	3207644.0	2500965.0	1762455.0	2439160.0	1846186.0	1809200.0	2379609.0	2441052.0	2457896.0	1595245.0	1721356.0	1986514.0	2338427.0	1724163.0	1454519.0	2358632.0	2379057.0	1763933.0	1957157.0	1551607.0	1491407.0	1824347.0
CosteaPI_2017__SID713B044-11-90-0__bin.58	2263383.0	2062780.0	2401152.0	1496508.0	2500965.0	2907438.0	1687109.0	2365711.0	1801156.0	1764518.0	2453588.0	2315334.0	2401059.0	1550379.0	1561585.0	1968931.0	2283070.0	1744348.0	1418506.0	2212045.0	2248399.0	1693589.0	1856384.0	1522478.0	1425598.0	1781222.0
QinN_2014__LV-11__bin.4	1629401.0	1535695.0	1683413.0	1612708.0	1762455.0	1687109.0	2092150.0	1661463.0	1355459.0	1343720.0	1644804.0	1731128.0	1644708.0	1459400.0	1071814.0	1500438.0	1699575.0	1403623.0	1253283.0	1680336.0	1657561.0	1364671.0	1282646.0	1324909.0	1157556.0	1501305.0
LiuW_2016__SRR3993043__bin.20	2206650.0	2026436.0	2281911.0	1501531.0	2439160.0	2365711.0	1661463.0	2711518.0	1797157.0	1769464.0	2267754.0	2245101.0	2329742.0	1540628.0	1545134.0	1952408.0	2174303.0	1702790.0	1367328.0	2144350.0	2183827.0	1709444.0	1736406.0	1495388.0	1453133.0	1729737.0
LiuW_2016__SRR3993054__bin.15	1723653.0	1603416.0	1756900.0	1220136.0	1846186.0	1801156.0	1355459.0	1797157.0	2034769.0	1475037.0	1805575.0	1698363.0	1792941.0	1277750.0	1119138.0	1630855.0	1701775.0	1452340.0	1187773.0	1658091.0	1685689.0	1393501.0	1296068.0	1351007.0	1243372.0	1454662.0
LiuW_2016__SRR3992980__bin.37	1666139.0	1568987.0	1731335.0	1210566.0	1809200.0	1764518.0	1343720.0	1769464.0	1475037.0	1958592.0	1757431.0	1656514.0	1767962.0	1234347.0	1071447.0	1603024.0	1651224.0	1448860.0	1175829.0	1601458.0	1644141.0	1411597.0	1240364.0	1274744.0	1228024.0	1474566.0
CosteaPI_2017__SID713B044-11-0-0__bin.44	2185054.0	2004292.0	2272842.0	1463140.0	2379609.0	2453588.0	1644804.0	2267754.0	1805575.0	1757431.0	2653999.0	2216191.0	2289023.0	1507015.0	1506424.0	1905300.0	2180421.0	1691380.0	1421649.0	2109511.0	2140960.0	1667166.0	1749257.0	1521993.0	1443421.0	1735357.0
LiJ_2014__MH0400__bin.45	2250602.0	2035914.0	2348020.0	1550131.0	2441052.0	2315334.0	1731128.0	2245101.0	1698363.0	1656514.0	2216191.0	2921145.0	2263103.0	1479455.0	1624869.0	1805968.0	2373876.0	1605747.0	1378793.0	2473329.0	2198099.0	1578300.0	2014084.0	1426434.0	1338144.0	1646594.0
LiuW_2016__SRR3992978__bin.42	2281431.0	2103461.0	2323867.0	1473833.0	2457896.0	2401059.0	1644708.0	2329742.0	1792941.0	1767962.0	2289023.0	2263103.0	2806346.0	1532061.0	1519828.0	1924429.0	2243838.0	1719818.0	1430505.0	2154027.0	2216461.0	1645137.0	1766485.0	1514043.0	1432247.0	1751451.0
ZeeviD_2015__PNP_Main_293__bin.1	1515353.0	1374651.0	1488682.0	1427474.0	1595245.0	1550379.0	1459400.0	1540628.0	1277750.0	1234347.0	1507015.0	1479455.0	1532061.0	1906136.0	841968.0	1417624.0	1463241.0	1323115.0	1133161.0	1403257.0	1466274.0	1263302.0	995980.0	1297340.0	1095800.0	1433589.0
YuJ_2015__SZAXPI015220-136__bin.34	1494001.0	1381957.0	1594716.0	884887.0	1721356.0	1561585.0	1071814.0	1545134.0	1119138.0	1071447.0	1506424.0	1624869.0	1519828.0	841968.0	1982719.0	1117634.0	1570923.0	947442.0	816589.0	1485402.0	1511244.0	1078811.0	1508710.0	783828.0	831493.0	1024037.0
LiuW_2016__SRR3992956__bin.43	1809284.0	1696236.0	1889624.0	1383140.0	1986514.0	1968931.0	1500438.0	1952408.0	1630855.0	1603024.0	1905300.0	1805968.0	1924429.0	1417624.0	1117634.0	2167879.0	1777470.0	1714819.0	1312343.0	1770928.0	1803110.0	1582834.0	1346376.0	1438983.0	1393403.0	1582725.0
ZeeviD_2015__PNP_Main_634__bin.23	2187033.0	2019947.0	2272634.0	1524585.0	2338427.0	2283070.0	1699575.0	2174303.0	1701775.0	1651224.0	2180421.0	2373876.0	2243838.0	1463241.0	1570923.0	1777470.0	2700878.0	1586939.0	1447310.0	2278662.0	2149862.0	1569441.0	1860353.0	1429008.0	1347750.0	1660221.0
LiuW_2016__SRR3992966__bin.11	1598623.0	1506334.0	1685322.0	1324863.0	1724163.0	1744348.0	1403623.0	1702790.0	1452340.0	1448860.0	1691380.0	1605747.0	1719818.0	1323115.0	947442.0	1714819.0	1586939.0	1955862.0	1235914.0	1552870.0	1568700.0	1465164.0	1130275.0	1353484.0	1242211.0	1507269.0
Obregon-TitoAJ_2015__SM42__bin.24	1342727.0	1324876.0	1381723.0	1195735.0	1454519.0	1418506.0	1253283.0	1367328.0	1187773.0	1175829.0	1421649.0	1378793.0	1430505.0	1133161.0	816589.0	1312343.0	1447310.0	1235914.0	1681568.0	1348974.0	1344256.0	1187800.0	944835.0	1143139.0	1059770.0	1352484.0
NielsenHB_2014__O2_UC12_2__bin.35	2119237.0	1934273.0	2228386.0	1469300.0	2358632.0	2212045.0	1680336.0	2144350.0	1658091.0	1601458.0	2109511.0	2473329.0	2154027.0	1403257.0	1485402.0	1770928.0	2278662.0	1552870.0	1348974.0	2766329.0	2112063.0	1535701.0	1947786.0	1398194.0	1289321.0	1618125.0
ZeeviD_2015__PNP_Main_538__bin.7	2180323.0	1999275.0	2293792.0	1480338.0	2379057.0	2248399.0	1657561.0	2183827.0	1685689.0	1644141.0	2140960.0	2198099.0	2216461.0	1466274.0	1511244.0	1803110.0	2149862.0	1568700.0	1344256.0	2112063.0	2746032.0	1551233.0	1731258.0	1438277.0	1374052.0	1655864.0
LiuW_2016__SRR3993034__bin.53	1561038.0	1473925.0	1656981.0	1308190.0	1763933.0	1693589.0	1364671.0	1709444.0	1393501.0	1411597.0	1667166.0	1578300.0	1645137.0	1263302.0	1078811.0	1582834.0	1569441.0	1465164.0	1187800.0	1535701.0	1551233.0	2049389.0	1188726.0	1271079.0	1189151.0	1452560.0
LiJ_2014__MH0357__bin.54	1728649.0	1564095.0	1829590.0	1054703.0	1957157.0	1856384.0	1282646.0	1736406.0	1296068.0	1240364.0	1749257.0	2014084.0	1766485.0	995980.0	1508710.0	1346376.0	1860353.0	1130275.0	944835.0	1947786.0	1731258.0	1188726.0	2319525.0	973923.0	966473.0	1226003.0
LiuW_2016__SRR3992961__bin.41	1438647.0	1342690.0	1478062.0	1253661.0	1551607.0	1522478.0	1324909.0	1495388.0	1351007.0	1274744.0	1521993.0	1426434.0	1514043.0	1297340.0	783828.0	1438983.0	1429008.0	1353484.0	1143139.0	1398194.0	1438277.0	1271079.0	973923.0	1695948.0	1129328.0	1393601.0
LiuW_2016__SRR3993001__bin.60	1359858.0	1272511.0	1388129.0	1071561.0	1491407.0	1425598.0	1157556.0	1453133.0	1243372.0	1228024.0	1443421.0	1338144.0	1432247.0	1095800.0	831493.0	1393403.0	1347750.0	1242211.0	1059770.0	1289321.0	1374052.0	1189151.0	966473.0	1129328.0	1666559.0	1262422.0
Obregon-TitoAJ_2015__SM25__bin.54	1642804.0	1614724.0	1773029.0	1409773.0	1824347.0	1781222.0	1501305.0	1729737.0	1454662.0	1474566.0	1735357.0	1646594.0	1751451.0	1433589.0	1024037.0	1582725.0	1660221.0	1507269.0	1352484.0	1618125.0	1655864.0	1452560.0	1226003.0	1393601.0	1262422.0	2069402.0
