	XieH_2016__YSZC12003_35992__bin.76	XieH_2016__YSZC12003_37316__bin.20	VatanenT_2016__G80346__bin.3	LiuW_2016__SRR3992995__bin.98	CosteaPI_2017__SID713A004-11-0-0__bin.5	XieH_2016__YSZC12003_37797__bin.48	LeChatelierE_2013__MH0197__bin.17	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.4	XieH_2016__YSZC12003_37207R1__bin.22	FengQ_2015__SID530185__bin.3	LiJ_2014__V1.UC58-4__bin.63	XieH_2016__YSZC12003_35520__bin.39	XieH_2016__YSZC12003_37133__bin.42	CosteaPI_2017__SID713A051-11-0-0__bin.109	XieH_2016__YSZC12003_36057__bin.67	XieH_2016__YSZC12003_36119__bin.34	XieH_2016__YSZC12003_35515__bin.16	ZeeviD_2015__PNP_DietIntervention_45__bin.3	ZeeviD_2015__PNP_DietIntervention_54__bin.31	FengQ_2015__SID31881__bin.29	XieH_2016__YSZC12003_37293__bin.31	XieH_2016__YSZC12003_35733__bin.125	XieH_2016__YSZC12003_37830__bin.41	XieH_2016__YSZC12003_36699__bin.36	XieH_2016__YSZC12003_37233__bin.41	LiuW_2016__SRR3992973__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.13	FengQ_2015__SID31872__bin.14	HeQ_2017__SZAXPI029573-88__bin.60	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.10
XieH_2016__YSZC12003_35992__bin.76	1.0	0.9778209371918003	0.9785180904604993	0.9762020815642773	0.9767350458822276	0.9776205018762341	0.9774184557821131	0.982422615953127	0.9768515285252879	0.9768084439236803	0.9771013424607339	0.9770604179351341	0.9768007222931663	0.976889579867107	0.9769786715699839	0.9785319477030343	0.9775733111444014	0.9773749804201927	0.9770607067906435	0.9777282260949292	0.9761728905696053	0.9775143852911609	0.9771043700081805	0.9810466015751101	0.9774919070600864	0.9757517820238714	0.9785197389001272	0.9771454445695996	0.9732580548722779	0.9818384582255447
XieH_2016__YSZC12003_37316__bin.20	0.9778209371918003	1.0	0.978363410957841	0.9760926974747616	0.9771485493369173	0.9774785020143676	0.9777441320238098	0.9778877897793933	0.9767731276914172	0.9764468781966459	0.9774559945905896	0.983668869994875	0.9767487969881118	0.9773176752295506	0.9789606586691835	0.9785594469460951	0.9771514216809175	0.9771863870681511	0.9771412798979686	0.9789028293470036	0.9814512672631792	0.9781569241292111	0.9773074574809861	0.9774718301970466	0.9765465949933395	0.9758737707760521	0.9797029283306864	0.9768670081432531	0.9732044714052385	0.9776324570199041
VatanenT_2016__G80346__bin.3	0.9785180904604993	0.978363410957841	1.0	0.980550383998579	0.978596705504704	0.9784216193389681	0.9781688902864992	0.9786555761162309	0.977976364492233	0.9770715466968405	0.9779496774880007	0.9784095470599671	0.977980412624735	0.9776314576826584	0.9775090055173042	0.978456960188952	0.978285895221129	0.9822649892423798	0.9813863327431782	0.978802507573039	0.9780856516732905	0.9789153155940762	0.9779567722767747	0.9783038060630446	0.9782879029929358	0.9774115122587932	0.979300880792189	0.9781729400859086	0.9746102207216258	0.9778221262523217
LiuW_2016__SRR3992995__bin.98	0.9762020815642773	0.9760926974747616	0.980550383998579	1.0	0.9764586839249985	0.9760627489740014	0.9769097719171002	0.9765326971379439	0.9761916755754316	0.9751788342765624	0.9763232503198425	0.9757813173913207	0.9764153349417748	0.9763037051674477	0.975331870046599	0.9764127528869874	0.9766603447873509	0.9787673867473488	0.9781801930954632	0.9762644370331146	0.9752420370703617	0.9764059622134832	0.9765901500974832	0.9771989390189861	0.9767243955063928	0.9766719917183587	0.9770376313575077	0.9768189564132898	0.9732902898744605	0.9761936251818543
CosteaPI_2017__SID713A004-11-0-0__bin.5	0.9767350458822276	0.9771485493369173	0.978596705504704	0.9764586839249985	1.0	0.9770128642534379	0.9776147061003632	0.9769721535741245	0.9765714991027601	0.9761605605258887	0.9780605537588012	0.9769510236527958	0.9777999990500954	0.976670751603275	0.9757151151086378	0.9776081340463803	0.9776389397047597	0.9777160206889348	0.9770479819601287	0.9773685800637664	0.9762771322277388	0.9778784478926311	0.9763743918238305	0.9770621882992144	0.9772871453565488	0.976382166790767	0.9779764655974775	0.9767478840916143	0.9740416027772465	0.9768107195687488
XieH_2016__YSZC12003_37797__bin.48	0.9776205018762341	0.9774785020143676	0.9784216193389681	0.9760627489740014	0.9770128642534379	1.0	0.9774673825787917	0.9775109553952955	0.9778766167770531	0.9915298269102873	0.9776082788971341	0.9771258699569904	0.9774224660086622	0.976448902204953	0.9770033517050354	0.9890354374886201	0.9779373734013539	0.9781265050260647	0.9777771540699377	0.9777697569088288	0.9769835968565498	0.9781184464530411	0.9777726404739351	0.9779166342944484	0.9778561283238998	0.9757945175156845	0.9817346382242071	0.9773061748003605	0.9731281320503014	0.9771430081842258
LeChatelierE_2013__MH0197__bin.17	0.9774184557821131	0.9777441320238098	0.9781688902864992	0.9769097719171002	0.9776147061003632	0.9774673825787917	1.0	0.9779107844500087	0.9770682390970614	0.9756902764876751	0.9772171070987286	0.9775669302138316	0.9769454044304139	0.9765329261853368	0.9765783867344535	0.9776664220424308	0.9772928663983148	0.9779495356071671	0.977533391935824	0.9779325257453866	0.9769396308722479	0.9778433360844314	0.97730047457468	0.977320093718621	0.9772760804718134	0.9757113966909805	0.9779852630939775	0.9774786873359796	0.9724423076449299	0.9772084753028143
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.4	0.982422615953127	0.9778877897793933	0.9786555761162309	0.9765326971379439	0.9769721535741245	0.9775109553952955	0.9779107844500087	1.0	0.9768341203339782	0.9766722822775252	0.9771576739134558	0.9783551405370473	0.9765545168622827	0.9758891124560664	0.9775552677640509	0.9781836062927931	0.9778265128498661	0.9779308507390612	0.9773423292111086	0.9789302990143751	0.9771619411038373	0.9779998263782503	0.977638657479177	0.9859968158076098	0.9779071550654863	0.9757917457046283	0.978609561432345	0.9770482103986298	0.9730264065349661	0.9990720535206289
XieH_2016__YSZC12003_37207R1__bin.22	0.9768515285252879	0.9767731276914172	0.977976364492233	0.9761916755754316	0.9765714991027601	0.9778766167770531	0.9770682390970614	0.9768341203339782	1.0	0.977255224999005	0.9774844432662311	0.9766263705638791	0.9766400655043935	0.9764378003685351	0.9766895959757798	0.978316204282597	0.977602279388505	0.9776400864176954	0.9775846121021323	0.9770543850473922	0.9763593125164897	0.9777730650904795	0.9771093065218094	0.9775419404319049	0.9770817266057276	0.9752123062741257	0.9783848803586874	0.9772575264072314	0.9729712006606459	0.9769655662051828
FengQ_2015__SID530185__bin.3	0.9768084439236803	0.9764468781966459	0.9770715466968405	0.9751788342765624	0.9761605605258887	0.9915298269102873	0.9756902764876751	0.9766722822775252	0.977255224999005	1.0	0.9758869892310333	0.9764396794286265	0.977591712238113	0.9752684910250202	0.9761056891875065	0.9891507522087644	0.9768001733366503	0.9766833166372516	0.9765572832838958	0.9770883713790508	0.9763359953485986	0.9766446704717484	0.9772870216441522	0.9767314496167208	0.9768771475402972	0.9746204161448503	0.9803297348249062	0.9764236174077454	0.9721619616789599	0.9763480604207923
