	XieH_2016__YSZC12003_35992__bin.76	XieH_2016__YSZC12003_37316__bin.20	VatanenT_2016__G80346__bin.3	LiuW_2016__SRR3992995__bin.98	CosteaPI_2017__SID713A004-11-0-0__bin.5	XieH_2016__YSZC12003_37797__bin.48	LeChatelierE_2013__MH0197__bin.17	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.4	XieH_2016__YSZC12003_37207R1__bin.22	FengQ_2015__SID530185__bin.3	LiJ_2014__V1.UC58-4__bin.63	XieH_2016__YSZC12003_35520__bin.39	XieH_2016__YSZC12003_37133__bin.42	CosteaPI_2017__SID713A051-11-0-0__bin.109	XieH_2016__YSZC12003_36057__bin.67	XieH_2016__YSZC12003_36119__bin.34	XieH_2016__YSZC12003_35515__bin.16	ZeeviD_2015__PNP_DietIntervention_45__bin.3	ZeeviD_2015__PNP_DietIntervention_54__bin.31	FengQ_2015__SID31881__bin.29	XieH_2016__YSZC12003_37293__bin.31	XieH_2016__YSZC12003_35733__bin.125	XieH_2016__YSZC12003_37830__bin.41	XieH_2016__YSZC12003_36699__bin.36	XieH_2016__YSZC12003_37233__bin.41	LiuW_2016__SRR3992973__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.13	FengQ_2015__SID31872__bin.14	HeQ_2017__SZAXPI029573-88__bin.60	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.10
XieH_2016__YSZC12003_35992__bin.76	1.0	0.860535320638471	0.6443495363050041	0.5146997948743003	0.8516562233235909	0.8562944936920711	0.7414373059409869	0.8927615781804882	0.879157393536989	0.5600690838532998	0.6342087871967761	0.8701683720862676	0.8646820683695114	0.8170281399185703	0.7265420903807468	0.8571296530424558	0.8584962774339944	0.8218925305064234	0.5171861269798723	0.8849807319164893	0.715091824615216	0.7667241485170805	0.8457860103876658	0.8671343999165501	0.8201637836613782	0.8321917288194676	0.8072660183893506	0.7953668132101743	0.5863152043235507	0.5786845547016171
XieH_2016__YSZC12003_37316__bin.20	0.8857451953542151	1.0	0.6654414450411992	0.5372885634769112	0.888885038127633	0.8843619792595734	0.7661427026431965	0.8966284659824317	0.9069782929190277	0.5792831536103775	0.6612792251543504	0.930805557735766	0.8945432787623835	0.850244347790337	0.7653530700703772	0.8884107149470583	0.8988560181112628	0.8408982104493125	0.535477233336765	0.9231470731439643	0.7467824341409399	0.7938121211318112	0.8709283721031374	0.8856836964318053	0.865187226843702	0.8778865844347926	0.8457049798157819	0.8216803068558387	0.6030710047530852	0.6038507839073969
VatanenT_2016__G80346__bin.3	0.8244260494182253	0.8271798127187542	1.0	0.5040797510124937	0.8389192070344292	0.8641338802003151	0.7736292530754932	0.8298947192365149	0.8523784363439315	0.5822942311615348	0.6509938678083803	0.8364788321340525	0.8533215580387292	0.8249041567888079	0.7039649545607938	0.8626302916497196	0.8456811319487648	0.8692414353526612	0.5505887858480218	0.8427005632966432	0.659523776338669	0.7807649633458055	0.8676005809933737	0.8397605408526276	0.8351771299113179	0.8361308105144765	0.7980629893790052	0.8087384680882336	0.5969432382651461	0.5678171230860395
LiuW_2016__SRR3992995__bin.98	0.813970618559661	0.8255097848517642	0.6230512909259576	1.0	0.8208250002740709	0.8324153264601581	0.7276831928785428	0.8245038142833203	0.8394226658167859	0.5919257158339349	0.6516470614644363	0.8351581232253912	0.8187629433226681	0.7978322822063278	0.7094734028585852	0.8287213732986073	0.827693477061313	0.8088775989095635	0.533839398651989	0.8261602463609915	0.7252437011990731	0.7760444318458856	0.8263043293277225	0.8222887996896996	0.8054566725291729	0.829046604053221	0.800302574230135	0.7894425816326583	0.5931498990114134	0.5841770800542713
CosteaPI_2017__SID713A004-11-0-0__bin.5	0.808718635596942	0.8200467619438399	0.622620016732488	0.4928661234825016	1.0	0.8336835202546798	0.7019952661289994	0.8184885529156314	0.8253633548481741	0.5466085052321155	0.6218492189050157	0.8332011055102797	0.8579763469449103	0.7921667004680897	0.6975660781248579	0.830914415737441	0.8216156286077272	0.7862808644345607	0.4957010545730504	0.8497373676454869	0.6910743241570045	0.7403765468069253	0.8352213543911496	0.8194737572961703	0.7999605667479887	0.8082750898767821	0.7921206218667727	0.770758018068454	0.5605433638820877	0.5526473096836219
XieH_2016__YSZC12003_37797__bin.48	0.8362638273097044	0.8390930400271057	0.6595853604360907	0.5140501553391235	0.8574094198985597	1.0	0.7481710538914087	0.8513132015204762	0.8716644481503892	0.5894459662602843	0.6314518445493328	0.846846939785417	0.8637261466516093	0.8263648066054509	0.7081071967292547	0.9136100412550537	0.8489320979276404	0.8367293449901884	0.5283638568720114	0.8583381985948716	0.7191248783415964	0.7735408003357918	0.8576228358988924	0.8381787684607258	0.8479720483068084	0.833058718736732	0.8015144154126328	0.8183878194268523	0.5845757615517858	0.5610387491888097
LeChatelierE_2013__MH0197__bin.17	0.8111319644747281	0.814304147492065	0.6614846639901975	0.5033901261470002	0.8087571607950825	0.8381038261568591	1.0	0.8209381413477661	0.8285081892085829	0.574623763709923	0.634230758257914	0.8162268139747951	0.8222768574731381	0.800883400967328	0.7005970594470131	0.8419672157196403	0.8374992912785552	0.8097210219600726	0.5188740194816239	0.8333823870893885	0.6693988705959508	0.757855612947447	0.8308912989229962	0.8092064089364267	0.8199713911272047	0.8157233960414882	0.7850510153044108	0.7919424962379079	0.5863381617878343	0.5577126769230547
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.4	0.9242528992924137	0.9018363751625432	0.6715032918737793	0.5397507642307541	0.8923491487947453	0.9024528859642977	0.7768705925372803	1.0	0.9195015968108211	0.59111971553016	0.6667718106929083	0.9121984727346047	0.9013206795972175	0.855171223572311	0.7581398051019345	0.906263701901307	0.899760264785238	0.8619716384526399	0.5357495954575047	0.9306603056239523	0.7685910985272432	0.8030825540087726	0.8784926926040917	0.9129147735330956	0.8601808864564128	0.875575202185811	0.8535021333529268	0.8513962910245391	0.6020627822613028	0.6168733948591064
XieH_2016__YSZC12003_37207R1__bin.22	0.8027627989691498	0.8045951200397872	0.6083070848341446	0.4846704745829126	0.7936566545597034	0.8149853058640906	0.6915129685168718	0.8109942278419966	1.0	0.5225207601766311	0.5935173993640076	0.8187448947297032	0.8039732943499164	0.774697752927524	0.679142465299233	0.8113930040842162	0.8042090033608126	0.770412189350896	0.484560155531777	0.8155215287929709	0.6694756830889335	0.7291311621177641	0.792643889500098	0.7985990083342125	0.7886913930040842	0.7847572830165931	0.752000361701807	0.7616143957319187	0.5423872319262129	0.5306843699606649
FengQ_2015__SID530185__bin.3	0.8148323175856422	0.8187992565591367	0.6621234169464175	0.5445517022778682	0.8374712444950317	0.8781131586151253	0.7641755634638197	0.8307048760691765	0.8325485901998357	1.0	0.6630171788628428	0.8370375706580988	0.840013735406131	0.823264704328574	0.7289413651841072	0.8910417297006545	0.8378511293289341	0.8332195119608493	0.541580820378348	0.8384754659712517	0.7021025737077432	0.7759707234140648	0.8559794641270573	0.8251804573025775	0.848823605688187	0.8394451088026664	0.8101056089443428	0.8077451361774268	0.6176523981730949	0.5995130174189923
