	XieH_2016__YSZC12003_35992__bin.76	XieH_2016__YSZC12003_37316__bin.20	VatanenT_2016__G80346__bin.3	LiuW_2016__SRR3992995__bin.98	CosteaPI_2017__SID713A004-11-0-0__bin.5	XieH_2016__YSZC12003_37797__bin.48	LeChatelierE_2013__MH0197__bin.17	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.4	XieH_2016__YSZC12003_37207R1__bin.22	FengQ_2015__SID530185__bin.3	LiJ_2014__V1.UC58-4__bin.63	XieH_2016__YSZC12003_35520__bin.39	XieH_2016__YSZC12003_37133__bin.42	CosteaPI_2017__SID713A051-11-0-0__bin.109	XieH_2016__YSZC12003_36057__bin.67	XieH_2016__YSZC12003_36119__bin.34	XieH_2016__YSZC12003_35515__bin.16	ZeeviD_2015__PNP_DietIntervention_45__bin.3	ZeeviD_2015__PNP_DietIntervention_54__bin.31	FengQ_2015__SID31881__bin.29	XieH_2016__YSZC12003_37293__bin.31	XieH_2016__YSZC12003_35733__bin.125	XieH_2016__YSZC12003_37830__bin.41	XieH_2016__YSZC12003_36699__bin.36	XieH_2016__YSZC12003_37233__bin.41	LiuW_2016__SRR3992973__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.13	FengQ_2015__SID31872__bin.14	HeQ_2017__SZAXPI029573-88__bin.60	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.10
XieH_2016__YSZC12003_35992__bin.76	3029362.0	2606873.0	1951968.0	1559212.0	2579975.0	2594026.0	2246082.0	2704498.0	2663286.0	1696652.0	1921248.0	2636055.0	2619435.0	2475074.0	2200959.0	2596556.0	2600696.0	2489810.0	1566744.0	2680927.0	2166272.0	2322685.0	2562192.0	2626864.0	2484573.0	2521010.0	2445501.0	2409454.0	1776161.0	1753045.0
XieH_2016__YSZC12003_37316__bin.20	2606873.0	2943141.0	1958488.0	1581316.0	2616114.0	2602802.0	2254866.0	2638904.0	2669365.0	1704912.0	1946238.0	2739492.0	2632767.0	2502389.0	2252542.0	2614718.0	2645460.0	2474882.0	1575985.0	2716952.0	2197886.0	2336301.0	2563265.0	2606692.0	2546368.0	2583744.0	2489029.0	2418321.0	1774923.0	1777218.0
VatanenT_2016__G80346__bin.3	1951968.0	1958488.0	2367669.0	1193494.0	1986283.0	2045983.0	1831698.0	1964916.0	2018150.0	1378680.0	1541338.0	1980505.0	2020383.0	1953100.0	1666756.0	2042423.0	2002293.0	2058076.0	1303612.0	1995236.0	1561534.0	1848593.0	2054191.0	1988275.0	1977423.0	1979681.0	1889549.0	1914825.0	1413364.0	1344403.0
LiuW_2016__SRR3992995__bin.98	1559212.0	1581316.0	1193494.0	1915563.0	1572342.0	1594544.0	1393923.0	1579389.0	1607967.0	1133871.0	1248271.0	1599798.0	1568392.0	1528298.0	1359041.0	1587468.0	1585499.0	1549456.0	1022603.0	1582562.0	1389250.0	1486562.0	1582838.0	1575146.0	1542903.0	1588091.0	1533030.0	1512227.0	1136216.0	1119028.0
CosteaPI_2017__SID713A004-11-0-0__bin.5	2579975.0	2616114.0	1986283.0	1572342.0	3190201.0	2659618.0	2239506.0	2611143.0	2633075.0	1743791.0	1983824.0	2658079.0	2737117.0	2527171.0	2225376.0	2650784.0	2621119.0	2508394.0	1581386.0	2710833.0	2204666.0	2361950.0	2664524.0	2614286.0	2552035.0	2578560.0	2527024.0	2458873.0	1788246.0	1763056.0
XieH_2016__YSZC12003_37797__bin.48	2594026.0	2602802.0	2045983.0	1594544.0	2659618.0	3101923.0	2320769.0	2640708.0	2703836.0	1828416.0	1958715.0	2626854.0	2679212.0	2563320.0	2196494.0	2833948.0	2633322.0	2595470.0	1638944.0	2662499.0	2230670.0	2399464.0	2660280.0	2599966.0	2630344.0	2584084.0	2486236.0	2538576.0	1813309.0	1740299.0
LeChatelierE_2013__MH0197__bin.17	2246082.0	2254866.0	1831698.0	1393923.0	2239506.0	2320769.0	2769071.0	2273236.0	2294198.0	1591174.0	1756230.0	2260190.0	2276943.0	2217703.0	1940003.0	2331467.0	2319095.0	2242175.0	1436799.0	2307695.0	1853613.0	2098556.0	2300797.0	2240750.0	2270559.0	2258796.0	2173862.0	2192945.0	1623612.0	1544346.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.4	2704498.0	2638904.0	1964916.0	1579389.0	2611143.0	2640708.0	2273236.0	2926145.0	2690595.0	1729702.0	1951071.0	2669225.0	2637395.0	2502355.0	2218427.0	2651859.0	2632829.0	2522254.0	1567681.0	2723247.0	2249009.0	2349936.0	2570597.0	2671321.0	2517014.0	2562060.0	2497471.0	2491309.0	1761723.0	1805061.0
XieH_2016__YSZC12003_37207R1__bin.22	2663286.0	2669365.0	2018150.0	1607967.0	2633075.0	2703836.0	2294198.0	2690595.0	3317650.0	1733541.0	1969083.0	2716309.0	2667302.0	2570176.0	2253157.0	2691918.0	2668084.0	2555958.0	1607601.0	2705615.0	2221086.0	2419002.0	2629715.0	2649472.0	2616602.0	2603550.0	2494874.0	2526770.0	1799451.0	1760625.0
FengQ_2015__SID530185__bin.3	1696652.0	1704912.0	1378680.0	1133871.0	1743791.0	1828416.0	1591174.0	1729702.0	1733541.0	2082210.0	1380541.0	1742888.0	1749085.0	1714210.0	1517809.0	1855336.0	1744582.0	1734938.0	1127685.0	1745882.0	1461925.0	1615734.0	1782329.0	1718199.0	1767429.0	1747901.0	1686810.0	1681895.0	1286082.0	1248312.0
