	LiuW_2016__SRR3993041__bin.29	LiuW_2016__SRR3992957__bin.14	ZeeviD_2015__PNP_Main_741__bin.10	ZeeviD_2015__PNP_Main_740__bin.22	XieH_2016__YSZC12003_37315__bin.39	LiSS_2016__FAT_017-22-2-0__bin.26	BackhedF_2015__SID18_B__bin.7	ZeeviD_2015__PNP_Main_247__bin.9	ZeeviD_2015__PNP_Main_287__bin.8	LiSS_2016__FAT_017-22-84-0__bin.21	LiuW_2016__SRR3993005__bin.74	LiuW_2016__SRR3992997__bin.32	SchirmerM_2016__G88877__bin.15	ZeeviD_2015__PNP_Main_288__bin.1	ZeeviD_2015__PNP_Main_188__bin.8	LiuW_2016__SRR3992958__bin.41	ZeeviD_2015__PNP_Main_456__bin.26	ZellerG_2014__CCIS20795251ST-4-0__bin.18	ZeeviD_2015__PNP_Main_428__bin.28	SchirmerM_2016__G89265__bin.19	SchirmerM_2016__G89162__bin.18	ZeeviD_2015__PNP_DietIntervention_8__bin.58	ZeeviD_2015__PNP_Main_392__bin.5	SchirmerM_2016__G88983__bin.24	BackhedF_2015__SID179_M__bin.8	ZeeviD_2015__PNP_Main_736__bin.25	ZeeviD_2015__PNP_Main_7__bin.37	LiuW_2016__SRR3992960__bin.16	SchirmerM_2016__G88710__bin.17	LiuW_2016__SRR3992983__bin.9	SchirmerM_2016__G89030__bin.5	LiuW_2016__SRR3992969__bin.30	LiuW_2016__SRR3993059__bin.61	SchirmerM_2016__G88811__bin.13	ZeeviD_2015__PNP_Main_116__bin.60	ZeeviD_2015__PNP_Main_72__bin.31	ZeeviD_2015__PNP_Main_578__bin.20	KarlssonFH_2013__S530__bin.20	ZeeviD_2015__PNP_Main_192__bin.25	LiuW_2016__SRR3993022__bin.70
LiuW_2016__SRR3993041__bin.29	1380108.0	1155392.0	915650.0	890660.0	1231348.0	1145403.0	1296511.0	790793.0	1062807.0	709272.0	1070298.0	1182471.0	906397.0	872366.0	841408.0	1273907.0	1025280.0	824357.0	1116529.0	1104085.0	883989.0	869057.0	1120197.0	849464.0	875084.0	1203537.0	1156514.0	1212879.0	679547.0	1310715.0	1004323.0	1057445.0	665668.0	662665.0	724492.0	1019315.0	1019921.0	994536.0	1206400.0	1217997.0
LiuW_2016__SRR3992957__bin.14	1155392.0	1524911.0	993807.0	979696.0	1393323.0	1201114.0	1465013.0	878397.0	1168441.0	750977.0	1118321.0	1239939.0	989970.0	949702.0	921379.0	1425448.0	1143556.0	888257.0	1247297.0	1202772.0	915014.0	954342.0	1253355.0	935541.0	964722.0	1322603.0	1276901.0	1333347.0	752025.0	1438825.0	1056507.0	1120863.0	742039.0	722083.0	811402.0	1127455.0	1125391.0	1063791.0	1346857.0	1270339.0
ZeeviD_2015__PNP_Main_741__bin.10	915650.0	993807.0	1245815.0	825010.0	1128722.0	998489.0	1167123.0	608434.0	932957.0	475538.0	866940.0	963755.0	839295.0	906452.0	880343.0	1136583.0	977448.0	797227.0	981629.0	1014943.0	795452.0	780355.0	1052434.0	807259.0	836166.0	1084920.0	1031902.0	1033857.0	502528.0	1112151.0	885126.0	868264.0	448520.0	607009.0	812922.0	938149.0	1021252.0	991843.0	1095130.0	1001545.0
ZeeviD_2015__PNP_Main_740__bin.22	890660.0	979696.0	825010.0	1503943.0	1107550.0	957970.0	1152873.0	765844.0	1011396.0	616556.0	880850.0	1000662.0	778194.0	815237.0	764184.0	1128537.0	910912.0	825059.0	1080317.0	1028888.0	709581.0	935304.0	1012966.0	998437.0	760947.0	1077307.0	1132276.0	1037942.0	636847.0	1059668.0	883466.0	929492.0	548859.0	558920.0	681912.0	1103976.0	965086.0	959353.0	1069571.0	996551.0
XieH_2016__YSZC12003_37315__bin.39	1231348.0	1393323.0	1128722.0	1107550.0	1809260.0	1389500.0	1690944.0	978112.0	1346910.0	864278.0	1197089.0	1378106.0	1098089.0	1052141.0	1011431.0	1623558.0	1313158.0	973427.0	1445950.0	1348210.0	1005274.0	1085452.0	1440122.0	1022555.0	1121069.0	1531266.0	1427237.0	1483835.0	853599.0	1618189.0	1175539.0	1245069.0	863470.0	790084.0	938141.0	1260700.0	1270690.0	1162025.0	1556546.0	1425588.0
LiSS_2016__FAT_017-22-2-0__bin.26	1145403.0	1201114.0	998489.0	957970.0	1389500.0	1554755.0	1476009.0	849989.0	1201710.0	809071.0	1113448.0	1268808.0	995282.0	939857.0	880172.0	1427999.0	1138739.0	865767.0	1255729.0	1198748.0	965962.0	973715.0	1256431.0	880027.0	1021474.0	1355932.0	1253212.0	1329114.0	774842.0	1419342.0	1106145.0	1133297.0	742640.0	701234.0	828476.0	1104282.0	1095764.0	1063240.0	1354097.0	1338415.0
BackhedF_2015__SID18_B__bin.7	1296511.0	1465013.0	1167123.0	1152873.0	1690944.0	1476009.0	1992178.0	1076813.0	1437026.0	935270.0	1260435.0	1448153.0	1144422.0	1098897.0	1059107.0	1801146.0	1362124.0	988567.0	1547747.0	1420808.0	1053807.0	1150154.0	1556658.0	1052487.0	1179726.0	1629679.0	1493900.0	1595518.0	965222.0	1738692.0	1241678.0	1319894.0	979656.0	823644.0	1000667.0	1376177.0	1350983.0	1247524.0	1659580.0	1519265.0
ZeeviD_2015__PNP_Main_247__bin.9	790793.0	878397.0	608434.0	765844.0	978112.0	849989.0	1076813.0	1112306.0	952141.0	785353.0	767861.0	895394.0	632860.0	513529.0	469754.0	1038678.0	774568.0	604672.0	1018092.0	837875.0	559647.0	783402.0	836792.0	639305.0	623080.0	930514.0	965475.0	1017461.0	802977.0	1026835.0	700468.0	876337.0	801672.0	469184.0	335755.0	859985.0	673562.0	634994.0	935878.0	910861.0
ZeeviD_2015__PNP_Main_287__bin.8	1062807.0	1168441.0	932957.0	1011396.0	1346910.0	1201710.0	1437026.0	952141.0	1575774.0	838653.0	1042886.0	1178325.0	905827.0	861053.0	807360.0	1440120.0	1123424.0	930046.0	1326248.0	1100729.0	830338.0	989444.0	1180278.0	866134.0	906522.0	1281659.0	1292767.0	1326924.0	864275.0	1401091.0	1024586.0	1093974.0	844933.0	684610.0	701623.0	1114590.0	990075.0	977477.0	1304136.0	1231139.0
LiSS_2016__FAT_017-22-84-0__bin.21	709272.0	750977.0	475538.0	616556.0	864278.0	809071.0	935270.0	785353.0	838653.0	997699.0	684113.0	812443.0	540422.0	364967.0	313012.0	895104.0	657997.0	456392.0	878350.0	675760.0	482778.0	669493.0	694448.0	509603.0	557826.0	820776.0	789617.0	881315.0	753580.0	912696.0	637581.0	746008.0	754626.0	390738.0	217080.0	709300.0	514164.0	483911.0	805888.0	850785.0
