	LiuW_2016__SRR3993041__bin.29	LiuW_2016__SRR3992957__bin.14	ZeeviD_2015__PNP_Main_741__bin.10	ZeeviD_2015__PNP_Main_740__bin.22	XieH_2016__YSZC12003_37315__bin.39	LiSS_2016__FAT_017-22-2-0__bin.26	BackhedF_2015__SID18_B__bin.7	ZeeviD_2015__PNP_Main_247__bin.9	ZeeviD_2015__PNP_Main_287__bin.8	LiSS_2016__FAT_017-22-84-0__bin.21	LiuW_2016__SRR3993005__bin.74	LiuW_2016__SRR3992997__bin.32	SchirmerM_2016__G88877__bin.15	ZeeviD_2015__PNP_Main_288__bin.1	ZeeviD_2015__PNP_Main_188__bin.8	LiuW_2016__SRR3992958__bin.41	ZeeviD_2015__PNP_Main_456__bin.26	ZellerG_2014__CCIS20795251ST-4-0__bin.18	ZeeviD_2015__PNP_Main_428__bin.28	SchirmerM_2016__G89265__bin.19	SchirmerM_2016__G89162__bin.18	ZeeviD_2015__PNP_DietIntervention_8__bin.58	ZeeviD_2015__PNP_Main_392__bin.5	SchirmerM_2016__G88983__bin.24	BackhedF_2015__SID179_M__bin.8	ZeeviD_2015__PNP_Main_736__bin.25	ZeeviD_2015__PNP_Main_7__bin.37	LiuW_2016__SRR3992960__bin.16	SchirmerM_2016__G88710__bin.17	LiuW_2016__SRR3992983__bin.9	SchirmerM_2016__G89030__bin.5	LiuW_2016__SRR3992969__bin.30	LiuW_2016__SRR3993059__bin.61	SchirmerM_2016__G88811__bin.13	ZeeviD_2015__PNP_Main_116__bin.60	ZeeviD_2015__PNP_Main_72__bin.31	ZeeviD_2015__PNP_Main_578__bin.20	KarlssonFH_2013__S530__bin.20	ZeeviD_2015__PNP_Main_192__bin.25	LiuW_2016__SRR3993022__bin.70
LiuW_2016__SRR3993041__bin.29	0.0	13540.0	12158.0	13392.0	17284.0	14779.0	16986.0	9787.0	12107.0	9025.0	12208.0	13506.0	11081.0	11620.0	13550.0	13546.0	13312.0	11029.0	16621.0	13827.0	13972.0	11798.0	15301.0	12081.0	12903.0	19332.0	15429.0	12838.0	7876.0	11383.0	13494.0	10528.0	5831.0	10057.0	9861.0	13643.0	13863.0	13230.0	16106.0	13196.0
LiuW_2016__SRR3992957__bin.14	13540.0	0.0	13665.0	15932.0	20071.0	15733.0	19479.0	11324.0	13481.0	10508.0	11539.0	13192.0	13337.0	12533.0	15124.0	14542.0	15354.0	12749.0	18673.0	16411.0	14807.0	12888.0	17425.0	15171.0	14745.0	21659.0	17388.0	13250.0	9499.0	16700.0	14890.0	11871.0	9209.0	12197.0	10299.0	14782.0	15153.0	16181.0	18484.0	13970.0
ZeeviD_2015__PNP_Main_741__bin.10	12158.0	13665.0	0.0	12103.0	14922.0	14631.0	12814.0	7000.0	12203.0	6369.0	11968.0	12836.0	10977.0	11778.0	14383.0	15103.0	12225.0	11573.0	13522.0	13736.0	12756.0	9782.0	13644.0	13276.0	9525.0	17702.0	13314.0	13152.0	6552.0	13944.0	11077.0	10668.0	5664.0	9757.0	10069.0	11688.0	12982.0	11382.0	14114.0	12941.0
ZeeviD_2015__PNP_Main_740__bin.22	13392.0	15932.0	12103.0	0.0	14917.0	13905.0	17302.0	8891.0	12802.0	7383.0	12368.0	15298.0	11547.0	13544.0	14359.0	16191.0	13856.0	12060.0	14868.0	15906.0	12890.0	11830.0	14460.0	12646.0	12290.0	20116.0	16582.0	14059.0	7596.0	14925.0	12049.0	12095.0	6444.0	10387.0	10375.0	12805.0	14189.0	17407.0	16602.0	13890.0
XieH_2016__YSZC12003_37315__bin.39	17284.0	20071.0	14922.0	14917.0	0.0	19231.0	21287.0	12563.0	17640.0	11786.0	17120.0	20136.0	15193.0	14701.0	16205.0	21600.0	17181.0	14684.0	18178.0	19945.0	16462.0	14239.0	19200.0	16748.0	16034.0	25008.0	19145.0	18461.0	10805.0	21210.0	14827.0	16874.0	11608.0	14031.0	11854.0	16451.0	16538.0	17272.0	22000.0	19256.0
LiSS_2016__FAT_017-22-2-0__bin.26	14779.0	15733.0	14631.0	13905.0	19231.0	0.0	19391.0	10612.0	15775.0	1054.0	14142.0	15756.0	11932.0	12174.0	15814.0	17124.0	15455.0	12069.0	18109.0	14400.0	16288.0	12819.0	17301.0	12296.0	15073.0	23004.0	16585.0	16104.0	8522.0	17610.0	14105.0	14183.0	9303.0	9920.0	11079.0	15297.0	14369.0	15460.0	17401.0	16866.0
BackhedF_2015__SID18_B__bin.7	16986.0	19479.0	12814.0	17302.0	21287.0	19391.0	0.0	10803.0	17090.0	11551.0	16162.0	18152.0	14601.0	14456.0	17168.0	21113.0	16195.0	13634.0	20638.0	18993.0	16640.0	13212.0	18582.0	15764.0	14153.0	26827.0	18283.0	18246.0	10824.0	20663.0	14579.0	15814.0	11457.0	13677.0	11712.0	15686.0	16142.0	16403.0	19878.0	18456.0
ZeeviD_2015__PNP_Main_247__bin.9	9787.0	11324.0	7000.0	8891.0	12563.0	10612.0	10803.0	0.0	10644.0	9014.0	9670.0	10263.0	7789.0	6837.0	7612.0	11849.0	8716.0	8832.0	12653.0	10884.0	8245.0	8655.0	9463.0	8313.0	8890.0	14205.0	11206.0	11333.0	7761.0	10892.0	8040.0	9928.0	8429.0	8123.0	3837.0	9460.0	8361.0	8005.0	11093.0	10992.0
ZeeviD_2015__PNP_Main_287__bin.8	12107.0	13481.0	12203.0	12802.0	17640.0	15775.0	17090.0	10644.0	0.0	10278.0	12000.0	13195.0	10511.0	10649.0	13375.0	15109.0	13901.0	13009.0	18248.0	13974.0	13254.0	12466.0	15029.0	10713.0	13401.0	20065.0	15545.0	13377.0	8336.0	15534.0	12768.0	11578.0	9448.0	11837.0	8277.0	14114.0	12415.0	14543.0	16613.0	12816.0
LiSS_2016__FAT_017-22-84-0__bin.21	9025.0	10508.0	6369.0	7383.0	11786.0	1054.0	11551.0	9014.0	10278.0	0.0	8843.0	9971.0	5763.0	4422.0	5298.0	10228.0	8134.0	5726.0	11015.0	7638.0	7485.0	8749.0	9646.0	5785.0	8464.0	12564.0	9246.0	10552.0	7720.0	10800.0	8246.0	8618.0	8924.0	6351.0	2610.0	9123.0	6535.0	6199.0	10148.0	10840.0
