	LiuW_2016__SRR3993041__bin.29	LiuW_2016__SRR3992957__bin.14	ZeeviD_2015__PNP_Main_741__bin.10	ZeeviD_2015__PNP_Main_740__bin.22	XieH_2016__YSZC12003_37315__bin.39	LiSS_2016__FAT_017-22-2-0__bin.26	BackhedF_2015__SID18_B__bin.7	ZeeviD_2015__PNP_Main_247__bin.9	ZeeviD_2015__PNP_Main_287__bin.8	LiSS_2016__FAT_017-22-84-0__bin.21	LiuW_2016__SRR3993005__bin.74	LiuW_2016__SRR3992997__bin.32	SchirmerM_2016__G88877__bin.15	ZeeviD_2015__PNP_Main_288__bin.1	ZeeviD_2015__PNP_Main_188__bin.8	LiuW_2016__SRR3992958__bin.41	ZeeviD_2015__PNP_Main_456__bin.26	ZellerG_2014__CCIS20795251ST-4-0__bin.18	ZeeviD_2015__PNP_Main_428__bin.28	SchirmerM_2016__G89265__bin.19	SchirmerM_2016__G89162__bin.18	ZeeviD_2015__PNP_DietIntervention_8__bin.58	ZeeviD_2015__PNP_Main_392__bin.5	SchirmerM_2016__G88983__bin.24	BackhedF_2015__SID179_M__bin.8	ZeeviD_2015__PNP_Main_736__bin.25	ZeeviD_2015__PNP_Main_7__bin.37	LiuW_2016__SRR3992960__bin.16	SchirmerM_2016__G88710__bin.17	LiuW_2016__SRR3992983__bin.9	SchirmerM_2016__G89030__bin.5	LiuW_2016__SRR3992969__bin.30	LiuW_2016__SRR3993059__bin.61	SchirmerM_2016__G88811__bin.13	ZeeviD_2015__PNP_Main_116__bin.60	ZeeviD_2015__PNP_Main_72__bin.31	ZeeviD_2015__PNP_Main_578__bin.20	KarlssonFH_2013__S530__bin.20	ZeeviD_2015__PNP_Main_192__bin.25	LiuW_2016__SRR3993022__bin.70
LiuW_2016__SRR3993041__bin.29	1.0	0.9882810336232205	0.9867220007644842	0.9849639593110727	0.9859633507343172	0.9870971177829987	0.9868986842379278	0.9876238155876443	0.9886084679532596	0.9872756854916026	0.9885938308770081	0.9885781554050797	0.9877746726875751	0.986679902701389	0.9838960409218833	0.9893665707151307	0.987016229712859	0.9866210877083593	0.9851136871500874	0.9874765076964183	0.9841943734593982	0.9864243657205454	0.9863407954136638	0.9857780906548129	0.9852551297932541	0.9839373446765658	0.9866590460642932	0.9894152673102593	0.9884099260242485	0.9913154270760616	0.9865640834671714	0.9900439266344822	0.9912403780863734	0.9848234024733462	0.9863890836613793	0.98661552120787	0.9864077707979344	0.9866973141243756	0.9866495358090186	0.9891658189634293
LiuW_2016__SRR3992957__bin.14	0.9882810336232205	1.0	0.9862498452918927	0.9837378125459326	0.9855948692442456	0.9869013266018046	0.9867038722523281	0.9871083348417629	0.9884624041778747	0.9860075608174418	0.9896818534213343	0.9893607669409543	0.986527874582058	0.986803228802298	0.9835854735130711	0.9897982949921709	0.9865734603290088	0.9856471719333482	0.9850292272008992	0.9863556850342375	0.9838177339363113	0.9864954073068145	0.9860973148070579	0.9837837144497141	0.9847158041383943	0.9836239597218516	0.9863826561338741	0.990062601858331	0.9873687709850072	0.9883933070387295	0.9859063877475492	0.9894090535596233	0.9875896010856572	0.9831085900097357	0.9873071547765473	0.9868890554390197	0.9865353463818353	0.9847893054180755	0.9862761971018452	0.9890029354369188
ZeeviD_2015__PNP_Main_741__bin.10	0.9867220007644842	0.9862498452918927	1.0	0.9853298747893965	0.9867797385007114	0.9853468591041064	0.9890208658384764	0.9884950545170059	0.9869200831335206	0.9866067485668863	0.9861951230765682	0.9866812623540215	0.9869211659785891	0.9870064824171605	0.9836620499055482	0.9867119251299729	0.9874929408009429	0.9854834319459828	0.9862249383422861	0.986466235049653	0.9839638343985558	0.9874646795368774	0.9870357666133933	0.983554224852247	0.9886087212347787	0.9836835895734247	0.9870976119825332	0.9872787048885872	0.9869619205298014	0.9874621341886128	0.9874853975592176	0.9877134143532382	0.9873718005886025	0.9839261032373491	0.9876138178078586	0.9875414246564245	0.9872881521896653	0.9885243934775968	0.9871120323614548	0.9870789630021617
ZeeviD_2015__PNP_Main_740__bin.22	0.9849639593110727	0.9837378125459326	0.9853298747893965	1.0	0.9865315335650761	0.9854849316784451	0.9849922758187589	0.9883905860723594	0.9873422477447014	0.9880254186156651	0.985959016858716	0.9847121205761785	0.9851617977008303	0.9833864262784933	0.9812100227170419	0.9856531066327466	0.9847888709337456	0.9853828635285476	0.986237372919245	0.9845405913957593	0.98183435013057	0.987351705969396	0.9857250885024769	0.9873342033598514	0.983849072274416	0.9813275138841574	0.9853551607558582	0.9864549271539258	0.9880724883684778	0.98591539991771	0.9863616709641344	0.9869875157612976	0.9882592797057168	0.9814159450368568	0.9847854268585976	0.9884010159641151	0.9852976833152693	0.9818554796826611	0.9844778887984061	0.9860619275882518
XieH_2016__YSZC12003_37315__bin.39	0.9859633507343172	0.9855948692442456	0.9867797385007114	0.9865315335650761	1.0	0.9861597697013315	0.9874111738768404	0.9871558676307007	0.9869033565717086	0.9863631840680892	0.985698640619035	0.9853886420928434	0.9861641451649183	0.9860275381341475	0.9839781458151866	0.9866958864419996	0.9869162735938859	0.9849151502886195	0.9874283343130814	0.9852063105895966	0.9836243650984706	0.9868819625372656	0.9866677962005996	0.983621418896783	0.9856975797207843	0.9836684155463519	0.9865859699545345	0.9875585897353816	0.9873418314688748	0.9868927548018186	0.9873870624453974	0.9864473374567996	0.9865565682652553	0.982241128791369	0.9873643727328835	0.9869509002934878	0.9869850238846611	0.9851362922484456	0.9858661420863887	0.9864925911273102
LiSS_2016__FAT_017-22-2-0__bin.26	0.9870971177829987	0.9869013266018046	0.9853468591041064	0.9854849316784451	0.9861597697013315	1.0	0.9868625462310867	0.9875151325487742	0.986872872822894	0.9986972713148784	0.9872989129263333	0.9875820455104318	0.9880114379643157	0.9870469656554135	0.9820330571751885	0.9880083949638621	0.9864279698859879	0.9860597597275017	0.9855788948093099	0.9879874669238239	0.9831380530497059	0.986834956840554	0.9862300436713198	0.9860277014227973	0.9852438730697012	0.9830345474551822	0.9867660060708004	0.9878836578352196	0.9890016287191453	0.9875928423170737	0.9872485072029435	0.9874851870251135	0.9874730690509533	0.9858535096700959	0.9866272529318894	0.9861475601340962	0.9868867748894835	0.9854595387682932	0.9871493696537249	0.9873985273625894
BackhedF_2015__SID18_B__bin.7	0.9868986842379278	0.9867038722523281	0.9890208658384764	0.9849922758187589	0.9874111738768404	0.9868625462310867	1.0	0.9899676174043218	0.9881073828866005	0.9876495557432613	0.9871774427082713	0.9874654128396654	0.9872415944468037	0.9868449909318162	0.9837901175235363	0.9882780185504118	0.9881104803967921	0.9862083197193513	0.9866657793554114	0.9866322543228924	0.9842096323140765	0.9885128426280306	0.9880628885728272	0.9850221427913124	0.9880031464933383	0.9835384759820799	0.9877615636923489	0.9885642155086938	0.9887859994902727	0.9881157789878828	0.9882586306594785	0.9880187348377976	0.9883050785173572	0.9833945248189752	0.9882958066969332	0.988601756896097	0.9880516631223338	0.9868515555612557	0.9880222706949952	0.9878520205494105
ZeeviD_2015__PNP_Main_247__bin.9	0.9876238155876443	0.9871083348417629	0.9884950545170059	0.9883905860723594	0.9871558676307007	0.9875151325487742	0.9899676174043218	1.0	0.9888209834467794	0.9885223587354985	0.9874065748879028	0.9885380067322318	0.9876923806213065	0.9866862436201266	0.9837957739582845	0.9885922297381864	0.9887472759008893	0.9853937341236241	0.9875718500882043	0.9870099955243921	0.9852674989770337	0.9889520322899354	0.9886913354812188	0.9869968168558043	0.9857321692238556	0.9847342436545823	0.9883932779201947	0.988861489531294	0.9903347169346071	0.9893926482833172	0.9885219596041503	0.988671024959576	0.9894857248350947	0.9826869628972855	0.9885720242438683	0.9889998081361884	0.987586888809048	0.9873935816716378	0.988146959325895	0.9879322970244636
ZeeviD_2015__PNP_Main_287__bin.8	0.9886084679532596	0.9884624041778747	0.9869200831335206	0.9873422477447014	0.9869033565717086	0.986872872822894	0.9881073828866005	0.9888209834467794	1.0	0.9877446333584927	0.988493469084828	0.9888019010035431	0.9883962390169425	0.987632584753784	0.9834336603250099	0.9895085131794573	0.9876262212664141	0.986012519810848	0.9862408840578836	0.9873047771068083	0.9840378255601936	0.9874010050088736	0.9872665592343499	0.9876312441261975	0.9852171265562226	0.9843445097330882	0.9879754046939626	0.9899187896217115	0.9903549217552283	0.9889129257128909	0.9875383813559818	0.9894165674869787	0.9888180482949536	0.9827098640101664	0.9882030663190916	0.98733704770364	0.9874605459182385	0.9851219005664583	0.9872612979014459	0.9895901275160643
LiSS_2016__FAT_017-22-84-0__bin.21	0.9872756854916026	0.9860075608174418	0.9866067485668863	0.9880254186156651	0.9863631840680892	0.9986972713148784	0.9876495557432613	0.9885223587354985	0.9877446333584927	1.0	0.987073772900091	0.9877271390115984	0.989336111409232	0.9878838360728505	0.9830741313432073	0.9885733948233948	0.9876382415117394	0.9874537678136339	0.9874594409973245	0.98869717059311	0.9844959795185365	0.9869319022006204	0.9861098311176647	0.9886480260124058	0.9848268097937349	0.9846925348694406	0.9882905256599085	0.9880269824069714	0.9897555667613259	0.9881669252412633	0.9870667413238475	0.9884478450633237	0.98817427440878	0.9837461419160665	0.9879767827529021	0.9871380234033554	0.9872900475334718	0.9871897931644456	0.9874076794790343	0.987258825672761
