	WenC_2017__RA009__bin.40	LiJ_2017__H2MX14928__bin.10	LiuW_2016__SRR3993051__bin.63	FengQ_2015__SID31275__bin.9	ZeeviD_2015__PNP_Main_456__bin.28	FengQ_2015__SID31071__bin.55	NielsenHB_2014__MH0006__bin.64	NielsenHB_2014__MH0102__bin.35	LiuW_2016__SRR3993008__bin.46	LiJ_2014__MH0368__bin.53	LiuW_2016__SRR3993056__bin.53	LiJ_2014__MH0397__bin.67	VogtmannE_2016__MMRS20257302ST-27-0-0__bin.48	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.52	FengQ_2015__SID530451__bin.74	CM_madagascar__A41_01_1FE__bin.16	XieH_2016__YSZC12003_37543__bin.35	ZeeviD_2015__PNP_Main_172__bin.22	SchirmerM_2016__G88798__bin.3	LeChatelierE_2013__MH0006__bin.72	LiuW_2016__SRR3993014__bin.71	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.15	CosteaPI_2017__SID713A004-11-0-0__bin.50	LiuW_2016__SRR3993041__bin.8	CM_madagascar__A34_02_1FE__bin.7	LiuW_2016__SRR3993055__bin.42	ZeeviD_2015__PNP_Main_228__bin.15	QinJ_2012__T2D-040__bin.3	CosteaPI_2017__SID713B051-11-90-0__bin.34	QinJ_2012__DLM010__bin.5	LeChatelierE_2013__MH0102__bin.17	BackhedF_2015__SID587_M__bin.13	LiuW_2016__SRR3992993__bin.63	LiuW_2016__SRR3993000__bin.39	CosteaPI_2017__SID713B051-11-0-0__bin.11	FengQ_2015__SID31300__bin.38
WenC_2017__RA009__bin.40	1.0	0.6488763119206027	0.6607385579463584	0.6965366984091769	0.7431694120843391	0.4821369003265885	0.7256700370476652	0.555760795387409	0.7235688741737825	0.6528559819238904	0.6377877343210567	0.7487514800176517	0.6830025247714564	0.7510600262203263	0.759682510592224	0.7764238915240504	0.7621136380260644	0.5707008350796136	0.6598820969509024	0.685524482888062	0.7598223737674558	0.5135723546769362	0.6789344355194591	0.59732869373421	0.5713161526694976	0.6709554021347621	0.727857609641878	0.6852158193289299	0.7202406932712148	0.7712493559461543	0.6081978308346857	0.7565826121135978	0.49428771462767856	0.7317183155650834	0.7108710662477202	0.6738611801719031
LiJ_2017__H2MX14928__bin.10	0.8633084331035811	1.0	0.8244539149684781	0.8220701234673525	0.8683022035901248	0.6270815397860042	0.8457085871035703	0.6404490596910375	0.8816189248875747	0.7436135455823927	0.8121093186035195	0.8552298503312604	0.8058354232058734	0.903266083106522	0.8618245790399598	0.88258516787603	0.8940234101372632	0.6669525647949608	0.7963446391427333	0.7950393822889318	0.8855202579499821	0.5959179308390327	0.7913792089319994	0.7295888521118853	0.6868725703560715	0.8224032553886629	0.8738445990385695	0.7080042563885933	0.8441113719367103	0.8637453011287985	0.7058685759813489	0.8681877730425157	0.6459962676391481	0.8492511215797832	0.8298850882024245	0.7991770625571484
LiuW_2016__SRR3993051__bin.63	0.8335635247065314	0.7817562689121986	1.0	0.8030322389609548	0.8642692285851039	0.5909484087387541	0.8289176137976912	0.644696573292122	0.8519732572383526	0.7079236535325756	0.7802179415415318	0.8353269731558324	0.7909542902804482	0.8746202349371689	0.848206535406881	0.8459233817647871	0.8756008299058142	0.6424605733894716	0.7894894821809567	0.7850453689957573	0.8779382356997413	0.6021131973683143	0.7907114231708405	0.7211398833426627	0.6503560360842724	0.8167641177281835	0.8451714570809706	0.6908139445269212	0.8336710149512846	0.8375543535577242	0.7084763156400334	0.8577554211589477	0.6174234588332644	0.827254557180754	0.8229934816293086	0.7875085180948673
FengQ_2015__SID31275__bin.9	0.8104303300249008	0.7189132442511603	0.7406203018506179	1.0	0.8708233671190919	0.5513835794199137	0.8302299535884217	0.6413364664071359	0.7999162954909457	0.6731039642736062	0.7129445048457428	0.8439906943031834	0.7833563637638972	0.8430054127357113	0.8363469294707677	0.8085668525467915	0.8239974748360397	0.612073089467962	0.746851377734133	0.7836603186850443	0.826996808473328	0.5850033318135587	0.7613154233741335	0.6719723167210279	0.6087716714013491	0.7754371690106266	0.7962894118472276	0.6780733934228831	0.8179202469049205	0.7844155297583558	0.6960188919674066	0.8520160394673775	0.5685130759068963	0.8070180853178083	0.8056217631723541	0.7507808134301313
ZeeviD_2015__PNP_Main_456__bin.28	0.7807528628303059	0.6856343996490418	0.7197236246148727	0.7862925307795688	1.0	0.5222623294557065	0.7894799510043393	0.6024540897907551	0.7794608366165295	0.6351457308456058	0.6827505633614299	0.8194372254708191	0.739432091144427	0.8166163015707408	0.8003532382779232	0.7815154116349072	0.8027911988525456	0.5927102698772533	0.719718557845407	0.747669391603434	0.794813992559449	0.5682774630516393	0.7200225640133543	0.6589038128706923	0.5957651096343355	0.7676510414533522	0.7654089959647403	0.6402331896200472	0.7835792757306388	0.7633624433313503	0.654767217832664	0.8192387770000755	0.5282267615785182	0.7689388453592403	0.7768957845744736	0.7310068979843969
FengQ_2015__SID31071__bin.55	0.879385558198605	0.8596643367921036	0.854376853239894	0.864352919184996	0.9067172959282785	1.0	0.8647172446148377	0.6582268273999113	0.89940146536526	0.7784681471816093	0.8420403690169443	0.9020191838963761	0.8406131223129166	0.9267837834866016	0.9193777878775661	0.8918657200558584	0.9084121055737392	0.6536753251989311	0.824870891717644	0.8032393442142263	0.9093723999662797	0.5811459757434034	0.816909977898568	0.7579200463287066	0.6873977854585038	0.8556758163418648	0.8962170998376295	0.692443362789692	0.8821696788878178	0.8749271532402606	0.723822264901973	0.9068675710049737	0.696836526373276	0.8780748663101604	0.85831406024931	0.8574109436908292
NielsenHB_2014__MH0006__bin.64	0.7679642348569786	0.6726954348488122	0.6953510588163238	0.7551418135047356	0.7952746695611786	0.501726414179479	1.0	0.6121897005507172	0.7513993354645199	0.6354424877377381	0.6657455438183398	0.8129092737236274	0.72622022903166	0.8174407387810725	0.8064246936348526	0.7749609121795777	0.7804889252593237	0.6028264875063587	0.7050706983407029	0.9475023775942999	0.7884425949208801	0.552552489966467	0.710960667189539	0.6323801122530748	0.5718845858732619	0.7099704991161644	0.7473123401822794	0.640134727508128	0.7665240677193298	0.7478878115754392	0.6611217821664266	0.8213482448335173	0.5227538751809779	0.7611249296078969	0.7513049122204094	0.70125719020244
NielsenHB_2014__MH0102__bin.35	0.7747039426137758	0.6710090657595306	0.7123512149865712	0.7683553338509925	0.7993667077880824	0.5030538533679785	0.8063657520232969	1.0	0.7656583516250802	0.6471384760873925	0.6669266167607306	0.8182601495385325	0.7691945692839831	0.8136325896743789	0.8210899079978352	0.7769409700396313	0.790548012894421	0.6208622275706208	0.7237643686854256	0.7710680027205122	0.7988075909909366	0.6049105917338111	0.7356901394878759	0.6545296864127895	0.5820786819633852	0.7272574480744085	0.7558827714713735	0.6679232788670657	0.7864745276919681	0.7591483945280505	0.9391358228036738	0.8299108438405834	0.5193007342469682	0.78091361253318	0.7787595002235346	0.7149473545035794
LiuW_2016__SRR3993008__bin.46	0.8194523465983313	0.7504481090208965	0.7648226453225065	0.7786041028488719	0.8402574407945345	0.5584553552327935	0.8041051246921953	0.6220581608640835	1.0	0.6905662696118815	0.801050063495387	0.8202716419133276	0.7528204241218748	0.840963400257623	0.8307203881639137	0.8431978006472433	0.8522705859326993	0.6467271427986218	0.7529123672627799	0.7578276839886937	0.839257445346175	0.5740811375460284	0.7466074346498196	0.6720538368054766	0.6142129530589301	0.7614676310075967	0.8293972262301946	0.6887756541845508	0.8032230167363826	0.8196617220677194	0.6791835267021998	0.8269844015275306	0.566341072639633	0.8268510384568117	0.7890997309980382	0.7530020345833656
LiJ_2014__MH0368__bin.53	0.8649738521824283	0.7405064066279832	0.7434691692177273	0.7664715808553565	0.8010012902181444	0.5654803014094422	0.7955363670588085	0.6150847427843898	0.8078805011988964	1.0	0.7178357349424407	0.8061163688373181	0.7512621294084005	0.8114918340320462	0.8236251029698447	0.8459240981119576	0.8269622045424411	0.6024189859620219	0.7269428752322312	0.741445182768479	0.8364649833304668	0.5223706147625875	0.7489010781282199	0.6667749392031957	0.6197147249407208	0.7382603727308694	0.8187879830264162	0.7086364742486196	0.7808215968566176	0.8533091725830508	0.6690593122279985	0.818571792945281	0.5576335599424275	0.8082798671123236	0.7675977927312209	0.7326543402821227
