	WenC_2017__RA009__bin.40	LiJ_2017__H2MX14928__bin.10	LiuW_2016__SRR3993051__bin.63	FengQ_2015__SID31275__bin.9	ZeeviD_2015__PNP_Main_456__bin.28	FengQ_2015__SID31071__bin.55	NielsenHB_2014__MH0006__bin.64	NielsenHB_2014__MH0102__bin.35	LiuW_2016__SRR3993008__bin.46	LiJ_2014__MH0368__bin.53	LiuW_2016__SRR3993056__bin.53	LiJ_2014__MH0397__bin.67	VogtmannE_2016__MMRS20257302ST-27-0-0__bin.48	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.52	FengQ_2015__SID530451__bin.74	CM_madagascar__A41_01_1FE__bin.16	XieH_2016__YSZC12003_37543__bin.35	ZeeviD_2015__PNP_Main_172__bin.22	SchirmerM_2016__G88798__bin.3	LeChatelierE_2013__MH0006__bin.72	LiuW_2016__SRR3993014__bin.71	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.15	CosteaPI_2017__SID713A004-11-0-0__bin.50	LiuW_2016__SRR3993041__bin.8	CM_madagascar__A34_02_1FE__bin.7	LiuW_2016__SRR3993055__bin.42	ZeeviD_2015__PNP_Main_228__bin.15	QinJ_2012__T2D-040__bin.3	CosteaPI_2017__SID713B051-11-90-0__bin.34	QinJ_2012__DLM010__bin.5	LeChatelierE_2013__MH0102__bin.17	BackhedF_2015__SID587_M__bin.13	LiuW_2016__SRR3992993__bin.63	LiuW_2016__SRR3993000__bin.39	CosteaPI_2017__SID713B051-11-0-0__bin.11	FengQ_2015__SID31300__bin.38
WenC_2017__RA009__bin.40	1.0	0.9598337991309471	0.957159333650443	0.9554826466839266	0.9547342398532825	0.9538821557442355	0.9547330477622185	0.9541609913016837	0.9561934858523761	0.9656287729139037	0.9559255118440361	0.9546283258213479	0.9532327491914341	0.954601505910238	0.9536336135742625	0.9578784682917106	0.9550712330781775	0.9528144517777534	0.9560360920608413	0.9543452268051562	0.9555118540037967	0.9548676210039896	0.954487359860055	0.9581450071397949	0.9626850004537395	0.9565559436552574	0.9561707047934827	0.9679493803119162	0.9558959390808791	0.9656003361268426	0.9545612242323316	0.9543317050024029	0.9548854550508321	0.9542484139729714	0.9558088286154006	0.9554599461484763
LiJ_2017__H2MX14928__bin.10	0.9598337991309471	1.0	0.9588913986626333	0.9578589608196808	0.9578475537353588	0.9572186620761597	0.9581722581782559	0.9575211574775074	0.9614485681563191	0.9593568847015906	0.9608364638940591	0.9573763406875861	0.955780280832604	0.9569107625376001	0.9569210838333984	0.9581892415465023	0.9592086474156374	0.956944377312689	0.9587484050559244	0.9581268534855517	0.9609913768090712	0.9580615322189631	0.9576183999554831	0.961044083641079	0.9592046733319743	0.958641323148555	0.9633080629008004	0.9595096577082672	0.9583226842782309	0.9599976227620534	0.9578960429986743	0.9571347219716825	0.9580331129293951	0.9578551224601801	0.9582735438745545	0.9576444189283051
LiuW_2016__SRR3993051__bin.63	0.957159333650443	0.9588913986626333	1.0	0.9657870216793178	0.9676634482633338	0.9639029804210864	0.966422763074202	0.9653459483343735	0.964051796348782	0.9558318546267087	0.9636303291418266	0.9652485402558931	0.9634834392666054	0.9654306463781288	0.9651753291785278	0.9558126198424425	0.9586629635941638	0.9588755088156882	0.9655210046307664	0.9662802352039562	0.9596925716832072	0.9658814831322862	0.963056737978449	0.9697091180818047	0.9563987756821546	0.9673026355689823	0.9589481938045191	0.9566282486510397	0.9646954733017328	0.955999546273715	0.9654417632528975	0.965687446948546	0.9645522816617148	0.962900864182886	0.9645162287076574	0.96494124049771
FengQ_2015__SID31275__bin.9	0.9554826466839266	0.9578589608196808	0.9657870216793178	1.0	0.9746283060974129	0.9642266609751191	0.9682802070477158	0.9660943283918527	0.9628829281170544	0.9544471078133961	0.9623107870476152	0.9687245554909687	0.964336783448657	0.9658921831006668	0.9655283176443469	0.9539741012941629	0.9584902170897678	0.9589011892281556	0.9670132792122083	0.9684075610123958	0.9612596247607059	0.9658415807186053	0.9647504442860284	0.9697853981091494	0.9541435492264055	0.9734468026153429	0.9594503758987567	0.9537635709953971	0.9650745061385422	0.9551040138837013	0.9662761966961099	0.9675152268225723	0.9638391168918067	0.9640503579881607	0.9651832994574632	0.9660291759552583
ZeeviD_2015__PNP_Main_456__bin.28	0.9547342398532825	0.9578475537353588	0.9676634482633338	0.9746283060974129	1.0	0.9651484070016862	0.9682260712956006	0.9660555285107155	0.9631031674524475	0.9547711518919774	0.9629690505541362	0.9667619281508895	0.9659654905750504	0.966430195784299	0.9661908266831951	0.9533384770854086	0.9587429347691802	0.9582260491100074	0.9671081709015708	0.9681167058576539	0.9605795270318885	0.9672085908748903	0.964010752171492	0.9749230009933341	0.9541744124634237	0.9747707946856536	0.9588738360369929	0.953669111986596	0.9669831745236099	0.954126208340392	0.9660665971842813	0.96588162086818	0.9644386574743268	0.9634895542350213	0.9667863078377315	0.9665063356433952
FengQ_2015__SID31071__bin.55	0.9538821557442355	0.9572186620761597	0.9639029804210864	0.9642266609751191	0.9651484070016862	1.0	0.9643610137580516	0.9650751000886691	0.9602014734861706	0.9545063968778706	0.9602533965096954	0.9657859107837328	0.9619533760034896	0.9697378311626551	0.9642680858457796	0.9520974437831853	0.9568307217631534	0.9565656273096971	0.9656670960389335	0.9639509504903984	0.958375727067018	0.969450731937571	0.962284891246437	0.9647559622617918	0.9539303222446137	0.9656359946824308	0.9564844587352626	0.9527664922395395	0.9633249308980413	0.952886014060826	0.9648282991729593	0.9648957784927367	0.9669993418382347	0.9613081647540911	0.9633249661239087	0.9647600492917202
NielsenHB_2014__MH0006__bin.64	0.9547330477622185	0.9581722581782559	0.966422763074202	0.9682802070477158	0.9682260712956006	0.9643610137580516	1.0	0.966841361409882	0.9613632146240777	0.9545124061139947	0.9608990642983343	0.9667849828039458	0.9645886413838688	0.9664038666251658	0.966063419888495	0.9538398637209337	0.9584436924385101	0.9585876655766311	0.9674819950741791	0.9998945205916003	0.9600404375835436	0.9669084592163004	0.9637560373451998	0.9668482922448545	0.9545264804894429	0.9688798366416344	0.9589128866311339	0.9537682257868267	0.9652699556353972	0.9548346632854479	0.9668922205675797	0.9668816310590167	0.9639881440254626	0.9625686024438956	0.9650572044998724	0.9654078254423492
NielsenHB_2014__MH0102__bin.35	0.9541609913016837	0.9575211574775074	0.9653459483343735	0.9660943283918527	0.9660555285107155	0.9650751000886691	0.966841361409882	1.0	0.9621000982045118	0.9543486702413312	0.9612103908351878	0.9669528235120429	0.965524710197721	0.9679231739722439	0.9680626276864097	0.9526291277181529	0.9576712035915342	0.9570820825143276	0.9688530479120998	0.9667627114119982	0.9596568534082122	0.9691833202880963	0.963309643835938	0.9653802454955979	0.9536960119548645	0.9664765912395553	0.9582691454038601	0.9521054346471935	0.9655309022380566	0.9532850587181689	0.9994437326315501	0.9674281672719531	0.9652393859905801	0.9622187599447478	0.9654513556087112	0.9657165775603407
LiuW_2016__SRR3993008__bin.46	0.9561934858523761	0.9614485681563191	0.964051796348782	0.9628829281170544	0.9631031674524475	0.9602014734861706	0.9613632146240777	0.9621000982045118	1.0	0.9556214955802267	0.9987611358732602	0.961724625213729	0.9594034595171526	0.9617392671312597	0.9609254068306696	0.9544869046932063	0.9589354056142712	0.9583958946299137	0.9624370751188678	0.9614280797712375	0.9605603147381384	0.9624288152833387	0.9606898817691926	0.9656747713526297	0.9557310276591661	0.9646928434805825	0.9625668957670054	0.9556826363188541	0.9617064387374956	0.9551852390131195	0.9625065874389392	0.9611736001853688	0.962664978998277	0.9615868140965684	0.9613792453301022	0.9609766411680752
LiJ_2014__MH0368__bin.53	0.9656287729139037	0.9593568847015906	0.9558318546267087	0.9544471078133961	0.9547711518919774	0.9545063968778706	0.9545124061139947	0.9543486702413312	0.9556214955802267	1.0	0.9551522769269138	0.9538760105099334	0.9527537519853918	0.9534088321334104	0.9526035177528951	0.9573023389226276	0.9542217888432776	0.9526884780953793	0.9558993533660326	0.954365910279459	0.9546185170937912	0.9548225840360671	0.9539066643696529	0.957306123010658	0.9635153852331235	0.9554135825907547	0.9550749878570977	0.9648911780955406	0.9555499658863648	0.9648690242660048	0.9542549579976168	0.9538227764534195	0.9542321251700532	0.9529409105833356	0.95556186027951	0.9538998462981566
