	WenC_2017__RA009__bin.40	LiJ_2017__H2MX14928__bin.10	LiuW_2016__SRR3993051__bin.63	FengQ_2015__SID31275__bin.9	ZeeviD_2015__PNP_Main_456__bin.28	FengQ_2015__SID31071__bin.55	NielsenHB_2014__MH0006__bin.64	NielsenHB_2014__MH0102__bin.35	LiuW_2016__SRR3993008__bin.46	LiJ_2014__MH0368__bin.53	LiuW_2016__SRR3993056__bin.53	LiJ_2014__MH0397__bin.67	VogtmannE_2016__MMRS20257302ST-27-0-0__bin.48	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.52	FengQ_2015__SID530451__bin.74	CM_madagascar__A41_01_1FE__bin.16	XieH_2016__YSZC12003_37543__bin.35	ZeeviD_2015__PNP_Main_172__bin.22	SchirmerM_2016__G88798__bin.3	LeChatelierE_2013__MH0006__bin.72	LiuW_2016__SRR3993014__bin.71	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.15	CosteaPI_2017__SID713A004-11-0-0__bin.50	LiuW_2016__SRR3993041__bin.8	CM_madagascar__A34_02_1FE__bin.7	LiuW_2016__SRR3993055__bin.42	ZeeviD_2015__PNP_Main_228__bin.15	QinJ_2012__T2D-040__bin.3	CosteaPI_2017__SID713B051-11-90-0__bin.34	QinJ_2012__DLM010__bin.5	LeChatelierE_2013__MH0102__bin.17	BackhedF_2015__SID587_M__bin.13	LiuW_2016__SRR3992993__bin.63	LiuW_2016__SRR3993000__bin.39	CosteaPI_2017__SID713B051-11-0-0__bin.11	FengQ_2015__SID31300__bin.38
WenC_2017__RA009__bin.40	0.0	67562.0	73583.0	80747.0	87670.0	57999.0	85608.0	66432.0	82480.0	57820.0	73167.0	88545.0	83376.0	88873.0	91903.0	84951.0	89204.0	70321.0	75503.0	81598.0	88023.0	60398.0	80550.0	64924.0	55100.0	75821.0	83014.0	56453.0	82684.0	68364.0	72035.0	90084.0	58106.0	87290.0	81777.0	78160.0
LiJ_2017__H2MX14928__bin.10	67562.0	0.0	66100.0	67637.0	71461.0	52413.0	69042.0	53135.0	66110.0	58915.0	61904.0	71207.0	69723.0	76065.0	72557.0	72022.0	71101.0	56119.0	64078.0	64979.0	67222.0	48784.0	65500.0	55307.0	54632.0	66354.0	62246.0	55874.0	68653.0	67309.0	58023.0	72714.0	52921.0	69880.0	67579.0	66103.0
LiuW_2016__SRR3993051__bin.63	73583.0	66100.0	0.0	56106.0	56962.0	43647.0	56801.0	45645.0	62657.0	64518.0	58078.0	59314.0	59124.0	61767.0	60360.0	77130.0	74464.0	54344.0	55604.0	54031.0	72725.0	41948.0	59823.0	44428.0	58476.0	54452.0	71359.0	61772.0	60173.0	76029.0	50017.0	60110.0	44752.0	62862.0	59715.0	56431.0
FengQ_2015__SID31275__bin.9	80747.0	67637.0	56106.0	0.0	48478.0	43746.0	58161.0	48133.0	65940.0	68699.0	59712.0	58270.0	61952.0	63659.0	63854.0	83423.0	76312.0	56100.0	54481.0	54671.0	71274.0	44244.0	59485.0	44771.0	62567.0	45233.0	71968.0	70295.0	63299.0	78851.0	51947.0	61175.0	45612.0	64355.0	62146.0	56459.0
ZeeviD_2015__PNP_Main_456__bin.28	87670.0	71461.0	56962.0	48478.0	0.0	44665.0	61360.0	50135.0	70723.0	71259.0	62182.0	66724.0	61703.0	67181.0	66329.0	90594.0	81818.0	61197.0	57973.0	58317.0	77251.0	45630.0	63663.0	40140.0	67765.0	47056.0	77750.0	73665.0	63365.0	86924.0	54470.0	68537.0	46129.0	69010.0	63212.0	59997.0
FengQ_2015__SID31071__bin.55	57999.0	52413.0	43647.0	43746.0	44665.0	0.0	43594.0	32495.0	50854.0	50615.0	47546.0	43592.0	45355.0	39454.0	46475.0	61213.0	55910.0	40490.0	40007.0	40978.0	53879.0	24982.0	43677.0	37771.0	45287.0	41540.0	55622.0	46829.0	45816.0	59013.0	35995.0	45008.0	32441.0	48212.0	44577.0	42724.0
NielsenHB_2014__MH0006__bin.64	85608.0	69042.0	56801.0	58161.0	61360.0	43594.0	0.0	49363.0	71000.0	71197.0	63693.0	65663.0	62682.0	66813.0	66604.0	88175.0	79563.0	61230.0	55717.0	235.0	77157.0	44461.0	62862.0	50980.0	64055.0	53615.0	75284.0	72953.0	64842.0	83174.0	53224.0	66145.0	45914.0	69588.0	63958.0	59077.0
NielsenHB_2014__MH0102__bin.35	66432.0	53135.0	45645.0	48133.0	50135.0	32495.0	49363.0	0.0	53837.0	55255.0	48040.0	49917.0	49024.0	48129.0	48352.0	68961.0	62370.0	49695.0	41532.0	47318.0	59941.0	34332.0	50016.0	41897.0	50445.0	45027.0	58756.0	59973.0	50116.0	66403.0	933.0	49875.0	33381.0	54731.0	49743.0	45304.0
LiuW_2016__SRR3993008__bin.46	82480.0	66110.0	62657.0	65940.0	70723.0	50854.0	71000.0	53837.0	0.0	70457.0	2183.0	71723.0	69986.0	73503.0	74215.0	88334.0	80184.0	61680.0	64560.0	66797.0	75707.0	49237.0	67119.0	52483.0	62505.0	61229.0	70863.0	70173.0	70267.0	84489.0	58126.0	73393.0	48256.0	72569.0	69645.0	67180.0
LiJ_2014__MH0368__bin.53	57820.0	58915.0	64518.0	68699.0	71259.0	50615.0	71197.0	55255.0	70457.0	0.0	63297.0	73202.0	69963.0	74473.0	76958.0	70856.0	74505.0	56183.0	62983.0	66580.0	74677.0	46416.0	67959.0	55845.0	44069.0	64701.0	72329.0	48423.0	68212.0	58347.0	60233.0	74423.0	50228.0	74960.0	67038.0	66495.0
