	YuJ_2015__SZAXPI017466-84__bin.1	ChengpingW_2017__AS38raw__bin.40	LiuW_2016__SRR3993022__bin.81	HeQ_2017__SZAXPI029467-166__bin.15	HeQ_2017__SZAXPI029567-80__bin.66	XieH_2016__YSZC12003_35506__bin.88	QinJ_2012__CON-108__bin.6	CosteaPI_2017__SID713B026-11-0-0__bin.6	YuJ_2015__SZAXPI017455-21__bin.42	CosteaPI_2017__SID713B058-11-90-0__bin.1	QinJ_2012__T2D-098__bin.29	QinJ_2012__T2D-039__bin.54	QinJ_2012__DLM018__bin.21	XieH_2016__YSZC12003_37254__bin.61	QinJ_2012__T2D-102__bin.23	ZellerG_2014__CCIS90164298ST-4-0__bin.20	HeQ_2017__RSZAXPI003104-142__bin.39	ZeeviD_2015__PNP_Main_110__bin.52	BritoIL_2016__M1.52.ST__bin.92	ZeeviD_2015__PNP_Main_412__bin.35	QinJ_2012__DLF014__bin.16	QinJ_2012__T2D-071__bin.20	QinJ_2012__T2D-103__bin.23	YuJ_2015__SZAXPI015249-37__bin.39	ZeeviD_2015__PNP_Main_667__bin.9	KarlssonFH_2013__S80__bin.16
YuJ_2015__SZAXPI017466-84__bin.1	1.0	0.9359673408729244	0.9255200907794815	0.9523712110869141	0.9300232544086017	0.9292260243466273	0.5402260982056728	0.9318348153635767	0.9410868918099272	0.7910984182973475	0.9007920823103109	0.7217214976823927	0.9237792554560572	0.46795748404756526	0.9046264858537546	0.9154712319017362	0.9140141943656739	0.8999303934448979	0.7612083339861279	0.8091871700123322	0.9377860639171705	0.9473385004823219	0.9524813282094553	0.8843036099168079	0.8231116144468293	0.47692934375118895
ChengpingW_2017__AS38raw__bin.40	0.9310416225102458	1.0	0.89881619233023	0.9326971543376003	0.9278939747190761	0.9143705327802425	0.5296873636345825	0.913857130898333	0.9280636244302709	0.7840577361158855	0.8989983097367357	0.7154680461874678	0.902599247307423	0.4719748473152599	0.8732476208965697	0.8857611795152205	0.9054396554641456	0.8654321570359657	0.759421124906715	0.8163891417060438	0.9139590988349829	0.9262811892756446	0.9274740805519983	0.8855510097942653	0.8183719505353094	0.47043197002053605
LiuW_2016__SRR3993022__bin.81	0.9496892929272515	0.9271674511088217	1.0	0.9396379914667514	0.9348509575216192	0.91541712464707	0.5461499560660337	0.934639210961582	0.936373603609521	0.8096889897759941	0.9040393067757522	0.7187422346197817	0.9000505711415621	0.47426406587384956	0.902556621535406	0.9201825705481205	0.9080321762907239	0.9064250153068419	0.763787296216902	0.8085416081990472	0.9357516842119284	0.9439000225526162	0.9483953882426	0.8919169310436533	0.8242645940919494	0.4745433324866533
HeQ_2017__SZAXPI029467-166__bin.15	0.9189268217256492	0.904704851355618	0.8835671196406845	1.0	0.900748113304116	0.8958420345433901	0.5192686362103079	0.9086425853164893	0.9198023056281046	0.7667131259094428	0.8800902348776029	0.6980928099318833	0.8965421625186639	0.45484088177252885	0.8724825518692898	0.8703808722100159	0.8764595897448745	0.8622488490647612	0.7414908104424023	0.790190952238833	0.9057125000701856	0.9158256996636708	0.9206847001089712	0.8636456497261036	0.8011740208898147	0.45818041878968996
HeQ_2017__SZAXPI029567-80__bin.66	0.8994797917088773	0.902168284957772	0.881138726251643	0.9028722286007193	1.0	0.8881556503382914	0.5160976239088008	0.8903553659900842	0.9047862106705041	0.7635563267476072	0.8795135082715543	0.7052753346113417	0.8675126978272126	0.4654582733725741	0.8571964167277097	0.8622971940962247	0.8837267798171652	0.8396896067440053	0.7409903006436798	0.7830130519636824	0.8921338410732499	0.9148470632648786	0.9015587199828213	0.8546555524961859	0.7934622424717859	0.4580417552007841
XieH_2016__YSZC12003_35506__bin.88	0.9383177713722897	0.9282017810109572	0.9008488301295597	0.9375303694415729	0.9272995684657731	1.0	0.5320097869268678	0.9251932004995619	0.921469087694065	0.7804165636459873	0.9045241258233931	0.727100593534716	0.9211314360050608	0.4662911063810745	0.8832782860131291	0.8910090180573592	0.9051714045632246	0.8705627844557275	0.7482646194819149	0.7962382799381107	0.9206319646310985	0.9270577429589227	0.9254350260064123	0.8774044122532759	0.7990534000440259	0.46753639473878095
QinJ_2012__CON-108__bin.6	0.9515773455179102	0.9379501210310107	0.9375290750392267	0.9479511460493428	0.9399457528759649	0.9280247896741229	1.0	0.9352432841587359	0.9440639611439205	0.8322683655688458	0.9189226268854424	0.7693503749201668	0.9258620009934793	0.5201250522365112	0.918285538568286	0.9209844906841603	0.9238064449998817	0.8976211689939839	0.7675763047300653	0.8071380699693284	0.9407121511980887	0.9549362517445024	0.94912439780173	0.9208591230573931	0.8229982574688355	0.5245578622848447
CosteaPI_2017__SID713B026-11-0-0__bin.6	0.9001734009063549	0.8874770816757187	0.8799045213962016	0.9097156398104266	0.8893096827757982	0.8850974677413775	0.5129125298370637	1.0	0.8920793406441347	0.7695973293665894	0.8683087141522815	0.6917009720828865	0.8814997232504238	0.4485154979762687	0.8530109489051094	0.8692505275538797	0.8680669906942955	0.8679895872971944	0.722112723561767	0.7716937074065104	0.904718580274674	0.9006555505586882	0.9068906320268447	0.8565451274777736	0.7827407721313177	0.4550074376448611
YuJ_2015__SZAXPI017455-21__bin.42	0.8955517483154951	0.8878310119297624	0.8683892392742465	0.9071535125197331	0.8902445673704003	0.8683866834442706	0.5100277989107054	0.8787740024382619	1.0	0.7510170073446034	0.856089307514907	0.6895620755724846	0.8710941593321445	0.4506277544392637	0.8463907846994387	0.8531130435078936	0.8586476933208496	0.8343102283463695	0.7262885003838004	0.7729477324250481	0.8850570844625132	0.9092199010553021	0.8933107113982349	0.8556134971677144	0.789825155671344	0.461061504344485
CosteaPI_2017__SID713B058-11-90-0__bin.1	0.9459554069214761	0.9424965957847681	0.9435451583067134	0.9501635736124077	0.9440252811153838	0.9241405962300993	0.5649825079003485	0.9526128957667834	0.9436891416239177	1.0	0.9167995880685468	0.7079033459796004	0.918642467477969	0.5014954995846429	0.9088665890191577	0.9131138292497024	0.921871119408737	0.9048762706929183	0.7974545462330966	0.8356020964827391	0.9427347838002175	0.9420475177062012	0.943517860354381	0.9051572790257522	0.8405917339659321	0.48337394126765265
