	YuJ_2015__SZAXPI017466-84__bin.1	ChengpingW_2017__AS38raw__bin.40	LiuW_2016__SRR3993022__bin.81	HeQ_2017__SZAXPI029467-166__bin.15	HeQ_2017__SZAXPI029567-80__bin.66	XieH_2016__YSZC12003_35506__bin.88	QinJ_2012__CON-108__bin.6	CosteaPI_2017__SID713B026-11-0-0__bin.6	YuJ_2015__SZAXPI017455-21__bin.42	CosteaPI_2017__SID713B058-11-90-0__bin.1	QinJ_2012__T2D-098__bin.29	QinJ_2012__T2D-039__bin.54	QinJ_2012__DLM018__bin.21	XieH_2016__YSZC12003_37254__bin.61	QinJ_2012__T2D-102__bin.23	ZellerG_2014__CCIS90164298ST-4-0__bin.20	HeQ_2017__RSZAXPI003104-142__bin.39	ZeeviD_2015__PNP_Main_110__bin.52	BritoIL_2016__M1.52.ST__bin.92	ZeeviD_2015__PNP_Main_412__bin.35	QinJ_2012__DLF014__bin.16	QinJ_2012__T2D-071__bin.20	QinJ_2012__T2D-103__bin.23	YuJ_2015__SZAXPI015249-37__bin.39	ZeeviD_2015__PNP_Main_667__bin.9	KarlssonFH_2013__S80__bin.16
YuJ_2015__SZAXPI017466-84__bin.1	1.0	0.989653057225537	0.9911954376969113	0.9910083763141703	0.9904759453022355	0.989461798124487	0.9903830372500361	0.9909558890733773	0.9918542771414014	0.990833969201374	0.9917045676868936	0.9914647382386491	0.991943170560897	0.9420679699052985	0.9893555722548729	0.9901610819033528	0.9888628503877445	0.9915827249066214	0.9356649466781553	0.9506383386000146	0.9908848057392805	0.9909888817297751	0.9893892494777158	0.9901919162503527	0.9527061019086566	0.9905754051264887
ChengpingW_2017__AS38raw__bin.40	0.989653057225537	1.0	0.9870974840460647	0.9912734638054607	0.9876666556076383	0.9911929230604375	0.9877959362967306	0.9886826374132458	0.9895173071253351	0.9883525455618041	0.9900377092027127	0.9902045731301489	0.9909778266217424	0.9441086012186551	0.9862423937641438	0.9868716168851754	0.9865101011718155	0.9878917136361303	0.937437511439632	0.9526900001974541	0.9885205660349189	0.9879498617746135	0.9862918023083752	0.9894255257013704	0.9544057653720406	0.9898930463746797
LiuW_2016__SRR3993022__bin.81	0.9911954376969113	0.9870974840460647	1.0	0.9884634210334312	0.9888583609663667	0.9880755663634989	0.9916277409578518	0.9926644092866422	0.9895617325659964	0.9931636856151753	0.9899053605548104	0.9894072203896307	0.9879675888742171	0.9392470995759205	0.9908353288868921	0.9920221602807471	0.9871987575778761	0.9937992233543618	0.93276114103394	0.947536449692803	0.9901854093932918	0.9893668033970766	0.990359161985744	0.9889861951824471	0.9507046320131427	0.9874299313291185
HeQ_2017__SZAXPI029467-166__bin.15	0.9910083763141703	0.9912734638054607	0.9884634210334312	1.0	0.9896249237196527	0.9889359855817369	0.9881675480457057	0.9895125699118891	0.9898901160196341	0.9886573880692608	0.9925884610888118	0.9926242002385313	0.991257665122778	0.9438573345319518	0.9865572755296995	0.9875787233813159	0.9873932447371699	0.9890049842684183	0.9365390920393193	0.9531883101286828	0.9898227513264976	0.9898429669852079	0.9876166441420676	0.9908098455110602	0.9552582303721434	0.991439100320473
HeQ_2017__SZAXPI029567-80__bin.66	0.9904759453022355	0.9876666556076383	0.9888583609663667	0.9896249237196527	1.0	0.9884622445188916	0.987856730299919	0.9893354230497063	0.989440020452415	0.9888178170382942	0.9914352182848085	0.9913448495982776	0.9895832510252297	0.9453648250944586	0.9880140318661085	0.9885641992581942	0.9881692009042896	0.9894810197681733	0.9370384807421098	0.952045016686494	0.9905387158937363	0.9916767172402142	0.9877567979843208	0.9898603199148792	0.9537978115629329	0.9886474283140557
XieH_2016__YSZC12003_35506__bin.88	0.989461798124487	0.9911929230604375	0.9880755663634989	0.9889359855817369	0.9884622445188916	1.0	0.9885629382758149	0.9886797757015124	0.9889448435546677	0.9889145999198121	0.9923999684592492	0.9923534288964508	0.9920677613941346	0.94189627576283	0.9870319251837952	0.9869971855358272	0.9863995740230928	0.9882892156309363	0.935221498713616	0.9506727110823282	0.9893744559472735	0.9877266547585279	0.9867699749280181	0.9878191518595946	0.9525779428833775	0.9885655630772053
QinJ_2012__CON-108__bin.6	0.9903830372500361	0.9877959362967306	0.9916277409578518	0.9881675480457057	0.987856730299919	0.9885629382758149	1.0	0.9916290042920894	0.9892607446258281	0.9919062466522702	0.9900732886086209	0.9886508366727629	0.9894669696808829	0.9389629060267031	0.9888719072121182	0.9895106820428671	0.9848171680399832	0.9908006642320774	0.9334203955770846	0.948237643682686	0.9899821598971082	0.9883006624483661	0.9877562943773812	0.9882056493408143	0.9518539459045395	0.9874007450613711
CosteaPI_2017__SID713B026-11-0-0__bin.6	0.9909558890733773	0.9886826374132458	0.9926644092866422	0.9895125699118891	0.9893354230497063	0.9886797757015124	0.9916290042920894	1.0	0.9894203772962323	0.9938822635903937	0.9906833094873946	0.9894541115603944	0.9889319354049995	0.9406960587987753	0.9900410643609328	0.9918356612907125	0.9875183856987549	0.9908290664148556	0.9343451920021127	0.9483258317701386	0.9895422988024085	0.9891182836958514	0.9897576243238371	0.9894027456159454	0.9522245146384394	0.9876662799472861
YuJ_2015__SZAXPI017455-21__bin.42	0.9918542771414014	0.9895173071253351	0.9895617325659964	0.9898901160196341	0.989440020452415	0.9889448435546677	0.9892607446258281	0.9894203772962323	1.0	0.9893154683579961	0.991028765349426	0.990293424034894	0.9905736144521119	0.9440401931125568	0.9872190884930558	0.9885192837533551	0.9877577641638596	0.9899664182574694	0.9365502755244632	0.9519111120437305	0.990408788392732	0.9896952962532776	0.9870481038825095	0.9893285760303249	0.9550749720561041	0.9916090642993582
CosteaPI_2017__SID713B058-11-90-0__bin.1	0.990833969201374	0.9883525455618041	0.9931636856151753	0.9886573880692608	0.9888178170382942	0.9889145999198121	0.9919062466522702	0.9938822635903937	0.9893154683579961	1.0	0.9905933505137945	0.9897941390203361	0.9887424639146453	0.9392998535304573	0.9897366430056108	0.9914480490044518	0.9871000576565754	0.9926567515784813	0.9338819300927763	0.9479762327658708	0.9904669625027485	0.9889623992214173	0.9889699776930984	0.9894315455172563	0.9506443444841339	0.9878384409401963
