	YuJ_2015__SZAXPI017466-84__bin.1	ChengpingW_2017__AS38raw__bin.40	LiuW_2016__SRR3993022__bin.81	HeQ_2017__SZAXPI029467-166__bin.15	HeQ_2017__SZAXPI029567-80__bin.66	XieH_2016__YSZC12003_35506__bin.88	QinJ_2012__CON-108__bin.6	CosteaPI_2017__SID713B026-11-0-0__bin.6	YuJ_2015__SZAXPI017455-21__bin.42	CosteaPI_2017__SID713B058-11-90-0__bin.1	QinJ_2012__T2D-098__bin.29	QinJ_2012__T2D-039__bin.54	QinJ_2012__DLM018__bin.21	XieH_2016__YSZC12003_37254__bin.61	QinJ_2012__T2D-102__bin.23	ZellerG_2014__CCIS90164298ST-4-0__bin.20	HeQ_2017__RSZAXPI003104-142__bin.39	ZeeviD_2015__PNP_Main_110__bin.52	BritoIL_2016__M1.52.ST__bin.92	ZeeviD_2015__PNP_Main_412__bin.35	QinJ_2012__DLF014__bin.16	QinJ_2012__T2D-071__bin.20	QinJ_2012__T2D-103__bin.23	YuJ_2015__SZAXPI015249-37__bin.39	ZeeviD_2015__PNP_Main_667__bin.9	KarlssonFH_2013__S80__bin.16
YuJ_2015__SZAXPI017466-84__bin.1	0.0	21861.0	18366.0	19304.0	19978.0	22109.0	11719.0	18999.0	17266.0	16349.0	16833.0	13880.0	16762.0	64287.0	21743.0	20322.0	22997.0	17066.0	116926.0	93865.0	19272.0	19244.0	22820.0	19568.0	91282.0	10137.0
ChengpingW_2017__AS38raw__bin.40	21861.0	0.0	26385.0	18440.0	26022.0	18246.0	14697.0	23493.0	22080.0	20751.0	20316.0	15895.0	18455.0	62750.0	27357.0	26463.0	27806.0	23822.0	113822.0	91048.0	23836.0	25373.0	28950.0	21255.0	87801.0	10787.0
LiuW_2016__SRR3993022__bin.81	18366.0	26385.0	0.0	23876.0	22932.0	24052.0	10039.0	15037.0	21504.0	12134.0	20071.0	16753.0	23865.0	66787.0	18175.0	16111.0	25635.0	12313.0	119869.0	97465.0	20193.0	22086.0	20100.0	21625.0	93049.0	13152.0
HeQ_2017__SZAXPI029467-166__bin.15	19304.0	18440.0	23876.0	0.0	21864.0	23205.0	14396.0	22297.0	21750.0	20366.0	15215.0	12010.0	18307.0	62640.0	27525.0	25346.0	25909.0	22194.0	116330.0	89849.0	21561.0	21758.0	26728.0	18547.0	86881.0	9160.0
HeQ_2017__SZAXPI029567-80__bin.66	19978.0	26022.0	22932.0	21864.0	0.0	23946.0	14654.0	22169.0	22305.0	19945.0	17550.0	14223.0	21093.0	62135.0	24020.0	23041.0	24439.0	20619.0	115004.0	91102.0	19683.0	17736.0	25812.0	20222.0	88780.0	12149.0
XieH_2016__YSZC12003_35506__bin.88	22109.0	18246.0	24052.0	23205.0	23946.0	0.0	13617.0	23436.0	22789.0	19354.0	15325.0	12395.0	16294.0	63637.0	25674.0	25969.0	27611.0	22822.0	114663.0	91401.0	21874.0	25485.0	27450.0	23936.0	88005.0	11964.0
QinJ_2012__CON-108__bin.6	11719.0	14697.0	10039.0	14396.0	14654.0	13617.0	0.0	10013.0	12998.0	8613.0	11685.0	11201.0	12500.0	42881.0	13106.0	12382.0	18063.0	10570.0	69438.0	55880.0	12073.0	14337.0	14921.0	13939.0	52796.0	8489.0
CosteaPI_2017__SID713B026-11-0-0__bin.6	18999.0	23493.0	15037.0	22297.0	22169.0	23436.0	10013.0	0.0	22059.0	10955.0	18884.0	17049.0	22815.0	65389.0	19843.0	16547.0	25373.0	18579.0	117343.0	97242.0	22111.0	22914.0	21703.0	21216.0	90819.0	13140.0
YuJ_2015__SZAXPI017455-21__bin.42	17266.0	22080.0	21504.0	21750.0	22305.0	22789.0	12998.0	22059.0	0.0	19041.0	18193.0	15867.0	19460.0	62708.0	25724.0	23260.0	24983.0	19851.0	115512.0	91668.0	20121.0	22224.0	27518.0	21666.0	87217.0	9159.0
CosteaPI_2017__SID713B058-11-90-0__bin.1	16349.0	20751.0	12134.0	20366.0	19945.0	19354.0	8613.0	10955.0	19041.0	0.0	16265.0	13637.0	19541.0	60547.0	17608.0	14715.0	22508.0	12506.0	105481.0	85673.0	16952.0	19643.0	19660.0	18063.0	81535.0	11118.0
