	BritoIL_2016__W1.9.ST__bin.22	BritoIL_2016__M2.51.ST__bin.46	BritoIL_2016__M2.3.ST__bin.28	BritoIL_2016__W1.2.ST__bin.104	BritoIL_2016__W1.13.ST__bin.14	BritoIL_2016__WL.12.ST__bin.35	BritoIL_2016__M2.39.ST__bin.56	BritoIL_2016__WL.20.ST__bin.58	QinJ_2012__CON-110__bin.49	BritoIL_2016__WL.14.ST__bin.31	BritoIL_2016__W1.11.ST__bin.50	BritoIL_2016__W1.27.ST__bin.36	BritoIL_2016__W1.26.ST__bin.16	BritoIL_2016__M1.61.ST__bin.86	BritoIL_2016__W2.4.ST__bin.57	BritoIL_2016__M1.27.ST__bin.15	BritoIL_2016__W2.15.ST__bin.36	BritoIL_2016__W3.17.ST__bin.58	BritoIL_2016__W2.17.ST__bin.4	BritoIL_2016__W1.40.ST__bin.48	BritoIL_2016__W1.41.ST__bin.53	BritoIL_2016__W2.61.ST__bin.99	BritoIL_2016__W1.37.ST__bin.8	BritoIL_2016__M1.48.ST__bin.84	BritoIL_2016__W1.36.ST__bin.47	BritoIL_2016__M1.26.ST__bin.18	BritoIL_2016__M1.22.ST__bin.77	BritoIL_2016__W1.39.ST__bin.59	BritoIL_2016__W1.33.ST__bin.72	BritoIL_2016__M1.38.ST__bin.20	BritoIL_2016__W1.4.ST__bin.43	BritoIL_2016__W2.65.ST__bin.28	ZeeviD_2015__PNP_Main_706__bin.20
BritoIL_2016__W1.9.ST__bin.22	1.0	0.7734935115396828	0.9299236885204807	0.9418968405835854	0.8794339204839815	0.9544669268178552	0.8241415219680132	0.9444872110901282	0.6987550554005048	0.9399263833414109	0.9664949153533767	0.9650378319434464	0.7735775941307218	0.8309736241790197	0.961180477798018	0.9073258393636044	0.9538104559052092	0.715396096896569	0.6633604625900362	0.9742503593094574	0.9617163084713471	0.6345922046559821	0.824760912980263	0.9564326837909655	0.524970962782225	0.7534818548724034	0.9408836714741715	0.951231574945268	0.8412202107391747	0.7365018717515919	0.9626840416464729	0.959933339739626	0.9271912654377726
BritoIL_2016__M2.51.ST__bin.46	0.9312488053440107	1.0	0.926475840283297	0.903263045643404	0.8627528898099617	0.9157956157382723	0.8140738020744258	0.9242047363708614	0.6833054999446686	0.9214312481765777	0.9462744338588143	0.9413021498777678	0.7564517711089426	0.8167504602569391	0.9273353638293377	0.9045438426172775	0.9400106638766209	0.6958072604903371	0.6493055904870172	0.945682764760918	0.9235338427178801	0.5899223850866692	0.8062632669691452	0.9193827275379524	0.5315797879296988	0.752409432500679	0.9422679349302321	0.9157736089174153	0.8251545507590466	0.7369927113409321	0.9253094787778795	0.9288934467460086	0.8996991981972012
BritoIL_2016__M2.3.ST__bin.28	0.9400121632279855	0.7778774955998045	1.0	0.9192739650961813	0.8709647276946776	0.9220006609531874	0.8115465143166051	0.942714574862451	0.6794382320241322	0.9246138544657101	0.9384326329270829	0.9709280901937142	0.7593676388450423	0.8078283886784843	0.9387604699313812	0.9138622788947933	0.9735972430016566	0.7045512856384164	0.6426655840830647	0.9702982841613021	0.934122711344005	0.6381328811540707	0.8025919712136937	0.930910858954068	0.511579350808823	0.7329369021989891	0.9309515086309295	0.921730894915834	0.8227362617290155	0.7378834927469362	0.9378202481847544	0.9366820572326333	0.9134219953817744
BritoIL_2016__W1.2.ST__bin.104	0.9757455257633795	0.7772100673029063	0.9420892034019347	1.0	0.8825456079984418	0.950602155424268	0.8212896838278257	0.9544650392780627	0.696321062996386	0.9404012205414529	0.9739525849942652	0.9847367395961826	0.7699025081694042	0.8322177497890021	0.9584004198316345	0.9149678634032331	0.9592622649267458	0.716189486896492	0.6593142028609146	0.9707037590079854	0.9598092362959597	0.6240851349304248	0.8292204981713519	0.957121448202731	0.5238362656625333	0.7464168235625095	0.9670864983011968	0.9515245947759094	0.8456664286178017	0.7370739466337727	0.9685050531281785	0.9570570668051678	0.93572518340583
BritoIL_2016__W1.13.ST__bin.14	0.9542165588781456	0.7775370724324129	0.9348848911527657	0.9243738811970844	1.0	0.934706959343715	0.8244289040590552	0.9418633313707946	0.7037611044465386	0.9364075114423186	0.9461982942346128	0.9556859129573456	0.7738781371106254	0.8368880973252996	0.9532855335205962	0.9165652814240891	0.9435672834402719	0.7193732040362187	0.6610586035979625	0.9586756206788495	0.9445039754159439	0.6084627541690726	0.8159601432747726	0.9493523338816731	0.5209628037519812	0.7542586051846156	0.9338320335055796	0.9368364744342024	0.8376972903932123	0.7422119417176993	0.9526140392730635	0.949895762559634	0.9176504387945743
BritoIL_2016__WL.12.ST__bin.35	0.9567513972271141	0.7624787196394955	0.9142885711114788	0.9198219883447492	0.8635151491038691	1.0	0.8104001021876106	0.9323828978144835	0.6889303386221006	0.9277111650434612	0.9421776221696859	0.9506892428693778	0.7595408258350382	0.8211680169530922	0.9520137031910594	0.8971616762956154	0.9353522017451467	0.7105111893339587	0.6486274821852234	0.9543082129103995	0.942100143858378	0.6115242706045193	0.81537651318283	0.9449731234020098	0.5213902959462091	0.7569102277652952	0.9321284757922157	0.9401391049789238	0.8310355081006715	0.724747829036777	0.9500291067169508	0.9480021065724642	0.9127442399063559
BritoIL_2016__M2.39.ST__bin.56	0.9679970556211566	0.7941946663804076	0.9429735159257158	0.9311837323068901	0.8924455213237437	0.9495842598414329	1.0	0.9518673802695947	0.7223818798018679	0.9449830544863439	0.9601877041512674	0.9606925424404607	0.7896578693125182	0.8429615543866644	0.963736294069837	0.9256501403180543	0.9658200555138095	0.7377288411108897	0.6783744575135334	0.9729865509362204	0.9602459783158767	0.6027388857366315	0.832443374380837	0.9578076645861767	0.535894738456348	0.7832176540048152	0.9544388044595071	0.9550313607017437	0.8527270775506448	0.7580266527626555	0.959677958564002	0.961674002054931	0.9275928169424466
BritoIL_2016__WL.20.ST__bin.58	0.944394980393959	0.7675677595117628	0.9325060275064218	0.9212646040070581	0.8679640579413475	0.9300657816750227	0.8103297647849498	1.0	0.6797403198272977	0.9656684095999365	0.9418461167297051	0.9534003386996461	0.7585472573736104	0.8293357967300811	0.9429620605220653	0.9307232328844667	0.949676522516529	0.7033829755124229	0.6425042468006043	0.9681446873085806	0.9489449187481168	0.6330466623254347	0.8035035517509143	0.9403829091928807	0.5145513952952813	0.7387730675817022	0.9478613514251651	0.9324585072045477	0.822957632256572	0.7477063621328991	0.9512149270145606	0.9402246822536738	0.9142582315867969
QinJ_2012__CON-110__bin.49	0.9480009976235586	0.7699981719681951	0.9119009121736998	0.9119271281336929	0.8799649131259769	0.9324400540190484	0.8344079515132278	0.9222937689622873	1.0	0.9226919681383976	0.932303305903409	0.9450747296567693	0.7682084012940764	0.841179463125481	0.9436144298312117	0.8921935956535355	0.9270402747999439	0.7288348635423856	0.6729055927853678	0.9483673125240017	0.9399193965511133	0.5575447407241557	0.8216492814701344	0.9418055285916928	0.5421616405239225	0.7594855720109909	0.9213237784425452	0.9312334113199098	0.8546162054310966	0.7332745717941778	0.941887010629509	0.9408121562697949	0.9125194671216434
BritoIL_2016__WL.14.ST__bin.31	0.9436753903806516	0.7683917119386402	0.9183389900360586	0.9113994138981332	0.8664628401034619	0.9291874849581344	0.8077567000860434	0.9696147761849058	0.6828128694924488	1.0	0.9342599035118397	0.95183247281191	0.7556629510527864	0.829533388877907	0.9461790908762008	0.9202155856535602	0.9434258068338701	0.7066255517972375	0.6471932075523142	0.9689493948385494	0.9495694421650429	0.6252503045076572	0.8057280472656707	0.9423178865936408	0.5192370713363259	0.739395976356678	0.9367814314035876	0.9295283028266386	0.8278130451447349	0.7420249929608002	0.9553072420651046	0.943422136487594	0.9064496897770894
