	BritoIL_2016__W1.9.ST__bin.22	BritoIL_2016__M2.51.ST__bin.46	BritoIL_2016__M2.3.ST__bin.28	BritoIL_2016__W1.2.ST__bin.104	BritoIL_2016__W1.13.ST__bin.14	BritoIL_2016__WL.12.ST__bin.35	BritoIL_2016__M2.39.ST__bin.56	BritoIL_2016__WL.20.ST__bin.58	QinJ_2012__CON-110__bin.49	BritoIL_2016__WL.14.ST__bin.31	BritoIL_2016__W1.11.ST__bin.50	BritoIL_2016__W1.27.ST__bin.36	BritoIL_2016__W1.26.ST__bin.16	BritoIL_2016__M1.61.ST__bin.86	BritoIL_2016__W2.4.ST__bin.57	BritoIL_2016__M1.27.ST__bin.15	BritoIL_2016__W2.15.ST__bin.36	BritoIL_2016__W3.17.ST__bin.58	BritoIL_2016__W2.17.ST__bin.4	BritoIL_2016__W1.40.ST__bin.48	BritoIL_2016__W1.41.ST__bin.53	BritoIL_2016__W2.61.ST__bin.99	BritoIL_2016__W1.37.ST__bin.8	BritoIL_2016__M1.48.ST__bin.84	BritoIL_2016__W1.36.ST__bin.47	BritoIL_2016__M1.26.ST__bin.18	BritoIL_2016__M1.22.ST__bin.77	BritoIL_2016__W1.39.ST__bin.59	BritoIL_2016__W1.33.ST__bin.72	BritoIL_2016__M1.38.ST__bin.20	BritoIL_2016__W1.4.ST__bin.43	BritoIL_2016__W2.65.ST__bin.28	ZeeviD_2015__PNP_Main_706__bin.20
BritoIL_2016__W1.9.ST__bin.22	1914784.0	1481073.0	1780603.0	1803529.0	1683926.0	1827598.0	1578053.0	1808489.0	1337965.0	1799756.0	1850629.0	1847839.0	1481234.0	1591135.0	1840453.0	1737333.0	1826341.0	1369829.0	1270192.0	1865479.0	1841479.0	1215107.0	1579239.0	1831362.0	1005206.0	1442755.0	1801589.0	1821403.0	1610755.0	1410242.0	1843332.0	1838065.0	1775371.0
BritoIL_2016__M2.51.ST__bin.46	1481073.0	1590416.0	1473482.0	1436564.0	1372136.0	1456496.0	1294716.0	1469870.0	1086740.0	1465459.0	1504970.0	1497062.0	1203073.0	1298973.0	1474849.0	1438601.0	1495008.0	1106623.0	1032666.0	1504029.0	1468803.0	938222.0	1282294.0	1462201.0	845433.0	1196644.0	1498598.0	1456461.0	1312339.0	1172125.0	1471627.0	1477327.0	1430896.0
BritoIL_2016__M2.3.ST__bin.28	1780603.0	1473482.0	1894234.0	1741320.0	1649811.0	1746485.0	1537259.0	1785722.0	1287015.0	1751435.0	1777611.0	1839165.0	1438420.0	1530216.0	1778232.0	1731069.0	1844221.0	1334585.0	1217359.0	1837972.0	1769447.0	1208773.0	1520297.0	1763363.0	969051.0	1388354.0	1763440.0	1745974.0	1558455.0	1397724.0	1776451.0	1774295.0	1730235.0
BritoIL_2016__W1.2.ST__bin.104	1803529.0	1436564.0	1741320.0	1848360.0	1631262.0	1757055.0	1518039.0	1764195.0	1287052.0	1738200.0	1800215.0	1820148.0	1423057.0	1538238.0	1771469.0	1691190.0	1773062.0	1323776.0	1218650.0	1794210.0	1774073.0	1153534.0	1532698.0	1769105.0	968238.0	1379647.0	1787524.0	1758760.0	1563096.0	1362378.0	1790146.0	1768986.0	1729557.0
BritoIL_2016__W1.13.ST__bin.14	1683926.0	1372136.0	1649811.0	1631262.0	1764721.0	1649497.0	1454887.0	1662126.0	1241942.0	1652498.0	1669776.0	1686519.0	1365679.0	1476874.0	1682283.0	1617482.0	1665133.0	1269493.0	1166584.0	1691795.0	1666786.0	1073767.0	1439942.0	1675342.0	919354.0	1331056.0	1647953.0	1653255.0	1478302.0	1309797.0	1681098.0	1676301.0	1619397.0
BritoIL_2016__WL.12.ST__bin.35	1827598.0	1456496.0	1746485.0	1757055.0	1649497.0	1910212.0	1548036.0	1781049.0	1316003.0	1772125.0	1799759.0	1816018.0	1450884.0	1568605.0	1818548.0	1713769.0	1786721.0	1357227.0	1239016.0	1822931.0	1799611.0	1168141.0	1557542.0	1805099.0	995966.0	1445859.0	1780563.0	1795865.0	1587454.0	1384422.0	1814757.0	1810885.0	1743535.0
BritoIL_2016__M2.39.ST__bin.56	1578053.0	1294716.0	1537259.0	1518039.0	1454887.0	1548036.0	1630225.0	1551758.0	1177645.0	1540535.0	1565322.0	1566145.0	1287320.0	1374217.0	1571107.0	1509018.0	1574504.0	1202664.0	1105903.0	1586187.0	1565417.0	982600.0	1357070.0	1561442.0	873629.0	1276821.0	1555950.0	1556916.0	1390137.0	1235754.0	1564491.0	1567745.0	1512185.0
BritoIL_2016__WL.20.ST__bin.58	1808489.0	1469870.0	1785722.0	1764195.0	1662126.0	1781049.0	1551758.0	1914971.0	1301683.0	1849227.0	1803608.0	1825734.0	1452596.0	1588154.0	1805745.0	1782308.0	1818603.0	1346958.0	1230377.0	1853969.0	1817202.0	1212266.0	1538686.0	1800806.0	985351.0	1414729.0	1815127.0	1785631.0	1575940.0	1431836.0	1821549.0	1800503.0	1750778.0
QinJ_2012__CON-110__bin.49	1337965.0	1086740.0	1287015.0	1287052.0	1241942.0	1316003.0	1177645.0	1301683.0	1411354.0	1302245.0	1315810.0	1333835.0	1084214.0	1187202.0	1331774.0	1259201.0	1308382.0	1028644.0	949708.0	1338482.0	1326559.0	786893.0	1159638.0	1329221.0	765182.0	1071903.0	1300314.0	1314300.0	1206166.0	1034910.0	1329336.0	1327819.0	1287888.0
BritoIL_2016__WL.14.ST__bin.31	1799756.0	1465459.0	1751435.0	1738200.0	1652498.0	1772125.0	1540535.0	1849227.0	1302245.0	1907177.0	1781799.0	1815313.0	1441183.0	1582067.0	1804531.0	1755014.0	1799280.0	1347660.0	1234312.0	1847958.0	1810997.0	1192463.0	1536666.0	1797167.0	990277.0	1410159.0	1786608.0	1772775.0	1578786.0	1415173.0	1821940.0	1799273.0	1728760.0
BritoIL_2016__W1.11.ST__bin.50	1850629.0	1504970.0	1777611.0	1800215.0	1669776.0	1799759.0	1565322.0	1803608.0	1315810.0	1781799.0	1941265.0	1830647.0	1460158.0	1564503.0	1825732.0	1725719.0	1815527.0	1354958.0	1255328.0	1836658.0	1813203.0	1201998.0	1560574.0	1817767.0	988118.0	1416229.0	1847376.0	1798274.0	1594477.0	1399808.0	1829691.0	1819563.0	1774478.0
BritoIL_2016__W1.27.ST__bin.36	1847839.0	1497062.0	1839165.0	1820148.0	1686519.0	1816018.0	1566145.0	1825734.0	1333835.0	1815313.0	1830647.0	1949844.0	1468304.0	1581742.0	1841324.0	1751960.0	1885966.0	1369924.0	1254322.0	1911478.0	1830625.0	1228047.0	1574996.0	1824416.0	1001406.0	1428474.0	1798794.0	1834702.0	1608473.0	1421673.0	1842902.0	1834203.0	1774227.0
BritoIL_2016__W1.26.ST__bin.16	1481234.0	1203073.0	1438420.0	1423057.0	1365679.0	1450884.0	1287320.0	1452596.0	1084214.0	1441183.0	1460158.0	1468304.0	1538640.0	1299395.0	1467326.0	1403385.0	1459855.0	1123055.0	1044730.0	1475284.0	1477253.0	902476.0	1263760.0	1469473.0	822571.0	1175088.0	1446315.0	1451311.0	1302979.0	1164244.0	1459793.0	1464296.0	1426394.0
BritoIL_2016__M1.61.ST__bin.86	1591135.0	1298973.0	1530216.0	1538238.0	1476874.0	1568605.0	1374217.0	1588154.0	1187202.0	1582067.0	1564503.0	1581742.0	1299395.0	1678916.0	1585676.0	1526452.0	1550942.0	1197375.0	1106307.0	1589385.0	1607239.0	978067.0	1379807.0	1583284.0	904036.0	1263074.0	1574647.0	1560361.0	1407104.0	1251180.0	1608388.0	1581572.0	1533852.0
BritoIL_2016__W2.4.ST__bin.57	1840453.0	1474849.0	1778232.0	1771469.0	1682283.0	1818548.0	1571107.0	1805745.0	1331774.0	1804531.0	1825732.0	1841324.0	1467326.0	1585676.0	1915990.0	1736358.0	1810623.0	1366265.0	1253999.0	1852063.0	1821750.0	1191495.0	1575862.0	1833656.0	1005839.0	1435377.0	1806389.0	1809077.0	1605851.0	1405297.0	1839794.0	1899315.0	1780240.0
BritoIL_2016__M1.27.ST__bin.15	1737333.0	1438601.0	1731069.0	1691190.0	1617482.0	1713769.0	1509018.0	1782308.0	1259201.0	1755014.0	1725719.0	1751960.0	1403385.0	1526452.0	1736358.0	1841412.0	1753626.0	1308434.0	1197373.0	1772786.0	1744817.0	1152449.0	1483067.0	1728688.0	967036.0	1378442.0	1741757.0	1705393.0	1530607.0	1396368.0	1753535.0	1730670.0	1685576.0
BritoIL_2016__W2.15.ST__bin.36	1826341.0	1495008.0	1844221.0	1773062.0	1665133.0	1786721.0	1574504.0	1818603.0	1308382.0	1799280.0	1815527.0	1885966.0	1459855.0	1550942.0	1810623.0	1753626.0	1907239.0	1351918.0	1234050.0	1870905.0	1804979.0	1226168.0	1549755.0	1802495.0	987966.0	1408619.0	1807284.0	1782170.0	1576591.0	1418041.0	1804893.0	1809792.0	1768152.0
