	BritoIL_2016__W1.9.ST__bin.22	BritoIL_2016__M2.51.ST__bin.46	BritoIL_2016__M2.3.ST__bin.28	BritoIL_2016__W1.2.ST__bin.104	BritoIL_2016__W1.13.ST__bin.14	BritoIL_2016__WL.12.ST__bin.35	BritoIL_2016__M2.39.ST__bin.56	BritoIL_2016__WL.20.ST__bin.58	QinJ_2012__CON-110__bin.49	BritoIL_2016__WL.14.ST__bin.31	BritoIL_2016__W1.11.ST__bin.50	BritoIL_2016__W1.27.ST__bin.36	BritoIL_2016__W1.26.ST__bin.16	BritoIL_2016__M1.61.ST__bin.86	BritoIL_2016__W2.4.ST__bin.57	BritoIL_2016__M1.27.ST__bin.15	BritoIL_2016__W2.15.ST__bin.36	BritoIL_2016__W3.17.ST__bin.58	BritoIL_2016__W2.17.ST__bin.4	BritoIL_2016__W1.40.ST__bin.48	BritoIL_2016__W1.41.ST__bin.53	BritoIL_2016__W2.61.ST__bin.99	BritoIL_2016__W1.37.ST__bin.8	BritoIL_2016__M1.48.ST__bin.84	BritoIL_2016__W1.36.ST__bin.47	BritoIL_2016__M1.26.ST__bin.18	BritoIL_2016__M1.22.ST__bin.77	BritoIL_2016__W1.39.ST__bin.59	BritoIL_2016__W1.33.ST__bin.72	BritoIL_2016__M1.38.ST__bin.20	BritoIL_2016__W1.4.ST__bin.43	BritoIL_2016__W2.65.ST__bin.28	ZeeviD_2015__PNP_Main_706__bin.20
BritoIL_2016__W1.9.ST__bin.22	0.0	5425.0	5585.0	3714.0	5712.0	7828.0	4736.0	6273.0	8574.0	5943.0	167.0	6179.0	5607.0	5865.0	7534.0	5500.0	5320.0	4258.0	663.0	6337.0	6231.0	4623.0	6407.0	7327.0	3814.0	5981.0	7353.0	5390.0	6040.0	4679.0	7438.0	7673.0	8300.0
BritoIL_2016__M2.51.ST__bin.46	5425.0	0.0	5941.0	5213.0	5555.0	6107.0	4731.0	5956.0	7017.0	5973.0	6201.0	6204.0	4888.0	5002.0	5899.0	5757.0	5814.0	4222.0	3989.0	6082.0	5609.0	4506.0	3367.0	5422.0	3412.0	4702.0	5841.0	5038.0	5648.0	3698.0	6193.0	5919.0	6531.0
BritoIL_2016__M2.3.ST__bin.28	5585.0	5941.0	0.0	6292.0	4901.0	6589.0	4100.0	6334.0	7347.0	5946.0	5336.0	1086.0	6003.0	5507.0	6715.0	5961.0	832.0	916.0	3326.0	2367.0	6148.0	4633.0	5361.0	6285.0	3328.0	4921.0	6908.0	4717.0	5599.0	4554.0	6922.0	6674.0	7119.0
BritoIL_2016__W1.2.ST__bin.104	3714.0	5213.0	6292.0	0.0	6267.0	7832.0	5046.0	7303.0	8601.0	6930.0	3682.0	6727.0	5257.0	6040.0	7738.0	6764.0	6120.0	4791.0	2450.0	6891.0	6452.0	4870.0	5833.0	7386.0	4046.0	5783.0	7329.0	5997.0	6302.0	5206.0	7024.0	7797.0	8465.0
BritoIL_2016__W1.13.ST__bin.14	5712.0	5555.0	4901.0	6267.0	0.0	6139.0	4608.0	5499.0	7831.0	5401.0	5489.0	5105.0	5921.0	4431.0	6648.0	5855.0	4960.0	3703.0	3593.0	5580.0	6934.0	5479.0	5189.0	6062.0	3493.0	4381.0	6658.0	6138.0	4863.0	4878.0	5235.0	6619.0	7267.0
BritoIL_2016__WL.12.ST__bin.35	7828.0	6107.0	6589.0	7832.0	6139.0	0.0	5615.0	6625.0	8716.0	6376.0	7578.0	7006.0	6168.0	6037.0	7469.0	6797.0	6530.0	5392.0	4762.0	7111.0	7043.0	6138.0	5958.0	6784.0	3852.0	6020.0	7736.0	7626.0	5829.0	4106.0	7075.0	7489.0	8030.0
BritoIL_2016__M2.39.ST__bin.56	4736.0	4731.0	4100.0	5046.0	4608.0	5615.0	0.0	5091.0	6638.0	4902.0	4693.0	4154.0	4650.0	4522.0	5577.0	5144.0	4235.0	3518.0	3186.0	4462.0	5102.0	3841.0	4490.0	5131.0	2821.0	4151.0	5663.0	5231.0	4400.0	4295.0	5111.0	5611.0	5760.0
BritoIL_2016__WL.20.ST__bin.58	6273.0	5956.0	6334.0	7303.0	5499.0	6625.0	5091.0	0.0	8178.0	135.0	6204.0	6760.0	6093.0	4936.0	7001.0	4335.0	6387.0	4856.0	3995.0	6789.0	7519.0	5986.0	5431.0	5166.0	3361.0	4115.0	7545.0	6096.0	4869.0	4800.0	7080.0	6986.0	7897.0
QinJ_2012__CON-110__bin.49	8574.0	7017.0	7347.0	8601.0	7831.0	8716.0	6638.0	8178.0	0.0	8152.0	8322.0	8002.0	6873.0	7741.0	8997.0	7906.0	7481.0	6424.0	5971.0	7898.0	7971.0	6512.0	6614.0	8726.0	4864.0	6154.0	8497.0	8697.0	7586.0	6186.0	8934.0	9114.0	8044.0
BritoIL_2016__WL.14.ST__bin.31	5943.0	5973.0	5946.0	6930.0	5401.0	6376.0	4902.0	135.0	8152.0	0.0	5948.0	6417.0	5938.0	4863.0	6909.0	4176.0	6081.0	4838.0	3953.0	6668.0	7333.0	5807.0	5625.0	4942.0	3328.0	3851.0	7071.0	6008.0	4912.0	4640.0	6983.0	6815.0	7655.0
