	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.21	NielsenHB_2014__O2_UC31_2__bin.25	ZellerG_2014__CCIS51667829ST-4-0__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.113	LeChatelierE_2013__MH0140__bin.7	XieH_2016__YSZC12003_35734__bin.94	XieH_2016__YSZC12003_37097__bin.62	ZeeviD_2015__PNP_Main_61__bin.10	BackhedF_2015__SID326_M__bin.29	NielsenHB_2014__O2_UC31_0__bin.33	LiJ_2014__MH0323__bin.34	ZellerG_2014__CCMD86707194ST-21-0__bin.48	QinJ_2012__CON-024__bin.30	XieH_2016__YSZC12003_35992__bin.70	LiJ_2014__O2.UC31-1__bin.14	FengQ_2015__SID531248__bin.18	LiJ_2014__MH0385__bin.12	ZellerG_2014__CCIS51595129ST-4-0__bin.68	ZeeviD_2015__PNP_Main_154__bin.62	SchirmerM_2016__G88820__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.33	VatanenT_2016__G80467__bin.9	NielsenHB_2014__MH0140__bin.20	NielsenHB_2014__MH0126__bin.43	LeChatelierE_2013__MH0421__bin.47	ZeeviD_2015__PNP_Main_210__bin.30	LeChatelierE_2013__MH0126__bin.46	ZellerG_2014__CCIS09568613ST-4-0__bin.2	VatanenT_2016__G80479__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.93	XieH_2016__YSZC12003_37331__bin.3	ZeeviD_2015__PNP_Main_586__bin.23	SchirmerM_2016__G89108__bin.11	QinJ_2012__CON-100__bin.28	LeChatelierE_2013__MH0430__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES67__bin.40	SchirmerM_2016__G88826__bin.5	QinJ_2012__CON-099__bin.31	ZellerG_2014__CCIS87290971ST-4-0__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.49	LeChatelierE_2013__MH0407__bin.66	SchirmerM_2016__G88895__bin.6
Bengtsson-PalmeJ_2015__TRAVELRES68__bin.21	2828681.0	1653057.0	2054130.0	1965484.0	2106925.0	1275832.0	2426773.0	1795867.0	1708204.0	1671247.0	1571723.0	1955136.0	2338116.0	2368450.0	2332274.0	2086347.0	2125905.0	1526930.0	1878825.0	2346196.0	2350475.0	1649189.0	1983319.0	2262167.0	2359298.0	1636760.0	2343540.0	1669543.0	2339812.0	1576578.0	2300517.0	2194988.0	2360757.0	2182809.0	1771619.0	2536369.0	2358866.0	2361251.0	2112087.0	2287197.0	2313666.0	2367554.0
NielsenHB_2014__O2_UC31_2__bin.25	1653057.0	2785526.0	1469077.0	1661523.0	1879506.0	1371148.0	2062000.0	1436543.0	1226168.0	2200969.0	1065334.0	1955946.0	1780629.0	1932516.0	2328549.0	1660669.0	1905186.0	1372196.0	1325868.0	1902880.0	1915286.0	1607134.0	1782347.0	1997244.0	1866202.0	1567070.0	2113586.0	1129785.0	1926365.0	1377904.0	1854608.0	1850494.0	1935197.0	1876734.0	1236588.0	1783901.0	1883692.0	2128065.0	1890679.0	1910247.0	1940449.0	1947879.0
ZellerG_2014__CCIS51667829ST-4-0__bin.50	2054130.0	1469077.0	2572761.0	1700641.0	1899363.0	1259446.0	2294555.0	1592475.0	1525339.0	1475043.0	1551159.0	1732998.0	2197383.0	2277763.0	2175246.0	1928220.0	1832270.0	1447711.0	1822690.0	2225606.0	2257489.0	1540347.0	1793308.0	2090935.0	2250585.0	1479948.0	2202711.0	1670082.0	2182908.0	1469313.0	2124946.0	1973436.0	2232914.0	1980668.0	1755361.0	2145835.0	2243131.0	2181173.0	1901913.0	2153028.0	2091175.0	2197655.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.113	1965484.0	1661523.0	1700641.0	2555161.0	2101001.0	1185722.0	2211342.0	1683091.0	1684466.0	1702475.0	1282893.0	2035339.0	2083371.0	2106224.0	2049345.0	1881758.0	2165195.0	1440363.0	1586750.0	2159001.0	2145058.0	1603860.0	1988782.0	2039844.0	2210332.0	1565617.0	2143303.0	1446738.0	2113753.0	1597875.0	2146530.0	2038864.0	2170888.0	1991193.0	1483187.0	2018078.0	2161366.0	2179258.0	2114743.0	2171315.0	2189601.0	2178548.0
LeChatelierE_2013__MH0140__bin.7	2106925.0	1879506.0	1899363.0	2101001.0	3087392.0	1431857.0	2606765.0	1903371.0	1664690.0	1893493.0	1403623.0	2178336.0	2239506.0	2372800.0	2320621.0	2116811.0	2395498.0	1637565.0	1686586.0	2386280.0	2436944.0	2060539.0	2832020.0	2348477.0	2404082.0	1854316.0	2428256.0	1543154.0	2544351.0	1704902.0	2208801.0	2335054.0	2359686.0	2152791.0	1641757.0	2159412.0	2352123.0	2419392.0	2452185.0	2437685.0	2381890.0	2518825.0
XieH_2016__YSZC12003_35734__bin.94	1275832.0	1371148.0	1259446.0	1185722.0	1431857.0	1834019.0	1432730.0	1122072.0	677471.0	1432738.0	872243.0	1430356.0	1305715.0	1414143.0	1462082.0	1226078.0	1408813.0	1176138.0	880536.0	1436887.0	1428017.0	1285476.0	1327738.0	1418348.0	1399880.0	1316752.0	1510686.0	888996.0	1420900.0	1158889.0	1301902.0	1396489.0	1318355.0	1373111.0	952681.0	1276457.0	1382008.0	1491827.0	1440145.0	1450351.0	1451529.0	1427677.0
XieH_2016__YSZC12003_37097__bin.62	2426773.0	2062000.0	2294555.0	2211342.0	2606765.0	1432730.0	3739947.0	1921658.0	2048312.0	1943808.0	1766516.0	2269589.0	2742749.0	2893137.0	2828188.0	2541910.0	2426804.0	1743170.0	2188350.0	2831947.0	2841722.0	2069364.0	2472782.0	2715289.0	2829325.0	1858153.0	2893636.0	1803664.0	2891515.0	1693967.0	2636183.0	2554558.0	2886844.0	2486184.0	2002570.0	2636007.0	2873578.0	2939270.0	2470248.0	2756794.0	2633924.0	2904312.0
ZeeviD_2015__PNP_Main_61__bin.10	1795867.0	1436543.0	1592475.0	1683091.0	1903371.0	1122072.0	1921658.0	2162016.0	1360022.0	1445191.0	1210334.0	1754777.0	1885628.0	1865795.0	1773747.0	1664984.0	1854012.0	1367858.0	1330465.0	1850420.0	1897332.0	1565007.0	1754496.0	1822213.0	1914164.0	1589145.0	1857662.0	1295610.0	1890708.0	1464179.0	1863679.0	1907600.0	1846757.0	1714642.0	1414788.0	1811217.0	1831420.0	1822334.0	1892969.0	1926096.0	1920209.0	1893169.0
BackhedF_2015__SID326_M__bin.29	1708204.0	1226168.0	1525339.0	1684466.0	1664690.0	677471.0	2048312.0	1360022.0	2423217.0	1173332.0	1247760.0	1585401.0	1966687.0	1924530.0	1959233.0	1729835.0	1578570.0	999648.0	1732001.0	1976081.0	1913689.0	1096896.0	1565292.0	1936871.0	1908499.0	1143588.0	2005832.0	1347452.0	1882067.0	1038924.0	2018418.0	1632586.0	2016496.0	1689842.0	1508147.0	1880182.0	2057288.0	1968366.0	1607139.0	1812221.0	1754863.0	1996986.0
NielsenHB_2014__O2_UC31_0__bin.33	1671247.0	2200969.0	1475043.0	1702475.0	1893493.0	1432738.0	1943808.0	1445191.0	1173332.0	2608259.0	1056599.0	2010532.0	1685478.0	1861558.0	2232219.0	1622281.0	1922322.0	1421846.0	1229085.0	1858500.0	1886282.0	1673949.0	1796661.0	1948302.0	1865866.0	1612311.0	2045050.0	1100357.0	1930696.0	1481112.0	1787783.0	1828364.0	1851209.0	1918858.0	1218581.0	1686697.0	1822147.0	2065486.0	1913403.0	1876610.0	1954486.0	1893746.0
