	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.21	NielsenHB_2014__O2_UC31_2__bin.25	ZellerG_2014__CCIS51667829ST-4-0__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.113	LeChatelierE_2013__MH0140__bin.7	XieH_2016__YSZC12003_35734__bin.94	XieH_2016__YSZC12003_37097__bin.62	ZeeviD_2015__PNP_Main_61__bin.10	BackhedF_2015__SID326_M__bin.29	NielsenHB_2014__O2_UC31_0__bin.33	LiJ_2014__MH0323__bin.34	ZellerG_2014__CCMD86707194ST-21-0__bin.48	QinJ_2012__CON-024__bin.30	XieH_2016__YSZC12003_35992__bin.70	LiJ_2014__O2.UC31-1__bin.14	FengQ_2015__SID531248__bin.18	LiJ_2014__MH0385__bin.12	ZellerG_2014__CCIS51595129ST-4-0__bin.68	ZeeviD_2015__PNP_Main_154__bin.62	SchirmerM_2016__G88820__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.33	VatanenT_2016__G80467__bin.9	NielsenHB_2014__MH0140__bin.20	NielsenHB_2014__MH0126__bin.43	LeChatelierE_2013__MH0421__bin.47	ZeeviD_2015__PNP_Main_210__bin.30	LeChatelierE_2013__MH0126__bin.46	ZellerG_2014__CCIS09568613ST-4-0__bin.2	VatanenT_2016__G80479__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.93	XieH_2016__YSZC12003_37331__bin.3	ZeeviD_2015__PNP_Main_586__bin.23	SchirmerM_2016__G89108__bin.11	QinJ_2012__CON-100__bin.28	LeChatelierE_2013__MH0430__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES67__bin.40	SchirmerM_2016__G88826__bin.5	QinJ_2012__CON-099__bin.31	ZellerG_2014__CCIS87290971ST-4-0__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.49	LeChatelierE_2013__MH0407__bin.66	SchirmerM_2016__G88895__bin.6
Bengtsson-PalmeJ_2015__TRAVELRES68__bin.21	0.0	63464.0	22330.0	23395.0	27869.0	50670.0	29531.0	19637.0	20145.0	63948.0	23281.0	71088.0	22761.0	27200.0	86088.0	22578.0	21598.0	18451.0	19108.0	24078.0	26778.0	22559.0	27359.0	81358.0	26313.0	16906.0	83732.0	18043.0	28505.0	17072.0	22733.0	24977.0	20736.0	79252.0	16661.0	204.0	24814.0	87767.0	23693.0	26548.0	24389.0	23965.0
NielsenHB_2014__O2_UC31_2__bin.25	63464.0	0.0	54327.0	62525.0	74666.0	26479.0	81359.0	56779.0	46767.0	1509.0	41890.0	28977.0	69568.0	73235.0	3082.0	65145.0	76350.0	50780.0	51585.0	73076.0	74297.0	64345.0	70871.0	36129.0	72950.0	61027.0	38263.0	42244.0	77527.0	52396.0	73028.0	70411.0	75282.0	39492.0	47917.0	68620.0	69482.0	37196.0	73519.0	74238.0	74573.0	75588.0
ZellerG_2014__CCIS51667829ST-4-0__bin.50	22330.0	54327.0	0.0	17123.0	19101.0	51059.0	22017.0	17120.0	16949.0	53865.0	20157.0	61181.0	25617.0	21865.0	76736.0	20229.0	20962.0	14539.0	23253.0	25382.0	21154.0	14804.0	18043.0	75572.0	24087.0	17245.0	78485.0	15646.0	20637.0	15764.0	25246.0	22662.0	26132.0	69740.0	17935.0	23816.0	25030.0	77594.0	19045.0	20090.0	21162.0	24420.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.113	23395.0	62525.0	17123.0	0.0	24259.0	46997.0	25070.0	17425.0	6837.0	64128.0	18330.0	75216.0	23201.0	23311.0	76273.0	19980.0	16258.0	15900.0	17311.0	22697.0	24842.0	17887.0	23355.0	77160.0	22749.0	16331.0	80079.0	16062.0	23292.0	31.0	24372.0	22769.0	22592.0	73819.0	16889.0	23820.0	23973.0	82048.0	24487.0	23971.0	23705.0	22797.0
LeChatelierE_2013__MH0140__bin.7	27869.0	74666.0	19101.0	24259.0	0.0	60194.0	23461.0	23303.0	20703.0	74812.0	17810.0	83883.0	29784.0	23668.0	88327.0	23935.0	30991.0	18593.0	20870.0	30953.0	25402.0	18216.0	134.0	89420.0	28990.0	23605.0	92433.0	16857.0	23178.0	19378.0	31453.0	29673.0	31996.0	81617.0	17833.0	28606.0	30471.0	92405.0	29647.0	25510.0	27862.0	32749.0
XieH_2016__YSZC12003_35734__bin.94	50670.0	26479.0	51059.0	46997.0	60194.0	0.0	57568.0	45935.0	25488.0	27367.0	34411.0	27511.0	53028.0	56307.0	28736.0	49926.0	58723.0	46751.0	36544.0	55800.0	54773.0	53426.0	56475.0	29336.0	58271.0	53761.0	30071.0	34314.0	57803.0	46950.0	53530.0	54950.0	54270.0	29268.0	40248.0	51427.0	53299.0	24975.0	56651.0	56104.0	56549.0	58114.0
XieH_2016__YSZC12003_37097__bin.62	29531.0	81359.0	22017.0	25070.0	23461.0	57568.0	0.0	23316.0	24651.0	77010.0	23858.0	85898.0	33309.0	28990.0	105504.0	27778.0	29619.0	17380.0	26516.0	34210.0	26596.0	14607.0	23425.0	102694.0	31365.0	22221.0	107557.0	18228.0	21476.0	19995.0	33403.0	30616.0	36223.0	93404.0	20831.0	30946.0	35568.0	110521.0	29880.0	27111.0	30346.0	34800.0
ZeeviD_2015__PNP_Main_61__bin.10	19637.0	56779.0	17120.0	17425.0	23303.0	45935.0	23316.0	0.0	15522.0	57335.0	16387.0	66807.0	17501.0	22491.0	67860.0	15809.0	21635.0	14943.0	13556.0	20312.0	21116.0	18694.0	22077.0	69814.0	21135.0	16201.0	70562.0	13676.0	21901.0	16670.0	19378.0	11998.0	20095.0	64797.0	15947.0	19934.0	19853.0	68806.0	19801.0	21402.0	18349.0	19257.0
BackhedF_2015__SID326_M__bin.29	20145.0	46767.0	16949.0	6837.0	20703.0	25488.0	24651.0	15522.0	0.0	44704.0	18789.0	58466.0	23476.0	23178.0	71417.0	19844.0	14911.0	12549.0	18016.0	22639.0	23057.0	15013.0	19593.0	68935.0	20618.0	12696.0	71100.0	15274.0	22248.0	2797.0	24688.0	20301.0	23012.0	62603.0	18276.0	22507.0	24447.0	72245.0	22012.0	21657.0	18446.0	23835.0
NielsenHB_2014__O2_UC31_0__bin.33	63948.0	1509.0	53865.0	64128.0	74812.0	27367.0	77010.0	57335.0	44704.0	0.0	41692.0	29200.0	65978.0	69628.0	979.0	62973.0	76579.0	53695.0	47944.0	70846.0	71082.0	67241.0	71247.0	34062.0	72117.0	61925.0	34851.0	40503.0	77091.0	56299.0	70997.0	68846.0	70729.0	38674.0	48082.0	64937.0	66744.0	33368.0	72718.0	70959.0	73997.0	74530.0
