	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.21	NielsenHB_2014__O2_UC31_2__bin.25	ZellerG_2014__CCIS51667829ST-4-0__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.113	LeChatelierE_2013__MH0140__bin.7	XieH_2016__YSZC12003_35734__bin.94	XieH_2016__YSZC12003_37097__bin.62	ZeeviD_2015__PNP_Main_61__bin.10	BackhedF_2015__SID326_M__bin.29	NielsenHB_2014__O2_UC31_0__bin.33	LiJ_2014__MH0323__bin.34	ZellerG_2014__CCMD86707194ST-21-0__bin.48	QinJ_2012__CON-024__bin.30	XieH_2016__YSZC12003_35992__bin.70	LiJ_2014__O2.UC31-1__bin.14	FengQ_2015__SID531248__bin.18	LiJ_2014__MH0385__bin.12	ZellerG_2014__CCIS51595129ST-4-0__bin.68	ZeeviD_2015__PNP_Main_154__bin.62	SchirmerM_2016__G88820__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.33	VatanenT_2016__G80467__bin.9	NielsenHB_2014__MH0140__bin.20	NielsenHB_2014__MH0126__bin.43	LeChatelierE_2013__MH0421__bin.47	ZeeviD_2015__PNP_Main_210__bin.30	LeChatelierE_2013__MH0126__bin.46	ZellerG_2014__CCIS09568613ST-4-0__bin.2	VatanenT_2016__G80479__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.93	XieH_2016__YSZC12003_37331__bin.3	ZeeviD_2015__PNP_Main_586__bin.23	SchirmerM_2016__G89108__bin.11	QinJ_2012__CON-100__bin.28	LeChatelierE_2013__MH0430__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES67__bin.40	SchirmerM_2016__G88826__bin.5	QinJ_2012__CON-099__bin.31	ZellerG_2014__CCIS87290971ST-4-0__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.49	LeChatelierE_2013__MH0407__bin.66	SchirmerM_2016__G88895__bin.6
Bengtsson-PalmeJ_2015__TRAVELRES68__bin.21	1.0	0.5619555545499829	0.7182853068267507	0.6865705252730867	0.7349913263460957	0.4331213028262996	0.8474769689477181	0.6279357764272465	0.5967654182284959	0.5682150090448517	0.547407784759045	0.6660517746610523	0.8185281408543417	0.8276825842150458	0.794075401220569	0.7295870407444317	0.7439181017583815	0.5332799986990403	0.6574502391750785	0.8209190078343934	0.8214772185340092	0.5750489362356519	0.6914742242055573	0.7709632157178558	0.8247607277031237	0.5726534734740325	0.7988910732599398	0.5838410198958454	0.8170970851785692	0.5513191483946052	0.8052459786027482	0.7671458888435988	0.8272481060960921	0.7436529605141053	0.6204156636962598	0.8965892583857988	0.8251379353133138	0.8037258354688988	0.7382925115981618	0.7991883849751881	0.8093090030300342	0.828509471375528
NielsenHB_2014__O2_UC31_2__bin.25	0.5706616990830458	1.0	0.5078933027370772	0.5740380811379969	0.6479350758169193	0.48273432019661633	0.7110473928442959	0.495333376891833	0.42340333567161104	0.789603112661666	0.3674149873309386	0.6917792187184754	0.6142685438944027	0.6674793198842875	0.8348394522255402	0.5727909199196131	0.6565496067888076	0.47438652520206237	0.45746584307595767	0.6568971174564516	0.6609125170614096	0.5538591275041052	0.6144175283231964	0.7040375857198964	0.6437749997666509	0.5406673640813261	0.7450381005239225	0.3904257221077814	0.6637302972580403	0.4758555475698307	0.6395847678320001	0.6390473468924721	0.6677069250116495	0.6595673492187831	0.42673125291237635	0.6157835180859916	0.6512988929200445	0.750619093126397	0.6523579388596624	0.6591247039158852	0.6698469158069248	0.6721498919773142
ZellerG_2014__CCIS51667829ST-4-0__bin.50	0.7897352299727802	0.5498956179761741	1.0	0.6543623756734497	0.730834306023762	0.469684902717353	0.8833070774937897	0.6123207713425383	0.5862923139770853	0.552394101123268	0.5950813153650883	0.6498143434232718	0.8441382623570552	0.8768393177601805	0.8156645720298155	0.7416122212673466	0.704032749252651	0.5570560188062552	0.6994186401301947	0.8551995307764694	0.8692354245108659	0.5929594703899818	0.6900232862671659	0.7833463737984213	0.865411905730847	0.5685343488959915	0.8256600593681264	0.6430585662640252	0.8404476746965613	0.5649763036675385	0.8161271101357646	0.7582414378949307	0.8577485432964819	0.742753796407828	0.6753157405604329	0.8248022260909583	0.8621480969277752	0.8176348288861655	0.7318472256070423	0.8290463047286554	0.8045881447985258	0.844709244271038
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.113	0.7600652170254634	0.6257914863290415	0.6588696367860968	1.0	0.8127636575542597	0.4456568490204727	0.8556298409376162	0.6518829928916416	0.6565648896488323	0.6411912987087702	0.4949054090916385	0.7671230893082667	0.8062779605668684	0.8151787695569869	0.7721908717298049	0.7286343208901513	0.8410182372069706	0.5574846359974968	0.6142231350588084	0.8360741260531136	0.8297778496149558	0.6206939601848964	0.7691988880544123	0.7681253744871653	0.8561429201525852	0.6063359608259519	0.8074731885779409	0.5599161853206118	0.8181327908495786	0.6253398513831419	0.8305378800005166	0.7890285582787151	0.8407673723886675	0.7503926367066498	0.5738573811982886	0.7804823257712526	0.8365003222888889	0.8207741116900266	0.8180525610714942	0.8403947931265388	0.8476553923607945	0.8436849967575429
LeChatelierE_2013__MH0140__bin.7	0.673402016977436	0.5845840113597496	0.6090130440190297	0.6726525170759009	1.0	0.44427886060467864	0.8367269203262818	0.6089502078129373	0.5324840512639794	0.5890670831562691	0.4488620168737887	0.6783890740145728	0.7157244690664483	0.760879085001192	0.7230354940350949	0.6778782869165949	0.7658590162829987	0.5243817435557261	0.5395220302442968	0.7628856329225443	0.7810935572807081	0.6615042728620143	0.9172421253925642	0.731703975394119	0.7692874762906686	0.5929635757299365	0.7565683269244722	0.4943644992278272	0.8166028155802697	0.5459378012251117	0.7052385962002882	0.7467082249354795	0.753934064738135	0.6708490531814554	0.5259856863009297	0.6901637369015661	0.7519783687980016	0.7537063644655425	0.7846551393538623	0.7812985846954322	0.7624648894601009	0.8052349685430292
XieH_2016__YSZC12003_35734__bin.94	0.6680203422101952	0.7331816082603287	0.6588737630308082	0.6208905142204089	0.747900103543093	1.0	0.7498079354684984	0.586764368308071	0.3554941361021887	0.7662794115000989	0.45682841889860465	0.7649021084296291	0.6830283655730939	0.7403609231965426	0.7815327976427725	0.6412976092395989	0.7361374118806839	0.6157989639147686	0.46018716272841226	0.7530385454022014	0.7487621447760355	0.6717760284926164	0.693156941122202	0.7573596565793485	0.7315131413578595	0.6886466279793175	0.8073062492809507	0.4660158918746207	0.7432294867174223	0.6062854310669628	0.6806756091403633	0.7314749738143389	0.6892431321594814	0.7327312312467865	0.49750466052968917	0.6679483691281278	0.7244794083376455	0.7998019649741906	0.7543509636486863	0.7602140435840632	0.7606137122897855	0.7467550772374768
XieH_2016__YSZC12003_37097__bin.62	0.6409828802386772	0.5295906599745932	0.6076390922117346	0.5845729899380927	0.6907327831116323	0.3676955849909103	1.0	0.507585267919572	0.5410934967794998	0.49915092379651366	0.4659579400456744	0.583882873206492	0.7244594642651353	0.7658255584905347	0.728000690918882	0.6722373338445705	0.6409676393809859	0.46144771570292303	0.5780386727405495	0.7480686223628303	0.7527181534925494	0.5494080531087739	0.6549175696874849	0.6985647122806821	0.7481282488762542	0.49089786566494126	0.7449514658897572	0.47739607005126006	0.7674009818855722	0.44759243914419106	0.6959403435396276	0.6748603656682836	0.7622089296987363	0.6397898152032636	0.5298842470227519	0.6965502452307479	0.7588369567804036	0.7563607184807699	0.6525140596912202	0.7298721078132926	0.6961537155473059	0.7672600707977947
ZeeviD_2015__PNP_Main_61__bin.10	0.8215619125852908	0.6381839912378077	0.7286509443038349	0.7704226055681365	0.8695902342998386	0.49774701019788936	0.8780425306750735	1.0	0.6218732886343117	0.6419267942512914	0.5522378187765493	0.7807389029498394	0.8640671484392345	0.8525857347956722	0.7890260756627148	0.7627950024421651	0.8475316556399213	0.6257654892470731	0.6091115884433788	0.8464821721948403	0.8678085638589168	0.71521811124432	0.8012979552417743	0.8105393299587051	0.8755851020528989	0.7275357814188239	0.8265896274588163	0.5929345573760786	0.8643816697008718	0.6695181719284223	0.8530468784689845	0.8767751950031822	0.8448882894483668	0.7631048983911313	0.6470077002205349	0.8285243957491526	0.837906379971286	0.8110615277592765	0.8663987685567545	0.8809805292837797	0.8796697156727795	0.866742891819487
BackhedF_2015__SID326_M__bin.29	0.6966189986286825	0.48670878423187025	0.6224741737945879	0.6923148030077372	0.6784316055887689	0.2690567951611432	0.8351134050314107	0.5548409407824393	1.0	0.4657560589910025	0.507165061981655	0.6301272234389242	0.8019137369868237	0.7846395927397339	0.7790536299472973	0.7056697769947966	0.6452822838400358	0.4073506417295686	0.7073179991721749	0.8061358103710894	0.7802157214974969	0.44646558686242294	0.6378706488110639	0.7708496597704622	0.7790804537934489	0.46669035418619137	0.7984146694249834	0.5497559649012036	0.7674999803979586	0.42758324986990437	0.8227616428904221	0.6653489968087877	0.8226601249496021	0.6715201321218859	0.6148318536887121	0.7666152061495111	0.8389017574571325	0.7824808921363625	0.654141581212083	0.7389202040097935	0.7165751148163784	0.8142692131988178
NielsenHB_2014__O2_UC31_0__bin.33	0.6162344307064598	0.8432674822554048	0.5448761031784037	0.6281381565250997	0.6972777626761759	0.5388157387744085	0.715725700553511	0.5321005314272854	0.4327131623048171	1.0	0.38911281433323913	0.7596377506988379	0.6209122636977386	0.6870214959480634	0.855451855049671	0.5978348009150932	0.7076532660291789	0.5245456835383296	0.4528465156259405	0.6853820882051974	0.6959431559519205	0.6160078427794172	0.6615194273268108	0.7339148451131579	0.6877188960145445	0.5944141283515172	0.7707052865532142	0.4063453821112091	0.7106675372346075	0.5462697531188428	0.6582114736304946	0.6745948159289396	0.682631594485057	0.7208578595913979	0.4487663993491444	0.6217787420651093	0.673017135184811	0.7791089765241872	0.7057140414353021	0.6922820931510253	0.7209747958312422	0.697482880342788
