	FerrettiP_2018__CA_C10007MS2097SA_t0M15__bin.35	HMP_2012__SRS057205__bin.57	BritoIL_2016__WL.28.SA__bin.2	HMP_2012__SRS017120__bin.71	BritoIL_2016__W3.22.SA__bin.20	HMP_2012__SRS024318__bin.50	CM_cf__CF_TNFC017SA_t1M16__bin.25	BritoIL_2016__W3.19.SA__bin.2	FerrettiP_2018__CA_C10043MS2741SA_t0M16__bin.15	HMP_2012__SRS022719__bin.3	BritoIL_2016__W1.44.SA__bin.1	CM_cf__CF_TNFC039SA_t1M16__bin.3	HMP_2012__SRS064329__bin.23	HMP_2012__SRS015762__bin.29	HMP_2012__SRS017076__bin.31	BritoIL_2016__M1.52.SA__bin.4	BritoIL_2016__WL.10.SA__bin.8	FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.10	HMP_2012__SRS022721__bin.1	BritoIL_2016__WL.2.SA__bin.2	HMP_2012__SRS024138__bin.20	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.27	HMP_2012__SRS020220__bin.43	BritoIL_2016__M1.38.SA__bin.2	HMP_2012__SRS023352__bin.53	CM_cf__CF_TNFC039IS_t1M15__bin.16	CM_cf__CF_TNFC039IS_t2M15__bin.3	HMP_2012__SRS020856__bin.51	BritoIL_2016__W2.61.SA__bin.13	BritoIL_2016__W1.9.SA__bin.2	BritoIL_2016__WL.25.SA__bin.7	BackhedF_2015__SID589_12M__bin.44	HMP_2012__SRS016342__bin.54
FerrettiP_2018__CA_C10007MS2097SA_t0M15__bin.35	1.0	0.9594760928961749	0.9586526036913114	0.9623302512564965	0.9587535584184748	0.9603840448102274	0.960237371014004	0.9628568168076783	0.959474552252548	0.9592469738212679	0.9620823340780316	0.9601715487407064	0.9598670349735474	0.9617046139693314	0.9719885668165973	0.9655385926294113	0.9600389935201944	0.9600845730739735	0.9586779980828948	0.9669480019716532	0.9765633646568326	0.9595571649213687	0.9594106366334431	0.9598238481435992	0.9821169365377425	0.9601081404634175	0.9611773610697651	0.9589718193672714	0.9586730997178584	0.9621076638047675	0.9637045069725853	0.9592114842715576	0.9592265940634997
HMP_2012__SRS057205__bin.57	0.9594760928961749	1.0	0.9647271226734844	0.9666090553267721	0.9634624533396549	0.9643728727523575	0.9653175559622229	0.9665940036496652	0.9646930787938554	0.964028708818972	0.9674640273108116	0.9651690447090178	0.9651488651374289	0.9997824171182195	0.9636407595661369	0.9708779190996588	0.9637612292282797	0.9622904853192019	0.9635900189999369	0.9716562097296163	0.9635831158420591	0.9630809099095259	0.9640124945725633	0.9637450713151946	0.9639225525000248	0.9651528965899733	0.9650687237470316	0.9631971362833799	0.9634658907209829	0.9671927308801089	0.967699621314002	0.9637371141164335	0.9629648575659125
BritoIL_2016__WL.28.SA__bin.2	0.9586526036913114	0.9647271226734844	1.0	0.9680380186727955	0.9650903811531037	0.9662119366626065	0.9659802441328036	0.9674698897659227	0.9665059193936717	0.9818891187899278	0.9683967523183672	0.9665183769099194	0.9659516692476681	0.9653979403083601	0.9647543917483427	0.9726514076599824	0.9652996238621891	0.9638697902765613	0.9815128008419771	0.9729301624919166	0.9639562778999219	0.9643153021005555	0.9653885096491437	0.9654750143057245	0.9647305304750936	0.9665281931465292	0.9673161769300953	0.9636347034384439	0.9651306627608098	0.9683881172265499	0.9685432266942055	0.964926333573505	0.9636094917852587
HMP_2012__SRS017120__bin.71	0.9623302512564965	0.9666090553267721	0.9680380186727955	1.0	0.9668884701500035	0.9983391247815133	0.9671322462236981	0.96899521037541	0.9677646026222051	0.9685495205061578	0.9712584344811277	0.9690789071008928	0.967482837605347	0.966546442058811	0.9669131780069948	0.9736498608426346	0.966780474479153	0.9648387484338259	0.9675427070964193	0.9745046693107561	0.9666823993261902	0.9663658842984346	0.9669563860979241	0.9672050150883618	0.9677495057274007	0.9690262148423354	0.9689281334002707	0.9661611216916849	0.9673071172636466	0.9706658054793046	0.9702331419539295	0.9667659247545185	0.965969320674693
BritoIL_2016__W3.22.SA__bin.20	0.9587535584184748	0.9634624533396549	0.9650903811531037	0.9668884701500035	1.0	0.9650965364393196	0.9644769403702884	0.9665405153366955	0.9646800066219613	0.9646206699507076	0.9679807215955856	0.9652438093754035	0.9645819063564948	0.965035992816962	0.963488653682012	0.9715375794170558	0.9662351160111516	0.9618732630675668	0.9642153158572415	0.9725083715082629	0.9632390183936085	0.9630598165328454	0.9638261737201329	0.9667577242258336	0.9638609367434031	0.9652302469181876	0.9659628832705756	0.9621501529042112	0.9635708004937037	0.9682729819513087	0.9680603195469172	0.9642361336654678	0.9626562138490892
HMP_2012__SRS024318__bin.50	0.9603840448102274	0.9643728727523575	0.9662119366626065	0.9983391247815133	0.9650965364393196	1.0	0.9652367142063919	0.9676818213455923	0.9653755836688875	0.9662090648149295	0.9690436470784809	0.9667151132926511	0.9651982258402624	0.9652002051088022	0.965220577549061	0.9727508757597139	0.9651479791422262	0.9632578684322909	0.9654832508127534	0.9728998495529981	0.964806836336457	0.964309063972061	0.9648059479007394	0.965291505852082	0.9654368059651979	0.9666569067990263	0.9673207598800898	0.9638928396457915	0.9648150729927205	0.9685251353719365	0.9685990574925206	0.964550501014971	0.9640969269180276
CM_cf__CF_TNFC017SA_t1M16__bin.25	0.960237371014004	0.9653175559622229	0.9659802441328036	0.9671322462236981	0.9644769403702884	0.9652367142063919	1.0	0.9674236054104361	0.964819376822558	0.9653218347450992	0.9682045209657726	0.9662548328356664	0.9877409595130746	0.9670303164252312	0.9644421991861677	0.9715157937627232	0.9642900515022024	0.9625985362068584	0.9647543859871369	0.9720477298961989	0.9641881484922015	0.9647439738409915	0.9648001656412045	0.9646687265309539	0.9648231377998213	0.9662582063737495	0.9665072577543138	0.9644839079649371	0.964518336555056	0.9682993378364889	0.9684438248793382	0.9639715757743794	0.9642818484382709
BritoIL_2016__W3.19.SA__bin.2	0.9628568168076783	0.9665940036496652	0.9674698897659227	0.96899521037541	0.9665405153366955	0.9676818213455923	0.9674236054104361	1.0	0.9665325912199132	0.9675015483113353	0.9698844749026023	0.9674026881134353	0.9669165053186667	0.9674964708867987	0.9665610688710659	0.9748714462669238	0.9664888747149029	0.9648587269913966	0.9668167825420751	0.9742819941899727	0.9662178953061732	0.966212522652858	0.9678966828487476	0.966398914481403	0.9669516280136734	0.9673978685612789	0.9676647166305833	0.9680902288754094	0.969227196806127	0.9696260886571436	0.9696529184720722	0.9659849614490378	0.9656436903390212
FerrettiP_2018__CA_C10043MS2741SA_t0M16__bin.15	0.959474552252548	0.9646930787938554	0.9665059193936717	0.9677646026222051	0.9646800066219613	0.9653755836688875	0.964819376822558	0.9665325912199132	1.0	0.9664859106260483	0.967948900149093	0.965406657315935	0.9649243693148143	0.966620026995674	0.9645287015439482	0.9720899221815499	0.9642865759683358	0.9633294690535205	0.9658027954173999	0.9729834738308872	0.9644848964432036	0.963808904851847	0.9648255331110174	0.9643353851272667	0.9650894364710848	0.9652814956048761	0.9663972096341842	0.9634079648779088	0.9653613498558627	0.9682976513193012	0.9682693260561707	0.9649064749283613	0.9639119910885533
HMP_2012__SRS022719__bin.3	0.9592469738212679	0.964028708818972	0.9818891187899278	0.9685495205061578	0.9646206699507076	0.9662090648149295	0.9653218347450992	0.9675015483113353	0.9664859106260483	1.0	0.9689214892558597	0.9663704172871284	0.9654156969027231	0.965556344822053	0.9650098403172479	0.9730032311201701	0.9648567293980457	0.9620006974352535	0.9987401649408891	0.9731102248123391	0.9643651614325531	0.9642066391997121	0.9651868402561208	0.9652829467723019	0.9648968779318394	0.9662911257556238	0.9668904514446649	0.9632838932621521	0.9650794780068659	0.9689578685105973	0.9683866406399763	0.9642928319936226	0.9639505891279415
