	FerrettiP_2018__CA_C10007MS2097SA_t0M15__bin.35	HMP_2012__SRS057205__bin.57	BritoIL_2016__WL.28.SA__bin.2	HMP_2012__SRS017120__bin.71	BritoIL_2016__W3.22.SA__bin.20	HMP_2012__SRS024318__bin.50	CM_cf__CF_TNFC017SA_t1M16__bin.25	BritoIL_2016__W3.19.SA__bin.2	FerrettiP_2018__CA_C10043MS2741SA_t0M16__bin.15	HMP_2012__SRS022719__bin.3	BritoIL_2016__W1.44.SA__bin.1	CM_cf__CF_TNFC039SA_t1M16__bin.3	HMP_2012__SRS064329__bin.23	HMP_2012__SRS015762__bin.29	HMP_2012__SRS017076__bin.31	BritoIL_2016__M1.52.SA__bin.4	BritoIL_2016__WL.10.SA__bin.8	FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.10	HMP_2012__SRS022721__bin.1	BritoIL_2016__WL.2.SA__bin.2	HMP_2012__SRS024138__bin.20	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.27	HMP_2012__SRS020220__bin.43	BritoIL_2016__M1.38.SA__bin.2	HMP_2012__SRS023352__bin.53	CM_cf__CF_TNFC039IS_t1M15__bin.16	CM_cf__CF_TNFC039IS_t2M15__bin.3	HMP_2012__SRS020856__bin.51	BritoIL_2016__W2.61.SA__bin.13	BritoIL_2016__W1.9.SA__bin.2	BritoIL_2016__WL.25.SA__bin.7	BackhedF_2015__SID589_12M__bin.44	HMP_2012__SRS016342__bin.54
FerrettiP_2018__CA_C10007MS2097SA_t0M15__bin.35	1668439.0	1464000.0	1138403.0	934543.0	1489777.0	1466808.0	1440951.0	998972.0	1498836.0	1509164.0	1243009.0	1509775.0	1495130.0	804405.0	1494247.0	1056225.0	1360226.0	1148829.0	1323871.0	1156390.0	1536014.0	1507288.0	1500738.0	1428086.0	1492194.0	1510258.0	749099.0	1486198.0	1497475.0	1212831.0	788445.0	1060372.0	1426935.0
HMP_2012__SRS057205__bin.57	1464000.0	2109112.0	1349819.0	1156601.0	1847661.0	1843932.0	1814751.0	1211070.0	1859777.0	1899904.0	1508853.0	1903106.0	1906222.0	1098432.0	1799185.0	1273295.0	1674091.0	1438682.0	1599479.0	1371976.0	1882451.0	1900101.0	1874734.0	1782930.0	1819142.0	1904032.0	885138.0	1861078.0	1837242.0	1479794.0	936924.0	1334891.0	1798481.0
BritoIL_2016__WL.28.SA__bin.2	1138403.0	1349819.0	1528583.0	956793.0	1354154.0	1354650.0	1337223.0	940544.0	1403860.0	1457632.0	1143585.0	1391420.0	1388350.0	842262.0	1343827.0	993031.0	1247681.0	1064068.0	1261792.0	1070084.0	1377244.0	1394155.0	1385667.0	1322897.0	1339799.0	1394009.0	720081.0	1357998.0	1400973.0	1129164.0	725281.0	1006225.0	1325483.0
HMP_2012__SRS017120__bin.71	934543.0	1156601.0	956793.0	1256309.0	1144707.0	1195153.0	1100349.0	853094.0	1171228.0	1176866.0	959899.0	1192681.0	1192724.0	942680.0	1115973.0	863411.0	1035957.0	873945.0	996263.0	917266.0	1150473.0	1157426.0	1166761.0	1109133.0	1103642.0	1192912.0	629444.0	1119452.0	1157102.0	1003266.0	645315.0	891615.0	1094483.0
BritoIL_2016__W3.22.SA__bin.20	1489777.0	1847661.0	1354154.0	1144707.0	2095664.0	1851736.0	1849531.0	1213886.0	1860476.0	1886497.0	1532077.0	1873882.0	1892112.0	966165.0	1813628.0	1287979.0	1729963.0	1431043.0	1609208.0	1408647.0	1867714.0	1884479.0	1884180.0	1835103.0	1813218.0	1875682.0	892320.0	1858026.0	1859415.0	1498502.0	932633.0	1323962.0	1789374.0
HMP_2012__SRS024318__bin.50	1466808.0	1843932.0	1354650.0	1195153.0	1851736.0	2038947.0	1808172.0	1206844.0	1842226.0	1856563.0	1508188.0	1849458.0	1865221.0	1004345.0	1782117.0	1292592.0	1676689.0	1412003.0	1592734.0	1371247.0	1878433.0	1879805.0	1850199.0	1784664.0	1820694.0	1851118.0	891667.0	1853372.0	1843403.0	1475749.0	918189.0	1329102.0	1783942.0
CM_cf__CF_TNFC017SA_t1M16__bin.25	1440951.0	1814751.0	1337223.0	1100349.0	1849531.0	1808172.0	2058574.0	1202343.0	1855908.0	1858547.0	1491407.0	1853984.0	2025444.0	941107.0	1805286.0	1266386.0	1671579.0	1400881.0	1578778.0	1356634.0	1873095.0	1869184.0	1854611.0	1767754.0	1804908.0	1854199.0	889118.0	1858031.0	1833905.0	1502650.0	912468.0	1294811.0	1755298.0
BritoIL_2016__W3.19.SA__bin.2	998972.0	1211070.0	940544.0	853094.0	1213886.0	1206844.0	1202343.0	1326020.0	1230899.0	1243290.0	1035446.0	1238415.0	1246271.0	756564.0	1198573.0	901763.0	1116286.0	950677.0	1082053.0	966949.0	1231362.0	1242117.0	1235729.0	1176212.0	1194431.0	1238600.0	651270.0	1216994.0	1227350.0	1027757.0	676210.0	911391.0	1164706.0
FerrettiP_2018__CA_C10043MS2741SA_t0M16__bin.15	1498836.0	1859777.0	1403860.0	1171228.0	1860476.0	1842226.0	1855908.0	1230899.0	2154963.0	1969321.0	1548028.0	1909298.0	1940350.0	1012014.0	1814763.0	1306374.0	1699333.0	1437094.0	1659931.0	1400143.0	1872837.0	1920279.0	1878408.0	1803300.0	1819392.0	1916442.0	905401.0	1839526.0	1946756.0	1528688.0	938461.0	1329590.0	1790955.0
HMP_2012__SRS022719__bin.3	1509164.0	1899904.0	1457632.0	1176866.0	1886497.0	1856563.0	1858547.0	1243290.0	1969321.0	2215855.0	1537815.0	1929343.0	1943772.0	1022046.0	1832258.0	1309453.0	1708236.0	1465369.0	1815317.0	1418383.0	1905130.0	1930805.0	1899885.0	1811012.0	1842913.0	1937472.0	905781.0	1882144.0	1939719.0	1536428.0	970286.0	1354770.0	1824052.0
BritoIL_2016__W1.44.SA__bin.1	1243009.0	1508853.0	1143585.0	959899.0	1532077.0	1508188.0	1491407.0	1035446.0	1548028.0	1537815.0	1679005.0	1534768.0	1540803.0	824176.0	1488136.0	1131655.0	1404110.0	1179609.0	1340587.0	1196231.0	1528127.0	1569233.0	1527261.0	1480355.0	1493286.0	1534792.0	749169.0	1516283.0	1506928.0	1245201.0	817183.0	1092158.0	1462701.0
CM_cf__CF_TNFC039SA_t1M16__bin.3	1509775.0	1903106.0	1391420.0	1192681.0	1873882.0	1849458.0	1853984.0	1238415.0	1909298.0	1929343.0	1534768.0	2203550.0	1964053.0	1032745.0	1876699.0	1308499.0	1714053.0	1494982.0	1635559.0	1403957.0	1920552.0	1933344.0	1905778.0	1813970.0	1839401.0	2200664.0	989743.0	1994004.0	1873489.0	1542649.0	954403.0	1321452.0	1853007.0
HMP_2012__SRS064329__bin.23	1495130.0	1906222.0	1388350.0	1192724.0	1892112.0	1865221.0	2025444.0	1246271.0	1940350.0	1943772.0	1540803.0	1964053.0	2201778.0	1037691.0	1859655.0	1307660.0	1732797.0	1461132.0	1636783.0	1404124.0	1930653.0	1934208.0	1916241.0	1832666.0	1857544.0	1965494.0	911433.0	1915870.0	1894960.0	1583421.0	954710.0	1343000.0	1826716.0
HMP_2012__SRS015762__bin.29	804405.0	1098432.0	842262.0	942680.0	966165.0	1004345.0	941107.0	756564.0	1012014.0	1022046.0	824176.0	1032745.0	1037691.0	1156642.0	969919.0	726389.0	883878.0	765806.0	851472.0	773888.0	1011082.0	1030144.0	1011598.0	971091.0	974106.0	1032389.0	563483.0	991404.0	994568.0	881736.0	547539.0	800897.0	996297.0
HMP_2012__SRS017076__bin.31	1494247.0	1799185.0	1343827.0	1115973.0	1813628.0	1782117.0	1805286.0	1198573.0	1814763.0	1832258.0	1488136.0	1876699.0	1859655.0	969919.0	2004218.0	1265005.0	1650659.0	1415925.0	1580035.0	1343291.0	1900111.0	1858415.0	1838011.0	1737931.0	1849018.0	1877083.0	905086.0	1859518.0	1800206.0	1472280.0	928869.0	1290168.0	1781399.0
BritoIL_2016__M1.52.SA__bin.4	1056225.0	1273295.0	993031.0	863411.0	1287979.0	1292592.0	1266386.0	901763.0	1306374.0	1309453.0	1131655.0	1308499.0	1307660.0	726389.0	1265005.0	1324811.0	1191900.0	1013645.0	1157059.0	1066095.0	1300063.0	1305092.0	1306020.0	1263056.0	1277427.0	1308506.0	656812.0	1285057.0	1293427.0	1080507.0	736764.0	953352.0	1236379.0
BritoIL_2016__WL.10.SA__bin.8	1360226.0	1674091.0	1247681.0	1035957.0	1729963.0	1676689.0	1671579.0	1116286.0	1699333.0	1708236.0	1404110.0	1714053.0	1732797.0	883878.0	1650659.0	1191900.0	1878830.0	1295694.0	1476984.0	1275381.0	1693645.0	1708417.0	1703142.0	1753014.0	1657625.0	1715174.0	824204.0	1681935.0	1685320.0	1353802.0	861494.0	1214851.0	1621677.0
FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.10	1148829.0	1438682.0	1064068.0	873945.0	1431043.0	1412003.0	1400881.0	950677.0	1437094.0	1465369.0	1179609.0	1494982.0	1461132.0	765806.0	1415925.0	1013645.0	1295694.0	1673097.0	1255023.0	1087310.0	1435199.0	1448089.0	1439001.0	1374950.0	1398184.0	1496216.0	710837.0	1454872.0	1423434.0	1166155.0	771701.0	1001926.0	1411408.0
HMP_2012__SRS022721__bin.1	1323871.0	1599479.0	1261792.0	996263.0	1609208.0	1592734.0	1578778.0	1082053.0	1659931.0	1815317.0	1340587.0	1635559.0	1636783.0	851472.0	1580035.0	1157059.0	1476984.0	1255023.0	1821212.0	1242050.0	1624104.0	1646959.0	1616464.0	1561577.0	1589357.0	1639469.0	791646.0	1611528.0	1650725.0	1319126.0	849181.0	1180016.0	1552615.0
BritoIL_2016__WL.2.SA__bin.2	1156390.0	1371976.0	1070084.0	917266.0	1408647.0	1371247.0	1356634.0	966949.0	1400143.0	1418383.0	1196231.0	1403957.0	1404124.0	773888.0	1343291.0	1066095.0	1275381.0	1087310.0	1242050.0	1477121.0	1388587.0	1399686.0	1400607.0	1363322.0	1348651.0	1404276.0	706812.0	1362301.0	1402625.0	1158341.0	780710.0	1037963.0	1328456.0
HMP_2012__SRS024138__bin.20	1536014.0	1882451.0	1377244.0	1150473.0	1867714.0	1878433.0	1873095.0	1231362.0	1872837.0	1905130.0	1528127.0	1920552.0	1930653.0	1011082.0	1900111.0	1300063.0	1693645.0	1435199.0	1624104.0	1388587.0	2118311.0	1955536.0	1893550.0	1798948.0	1926994.0	1915617.0	905689.0	1927714.0	1857644.0	1503929.0	935160.0	1340775.0	1846092.0
